date,open,high,low,close,adj_close,volume
2024-07-11,8470.49,8475.37,8314.55,8345.09,8345.09,
2024-07-12,8287.91,8386.57,8081.7,8099.7,8099.7,
2024-07-15,8100.74,8154.71,8006.47,8141.05,8141.05,
2024-07-16,8178.39,8189.19,8075.73,8122.45,8122.45,
2024-07-18,8124.81,8139.81,7610.42,7787.82,7787.82,
2024-07-19,7794.58,7804.15,7498.58,7518.81,7518.81,
2024-07-22,7424.73,7656.3,7325.92,7613.97,7613.97,
2024-07-23,7663.31,7707.8,6959.08,7402.93,7402.93,
2024-07-24,7449.2,7536.03,7335.79,7422.22,7422.22,
2024-07-25,7350.59,7662.37,7311.17,7522.07,7522.07,
2024-07-26,7596.21,7764.98,7547.28,7746.48,7746.48,
2024-07-29,7793.59,7887.82,7707.8,7867.89,7867.89,
2024-07-30,7883.38,7941.59,7725.52,7738.79,7738.79,
2024-07-31,7694.14,7841.94,7686.05,7791.47,7791.47,
2024-08-01,7791.47,7841.94,7631.78,7666.12,7666.12,
2024-08-02,7592.37,7676.13,7446.83,7477.67,7477.67,
2024-08-05,7303.33,7496.51,7140.23,7366.08,7366.08,
2024-08-06,7347.38,7547.92,7328.88,7366.08,7366.08,
2024-08-07,7455.17,7809.38,7370.66,7765.38,7765.38,
2024-08-08,7775.83,8045.19,7672.24,7836.32,7836.32,
2024-08-09,8041.25,8153.48,7815.3,7865.72,7865.72,
2024-08-12,7883.33,7883.33,7529.02,7572.29,7572.29,
2024-08-13,7684.82,7684.82,7424.59,7444.12,7444.12,
2024-08-14,7498.58,7710.72,7351.57,7653.44,7653.44,
2024-08-16,7736.37,7819.25,7621.28,7805.63,7805.63,
2024-08-19,7848.8,7877.86,7704.75,7718.21,7718.21,
2024-08-20,7763.95,7775.83,7632.33,7696.66,7696.66,
2024-08-21,7720.58,7824.18,7662.17,7815.84,7815.84,
2024-08-22,7843.91,7843.91,7726.11,7754.67,7754.67,
2024-08-23,7765.45,7819.59,7675.64,7702.17,7702.17,
2024-08-26,7726.13,7738.58,7607.57,7696.88,7696.88,
2024-08-27,7734.72,7927.93,7734.72,7812.03,7812.03,
2024-08-28,7834.76,7860.45,7750.88,7843.11,7843.11,
2024-08-29,7858.03,7918.24,7695.8,7781.95,7781.95,
2024-08-30,7836.44,7864.45,7749.15,7840.78,7840.78,
2024-09-02,7849.63,7851.95,7544.98,7606.83,7606.83,
2024-09-03,7655.63,7734.82,7588.5,7674.65,7674.65,
2024-09-04,7661.81,7671.79,7484.07,7547.35,7547.35,
2024-09-05,7563.11,7585.83,7520.03,7558.27,7558.27,
2024-09-06,7558.17,7558.17,7410.02,7426.17,7426.17,
2024-09-09,7409.97,7538.41,7342.34,7509.66,7509.66,
2024-09-10,7509.66,7549.13,7419.85,7445.24,7445.24,
2024-09-11,7469.15,7563.01,7442.13,7478.09,7478.09,
2024-09-12,7530.6,7662.9,7523.64,7627.53,7627.53,
2024-09-13,7680.93,7775.43,7560.44,7592.16,7592.16,
2024-09-16,7637.21,7802.2,7606.68,7671.99,7671.99,
2024-09-17,7725.63,7789.01,7669.37,7779.13,7779.13,
2024-09-18,7779.13,7822.46,7666.85,7691.79,7691.79,
2024-09-19,7736.01,7738.82,7261.82,7412.64,7412.64,
2024-09-20,7469.25,7676.53,7426.37,7603.37,7603.37,
2024-09-23,7656.97,7863.46,7656.97,7844.34,7844.34,
2024-09-24,7775.53,8002.77,7775.53,7981.23,7981.23,
2024-09-25,8001.78,8096.23,7896.51,8080.18,8080.18,
2024-09-26,8115.4,8115.4,7866.97,7973.52,7973.52,
2024-09-27,7992.89,8088.97,7968.19,8035.81,8035.81,
2024-09-30,7879.27,8097.61,7879.27,7958.31,7958.31,
2024-10-01,8002.77,8203.58,7988.0,8168.85,8168.85,
2024-10-03,8102.55,8160.85,7949.22,8012.94,8012.94,
2024-10-04,7992.94,8006.92,7785.41,7835.2,7835.2,
2024-10-07,7808.13,7963.25,7580.05,7665.17,7665.17,
2024-10-08,7676.68,8078.84,7652.08,8056.76,8056.76,
2024-10-09,8054.88,8476.81,7983.8,8356.52,8356.52,
2024-10-10,8396.98,8516.23,8342.64,8408.14,8408.14,
2024-10-11,8403.25,8504.67,8320.26,8451.02,8451.02,
2024-10-14,8489.45,8584.7,8436.74,8467.62,8467.62,
2024-10-15,8516.52,8573.83,8442.42,8544.48,8544.48,
2024-10-16,8575.8,8833.28,8514.06,8664.08,8664.08,
2024-10-17,8669.66,8709.18,8318.97,8586.38,8586.38,
2024-10-18,8564.99,8743.76,8457.29,8677.57,8677.57,
