date,open,high,low,close,adj_close,volume
2024-07-11,229.5,231.28,225.81,226.34,226.34,
2024-07-12,227.65,228.74,224.29,224.75,224.75,
2024-07-15,225.34,228.0,221.6,226.46,226.46,
2024-07-16,227.4,228.18,225.0,225.42,225.42,
2024-07-18,224.99,225.69,222.01,222.73,222.73,
2024-07-19,222.4,223.34,215.05,215.64,215.64,
2024-07-22,215.0,218.37,212.71,217.54,217.54,
2024-07-23,217.54,218.85,205.53,215.2,215.2,
2024-07-24,214.95,217.79,214.21,215.51,215.51,
2024-07-25,214.95,219.25,211.53,217.65,217.65,
2024-07-26,219.9,224.45,217.3,223.43,223.43,
2024-07-29,225.0,225.22,222.5,223.82,223.82,
2024-07-30,224.19,224.5,222.41,223.0,223.0,
2024-07-31,223.59,227.6,222.71,226.88,226.88,
2024-08-01,228.0,229.4,217.43,220.09,220.09,
2024-08-02,217.0,217.15,208.0,211.59,211.59,
2024-08-05,204.0,209.39,200.05,206.05,206.05,
2024-08-06,207.75,210.9,202.64,204.17,204.17,
2024-08-07,206.4,212.69,203.0,211.52,211.52,
2024-08-08,209.81,214.15,208.6,210.59,210.59,
2024-08-09,212.55,213.78,210.0,211.8,211.8,
2024-08-12,211.6,214.32,208.41,212.59,212.59,
2024-08-13,210.2,214.52,206.4,207.69,207.69,
2024-08-14,208.1,210.35,201.6,203.47,203.47,
2024-08-16,205.0,216.98,205.0,216.09,216.09,
2024-08-19,217.12,217.87,211.92,213.0,213.0,
2024-08-20,213.85,219.6,213.25,218.11,218.11,
2024-08-21,218.95,224.33,218.04,222.21,222.21,
2024-08-22,223.79,226.0,222.19,223.27,223.27,
2024-08-23,223.27,224.24,218.71,219.08,219.08,
2024-08-26,220.5,222.47,219.6,221.82,221.82,
2024-08-27,222.7,225.7,221.09,222.77,222.77,
2024-08-28,224.7,224.7,221.01,221.99,221.99,
2024-08-29,221.99,223.73,218.09,221.13,221.13,
2024-08-30,222.79,223.36,219.63,220.11,220.11,
2024-09-02,221.0,227.4,219.13,226.96,226.96,
2024-09-03,228.15,229.45,223.4,224.87,224.87,
2024-09-04,220.0,223.98,220.0,221.74,221.74,
2024-09-05,222.95,224.5,221.9,223.65,223.65,
2024-09-06,223.65,224.35,215.64,216.78,216.78,
2024-09-09,217.9,218.0,213.65,216.75,216.75,
2024-09-10,217.49,220.74,216.25,217.42,217.42,
2024-09-11,218.03,219.98,212.8,213.86,213.86,
2024-09-12,216.09,221.64,214.83,220.49,220.49,
2024-09-13,221.01,227.18,220.87,226.1,226.1,
2024-09-16,227.25,231.64,225.41,226.43,226.43,
2024-09-17,227.7,227.7,222.86,225.17,225.17,
2024-09-18,225.0,228.12,223.15,227.15,227.15,
2024-09-19,235.6,240.0,222.85,229.54,229.54,
2024-09-20,230.0,230.98,225.57,228.29,228.29,
2024-09-23,230.0,236.5,228.29,233.65,233.65,
2024-09-24,235.0,235.07,231.0,232.79,232.79,
2024-09-25,231.8,234.49,230.5,233.24,233.24,
2024-09-26,235.0,237.67,231.72,236.24,236.24,
2024-09-27,238.0,240.19,235.1,236.3,236.3,
2024-09-30,236.2,239.2,233.85,237.48,237.48,
2024-10-01,237.0,243.6,236.4,242.03,242.03,
2024-10-03,244.0,244.0,232.0,234.25,234.25,
2024-10-04,234.24,235.0,227.05,227.83,227.83,
2024-10-07,227.82,233.57,222.2,225.16,225.16,
2024-10-08,225.0,227.35,221.6,223.83,223.83,
2024-10-09,226.7,227.68,223.0,225.61,225.61,
2024-10-10,226.19,227.5,223.3,224.39,224.39,
2024-10-11,224.0,224.52,219.24,220.84,220.84,
2024-10-14,220.84,225.65,220.51,224.08,224.08,
2024-10-15,225.31,228.1,223.02,225.85,225.85,
2024-10-16,225.55,227.64,224.67,226.05,226.05,
2024-10-17,226.7,227.54,217.48,218.49,218.49,
2024-10-18,216.55,223.02,213.35,222.08,222.08,
2024-10-21,222.9,223.05,214.92,215.75,215.75,
2024-10-22,214.9,216.7,206.35,207.57,207.57,
2024-10-23,208.0,214.19,205.97,211.04,211.04,
2024-10-24,211.69,214.6,210.28,212.45,212.45,
2024-10-25,212.01,212.63,200.61,202.91,202.91,
2024-10-28,204.11,205.53,201.2,202.86,202.86,
2024-10-29,203.0,205.92,199.44,204.51,204.51,
2024-10-30,205.87,218.81,203.99,215.37,215.37,
2024-10-31,216.26,217.5,201.0,203.23,203.23,
2024-11-01,205.0,208.8,204.16,206.13,206.13,
2024-11-04,206.2,207.19,197.69,199.1,199.1,
2024-11-05,198.91,202.48,197.0,201.99,201.99,
2024-11-06,203.88,206.85,202.0,206.14,206.14,
2024-11-07,206.0,206.95,202.3,203.27,203.27,
2024-11-08,203.27,204.55,200.37,201.11,201.11,
2024-11-11,201.95,202.98,198.1,199.3,199.3,
2024-11-12,199.95,201.39,194.01,194.77,194.77,
2024-11-13,193.0,194.2,186.72,187.61,187.61,
2024-11-14,187.5,190.8,187.01,188.92,188.92,
2024-11-18,189.03,190.4,184.53,185.03,185.03,
2024-11-19,186.48,189.1,183.25,184.76,184.76,
2024-11-21,186.21,186.21,179.18,183.01,183.01,
2024-11-22,183.5,187.4,183.06,186.48,186.48,
2024-11-25,190.0,193.16,189.6,190.5,190.5,
2024-11-26,191.5,192.58,190.23,191.24,191.24,
2024-11-27,192.37,194.55,190.26,193.31,193.31,
2024-11-28,194.3,196.17,193.05,193.81,193.81,
2024-11-29,195.0,196.3,192.68,194.33,194.33,
2024-12-02,195.2,195.3,191.91,194.18,194.18,
2024-12-03,194.9,200.2,194.16,199.47,199.47,
2024-12-04,200.95,200.95,197.61,198.92,198.92,
2024-12-05,200.4,200.4,197.01,199.2,199.2,
2024-12-06,200.0,201.15,197.6,198.68,198.68,
2024-12-09,198.55,199.85,196.19,196.83,196.83,
2024-12-10,196.81,202.5,196.81,200.13,200.13,
2024-12-11,200.25,202.6,198.63,201.58,201.58,
2024-12-12,202.7,202.79,197.0,197.5,197.5,
2024-12-13,197.5,197.5,191.35,196.71,196.71,
2024-12-16,197.8,198.95,195.45,196.62,196.62,
2024-12-17,196.62,197.6,191.0,192.25,192.25,
2024-12-18,192.9,192.9,189.85,190.89,190.89,
2024-12-19,186.1,191.17,186.0,190.65,190.65,
2024-12-20,190.65,192.0,185.15,186.21,186.21,
2024-12-23,187.53,188.75,185.02,186.39,186.39,
2024-12-24,187.53,188.38,184.71,186.26,186.26,
2024-12-26,187.5,187.52,183.9,184.35,184.35,
2024-12-27,184.9,186.95,183.03,183.24,183.24,
2024-12-30,183.98,185.13,179.37,180.07,180.07,
2024-12-31,179.79,180.95,177.11,177.82,177.82,
2025-01-01,178.2,179.5,176.82,179.0,179.0,
2025-01-02,179.8,184.77,179.41,183.89,183.89,
2025-01-03,184.0,186.39,183.61,184.45,184.45,
2025-01-06,184.74,185.5,175.28,176.27,176.27,
2025-01-07,177.4,180.35,176.0,179.83,179.83,
2025-01-08,180.0,180.0,175.61,178.91,178.91,
2025-01-09,179.0,179.03,173.0,173.52,173.52,
2025-01-10,173.98,173.98,167.25,167.63,167.63,
2025-01-13,171.0,173.8,168.46,169.84,169.84,
2025-01-14,170.81,175.96,170.15,174.37,174.37,
2025-01-15,174.5,175.4,172.01,173.79,173.79,
2025-01-16,176.4,179.95,176.39,177.79,177.79,
2025-01-17,177.3,177.95,175.66,177.18,177.18,
2025-01-20,178.45,179.24,176.29,178.33,178.33,
2025-01-21,178.33,179.13,173.83,174.36,174.36,
2025-01-22,174.5,175.0,168.56,173.03,173.03,
2025-01-23,173.0,176.0,172.05,174.27,174.27,
2025-01-24,174.27,174.99,169.25,170.43,170.43,
2025-01-27,169.99,169.99,163.9,165.1,165.1,
2025-01-28,167.79,172.4,162.66,169.01,169.01,
2025-01-29,168.03,176.83,168.03,176.54,176.54,
2025-01-30,176.54,177.68,175.25,177.18,177.18,
2025-01-31,177.08,181.6,175.32,179.39,179.39,
2025-02-01,180.6,180.6,172.61,176.62,176.62,
2025-02-03,175.8,178.79,168.71,172.46,172.46,
2025-02-04,171.89,172.69,165.74,167.51,167.51,
2025-02-05,169.5,172.69,168.27,171.76,171.76,
2025-02-06,172.0,173.59,168.64,169.19,169.19,
2025-02-07,169.3,172.29,167.79,169.41,169.41,
2025-02-10,171.0,171.5,166.6,167.21,167.21,
2025-02-11,167.12,167.69,160.0,160.62,160.62,
2025-02-12,160.0,160.87,153.4,158.59,158.59,
2025-02-13,158.7,162.99,157.9,159.25,159.25,
2025-02-14,159.27,160.8,151.37,152.74,152.74,
2025-02-17,152.65,155.01,149.01,153.97,153.97,
2025-02-18,153.36,154.74,149.65,154.09,154.09,
2025-02-19,152.2,156.91,151.7,155.51,155.51,
2025-02-20,155.0,158.45,154.13,158.07,158.07,
2025-02-21,158.45,161.16,155.72,157.28,157.28,
2025-02-24,156.28,156.28,152.3,154.68,154.68,
2025-02-25,153.5,155.31,151.16,152.32,152.32,
2025-02-27,156.0,160.17,154.18,157.67,157.67,
2025-02-28,155.1,158.77,155.01,156.33,156.33,
2025-03-03,156.71,158.43,151.05,152.98,152.98,
2025-03-04,151.0,155.65,149.85,154.55,154.55,
2025-03-05,156.0,157.49,150.56,156.7,156.7,
2025-03-06,161.0,161.39,157.01,159.58,159.58,
2025-03-07,159.97,163.54,158.73,160.85,160.85,
2025-03-10,161.05,162.84,156.85,158.06,158.06,
2025-03-11,157.31,158.69,154.92,157.88,157.88,
2025-03-12,159.73,163.6,158.6,162.8,162.8,
2025-03-13,163.61,164.71,161.02,162.19,162.19,
2025-03-17,162.19,163.3,160.59,161.82,161.82,
2025-03-18,161.82,161.82,161.82,161.82,161.82,
2025-03-19,166.92,171.49,166.25,170.79,170.79,
2025-03-20,173.0,177.4,171.19,176.78,176.78,
2025-03-21,178.7,186.41,177.46,185.52,185.52,
2025-03-24,186.38,187.6,183.25,184.59,184.59,
2025-03-25,185.5,185.5,181.0,181.55,181.55,
2025-03-26,181.5,185.19,180.0,181.43,181.43,
2025-03-27,180.21,186.5,177.51,185.21,185.21,
2025-03-28,185.21,187.64,183.06,185.07,185.07,
