date,open,high,low,close,adj_close,volume
2024-07-11,3117.15,3128.25,3072.58,3076.77,3076.77,899781
2024-07-12,3088.47,3097.26,3056.83,3063.93,3063.93,756036
2024-07-15,3064.58,3101.96,3056.83,3088.87,3088.87,724171
2024-07-16,3108.46,3136.2,3094.57,3107.76,3107.76,988357
2024-07-18,3104.46,3109.46,3055.64,3090.67,3090.67,1021653
2024-07-19,3090.47,3092.97,2998.51,3004.21,3004.21,1026941
2024-07-22,3004.21,3025.4,2970.68,2999.36,2999.36,662085
2024-07-23,3018.5,3036.49,2884.92,2993.87,2993.87,1443331
2024-07-24,2993.87,3006.01,2957.83,2969.23,2969.23,693702
2024-07-25,2959.23,3016.15,2943.64,2972.03,2972.03,1105721
2024-07-26,2993.52,3107.46,2986.62,3078.97,3078.97,1942427
2024-07-29,3092.77,3118.8,3072.48,3087.82,3087.82,1037474
2024-07-30,3090.47,3153.44,3065.13,3127.2,3127.2,1647048
2024-07-31,3139.44,3195.92,3133.45,3167.83,3167.83,2414005
2024-08-01,3178.42,3256.39,3150.14,3215.66,3215.66,6149883
2024-08-02,3198.41,3213.41,3109.46,3159.33,3159.33,3360209
2024-08-05,3083.47,3131.5,2994.82,3036.69,3036.69,2238921
2024-08-06,3082.47,3141.24,3055.74,3071.18,3071.18,2125201
2024-08-07,3116.46,3188.42,3110.46,3184.37,3184.37,1868169
2024-08-08,3188.97,3241.04,3154.99,3165.98,3165.98,2139376
2024-08-09,3207.41,3217.7,3169.48,3185.97,3185.97,760165
2024-08-12,3098.46,3168.28,3012.51,3150.19,3150.19,10307245
2024-08-13,3168.48,3176.53,3080.22,3090.67,3090.67,2192588
2024-08-14,3084.17,3084.17,3026.25,3038.59,3038.59,1232383
2024-08-16,3068.48,3120.05,3037.84,3107.26,3107.26,970067
2024-08-19,3120.5,3132.75,3091.42,3101.01,3101.01,557265
2024-08-20,3117.4,3124.45,3057.33,3069.13,3069.13,662263
2024-08-21,3069.13,3151.74,3066.88,3114.16,3114.16,1379240
2024-08-22,3129.2,3148.44,3089.47,3097.51,3097.51,1378912
2024-08-23,3099.46,3121.45,3066.08,3074.83,3074.83,1375224
2024-08-26,3086.47,3088.47,3053.49,3067.48,3067.48,1632446
2024-08-27,3070.68,3094.22,3062.48,3065.58,3065.58,1310440
2024-08-28,3076.47,3076.47,3020.6,3026.5,3026.5,1569652
2024-08-29,3028.5,3040.44,2979.82,3018.65,3018.65,1853966
2024-08-30,3028.5,3037.04,3001.81,3017.85,3017.85,3509174
2024-09-02,3019.6,3057.63,2996.11,3040.64,3040.64,1842658
2024-09-03,3035.5,3051.54,3022.3,3034.6,3034.6,1371577
2024-09-04,3008.51,3023.5,2953.74,3010.86,3010.86,1212270
2024-09-05,3023.5,3036.39,3000.51,3013.86,3013.86,734273
2024-09-06,3017.5,3023.5,2966.53,2973.98,2973.98,1251165
2024-09-09,2970.63,2971.03,2925.85,2962.68,2962.68,1523581
2024-09-10,2970.13,3005.91,2946.14,2984.92,2984.92,803782
2024-09-11,2983.52,2991.47,2926.55,2936.39,2936.39,888628
2024-09-12,2948.54,2998.51,2915.7,2989.52,2989.52,1314173
2024-09-13,2970.53,3000.46,2954.59,2966.88,2966.88,815948
2024-09-16,2970.53,3024.9,2970.53,2983.42,2983.42,695162
2024-09-17,2988.57,2994.42,2951.04,2973.73,2973.73,698700
2024-09-18,2974.53,2983.27,2933.55,2954.84,2954.84,831891
2024-09-19,2973.58,2973.78,2888.92,2941.69,2941.69,1655401
2024-09-20,2946.69,3023.5,2940.59,3007.01,3007.01,1787210
2024-09-23,3018.5,3068.48,3013.76,3042.44,3042.44,897314
2024-09-24,3053.49,3099.46,3038.74,3092.37,3092.37,1021918
2024-09-25,3106.46,3122.35,3078.67,3103.56,3103.56,913008
2024-09-26,3083.47,3146.44,3083.47,3121.1,3121.1,1548019
