date,open,high,low,close,adj_close,volume
2024-07-11,1756.0,1763.4,1740.0,1747.05,1747.05,
2024-07-12,1752.95,1756.75,1729.0,1735.25,1735.25,
2024-07-15,1736.0,1749.8,1726.0,1741.1,1741.1,
2024-07-16,1757.95,1820.0,1750.5,1759.95,1759.95,
2024-07-18,1770.0,1780.95,1725.0,1747.55,1747.55,
2024-07-19,1750.0,1751.9,1712.6,1723.3,1723.3,
2024-07-22,1723.95,1735.65,1700.2,1715.25,1715.25,
2024-07-23,1750.0,1792.0,1680.0,1720.3,1720.3,
2024-07-24,1748.0,1748.0,1711.3,1716.0,1716.0,
2024-07-25,1710.0,1849.95,1701.0,1820.5,1820.5,
2024-07-26,1887.8,1903.65,1788.0,1803.7,1803.7,
2024-07-29,1824.85,1855.0,1800.1,1836.25,1836.25,
2024-07-30,1845.0,1876.45,1824.0,1832.4,1832.4,
2024-07-31,1844.0,1866.0,1811.25,1847.2,1847.2,
2024-08-01,1850.0,1920.0,1843.35,1901.95,1901.95,
2024-08-02,1868.95,1914.8,1861.15,1881.4,1881.4,
2024-08-05,1810.0,1854.5,1760.0,1768.75,1768.75,
2024-08-06,1800.0,1823.0,1742.3,1749.6,1749.6,
2024-08-07,1776.75,1791.95,1763.0,1772.5,1772.5,
2024-08-08,1781.4,1802.1,1767.05,1778.15,1778.15,
2024-08-09,1800.0,1806.0,1772.0,1780.85,1780.85,
2024-08-12,1725.0,1816.0,1667.5,1798.3,1798.3,
2024-08-13,1816.2,1847.4,1809.15,1825.65,1825.65,
2024-08-14,1800.0,1826.45,1783.4,1808.3,1808.3,
2024-08-16,1808.3,1840.0,1787.0,1831.0,1831.0,
2024-08-19,1811.0,1909.9,1810.2,1898.0,1898.0,
2024-08-20,1907.7,1940.0,1880.1,1924.6,1924.6,
2024-08-21,1925.0,1992.95,1905.0,1920.85,1920.85,
2024-08-22,1920.85,1922.0,1870.25,1886.35,1886.35,
2024-08-23,1889.9,1924.5,1887.5,1900.9,1900.9,
2024-08-26,1914.0,1914.0,1875.4,1888.9,1888.9,
2024-08-27,1888.0,1909.0,1875.2,1886.8,1886.8,
2024-08-28,1880.0,1892.55,1847.25,1861.1,1861.1,
2024-08-29,1861.0,1879.2,1811.6,1829.65,1829.65,
2024-08-30,1833.75,1861.8,1824.0,1838.15,1838.15,
2024-09-02,1839.1,1960.0,1839.1,1945.7,1945.7,
2024-09-03,1947.0,1957.5,1891.0,1897.9,1897.9,
2024-09-04,1877.0,1935.45,1872.0,1930.9,1930.9,
2024-09-05,1931.55,1947.0,1885.0,1890.3,1890.3,
2024-09-06,1902.9,1929.45,1852.3,1863.3,1863.3,
2024-09-09,1865.0,1882.65,1822.4,1865.75,1865.75,
2024-09-10,1866.0,1893.0,1838.5,1849.7,1849.7,
2024-09-11,1852.1,1865.0,1809.1,1814.45,1814.45,
2024-09-12,1822.45,1834.9,1805.3,1811.9,1811.9,
2024-09-13,1807.0,1819.8,1780.4,1788.2,1788.2,
2024-09-16,1850.0,1941.65,1833.15,1930.8,1930.8,
2024-09-17,1930.8,1978.0,1886.0,1954.4,1954.4,
2024-09-18,1940.0,1965.0,1925.1,1950.8,1950.8,
2024-09-19,1941.0,1968.35,1905.8,1962.95,1962.95,
2024-09-20,1962.95,2019.95,1947.0,2003.95,2003.95,
2024-09-23,2028.95,2042.9,1963.05,2031.2,2031.2,
2024-09-24,2037.6,2079.65,2023.7,2070.55,2070.55,
2024-09-25,2079.0,2087.75,2027.1,2066.75,2066.75,
2024-09-26,2080.0,2091.0,2039.2,2057.85,2057.85,
2024-09-27,2060.0,2084.3,1963.75,1981.85,1981.85,
2024-09-30,1985.0,1988.45,1891.9,1902.7,1902.7,
2024-10-01,1915.55,1929.55,1880.0,1884.95,1884.95,
2024-10-03,1865.0,1868.6,1775.75,1807.8,1807.8,
2024-10-04,1811.9,1835.0,1780.0,1801.2,1801.2,
2024-10-07,1801.15,1815.1,1735.0,1752.45,1752.45,
2024-10-08,1751.0,1822.0,1725.55,1813.85,1813.85,
2024-10-09,1827.0,1833.95,1779.45,1784.45,1784.45,
2024-10-10,1804.7,1804.7,1758.2,1780.5,1780.5,
2024-10-11,1782.0,1807.0,1767.0,1792.2,1792.2,
2024-10-14,1793.0,1804.35,1765.05,1775.35,1775.35,
2024-10-15,1777.0,1783.9,1750.0,1763.0,1763.0,
2024-10-16,1760.0,1774.2,1740.55,1751.05,1751.05,
2024-10-17,1750.05,1767.7,1719.0,1733.55,1733.55,
2024-10-18,1735.0,1745.5,1703.0,1736.05,1736.05,
2024-10-21,1741.0,1753.0,1705.0,1710.8,1710.8,
2024-10-22,1732.0,1747.4,1668.25,1684.45,1684.45,
2024-10-23,1684.45,1725.0,1627.85,1702.1,1702.1,
2024-10-24,1691.0,1710.85,1681.0,1692.4,1692.4,
2024-10-25,1700.0,1718.9,1625.0,1644.0,1644.0,
2024-10-28,1644.0,1661.7,1588.55,1613.15,1613.15,
2024-10-29,1612.0,1641.0,1588.0,1635.1,1635.1,
2024-10-30,1615.0,1653.75,1596.65,1634.2,1634.2,
2024-10-31,1642.1,1664.0,1591.95,1598.3,1598.3,
2024-11-01,1620.0,1639.55,1614.45,1632.65,1632.65,
2024-11-04,1625.0,1630.0,1606.3,1611.95,1611.95,
2024-11-05,1600.0,1655.0,1594.0,1644.25,1644.25,
2024-11-06,1652.0,1733.95,1636.7,1721.15,1721.15,
2024-11-07,1725.85,1725.85,1635.0,1642.7,1642.7,
2024-11-08,1640.05,1645.0,1581.4,1598.55,1598.55,
2024-11-11,1590.1,1599.55,1550.3,1557.4,1557.4,
2024-11-12,1550.0,1573.0,1511.0,1524.15,1524.15,
2024-11-13,1503.0,1542.55,1459.55,1468.45,1468.45,
2024-11-14,1480.0,1519.95,1473.85,1490.3,1490.3,
2024-11-18,1512.45,1517.75,1450.0,1456.95,1456.95,
2024-11-19,1448.05,1467.0,1400.1,1412.7,1412.7,
2024-11-21,1160.0,1212.0,1132.0,1145.7,1145.7,
2024-11-22,1085.0,1219.0,1021.0,1051.8,1051.8,
2024-11-25,1080.2,1141.0,933.0,968.8,968.8,
2024-11-26,968.8,968.8,891.85,898.55,898.55,
2024-11-27,890.0,988.4,870.25,988.4,988.4,
2024-11-28,1020.0,1087.2,1014.0,1087.2,1087.2,
2024-11-29,1149.0,1368.0,1138.5,1323.9,1323.9,
2024-12-02,1360.55,1447.7,1301.9,1327.95,1327.95,
2024-12-03,1344.0,1365.0,1305.0,1312.8,1312.8,
