date,open,high,low,close,adj_close,volume
2024-07-11,146.4,146.4,143.2,144.14,144.14,14579725
2024-07-12,144.31,145.17,141.6,141.99,141.99,10835685
2024-07-15,142.0,142.99,141.1,141.71,141.71,10190125
2024-07-16,142.51,146.34,141.71,142.49,142.49,13525555
2024-07-18,142.49,142.49,139.28,139.9,139.9,15782025
2024-07-19,140.0,140.32,138.0,138.9,138.9,12139340
2024-07-22,138.6,141.99,136.45,139.23,139.23,12220170
2024-07-23,141.0,145.8,129.3,139.48,139.48,50345635
2024-07-24,139.54,141.94,138.51,138.94,138.94,11054015
2024-07-25,138.8,141.89,137.23,139.04,139.04,13847810
2024-07-26,140.0,145.56,139.72,142.53,142.53,27418570
2024-07-29,143.8,144.99,143.01,143.28,143.28,15066860
2024-07-30,144.0,147.0,143.28,145.85,145.85,26419965
2024-07-31,147.1,149.86,142.53,146.89,146.89,60381025
2024-08-01,144.0,150.58,143.0,147.6,147.6,68246855
2024-08-02,145.58,148.15,144.19,145.27,145.27,28345615
2024-08-05,140.0,143.84,136.2,138.17,138.17,76645360
2024-08-06,139.39,141.33,136.6,137.88,137.88,73470735
2024-08-07,140.0,140.94,137.63,138.38,138.38,75859015
2024-08-08,138.94,140.0,137.07,138.31,138.31,78456945
2024-08-09,139.41,140.78,138.31,139.08,139.08,69610135
2024-08-12,135.0,138.99,124.0,138.3,138.3,140198020
2024-08-13,138.5,140.5,137.2,137.9,137.9,73863660
2024-08-14,137.88,137.94,134.2,134.81,134.81,72605700
2024-08-16,136.6,140.0,134.2,139.48,139.48,81407100
2024-08-19,139.6,141.35,138.6,139.4,139.4,81847520
2024-08-20,139.4,140.37,138.45,139.09,139.09,59953610
2024-08-21,139.09,140.28,138.4,139.03,139.03,57432325
2024-08-22,139.1,139.5,134.2,134.74,134.74,20932485
2024-08-23,137.4,137.8,134.8,135.16,135.16,17491785
2024-08-26,134.9,135.8,132.0,132.26,132.26,17081035
2024-08-27,133.0,134.39,130.34,130.82,130.82,17230700
2024-08-28,131.4,131.77,127.63,128.31,128.31,17869550
2024-08-29,128.0,130.0,125.7,128.86,128.86,23306505
2024-08-30,129.7,129.94,125.88,126.41,126.41,23887610
2024-09-02,127.0,136.89,125.61,134.04,134.04,98612320
2024-09-03,134.04,134.4,131.41,131.82,131.82,19651745
2024-09-04,129.86,131.8,129.8,130.17,130.17,12421715
2024-09-05,130.44,131.18,128.2,128.77,128.77,11113435
2024-09-06,128.8,129.61,126.0,126.94,126.94,12745765
2024-09-09,127.0,129.0,124.2,127.04,127.04,19797785
2024-09-10,127.8,129.2,126.6,127.41,127.41,12149245
2024-09-11,127.27,127.98,125.02,125.44,125.44,8266175
2024-09-12,126.7,131.0,124.6,130.22,130.22,27540185
2024-09-13,128.53,129.32,126.2,126.69,126.69,14050150
2024-09-16,132.2,136.31,130.16,133.19,133.19,71314010
2024-09-17,133.2,134.8,130.44,133.27,133.27,19115455
2024-09-18,132.2,133.54,129.8,130.34,130.34,8772165
2024-09-19,131.0,131.61,127.4,129.92,129.92,11815300
2024-09-20,129.92,134.0,129.92,133.03,133.03,14680640
2024-09-23,134.4,134.95,132.1,134.4,134.4,16994495
2024-09-24,134.4,135.6,133.34,135.05,135.05,13647195
2024-09-25,134.0,135.4,132.0,133.47,133.47,9609500
2024-09-26,133.6,133.73,132.02,133.07,133.07,6414995
2024-09-27,133.0,134.88,129.34,130.86,130.86,15587935
2024-09-30,130.8,132.53,129.7,131.23,131.23,11055655
2024-10-01,131.0,132.16,130.4,130.64,130.64,6332320
2024-10-03,129.81,130.58,126.31,128.95,128.95,13126695
2024-10-04,127.99,129.6,127.02,128.42,128.42,10842110
2024-10-07,128.29,129.19,122.68,125.09,125.09,14298020
2024-10-08,124.98,129.18,122.64,128.12,128.12,11754080
2024-10-09,129.28,129.8,126.31,126.86,126.86,6351835
2024-10-10,128.39,129.68,126.21,129.08,129.08,8248850
2024-10-11,129.0,129.08,127.49,128.46,128.46,5549135
2024-10-14,128.5,129.14,126.2,126.89,126.89,9055005
2024-10-15,128.0,128.07,126.49,126.78,126.78,4650740
2024-10-16,126.31,127.16,124.31,125.16,125.16,8602970
2024-10-17,125.2,125.74,121.56,121.82,121.82,10127720
2024-10-18,121.8,122.78,119.01,122.28,122.28,11397560
2024-10-21,123.0,123.62,120.0,120.72,120.72,6622805
2024-10-22,120.8,121.43,116.74,117.63,117.63,12225415
2024-10-23,117.59,119.2,115.61,117.57,117.57,27091965
2024-10-24,117.56,122.4,117.0,120.97,120.97,19282830
2024-10-25,121.14,122.46,117.02,118.46,118.46,12163925
2024-10-28,117.22,121.34,114.53,119.64,119.64,18421050
2024-10-29,115.99,119.22,115.66,118.46,118.46,13248035
2024-10-30,119.0,119.96,116.81,118.41,118.41,9043955
2024-10-31,120.2,121.98,118.0,118.54,118.54,12171955
2024-11-01,119.14,119.99,118.7,119.47,119.47,1981195
2024-11-04,119.39,119.39,116.44,117.0,117.0,7362355
2024-11-05,116.99,121.48,116.2,120.69,120.69,10442775
2024-11-06,121.48,125.4,121.1,123.26,123.26,15770245
2024-11-07,123.26,123.37,119.29,119.93,119.93,8998965
2024-11-08,119.8,119.88,117.33,117.8,117.8,5967530
2024-11-11,117.0,117.52,115.52,115.79,115.79,6219065
2024-11-12,115.96,117.42,111.0,111.59,111.59,12193540
2024-11-13,112.0,119.6,108.26,109.4,109.4,62009870
2024-11-14,111.99,113.42,109.4,109.82,109.82,15479225
2024-11-18,111.19,111.48,105.02,105.37,105.37,18324215
2024-11-19,106.4,107.52,104.32,104.82,104.82,20120015
2024-11-21,87.99,98.88,86.4,95.23,95.23,203774155
2024-11-22,91.04,98.32,89.21,92.09,92.09,167468380
2024-11-25,94.76,96.0,88.2,89.33,89.33,171518630
2024-11-26,90.06,91.08,86.65,87.53,87.53,72402990
2024-11-27,87.35,105.03,86.43,104.61,104.61,290478720
2024-11-28,106.88,116.76,106.01,112.2,112.2,303878045
2024-11-29,112.2,117.5,108.55,110.96,110.96,229820320
2024-12-02,111.41,113.32,108.65,109.78,109.78,65243080
2024-12-03,110.4,111.16,108.6,108.84,108.84,44378440
2024-12-04,109.36,109.68,107.08,107.51,107.51,25326665
2024-12-05,108.0,109.88,106.76,107.49,107.49,30731525
2024-12-06,108.0,109.22,106.8,107.22,107.22,19996405
2024-12-09,107.8,108.83,106.84,107.18,107.18,18745365
2024-12-10,107.4,107.55,104.68,105.36,105.36,17148985
2024-12-11,105.4,106.11,103.6,103.85,103.85,14744440
2024-12-12,103.85,112.36,102.7,107.97,107.97,127516560
2024-12-13,107.92,108.94,106.4,107.32,107.32,30408855
2024-12-16,107.8,107.88,105.46,105.98,105.98,13110485
2024-12-17,105.8,108.32,104.4,104.92,104.92,24594885
2024-12-18,105.2,105.97,103.5,104.23,104.23,14877645
2024-12-19,102.0,103.29,101.34,101.66,101.66,17915005
2024-12-20,102.28,105.4,98.21,99.58,99.58,40395295
2024-12-23,100.98,102.0,98.93,100.82,100.82,19857165
2024-12-24,101.2,101.96,99.0,99.2,99.2,16404780
2024-12-26,99.6,103.16,99.12,101.43,101.43,33516140
2024-12-27,102.1,102.75,100.87,101.35,101.35,23359700
2024-12-30,101.6,111.78,100.3,107.89,107.89,74074430
2024-12-31,106.6,107.48,104.72,105.89,105.89,22360080
2025-01-01,106.2,106.87,105.0,105.33,105.33,15319270
2025-01-02,105.8,105.96,104.0,104.36,104.36,10282760
2025-01-03,104.6,106.45,103.61,104.09,104.09,14825280
2025-01-06,103.8,104.0,99.2,99.66,99.66,14935440
2025-01-07,99.79,104.29,99.51,101.97,101.97,28033985
2025-01-08,102.89,102.89,100.58,100.99,100.99,11560550
2025-01-09,101.4,101.76,99.26,99.58,99.58,8617130
2025-01-10,99.6,100.58,95.69,96.46,96.46,18192045
2025-01-13,95.21,95.59,89.0,89.98,89.98,26848140
2025-01-14,92.0,107.97,91.99,107.4,107.4,255567115
2025-01-15,107.99,114.38,104.6,109.89,109.89,195594835
2025-01-16,117.0,119.68,111.28,112.6,112.6,107817170
2025-01-17,112.59,114.71,109.0,110.26,110.26,51450090
2025-01-20,110.25,110.82,107.8,108.76,108.76,23244770
2025-01-21,109.0,109.95,105.25,105.75,105.75,19737435
2025-01-22,106.18,106.6,102.71,105.09,105.09,17530055
2025-01-23,105.05,107.59,103.74,104.36,104.36,21688545
2025-01-24,104.51,105.76,101.8,102.97,102.97,24715855
2025-01-27,102.97,102.97,98.6,99.38,99.38,17194780
2025-01-28,99.47,101.37,96.63,99.44,99.44,23465370
2025-01-29,100.59,105.58,99.38,104.55,104.55,39168425
2025-01-30,104.8,104.9,101.0,101.76,101.76,22191010
2025-01-31,101.69,103.27,100.85,102.64,102.64,19061955
2025-02-01,102.64,107.35,101.79,102.86,102.86,34398360
2025-02-03,101.81,103.15,99.65,100.45,100.45,14767720
2025-02-04,102.6,102.6,100.24,101.27,101.27,14110900
2025-02-05,102.19,103.15,100.61,101.08,101.08,17895145
2025-02-06,101.88,102.27,100.29,100.69,100.69,11944400
2025-02-07,101.0,101.34,98.2,98.82,98.82,21926810
2025-02-10,99.0,99.8,97.62,98.28,98.28,13177560
2025-02-11,98.82,102.38,97.62,99.63,99.63,60082935
2025-02-12,100.07,100.98,96.49,100.35,100.35,31586455
2025-02-13,100.6,101.24,98.62,99.63,99.63,17541020
2025-02-14,100.1,100.3,96.81,97.73,97.73,16464635
2025-02-17,96.12,98.98,94.43,98.05,98.05,19312090
2025-02-18,98.2,98.88,96.3,96.95,96.95,12557390
2025-02-19,95.74,97.77,94.52,96.51,96.51,15965450
2025-02-20,96.0,99.0,95.47,96.86,96.86,18905435
2025-02-21,97.0,98.09,95.0,95.73,95.73,11697470
2025-02-24,95.58,95.71,93.6,94.02,94.02,9630520
2025-02-25,94.02,102.96,93.9,99.56,99.56,126181300
2025-02-27,100.6,102.44,98.13,99.45,99.45,44184170
2025-02-28,99.0,100.31,94.6,95.79,95.79,33023660
2025-03-03,97.52,99.4,94.81,96.63,96.63,29216705
2025-03-04,95.99,97.67,95.26,96.65,96.65,13614020
2025-03-05,96.8,102.34,96.8,101.11,101.11,42530870
2025-03-06,101.6,102.11,100.13,100.63,100.63,17804145
2025-03-07,100.98,102.31,99.8,101.23,101.23,19450080
2025-03-10,101.23,107.13,100.17,101.01,101.01,59513285
2025-03-11,100.2,102.62,99.51,102.03,102.03,23043220
2025-03-12,103.2,104.12,101.2,102.47,102.47,20615490
2025-03-13,103.38,105.46,102.05,102.4,102.4,25513065
2025-03-17,102.39,103.65,101.7,102.24,102.24,15531785
2025-03-18,102.24,102.24,102.24,102.24,102.24,0
2025-03-19,103.75,105.4,102.87,104.2,104.2,18174890
2025-03-20,105.14,105.48,102.86,103.93,103.93,12460085
2025-03-21,104.2,108.3,103.62,104.42,104.42,39309170
2025-03-24,105.48,107.48,104.4,104.79,104.79,17588845
2025-03-25,105.4,105.59,101.01,101.54,101.54,17586390
2025-03-26,101.8,103.16,99.2,99.57,99.57,18561780
2025-03-27,99.4,104.7,98.47,103.98,103.98,36621845
2025-03-28,104.4,105.11,101.51,101.86,101.86,25871235
2025-04-01,101.57,102.64,100.32,100.94,100.94,11794865
2025-04-02,101.54,103.6,100.37,102.71,102.71,15972735
2025-04-03,102.0,107.61,101.62,105.77,105.77,41657105
2025-04-04,105.6,107.98,104.34,106.51,106.51,44705885
2025-04-07,92.4,103.0,92.4,101.99,101.99,39423010
2025-04-08,105.0,105.09,101.6,102.71,102.71,19084945
2025-04-09,102.59,102.8,101.0,101.69,101.69,9316855
2025-04-11,103.73,104.86,102.85,103.65,103.65,15982600
2025-04-15,105.2,110.89,104.49,108.44,108.44,40275730
2025-04-16,108.6,109.55,107.62,109.11,109.11,13507195
2025-04-17,109.54,112.27,108.43,109.94,109.94,32955080
2025-04-21,110.25,117.11,109.81,113.81,113.81,49675500
2025-04-22,114.8,115.95,113.75,114.67,114.67,19810145
2025-04-23,115.4,116.84,114.8,115.88,115.88,21212725
2025-04-24,116.0,116.98,114.25,115.17,115.17,14521505
2025-04-25,115.39,117.11,108.85,109.87,109.87,38828540
2025-04-28,109.61,111.5,108.25,110.55,110.55,19832845
2025-04-29,111.6,112.4,109.27,109.73,109.73,14598175
2025-04-30,109.96,110.35,105.25,106.41,106.41,26027090
2025-05-02,105.9,108.72,104.81,105.28,105.28,18021060
2025-05-05,105.6,116.87,105.1,111.29,111.29,136045365
2025-05-06,111.98,113.1,106.5,107.21,107.21,40326215
2025-05-07,104.22,107.78,104.2,106.39,106.39,30004955
2025-05-08,107.2,108.38,103.0,104.04,104.04,26223815
2025-05-09,101.0,103.2,101.0,102.4,102.4,21353120
2025-05-12,108.99,110.57,108.3,109.31,109.31,32049350
2025-05-13,109.31,109.46,107.2,107.75,107.75,27788610
2025-05-14,108.54,108.71,107.16,107.96,107.96,17970600
2025-05-15,108.48,109.26,107.46,108.62,108.62,17751625
2025-05-16,109.0,113.96,108.62,113.1,113.1,49525610
2025-05-19,113.3,114.6,111.84,112.45,112.45,18979610
2025-05-20,112.79,113.5,110.57,111.24,111.24,17156030
2025-05-21,111.2,112.2,109.37,110.25,110.25,13376865
2025-05-22,110.3,112.15,109.83,110.74,110.74,14943250
2025-05-23,111.2,112.08,110.2,110.64,110.64,12026850
2025-05-26,111.38,113.98,111.23,111.72,111.72,19173970
2025-05-27,112.0,112.06,109.96,110.51,110.51,13868320
2025-05-28,111.0,113.42,106.16,110.14,110.14,24560695
2025-05-29,110.77,111.77,110.2,110.39,110.39,12881605
2025-05-30,110.61,111.09,108.18,108.76,108.76,15370475
2025-06-02,109.4,111.98,109.0,111.02,111.02,17794610
2025-06-03,110.51,110.64,108.6,108.92,108.92,12927105
2025-06-04,109.48,109.98,107.72,109.03,109.03,13008395
2025-06-05,109.54,110.74,109.31,109.53,109.53,9616705
2025-06-06,110.15,112.79,109.82,111.05,111.05,20056905
2025-06-09,111.95,114.8,111.26,112.62,112.62,23617970
2025-06-10,113.54,122.12,112.49,119.21,119.21,150425895
2025-06-11,120.55,121.0,116.59,117.41,117.41,43819250
2025-06-12,117.41,117.74,113.1,113.43,113.43,25698510
2025-06-13,111.09,115.68,109.87,114.18,114.18,29630645
2025-06-16,113.59,114.4,111.01,112.59,112.59,13945785
2025-06-17,112.91,114.22,111.4,111.64,111.64,9820175
2025-06-18,111.6,112.07,110.0,110.16,110.16,10063160
2025-06-19,110.2,111.75,106.5,107.3,107.3,13568940
2025-06-20,107.6,109.11,105.42,106.05,106.05,47738495
2025-06-23,106.0,108.29,105.65,107.6,107.6,15234695
2025-06-24,108.98,110.4,107.74,109.37,109.37,20572930
2025-06-25,109.84,111.8,109.75,111.4,111.4,17171020
2025-06-26,111.8,116.08,111.6,115.63,115.63,30618905
2025-06-27,116.0,121.36,114.84,116.87,116.87,78220455
2025-06-30,117.9,119.46,116.47,117.15,117.15,22731315
2025-07-01,117.68,121.4,117.3,118.28,118.28,40265290
2025-07-02,119.2,120.38,117.55,118.28,118.28,20389805
2025-07-03,119.0,119.24,117.0,117.58,117.58,18364010
2025-07-04,117.58,118.16,116.22,116.96,116.96,10892800
2025-07-07,116.96,120.0,115.75,119.43,119.43,21546290
2025-07-08,120.7,123.0,118.4,120.0,120.0,49616840
2025-07-09,120.51,122.0,119.3,120.43,120.43,27100765
2025-07-10,120.88,124.0,120.42,121.16,121.16,74692330
2025-07-11,121.4,122.4,120.07,120.79,120.79,20236400
2025-07-14,120.82,123.86,120.45,121.91,121.91,37017980
2025-07-15,122.58,123.2,121.14,121.62,121.62,19422015
2025-07-16,121.98,122.86,120.6,120.97,120.97,18549555
2025-07-17,121.49,121.73,119.5,119.73,119.73,17579230
2025-07-18,119.72,119.88,117.69,118.93,118.93,15522320
2025-07-21,119.2,120.7,118.22,119.32,119.32,10219500
2025-07-22,119.82,120.29,117.4,118.11,118.11,10394955
2025-07-23,118.56,119.24,117.43,117.79,117.79,9600185
2025-07-24,118.16,118.58,116.66,117.15,117.15,8155545
