date,open,high,low,close,adj_close,volume
2024-07-11,5168.89,5198.3,5087.6,5104.39,5104.39,
2024-07-12,5121.77,5171.84,5070.47,5103.85,5103.85,
2024-07-15,5140.52,5350.51,5134.53,5285.43,5285.43,
2024-07-16,5345.61,5345.61,5175.42,5200.11,5200.11,
2024-07-18,5232.71,5232.71,5095.26,5176.5,5176.5,
2024-07-19,5154.17,5172.08,5018.24,5039.94,5039.94,
2024-07-22,5036.36,5148.23,4994.14,5121.47,5121.47,
2024-07-23,5124.71,5143.46,4938.57,5086.08,5086.08,
2024-07-24,5112.83,5175.52,5066.45,5098.35,5098.35,
2024-07-25,5060.9,5111.41,5045.24,5087.75,5087.75,
2024-07-26,5114.85,5219.8,5094.52,5193.29,5193.29,
2024-07-29,5227.8,5250.33,5097.76,5107.09,5107.09,
2024-07-30,5129.52,5149.4,5085.44,5131.0,5131.0,
2024-07-31,5131.0,5247.33,5099.19,5212.58,5212.58,
2024-08-01,5255.29,5307.17,5155.25,5175.08,5175.08,
2024-08-02,5105.08,5246.89,5105.08,5199.08,5199.08,
2024-08-05,5105.13,5270.31,5070.47,5217.19,5217.19,
2024-08-06,5301.43,5346.54,5207.77,5225.93,5225.93,
2024-08-07,5240.46,5423.9,5240.46,5411.63,5411.63,
2024-08-08,5446.73,5641.7,5393.12,5583.24,5583.24,
2024-08-09,5615.71,5746.3,5420.12,5696.04,5696.04,
2024-08-12,5748.27,5748.27,5558.57,5615.47,5615.47,
2024-08-13,5634.28,5694.42,5573.36,5610.11,5610.11,
2024-08-14,5650.01,5715.69,5573.95,5583.78,5583.78,
2024-08-16,5650.01,5650.01,5527.77,5583.14,5583.14,
2024-08-19,5622.64,5664.4,5578.62,5640.87,5640.87,
2024-08-20,5648.53,5697.17,5605.84,5633.35,5633.35,
2024-08-21,5631.34,5727.53,5624.26,5689.31,5689.31,
2024-08-22,5760.06,5762.56,5648.53,5667.74,5667.74,
2024-08-23,5701.1,5704.05,5625.98,5653.79,5653.79,
2024-08-26,5694.37,5729.6,5600.88,5717.46,5717.46,
2024-08-27,5756.13,5887.35,5720.8,5788.55,5788.55,
2024-08-28,5793.96,5916.39,5748.56,5893.1,5893.1,
