date,open,high,low,close,adj_close,volume
2024-07-11,677.52,685.44,670.15,676.67,676.67,
2024-07-12,678.02,679.96,671.29,674.03,674.03,
2024-07-15,684.05,687.93,679.01,681.7,681.7,
2024-07-16,686.94,689.48,680.76,682.85,682.85,
2024-07-18,682.85,689.92,676.52,687.73,687.73,
2024-07-19,688.53,689.92,667.95,675.43,675.43,
2024-07-22,675.38,686.09,671.29,684.59,684.59,
2024-07-23,685.49,692.47,660.18,688.83,688.83,
2024-07-24,688.83,690.47,677.62,679.91,679.91,
2024-07-25,675.63,682.5,670.05,673.43,673.43,
2024-07-26,673.58,688.93,673.58,683.9,683.9,
2024-07-29,689.48,690.97,668.55,677.37,677.37,
2024-07-30,677.37,678.57,668.75,671.99,671.99,
2024-07-31,675.28,684.15,669.9,677.47,677.47,
2024-08-01,677.52,678.52,652.61,661.58,661.58,
2024-08-02,658.59,659.88,646.23,650.42,650.42,
2024-08-05,644.64,648.18,631.44,633.83,633.83,
2024-08-06,635.77,646.63,620.68,623.27,623.27,
2024-08-07,631.69,645.64,631.24,640.95,640.95,
2024-08-08,642.6,642.9,634.78,636.17,636.17,
2024-08-09,642.65,643.15,627.8,629.69,629.69,
2024-08-12,618.83,638.66,615.5,633.13,633.13,
2024-08-13,632.98,636.62,619.83,622.12,622.12,
2024-08-14,624.21,626.61,615.25,620.93,620.93,
2024-08-16,622.72,639.61,621.18,638.16,638.16,
2024-08-19,640.65,641.3,629.89,631.39,631.39,
2024-08-20,633.68,637.12,622.37,624.17,624.17,
2024-08-21,624.71,629.45,622.52,626.95,626.95,
2024-08-22,627.15,637.17,620.18,629.5,629.5,
2024-08-23,653.61,657.59,629.3,631.29,631.29,
2024-08-26,636.62,637.57,623.12,625.36,625.36,
2024-08-27,626.51,627.55,619.78,622.17,622.17,
2024-08-28,623.77,624.96,612.86,614.15,614.15,
2024-08-29,615.45,616.74,598.51,610.27,610.27,
2024-08-30,610.42,619.38,607.18,614.8,614.8,
2024-09-02,617.74,621.92,614.05,618.14,618.14,
2024-09-03,619.98,620.23,611.91,615.55,615.55,
2024-09-04,612.76,626.71,610.37,624.81,624.81,
2024-09-05,626.66,634.43,625.11,629.55,629.55,
2024-09-06,624.71,628.7,618.04,620.98,620.98,
2024-09-09,620.63,629.2,612.51,627.85,627.85,
2024-09-10,627.85,628.7,621.43,624.76,624.76,
2024-09-11,624.71,629.69,618.39,620.73,620.73,
2024-09-12,623.82,627.4,618.34,625.86,625.86,
2024-09-13,625.86,633.43,623.22,627.3,627.3,
2024-09-16,628.7,631.54,623.97,625.01,625.01,
2024-09-17,623.67,625.11,618.44,620.73,620.73,
2024-09-18,620.73,623.72,612.76,617.84,617.84,
2024-09-19,621.72,621.72,595.82,606.18,606.18,
2024-09-20,608.77,616.54,604.84,614.3,614.3,
2024-09-23,617.74,621.72,614.85,619.78,619.78,
2024-09-24,617.74,621.62,613.65,616.04,616.04,
2024-09-25,616.04,617.34,607.78,613.8,613.8,
2024-09-26,613.8,624.76,608.62,622.87,622.87,
2024-09-27,622.72,634.13,620.88,631.69,631.69,
2024-09-30,631.69,640.95,625.76,630.24,630.24,
2024-10-01,627.9,632.43,620.73,630.14,630.14,
2024-10-03,620.73,630.69,610.81,615.2,615.2,
2024-10-04,613.21,619.73,602.39,608.47,608.47,
2024-10-07,612.76,617.09,584.51,588.2,588.2,
2024-10-08,586.55,608.17,582.32,604.19,604.19,
2024-10-09,607.78,615.15,603.54,605.73,605.73,
2024-10-10,608.57,611.21,579.88,583.12,583.12,
2024-10-11,586.8,590.64,580.92,583.07,583.07,
2024-10-14,585.81,588.65,581.27,586.75,586.75,
2024-10-15,588.05,594.82,584.41,588.2,588.2,
2024-10-16,588.2,592.28,574.3,586.9,586.9,
2024-10-17,585.86,593.63,567.22,569.17,569.17,
2024-10-18,569.42,575.29,556.91,571.86,571.86,
2024-10-21,572.21,575.79,564.23,569.81,569.81,
2024-10-22,566.92,581.12,554.07,556.46,556.46,
2024-10-23,558.95,562.49,549.69,553.82,553.82,
2024-10-24,554.97,560.5,551.48,556.86,556.86,
2024-10-25,554.02,558.95,543.21,550.68,550.68,
2024-10-28,550.68,580.13,545.05,567.32,567.32,
2024-10-29,567.92,574.15,564.58,572.9,572.9,
2024-10-30,572.8,583.61,568.37,577.59,577.59,
2024-10-31,577.59,584.66,572.26,578.43,578.43,
2024-11-01,580.82,583.36,577.93,580.33,580.33,
2024-11-04,577.83,578.58,563.94,569.32,569.32,
2024-11-05,568.92,572.9,563.29,569.91,569.91,
2024-11-06,569.91,582.87,569.91,580.52,580.52,
2024-11-07,582.07,582.92,567.32,568.62,568.62,
2024-11-08,572.6,572.6,559.45,562.84,562.84,
2024-11-11,561.94,565.73,556.51,558.36,558.36,
2024-11-12,559.9,563.44,552.48,554.57,554.57,
2024-11-13,551.98,556.21,539.28,543.36,543.36,
2024-11-14,543.36,550.29,539.08,542.51,542.51,
2024-11-18,539.03,552.98,535.94,548.54,548.54,
2024-11-19,549.04,558.31,544.91,547.55,547.55,
2024-11-21,492.8,498.18,451.4,482.38,482.38,
2024-11-22,475.41,512.97,475.41,498.03,498.03,
2024-11-25,511.63,512.42,501.36,503.11,503.11,
2024-11-26,505.45,506.45,489.91,491.9,491.9,
2024-11-27,495.19,521.59,487.27,513.12,513.12,
2024-11-28,516.61,520.64,508.79,511.13,511.13,
2024-11-29,513.62,533.75,511.63,529.56,529.56,
2024-12-02,530.06,539.03,528.12,536.83,536.83,
2024-12-03,539.13,569.86,537.03,564.48,564.48,
2024-12-04,570.61,570.61,558.36,562.64,562.64,
2024-12-05,566.92,571.26,561.35,569.02,569.02,
2024-12-06,569.61,571.46,562.44,563.24,563.24,
2024-12-09,565.93,574.65,562.94,569.22,569.22,
2024-12-10,569.66,572.45,564.04,571.41,571.41,
2024-12-11,575.89,582.07,573.35,576.34,576.34,
2024-12-12,575.89,577.59,568.12,569.66,569.66,
2024-12-13,567.92,572.85,561.99,570.66,570.66,
