date,open,high,low,close,adj_close,volume
2024-07-11,215.55,216.81,213.43,213.73,213.73,7214960
2024-07-12,215.16,218.08,214.7,216.89,216.89,4008860
2024-07-15,220.13,221.74,217.1,220.15,220.15,6207070
2024-07-16,223.48,224.27,213.62,214.47,214.47,11217080
2024-07-18,215.18,215.81,208.3,208.67,208.67,6826040
2024-07-19,208.69,209.27,201.06,201.72,201.72,6890130
2024-07-22,202.02,206.85,198.93,204.96,204.96,8926600
2024-07-23,204.77,223.87,195.74,214.88,214.88,31170160
2024-07-24,217.59,217.64,209.05,210.84,210.84,9107000
2024-07-25,210.43,210.44,205.4,205.81,205.81,4945590
2024-07-26,205.81,209.08,204.53,205.85,205.85,6475130
2024-07-29,207.82,209.34,206.04,206.84,206.84,4048370
2024-07-30,207.53,207.94,205.52,206.89,206.89,4609550
2024-07-31,201.93,219.88,201.34,209.38,209.38,28666510
2024-08-01,209.69,217.2,209.66,216.27,216.27,10856220
2024-08-02,211.69,223.24,211.3,216.98,216.98,12138600
2024-08-05,210.8,212.65,204.44,205.09,205.09,8703570
2024-08-06,210.81,210.81,196.22,198.29,198.29,9327340
2024-08-07,201.05,209.58,199.72,208.08,208.08,6839810
2024-08-08,209.27,211.21,206.36,207.89,207.89,4870680
2024-08-09,210.14,211.98,208.84,210.17,210.17,3247470
2024-08-12,210.24,213.44,202.83,203.41,203.41,6941460
2024-08-13,205.49,205.49,201.32,202.33,202.33,5259660
2024-08-14,204.43,204.91,200.86,204.34,204.34,2981780
2024-08-16,206.85,209.81,203.95,208.8,208.8,3854910
2024-08-19,212.17,230.05,210.26,226.3,226.3,41875720
2024-08-20,229.11,264.84,226.99,260.68,260.68,147035060
2024-08-21,257.11,275.97,252.96,260.97,260.97,70878440
2024-08-22,261.64,263.88,251.32,252.94,252.94,17012990
2024-08-23,254.19,255.16,246.48,247.75,247.75,10456120
2024-08-26,250.32,260.98,249.87,256.82,256.82,13583790
2024-08-27,258.95,259.71,250.35,251.48,251.48,5287450
2024-08-28,252.28,256.14,248.5,253.42,253.42,6274600
2024-08-29,255.47,255.47,247.26,248.52,248.52,4621280
2024-08-30,251.22,254.82,246.0,250.0,250.0,5103320
2024-09-02,252.28,253.44,246.48,247.48,247.48,4990890
2024-09-03,248.71,254.09,243.43,245.96,245.96,6881400
2024-09-04,243.58,250.35,242.81,246.7,246.7,5298240
2024-09-05,248.42,248.78,241.65,242.27,242.27,5575480
2024-09-06,245.52,246.35,232.09,233.37,233.37,8052340
2024-09-09,231.98,238.73,223.78,237.38,237.38,7945890
2024-09-10,240.2,242.25,234.72,237.04,237.04,6091550
2024-09-11,236.72,237.09,230.77,231.62,231.62,3262270
2024-09-12,231.98,237.2,229.27,233.16,233.16,4985400
2024-09-13,234.21,238.27,232.76,236.99,236.99,4866430
2024-09-16,239.02,254.96,237.31,249.5,249.5,21329270
2024-09-17,249.38,251.35,244.55,247.24,247.24,6666340
2024-09-18,247.06,260.4,245.14,252.88,252.88,26310220
2024-09-19,256.05,256.54,238.95,244.01,244.01,11857480
2024-09-20,245.91,252.67,244.16,250.43,250.43,9698840
2024-09-23,252.18,255.92,249.51,252.92,252.92,6943210
2024-09-24,253.75,255.67,249.87,251.34,251.34,5052130
2024-09-25,250.83,250.83,244.55,245.42,245.42,5038640
2024-09-26,245.42,245.9,236.36,239.3,239.3,7628780
2024-09-27,240.63,248.22,238.56,244.77,244.77,7023580
2024-09-30,241.05,252.09,240.97,247.61,247.61,11621730
2024-10-01,251.51,266.18,249.38,251.33,251.33,50494360
2024-10-03,244.07,270.1,236.82,265.06,265.06,75595240
2024-10-04,261.7,265.8,253.25,257.28,257.28,27982160
2024-10-07,259.99,259.99,241.27,243.08,243.08,18282230
2024-10-08,244.07,252.77,243.84,251.04,251.04,11150140
2024-10-09,251.04,258.18,249.39,250.74,250.74,7770610
2024-10-10,251.32,254.64,246.58,251.95,251.95,7409790
2024-10-11,252.28,262.79,252.0,261.28,261.28,12851830
2024-10-14,262.81,273.55,258.66,263.21,263.21,34269690
2024-10-15,284.18,314.92,277.03,311.69,311.69,209077500
2024-10-16,305.93,327.97,299.09,312.79,312.79,131953250
2024-10-17,311.24,312.21,297.94,302.34,302.34,48814840
2024-10-18,301.01,311.04,295.88,301.04,301.04,41492410
2024-10-21,303.18,306.13,289.98,291.56,291.56,20392930
2024-10-22,291.76,295.56,276.25,278.18,278.18,21484140
2024-10-23,279.28,294.72,276.45,286.39,286.39,26228760
2024-10-24,288.05,289.3,276.45,277.4,277.4,11663970
2024-10-25,278.86,282.73,266.81,270.53,270.53,14177510
2024-10-28,274.7,284.18,271.64,277.03,277.03,20458860
2024-10-29,277.51,288.35,273.05,287.04,287.04,15432130
2024-10-30,287.04,301.97,286.29,292.74,292.74,22272290
2024-10-31,294.23,296.65,287.67,294.97,294.97,10428310
2024-11-01,297.62,299.65,294.81,296.77,296.77,2762460
2024-11-04,295.49,297.22,276.55,278.97,278.97,14364670
2024-11-05,280.02,283.21,273.84,281.86,281.86,17071570
2024-11-06,283.7,288.51,282.49,284.21,284.21,11031740
2024-11-07,284.95,291.43,278.06,278.99,278.99,13383750
2024-11-08,281.28,287.53,273.74,275.29,275.29,15089880
2024-11-11,274.42,274.56,266.9,268.64,268.64,10016050
2024-11-12,270.46,274.41,262.92,264.83,264.83,8312260
2024-11-13,263.88,265.66,251.8,252.67,252.67,11039020
2024-11-14,255.38,268.94,253.54,260.56,260.56,16798080
2024-11-18,261.56,262.71,253.54,257.99,257.99,8398610
2024-11-19,259.53,266.2,256.15,258.8,258.8,8155850
2024-11-21,257.11,264.95,253.83,262.85,262.85,10303560
2024-11-22,264.91,265.33,257.89,260.46,260.46,7679230
2024-11-25,264.18,278.57,264.18,270.56,270.56,18894960
2024-11-26,269.79,283.99,268.24,281.2,281.2,18340470
2024-11-27,285.63,286.98,278.19,281.38,281.38,14570600
2024-11-28,282.15,286.04,275.96,278.74,278.74,10521710
