date,open,high,low,close,adj_close,volume
2024-07-11,6360.47,6376.13,6304.88,6353.66,6353.66,
2024-07-12,6349.83,6384.39,6284.99,6318.7,6318.7,
2024-07-15,6305.37,6430.88,6305.37,6401.59,6401.59,
2024-07-16,6401.59,6428.19,6367.53,6417.95,6417.95,
2024-07-18,6396.37,6503.47,6394.38,6484.73,6484.73,
2024-07-19,6489.1,6489.1,6329.74,6346.6,6346.6,
2024-07-22,6346.6,6398.36,6334.86,6366.68,6366.68,
2024-07-23,6368.52,6438.53,6289.76,6368.13,6368.13,
2024-07-24,6364.55,6408.25,6314.87,6387.02,6387.02,
2024-07-25,6369.32,6398.51,6336.7,6350.42,6350.42,
2024-07-26,6397.36,6642.94,6358.13,6627.63,6627.63,
2024-07-29,6739.46,6739.46,6579.75,6644.64,6644.64,
2024-07-30,6644.64,6675.96,6547.63,6604.21,6604.21,
2024-07-31,6627.33,6649.71,6547.68,6578.65,6578.65,
2024-08-01,6578.65,6697.69,6570.0,6669.25,6669.25,
2024-08-02,6669.25,6758.2,6643.99,6672.98,6672.98,
2024-08-05,6651.94,6719.07,6563.49,6650.55,6650.55,
2024-08-06,6652.09,6697.69,6594.32,6620.82,6620.82,
2024-08-07,6664.08,6730.51,6625.09,6683.12,6683.12,
2024-08-08,6702.66,6706.99,6463.99,6505.66,6505.66,
2024-08-09,6545.79,6561.45,6493.83,6551.35,6551.35,
2024-08-12,6513.71,6555.38,6385.38,6466.38,6466.38,
2024-08-13,6474.23,6605.2,6474.23,6552.9,6552.9,
2024-08-14,6563.44,6826.97,6424.46,6479.75,6479.75,
2024-08-16,6529.9,6687.87,6529.7,6660.08,6660.08,
2024-08-19,6722.92,6729.8,6538.72,6697.93,6697.93,
2024-08-20,6747.82,6761.37,6623.33,6646.13,6646.13,
2024-08-21,6648.23,6761.27,6600.52,6725.36,6725.36,
2024-08-22,6733.43,6830.49,6723.92,6803.15,6803.15,
2024-08-23,6836.47,6899.61,6803.3,6833.18,6833.18,
2024-08-26,6802.6,6850.41,6582.29,6752.8,6752.8,
2024-08-27,6752.8,6823.27,6706.99,6754.25,6754.25,
2024-08-28,6758.68,6821.03,6719.49,6749.27,6749.27,
2024-08-29,6772.62,6879.64,6733.18,6829.69,6829.69,
2024-08-30,6837.46,6961.96,6823.52,6899.71,6899.71,
2024-09-02,6960.97,6970.93,6837.51,6852.45,6852.45,
2024-09-03,6863.31,6898.02,6807.04,6817.39,6817.39,
2024-09-04,6810.57,6910.17,6762.81,6903.1,6903.1,
2024-09-05,6903.1,7015.75,6872.52,6906.49,6906.49,
2024-09-06,6906.48,6934.52,6830.39,6879.1,6879.1,
2024-09-09,6879.09,6900.21,6793.09,6833.18,6833.18,
2024-09-10,6872.32,6947.87,6833.18,6893.79,6893.79,
2024-09-11,6872.32,6926.06,6845.88,6872.57,6872.57,
2024-09-12,6915.15,7067.98,6887.26,7033.47,7033.47,
2024-09-13,7067.74,7071.47,6979.94,6991.0,6991.0,
2024-09-16,6996.82,7034.62,6982.38,7003.15,7003.15,
2024-09-17,7003.2,7123.76,6971.82,6979.94,6979.94,
2024-09-18,7001.7,7039.65,6932.83,7007.68,7007.68,
2024-09-19,7039.65,7096.07,6983.33,7002.05,7002.05,
2024-09-20,7011.66,7091.44,6989.75,7054.24,7054.24,
2024-09-23,7061.96,7153.19,7061.96,7124.11,7124.11,
2024-09-24,7047.82,7171.12,7047.82,7093.43,7093.43,
2024-09-25,7064.3,7116.29,7045.77,7104.84,7104.84,
2024-09-26,7079.49,7165.09,7065.94,7139.1,7139.1,
2024-09-27,7130.58,7250.7,7081.48,7204.98,7204.98,
2024-09-30,7131.78,7287.6,7131.78,7170.27,7170.27,
2024-10-01,7172.61,7214.89,7106.38,7124.66,7124.66,
2024-10-03,7064.9,7171.12,6828.45,6878.25,6878.25,
2024-10-04,6874.41,6930.39,6700.37,6746.43,6746.43,
2024-10-07,6773.72,6829.99,6716.1,6745.98,6745.98,
2024-10-08,6791.65,6912.16,6721.63,6896.53,6896.53,
2024-10-09,6931.09,7041.64,6908.58,6980.79,6980.79,
2024-10-10,7026.65,7026.75,6856.44,6927.15,6927.15,
2024-10-11,6953.99,6990.8,6902.3,6955.39,6955.39,
2024-10-14,6948.86,7072.91,6933.82,7064.15,7064.15,
2024-10-15,7086.46,7121.67,7011.76,7111.51,7111.51,
2024-10-16,7056.68,7106.58,7027.7,7042.94,7042.94,
2024-10-17,7060.56,7074.11,6932.73,6961.26,6961.26,
2024-10-18,6955.29,7013.4,6922.12,6954.89,6954.89,
