date,open,high,low,close,adj_close,volume
2024-07-11,107.45,108.64,107.07,107.9,107.9,
2024-07-12,108.36,108.41,106.48,106.63,106.63,
2024-07-15,106.98,108.73,106.22,108.5,108.5,
2024-07-16,109.69,109.69,108.2,108.6,108.6,
2024-07-18,109.12,109.51,107.24,108.56,108.56,
2024-07-19,108.56,108.79,106.03,106.48,106.48,
2024-07-22,107.05,110.76,105.8,109.69,109.69,
2024-07-23,109.97,110.97,104.29,109.18,109.18,
2024-07-24,108.41,111.02,108.0,110.54,110.54,
2024-07-25,109.27,111.01,106.91,110.51,110.51,
2024-07-26,111.78,118.34,111.78,117.14,117.14,
2024-07-29,118.39,123.07,118.39,121.88,121.88,
2024-07-30,121.91,121.91,119.61,120.57,120.57,
2024-07-31,120.77,123.14,120.24,122.24,122.24,
2024-08-01,122.88,122.88,117.42,118.96,118.96,
2024-08-02,116.84,120.46,116.23,118.94,118.94,
2024-08-05,114.11,117.82,114.11,116.01,116.01,
2024-08-06,116.18,119.79,115.18,115.61,115.61,
2024-08-07,117.13,118.25,116.11,117.58,117.58,
2024-08-08,117.56,118.63,116.56,117.11,117.11,
2024-08-09,117.91,121.05,117.53,120.34,120.34,
2024-08-12,118.84,120.67,118.68,119.84,119.84,
2024-08-13,120.46,121.36,119.36,119.67,119.67,
2024-08-14,119.58,119.98,116.82,117.18,117.18,
2024-08-16,118.41,122.15,118.15,121.69,121.69,
2024-08-19,122.67,123.69,121.58,122.43,122.43,
2024-08-20,122.72,124.45,122.12,123.62,123.62,
2024-08-21,122.88,124.33,122.74,123.74,123.74,
2024-08-22,123.71,124.76,123.5,124.45,124.45,
2024-08-23,124.55,124.97,123.12,123.81,123.81,
2024-08-26,123.64,124.17,122.93,123.69,123.69,
2024-08-27,123.69,125.83,122.95,124.64,124.64,
2024-08-28,124.81,125.21,123.62,123.83,123.83,
2024-08-29,123.62,124.07,119.74,120.67,120.67,
2024-08-30,121.34,122.95,119.39,121.93,121.93,
2024-09-02,122.72,122.72,119.08,119.51,119.51,
2024-09-03,119.58,120.05,118.84,119.34,119.34,
2024-09-04,117.82,119.86,117.72,119.1,119.1,
2024-09-05,120.24,121.12,119.01,119.41,119.41,
2024-09-06,119.77,119.77,117.15,117.82,117.82,
2024-09-09,117.84,117.84,115.11,115.96,115.96,
2024-09-10,116.32,118.77,116.2,118.03,118.03,
2024-09-11,118.01,118.6,114.18,114.85,114.85,
2024-09-12,116.23,117.87,115.06,117.03,117.03,
2024-09-13,117.91,118.18,116.58,116.8,116.8,
2024-09-16,116.94,118.01,115.68,115.92,115.92,
2024-09-17,115.92,116.32,113.09,114.49,114.49,
2024-09-18,114.3,114.3,111.64,112.18,112.18,
2024-09-19,113.16,113.4,110.81,112.95,112.95,
2024-09-20,113.16,113.9,112.04,113.09,113.09,
2024-09-23,113.4,114.11,111.76,112.42,112.42,
2024-09-24,112.42,113.68,112.38,112.83,112.83,
2024-09-25,112.83,113.73,111.8,113.33,113.33,
2024-09-26,113.33,115.06,112.38,114.68,114.68,
2024-09-27,114.56,115.39,113.28,113.9,113.9,
2024-09-30,113.9,114.59,111.5,111.92,111.92,
2024-10-01,112.16,115.15,111.02,113.22,113.22,
2024-10-03,111.25,112.57,109.04,109.69,109.69,
2024-10-04,110.31,110.31,106.44,107.16,107.16,
2024-10-07,107.16,108.12,104.22,105.75,105.75,
2024-10-08,105.58,106.79,104.64,105.78,105.78,
2024-10-09,104.6,106.52,102.32,105.47,105.47,
2024-10-10,106.36,107.65,104.36,107.31,107.31,
2024-10-11,107.43,108.79,106.5,108.34,108.34,
2024-10-14,108.73,109.67,107.53,108.74,108.74,
2024-10-15,109.12,109.16,106.46,107.6,107.6,
2024-10-16,107.12,107.29,105.92,106.67,106.67,
2024-10-17,106.45,106.98,103.83,104.39,104.39,
2024-10-18,103.89,106.46,103.56,106.16,106.16,
2024-10-21,106.16,106.6,103.28,103.56,103.56,
2024-10-22,103.65,104.48,100.68,101.07,101.07,
2024-10-23,100.8,102.73,100.27,101.8,101.8,
2024-10-24,101.99,103.81,101.82,103.3,103.3,
2024-10-25,104.08,104.25,100.26,101.75,101.75,
2024-10-28,101.56,102.89,100.56,100.75,100.75,
2024-10-29,100.8,101.04,98.03,98.97,98.97,
2024-10-30,98.8,100.87,98.23,99.56,99.56,
2024-10-31,99.58,100.05,98.33,98.98,98.98,
2024-11-01,99.75,99.97,98.9,99.49,99.49,
2024-11-04,100.18,100.18,96.04,99.23,99.23,
2024-11-05,99.22,101.23,98.43,100.72,100.72,
2024-11-06,101.68,102.94,100.72,102.51,102.51,
2024-11-07,103.56,103.56,101.63,102.65,102.65,
2024-11-08,102.65,105.89,100.09,105.5,105.5,
2024-11-11,106.5,109.57,106.0,106.66,106.66,
2024-11-12,107.07,107.45,104.2,105.13,105.13,
2024-11-13,103.65,104.69,101.87,103.37,103.37,
2024-11-14,103.37,104.41,102.14,103.45,103.45,
2024-11-18,103.44,105.19,102.58,104.72,104.72,
2024-11-19,104.36,108.31,103.78,106.2,106.2,
2024-11-21,104.9,105.51,102.86,105.03,105.03,
2024-11-22,105.24,107.91,105.18,107.46,107.46,
2024-11-25,108.44,113.15,108.44,112.71,112.71,
2024-11-26,112.76,113.12,110.84,111.1,111.1,
2024-11-27,111.8,113.1,111.1,112.69,112.69,
2024-11-28,113.26,113.75,110.53,111.12,111.12,
2024-11-29,111.32,111.7,109.98,111.36,111.36,
2024-12-02,110.12,111.05,108.53,110.27,110.27,
2024-12-03,110.69,113.18,110.17,112.84,112.84,
2024-12-04,112.85,113.23,111.38,112.27,112.27,
2024-12-05,112.28,112.57,110.98,111.6,111.6,
2024-12-06,111.65,112.37,110.55,111.4,111.4,
2024-12-09,111.52,112.28,109.45,109.72,109.72,
2024-12-10,109.9,110.72,109.16,109.86,109.86,
2024-12-11,109.88,111.29,109.73,110.92,110.92,
2024-12-12,110.91,111.13,110.04,110.36,110.36,
2024-12-13,111.29,111.79,108.31,111.29,111.29,
2024-12-16,111.32,113.0,109.97,112.68,112.68,
2024-12-17,112.68,113.53,110.17,110.76,110.76,
2024-12-18,110.76,110.76,106.44,106.92,106.92,
2024-12-19,103.64,106.4,103.5,105.19,105.19,
2024-12-20,105.44,105.99,103.83,104.25,104.25,
2024-12-23,104.29,106.88,104.29,105.05,105.05,
2024-12-24,105.14,106.47,104.6,105.5,105.5,
2024-12-26,105.56,106.02,104.61,105.63,105.63,
2024-12-27,105.82,107.36,105.44,105.8,105.8,
2024-12-30,105.8,107.82,104.62,107.18,107.18,
2024-12-31,106.52,106.52,105.24,105.8,105.8,
2025-01-01,105.56,107.47,105.18,106.91,106.91,
2025-01-02,108.29,114.29,107.61,113.28,113.28,
2025-01-03,113.24,113.48,111.49,112.34,112.34,
2025-01-06,112.28,112.34,108.11,108.52,108.52,
2025-01-07,108.59,109.97,107.26,107.73,107.73,
2025-01-08,107.7,107.86,106.09,106.87,106.87,
2025-01-09,106.3,106.96,102.64,102.87,102.87,
2025-01-10,102.87,102.97,99.61,101.04,101.04,
2025-01-13,99.79,100.28,96.87,97.14,97.14,
2025-01-14,97.45,101.43,97.43,100.79,100.79,
