date,open,high,low,close,adj_close,volume
2024-07-11,2961.88,2992.49,2936.2,2984.64,2984.64,
2024-07-12,2987.55,3014.22,2934.12,2962.02,2962.02,
2024-07-15,2961.88,2961.88,2896.25,2919.9,2919.9,
2024-07-16,2922.37,2978.62,2905.09,2937.63,2937.63,
2024-07-18,2839.41,2921.28,2806.82,2895.26,2895.26,
2024-07-19,2888.79,2943.11,2881.14,2909.58,2909.58,
2024-07-22,2900.64,2936.54,2881.04,2897.98,2897.98,
2024-07-23,2897.98,2910.82,2850.28,2861.24,2861.24,
2024-07-24,2865.09,2890.77,2850.47,2876.74,2876.74,
2024-07-25,2856.25,2872.69,2849.53,2865.48,2865.48,
2024-07-26,2866.27,2927.75,2864.79,2913.63,2913.63,
2024-07-29,2916.5,2928.4,2899.66,2918.12,2918.12,
2024-07-30,2936.69,2995.26,2933.24,2967.85,2967.85,
2024-07-31,2967.85,3059.65,2967.85,3046.27,3046.27,
2024-08-01,3049.77,3090.22,3024.89,3060.98,3060.98,
2024-08-02,3032.0,3090.32,3022.12,3068.24,3068.24,
2024-08-05,3031.95,3106.07,3017.48,3055.11,3055.11,
2024-08-06,3063.31,3096.19,3047.85,3063.35,3063.35,
2024-08-07,3063.35,3079.9,3022.17,3063.06,3063.06,
2024-08-08,3041.87,3051.45,2953.38,2968.2,2968.2,
2024-08-09,3001.38,3014.96,2929.29,3002.96,3002.96,
2024-08-12,2982.62,3045.82,2966.52,3015.41,3015.41,
2024-08-13,3017.08,3021.92,2975.7,2986.12,2986.12,
2024-08-14,2997.23,2997.23,2956.99,2988.39,2988.39,
2024-08-16,3016.2,3016.2,2965.83,3010.42,3010.42,
2024-08-19,3016.15,3049.63,3000.74,3038.22,3038.22,
2024-08-20,3057.68,3067.9,3039.9,3064.79,3064.79,
2024-08-21,3062.61,3131.35,3045.87,3112.54,3112.54,
2024-08-22,3127.8,3159.05,3116.98,3147.15,3147.15,
2024-08-23,3150.51,3159.01,3109.77,3115.6,3115.6,
2024-08-26,3115.95,3138.12,3102.61,3132.09,3132.09,
2024-08-27,3114.96,3163.99,3111.01,3127.01,3127.01,
2024-08-28,3113.92,3126.32,3080.19,3086.81,3086.81,
2024-08-29,3086.81,3105.03,3054.42,3077.28,3077.28,
2024-08-30,3091.3,3127.55,3072.19,3088.09,3088.09,
2024-09-02,3109.03,3144.59,3100.74,3111.95,3111.95,
2024-09-03,3125.77,3135.25,3108.54,3115.8,3115.8,
2024-09-04,3116.44,3211.74,3116.44,3191.65,3191.65,
2024-09-05,3199.89,3216.68,3177.18,3198.16,3198.16,
2024-09-06,3197.92,3245.22,3185.42,3233.18,3233.18,
2024-09-09,3233.18,3272.98,3217.67,3240.14,3240.14,
2024-09-10,3249.27,3269.03,3230.41,3254.26,3254.26,
2024-09-11,3273.96,3341.07,3273.96,3325.77,3325.77,
2024-09-12,3328.28,3351.0,3298.95,3341.37,3341.37,
2024-09-13,3314.01,3327.99,3279.79,3316.48,3316.48,
2024-09-16,3318.41,3352.88,3289.37,3294.51,3294.51,
2024-09-17,3294.51,3308.43,3260.93,3271.79,3271.79,
2024-09-18,3271.79,3283.69,3211.3,3234.11,3234.11,
2024-09-19,3253.22,3278.9,3234.46,3253.08,3253.08,
2024-09-20,3263.1,3283.64,3225.62,3266.01,3266.01,
2024-09-23,3275.89,3283.74,3232.68,3236.88,3236.88,
2024-09-24,3236.88,3256.93,3200.98,3208.19,3208.19,
2024-09-25,3211.74,3211.74,3167.05,3204.58,3204.58,
2024-09-26,3209.77,3245.18,3187.15,3236.48,3236.48,
2024-09-27,3250.21,3296.63,3236.48,3269.77,3269.77,
2024-09-30,3269.77,3316.43,3264.24,3287.89,3287.89,
2024-10-01,3275.94,3287.74,3203.89,3236.78,3236.78,
2024-10-03,3152.78,3185.97,3087.8,3110.32,3110.32,
2024-10-04,3096.19,3117.67,3016.74,3034.47,3034.47,
2024-10-07,3036.94,3060.19,3000.39,3024.34,3024.34,
2024-10-08,3020.15,3060.64,3007.95,3049.82,3049.82,
2024-10-09,3057.23,3107.75,3033.73,3040.74,3040.74,
2024-10-10,3051.8,3056.69,3005.33,3021.23,3021.23,
2024-10-11,3021.33,3026.07,2988.54,2999.6,2999.6,
2024-10-14,2999.41,3017.18,2979.85,3001.53,3001.53,
2024-10-15,3036.94,3058.47,3009.92,3029.13,3029.13,
2024-10-16,3049.77,3065.13,3028.15,3043.95,3043.95,
2024-10-17,3044.74,3046.81,2999.41,3018.02,3018.02,
2024-10-18,3019.16,3031.01,2943.7,2955.11,2955.11,
2024-10-21,2969.83,3019.16,2963.41,3011.45,3011.45,
2024-10-22,3016.2,3020.1,2958.17,2969.63,2969.63,
2024-10-23,2962.81,2989.04,2935.26,2952.69,2952.69,
2024-10-24,2952.69,2965.14,2914.47,2935.21,2935.21,
2024-10-25,2938.67,2978.22,2915.46,2921.38,2921.38,
2024-10-28,2950.91,2984.3,2926.37,2964.69,2964.69,
2024-10-29,2982.62,2990.52,2904.69,2955.8,2955.8,
2024-10-30,2968.79,2968.79,2926.87,2959.56,2959.56,
2024-10-31,2957.14,2959.41,2882.87,2899.31,2899.31,
2024-11-01,2921.38,2929.04,2893.73,2903.46,2903.46,
2024-11-04,2925.48,2925.48,2849.78,2879.21,2879.21,
2024-11-05,2859.16,2882.67,2837.14,2851.56,2851.56,
2024-11-06,2854.72,2871.85,2824.6,2861.44,2861.44,
2024-11-07,2864.1,2868.99,2790.03,2807.66,2807.66,
2024-11-08,2807.66,2811.76,2728.2,2735.17,2735.17,
2024-11-11,2533.3,2566.58,2474.98,2511.62,2511.62,
2024-11-12,2503.62,2503.62,2439.42,2444.21,2444.21,
2024-11-13,2439.42,2467.08,2420.76,2439.92,2439.92,
2024-11-14,2452.07,2470.78,2435.67,2452.41,2452.41,
2024-11-18,2488.81,2488.81,2440.21,2452.96,2452.96,
2024-11-19,2461.41,2476.45,2445.93,2457.16,2457.16,
2024-11-21,2428.47,2439.6,2399.09,2402.2,2402.2,
2024-11-22,2404.03,2467.3,2397.06,2445.78,2445.78,
2024-11-25,2478.23,2481.15,2423.87,2433.42,2433.42,
2024-11-26,2433.61,2491.09,2431.34,2478.23,2478.23,
2024-11-27,2490.6,2490.75,2453.5,2465.27,2465.27,
2024-11-28,2473.29,2479.22,2427.08,2431.78,2431.78,
2024-11-29,2431.78,2464.88,2428.82,2453.1,2453.1,
2024-12-02,2453.1,2459.44,2435.05,2452.56,2452.56,
2024-12-03,2467.35,2467.35,2437.18,2443.01,2443.01,
2024-12-04,2452.41,2452.61,2426.99,2433.17,2433.17,
2024-12-05,2438.66,2440.54,2398.0,2426.0,2426.0,
2024-12-06,2441.63,2441.63,2401.07,2403.74,2403.74,
2024-12-09,2412.1,2412.94,2361.49,2366.29,2366.29,
2024-12-10,2374.25,2378.95,2359.56,2363.37,2363.37,
2024-12-11,2374.11,2402.05,2367.08,2391.47,2391.47,
2024-12-12,2387.21,2389.19,2355.26,2364.02,2364.02,
2024-12-13,2364.02,2386.23,2328.85,2381.92,2381.92,
2024-12-16,2394.09,2394.09,2360.65,2376.58,2376.58,
2024-12-17,2362.48,2374.25,2325.38,2330.82,2330.82,
2024-12-18,2331.62,2347.35,2315.98,2320.39,2320.39,
2024-12-19,2300.16,2300.16,2241.14,2267.36,2267.36,
2024-12-20,2272.45,2293.23,2251.68,2257.96,2257.96,
2024-12-23,2275.42,2277.95,2241.84,2254.84,2254.84,
2024-12-24,2257.71,2270.48,2252.82,2259.59,2259.59,
2024-12-26,2259.59,2263.01,2232.39,2238.22,2238.22,
2024-12-27,2245.99,2266.32,2235.9,2247.13,2247.13,
2024-12-30,2255.88,2274.24,2232.68,2263.8,2263.8,
2024-12-31,2255.64,2273.1,2248.71,2256.97,2256.97,
2025-01-01,2255.64,2298.37,2255.64,2280.02,2280.02,
2025-01-02,2289.27,2322.86,2269.49,2318.21,2318.21,
2025-01-03,2318.95,2323.85,2297.34,2310.99,2310.99,
2025-01-06,2310.99,2314.99,2232.59,2242.92,2242.92,
2025-01-07,2247.72,2291.25,2247.72,2268.1,2268.1,
2025-01-08,2262.61,2313.02,2248.41,2309.41,2309.41,
2025-01-09,2316.87,2336.17,2296.5,2325.09,2325.09,
2025-01-10,2310.64,2323.8,2291.25,2295.95,2295.95,
2025-01-13,2267.26,2277.3,2222.4,2228.58,2228.58,
2025-01-14,2244.75,2261.92,2213.1,2216.01,2216.01,
2025-01-15,2224.97,2229.67,2196.28,2205.87,2205.87,
2025-01-16,2215.07,2215.92,2184.21,2191.92,2191.92,
2025-01-17,2201.87,2244.8,2188.86,2236.84,2236.84,
2025-01-20,2247.97,2262.46,2226.95,2256.18,2256.18,
2025-01-21,2256.18,2290.26,2230.9,2236.2,2236.2,
2025-01-22,2245.74,2245.74,2220.91,2237.93,2237.93,
2025-01-23,2237.93,2277.2,2222.2,2252.03,2252.03,
2025-01-24,2258.6,2272.01,2230.95,2238.22,2238.22,
2025-01-27,2231.2,2253.41,2222.2,2227.44,2227.44,
2025-01-28,2235.85,2242.82,2210.23,2217.84,2217.84,
2025-01-29,2217.84,2222.79,2188.41,2199.39,2199.39,
2025-01-30,2199.39,2235.11,2191.33,2225.81,2225.81,
2025-01-31,2230.9,2280.37,2210.97,2276.21,2276.21,
2025-02-01,2287.29,2363.47,2260.88,2326.03,2326.03,
2025-02-03,2326.03,2339.18,2253.36,2267.76,2267.76,
2025-02-04,2280.02,2392.76,2239.56,2329.19,2329.19,
2025-02-05,2244.75,2271.02,2213.34,2250.89,2250.89,
2025-02-06,2262.76,2274.33,2236.1,2239.21,2239.21,
2025-02-07,2241.79,2251.98,2219.23,2246.73,2246.73,
2025-02-10,2246.78,2253.66,2229.91,2245.89,2245.89,
2025-02-11,2254.65,2258.51,2202.21,2216.9,2216.9,
2025-02-12,2217.89,2223.93,2162.34,2204.44,2204.44,
2025-02-13,2204.44,2225.91,2196.28,2212.5,2212.5,
2025-02-14,2212.5,2226.5,2179.46,2207.46,2207.46,
2025-02-17,2207.46,2235.85,2202.26,2226.8,2226.8,
2025-02-18,2223.98,2227.89,2195.04,2213.69,2213.69,
2025-02-19,2213.69,2225.76,2202.31,2215.17,2215.17,
2025-02-20,2215.17,2232.98,2207.21,2225.02,2225.02,
2025-02-21,2225.02,2241.59,2213.1,2233.48,2233.48,
2025-02-24,2221.9,2234.86,2217.05,2222.2,2222.2,
2025-02-25,2222.2,2232.98,2194.0,2200.98,2200.98,
2025-02-27,2190.34,2204.59,2174.51,2190.0,2190.0,
2025-02-28,2186.38,2187.72,2152.55,2156.46,2156.46,
2025-03-03,2156.46,2169.91,2106.25,2143.25,2143.25,
2025-03-04,2131.03,2136.77,2102.05,2109.32,2109.32,
2025-03-05,2109.22,2159.47,2102.05,2141.02,2141.02,
2025-03-06,2166.45,2250.69,2159.77,2243.47,2243.47,
2025-03-07,2243.47,2253.61,2223.98,2245.74,2245.74,
2025-03-10,2245.74,2268.5,2237.68,2254.25,2254.25,
2025-03-11,2249.7,2266.42,2233.77,2262.96,2262.96,
2025-03-12,2262.96,2271.42,2222.99,2227.24,2227.24,
2025-03-13,2231.15,2233.08,2198.75,2207.46,2207.46,
2025-03-17,2181.44,2215.32,2172.58,2195.83,2195.83,
2025-03-18,2195.83,2195.83,2195.83,2195.83,2195.83,
2025-03-19,2249.7,2263.5,2243.62,2256.33,2256.33,
2025-03-20,2265.53,2282.35,2244.51,2262.76,2262.76,
2025-03-21,2267.16,2289.77,2253.51,2275.82,2275.82,
2025-03-24,2277.8,2305.35,2277.5,2297.68,2297.68,
2025-03-25,2300.16,2319.45,2283.34,2305.84,2305.84,
2025-03-26,2314.99,2315.93,2279.38,2298.32,2298.32,
2025-03-27,2290.26,2324.99,2266.02,2313.12,2313.12,
2025-03-28,2318.9,2338.74,2300.16,2315.64,2315.64,
2025-04-01,2316.97,2336.46,2281.11,2291.25,2291.25,
2025-04-02,2303.12,2303.52,2267.66,2282.0,2282.0,
2025-04-03,2270.48,2329.74,2265.33,2324.29,2324.29,
2025-04-04,2324.29,2338.69,2278.19,2330.87,2330.87,
2025-04-07,2166.6,2328.85,2166.6,2316.33,2316.33,
2025-04-08,2330.82,2394.14,2330.82,2368.62,2368.62,
2025-04-09,2374.35,2403.49,2365.35,2385.38,2385.38,
2025-04-11,2413.43,2421.84,2354.81,2368.02,2368.02,
2025-04-15,2389.09,2399.09,2359.51,2389.89,2389.89,
2025-04-16,2379.4,2442.12,2378.01,2433.61,2433.61,
2025-04-17,2433.61,2449.94,2405.02,2441.53,2441.53,
2025-04-21,2439.55,2444.5,2414.92,2418.87,2418.87,
2025-04-22,2418.87,2423.82,2387.71,2406.01,2406.01,
2025-04-23,2410.96,2430.35,2399.68,2426.89,2426.89,
2025-04-24,2423.82,2464.38,2409.87,2438.07,2438.07,
2025-04-25,2437.97,2442.32,2387.91,2405.62,2405.62,
2025-04-28,2394.04,2433.51,2379.3,2426.0,2426.0,
2025-04-29,2433.71,2445.58,2415.51,2424.91,2424.91,
2025-04-30,2423.82,2435.89,2375.84,2399.78,2399.78,
2025-05-02,2399.09,2418.77,2372.38,2384.25,2384.25,
2025-05-05,2397.21,2448.55,2397.21,2410.86,2410.86,
2025-05-06,2415.91,2423.72,2365.55,2392.16,2392.16,
2025-05-07,2362.48,2379.99,2293.72,2309.16,2309.16,
2025-05-08,2297.19,2324.0,2268.99,2277.99,2277.99,
2025-05-09,2222.59,2306.88,2221.01,2275.03,2275.03,
2025-05-12,2305.1,2353.08,2296.2,2331.22,2331.22,
2025-05-13,2328.85,2332.8,2290.36,2299.76,2299.76,
2025-05-14,2294.22,2294.22,2252.77,2257.91,2257.91,
2025-05-15,2260.58,2310.54,2243.76,2305.0,2305.0,
2025-05-16,2308.96,2329.83,2290.26,2328.45,2328.45,
2025-05-19,2328.45,2353.48,2301.74,2306.49,2306.49,
2025-05-20,2322.41,2322.61,2266.91,2271.07,2271.07,
2025-05-21,2271.47,2291.45,2265.53,2287.69,2287.69,
2025-05-22,2284.52,2285.32,2258.7,2274.63,2274.63,
2025-05-23,2277.2,2304.11,2270.48,2290.76,2290.76,
2025-05-26,2291.25,2313.02,2278.19,2302.33,2302.33,
2025-05-27,2288.38,2326.47,2276.51,2302.73,2302.73,
2025-05-28,2302.73,2308.07,2275.72,2278.59,2278.59,
2025-05-29,2278.59,2284.33,2262.07,2269.78,2269.78,
2025-05-30,2271.96,2279.38,2230.9,2234.96,2234.96,
2025-06-02,2234.96,2248.02,2233.77,2242.48,2242.48,
2025-06-03,2248.32,2262.86,2222.69,2231.6,2231.6,
2025-06-04,2225.46,2236.84,2216.95,2224.97,2224.97,
2025-06-05,2227.05,2236.84,2209.14,2219.53,2219.53,
2025-06-06,2225.07,2228.53,2215.07,2221.21,2221.21,
2025-06-09,2216.06,2231.69,2212.11,2223.88,2223.88,
2025-06-10,2236.51,2236.51,2211.75,2215.44,2215.44,
2025-06-11,2205.56,2222.43,2203.76,2205.36,2205.36,
2025-06-12,2220.53,2259.47,2204.66,2215.94,2215.94,
2025-06-13,2171.61,2213.65,2171.41,2210.75,2210.75,
2025-06-16,2210.75,2246.49,2205.86,2241.3,2241.3,
2025-06-17,2227.52,2277.45,2223.53,2261.27,2261.27,
2025-06-18,2253.48,2280.44,2251.49,2277.84,2277.84,
2025-06-19,2266.46,2281.44,2260.47,2264.47,2264.47,
2025-06-20,2263.47,2286.33,2259.47,2282.14,2282.14,
2025-06-23,2257.68,2269.26,2250.39,2260.57,2260.57,
2025-06-24,2301.41,2306.1,2265.36,2271.75,2271.75,
2025-06-25,2272.55,2290.72,2271.85,2276.35,2276.35,
2025-06-26,2283.44,2289.03,2276.65,2286.23,2286.23,
2025-06-27,2279.44,2360.82,2273.55,2355.02,2355.02,
