date,open,high,low,close,adj_close,volume
2024-07-11,2336.96,2342.93,2301.53,2327.31,2327.31,248612
2024-07-12,2327.31,2335.27,2274.11,2291.38,2291.38,214191
2024-07-15,2289.04,2289.04,2231.82,2251.82,2251.82,526725
2024-07-16,2253.11,2274.11,2238.34,2256.05,2256.05,210636
2024-07-18,2266.1,2266.1,2221.42,2238.98,2238.98,194539
2024-07-19,2244.9,2304.87,2208.93,2261.28,2261.28,821041
2024-07-22,2260.18,2303.87,2215.94,2249.43,2249.43,875601
2024-07-23,2263.17,2263.17,2167.67,2225.89,2225.89,413108
2024-07-24,2225.35,2225.35,2184.09,2189.07,2189.07,234746
2024-07-25,2165.63,2186.53,2153.69,2163.89,2163.89,281751
2024-07-26,2173.59,2226.89,2173.59,2204.99,2204.99,260079
2024-07-29,2222.26,2229.38,2177.58,2192.26,2192.26,534045
2024-07-30,2198.48,2203.45,2178.57,2183.55,2183.55,382126
2024-07-31,2199.47,2199.47,2169.56,2178.32,2178.32,502783
2024-08-01,2194.49,2198.48,2147.62,2158.47,2158.47,330769
2024-08-02,2139.76,2160.11,2115.92,2120.3,2120.3,210897
2024-08-05,2090.24,2111.69,2053.32,2095.47,2095.47,471373
2024-08-06,2099.95,2138.26,2070.84,2080.79,2080.79,380127
2024-08-07,2101.34,2126.32,2088.0,2114.88,2114.88,227045
2024-08-08,2114.88,2121.39,2065.11,2072.28,2072.28,183709
2024-08-09,2065.21,2087.76,2005.4,2021.67,2021.67,632306
2024-08-12,2020.33,2020.33,1906.42,1928.67,1928.67,1768080
2024-08-13,1931.75,1949.67,1894.43,1901.25,1901.25,601770
2024-08-14,1917.82,1917.82,1850.14,1854.07,1854.07,810952
2024-08-16,1871.31,1904.34,1855.02,1882.77,1882.77,816779
2024-08-19,1897.42,1902.85,1864.34,1876.05,1876.05,1593840
2024-08-20,1876.1,1903.75,1876.1,1890.0,1890.0,816174
2024-08-21,1892.19,1902.05,1873.21,1883.52,1883.52,673857
2024-08-22,1901.26,1954.02,1888.3,1948.99,1948.99,1036936
2024-08-23,1962.99,1964.98,1924.77,1939.42,1939.42,903580
2024-08-26,1960.99,1985.9,1949.08,1966.92,1966.92,783184
2024-08-27,1972.9,1972.9,1943.06,1946.2,1946.2,280917
2024-08-28,1948.04,1974.69,1939.12,1951.13,1951.13,708790
2024-08-29,1951.48,1954.96,1905.54,1923.92,1923.92,281376
2024-08-30,1938.07,1938.07,1907.18,1912.52,1912.52,441021
2024-09-02,1927.76,1930.8,1903.2,1909.68,1909.68,420363
2024-09-03,1913.56,1936.78,1909.73,1919.19,1919.19,330865
2024-09-04,1903.95,1936.58,1903.95,1928.91,1928.91,256231
2024-09-05,1940.07,1940.07,1910.02,1926.22,1926.22,368394
2024-09-06,1928.06,1932.99,1889.25,1892.74,1892.74,312986
2024-09-09,1903.2,1916.45,1870.81,1909.73,1909.73,484580
2024-09-10,1919.09,1945.05,1910.17,1935.13,1935.13,352805
2024-09-11,1945.05,1953.02,1907.48,1916.25,1916.25,335566
2024-09-12,1923.13,1941.46,1919.79,1932.79,1932.79,510533
2024-09-13,1933.04,1949.08,1923.13,1927.56,1927.56,286166
2024-09-16,1927.56,1936.58,1890.79,1897.37,1897.37,505775
2024-09-17,1903.2,1909.63,1893.73,1902.3,1902.3,196810
2024-09-18,1902.3,1913.11,1868.32,1889.65,1889.65,273488
2024-09-19,1893.13,1913.11,1873.31,1901.6,1901.6,308606
2024-09-20,1916.15,1935.08,1896.22,1921.04,1921.04,518567
2024-09-23,1940.07,1974.69,1932.44,1965.38,1965.38,1140689
2024-09-24,1979.43,2008.77,1966.92,2001.8,2001.8,1238922
2024-09-25,2024.76,2030.69,1992.93,2017.74,2017.74,661747
2024-09-26,2022.57,2022.67,1992.88,2001.4,2001.4,317884
2024-09-27,1979.08,2019.28,1979.08,1997.71,1997.71,368524
2024-09-30,2002.84,2006.33,1965.73,1982.47,1982.47,827247
2024-10-01,1982.91,1994.57,1951.53,1967.47,1967.47,558479
2024-10-03,1938.07,1964.98,1900.76,1912.12,1912.12,492776
2024-10-04,1914.16,1918.15,1871.36,1886.41,1886.41,544086
2024-10-07,1891.09,1900.76,1842.52,1880.78,1880.78,603553
2024-10-08,1878.29,1899.16,1873.8,1892.34,1892.34,313473
2024-10-09,1892.34,1915.6,1888.25,1894.98,1894.98,340800
2024-10-10,1898.22,1908.18,1884.22,1892.69,1892.69,269728
2024-10-11,1892.19,1897.22,1875.3,1890.69,1890.69,316306
2024-10-14,1888.25,1907.18,1877.59,1898.62,1898.62,551594
2024-10-15,1900.11,1910.72,1886.41,1897.72,1897.72,289324
2024-10-16,1897.72,1900.31,1875.35,1887.85,1887.85,183555
2024-10-17,1877.29,1883.87,1841.62,1856.12,1856.12,528719
2024-10-18,1859.9,1872.31,1836.79,1865.04,1865.04,313813
2024-10-21,1868.17,1891.24,1828.32,1843.46,1843.46,639520
