date,open,high,low,close,adj_close,volume
2024-07-11,624.24,634.16,623.0,631.62,631.62,
2024-07-12,633.22,648.1,632.27,643.01,643.01,
2024-07-15,644.21,647.35,637.46,640.06,640.06,
2024-07-16,643.21,644.9,632.42,633.67,633.67,
2024-07-18,634.22,637.71,629.22,632.27,632.27,
2024-07-19,629.72,634.57,624.38,632.87,632.87,
2024-07-22,627.23,659.59,624.23,654.59,654.59,
2024-07-23,656.19,658.09,642.66,655.44,655.44,
2024-07-24,655.44,662.48,646.45,658.74,658.74,
2024-07-25,656.49,660.93,624.78,630.87,630.87,
2024-07-26,620.24,651.55,619.79,649.6,649.6,
2024-07-29,654.19,657.29,643.56,649.25,649.25,
2024-07-30,651.2,660.69,648.35,650.65,650.65,
2024-07-31,652.65,652.65,636.56,645.25,645.25,
2024-08-01,645.95,659.04,641.16,643.96,643.96,
2024-08-02,637.21,650.15,634.72,636.81,636.81,
2024-08-05,629.12,637.11,621.53,631.22,631.22,
2024-08-06,634.52,644.11,632.22,635.12,635.12,
2024-08-07,639.71,643.11,625.53,630.07,630.07,
2024-08-08,628.23,634.52,623.78,625.33,625.33,
2024-08-09,634.22,635.22,622.48,625.18,625.18,
2024-08-12,619.34,620.63,604.4,609.0,609.0,
2024-08-13,609.0,614.69,606.15,611.2,611.2,
2024-08-14,611.25,615.09,599.51,602.31,602.31,
2024-08-16,606.25,613.24,605.05,612.44,612.44,
2024-08-19,613.34,621.78,609.25,614.49,614.49,
2024-08-20,620.63,625.28,617.89,620.38,620.38,
2024-08-21,617.24,626.73,614.94,624.43,624.43,
2024-08-22,631.22,636.56,628.52,632.62,632.62,
2024-08-23,629.47,635.22,622.13,625.03,625.03,
2024-08-26,630.97,638.26,628.23,632.67,632.67,
2024-08-27,638.46,638.46,631.32,634.32,634.32,
2024-08-28,632.37,635.97,625.08,631.77,631.77,
2024-08-29,630.22,648.6,629.42,639.56,639.56,
2024-08-30,640.71,696.14,640.71,687.85,687.85,
2024-09-02,684.11,692.95,678.36,679.96,679.96,
2024-09-03,678.16,687.0,671.17,673.42,673.42,
2024-09-04,679.16,691.75,670.27,686.9,686.9,
2024-09-05,701.14,721.96,693.39,702.03,702.03,
2024-09-06,701.14,711.87,699.14,702.13,702.13,
2024-09-09,704.13,715.87,695.99,713.32,713.32,
2024-09-10,720.06,723.61,712.12,717.32,717.32,
2024-09-11,717.32,726.05,712.27,721.36,721.36,
2024-09-12,726.95,726.95,716.92,719.61,719.61,
2024-09-13,722.11,727.75,716.37,722.01,722.01,
2024-09-16,724.61,726.15,709.67,718.06,718.06,
2024-09-17,716.92,722.51,713.57,718.56,718.56,
2024-09-18,719.11,726.75,714.32,723.36,723.36,
2024-09-19,729.1,754.47,724.11,751.57,751.57,
2024-09-20,751.57,753.97,728.25,730.4,730.4,
2024-09-23,731.1,737.39,722.96,734.84,734.84,
2024-09-24,735.09,739.49,729.4,735.29,735.29,
2024-09-25,735.29,740.99,726.75,730.5,730.5,
2024-09-26,731.3,737.09,728.6,735.04,735.04,
2024-09-27,730.2,734.29,725.61,730.2,730.2,
2024-09-30,719.11,742.98,719.11,739.29,739.29,
2024-10-01,739.14,747.23,729.35,731.8,731.8,
2024-10-03,722.16,734.74,722.16,730.8,730.8,
2024-10-04,726.1,743.73,716.02,718.06,718.06,
