date,open,high,low,close,adj_close,volume
2024-07-11,1329.01,1333.15,1310.18,1312.97,1312.97,487859
2024-07-12,1312.97,1325.03,1306.1,1321.89,1321.89,479843
2024-07-15,1354.91,1404.63,1337.18,1369.71,1369.71,6364673
2024-07-16,1374.84,1382.86,1362.19,1365.92,1365.92,1174233
2024-07-18,1365.92,1372.65,1315.16,1331.4,1331.4,1844711
2024-07-19,1336.33,1348.64,1318.7,1325.82,1325.82,696142
2024-07-22,1327.02,1358.6,1309.53,1339.52,1339.52,1403561
2024-07-23,1339.52,1358.7,1313.07,1352.67,1352.67,650569
2024-07-24,1352.67,1361.59,1343.16,1348.64,1348.64,504760
2024-07-25,1344.4,1361.29,1335.24,1357.7,1357.7,530041
2024-07-26,1360.69,1383.81,1355.86,1381.02,1381.02,862019
2024-07-29,1384.8,1411.7,1382.41,1399.75,1399.75,2165307
2024-07-30,1393.77,1417.73,1388.39,1394.22,1394.22,709701
2024-07-31,1394.27,1435.31,1394.22,1428.79,1428.79,1265697
2024-08-01,1428.74,1435.61,1418.77,1427.49,1427.49,542547
2024-08-02,1416.78,1445.37,1413.74,1437.9,1437.9,1187900
2024-08-05,1423.01,1436.61,1403.13,1415.93,1415.93,1856025
2024-08-06,1416.58,1434.07,1389.78,1396.36,1396.36,846788
2024-08-07,1411.3,1466.59,1408.96,1459.67,1459.67,2819701
2024-08-08,1464.5,1482.39,1442.58,1473.77,1473.77,1977114
2024-08-09,1474.86,1482.73,1425.7,1444.28,1444.28,1983341
2024-08-12,1454.54,1484.43,1435.21,1456.33,1456.33,2459665
2024-08-13,1470.48,1527.47,1456.33,1500.17,1500.17,3867134
2024-08-14,1501.26,1519.3,1468.54,1514.02,1514.02,1961578
2024-08-16,1519.3,1521.29,1416.13,1497.13,1497.13,4458082
2024-08-19,1496.48,1530.9,1484.73,1513.52,1513.52,1472094
2024-08-20,1514.32,1537.48,1509.33,1531.55,1531.55,1113655
2024-08-21,1531.55,1534.19,1484.53,1505.85,1505.85,1789751
2024-08-22,1513.32,1533.89,1498.38,1528.11,1528.11,1063659
2024-08-23,1523.33,1541.21,1519.84,1532.45,1532.45,852282
2024-08-26,1532.25,1549.33,1525.37,1542.06,1542.06,738245
2024-08-27,1537.83,1550.33,1532.15,1546.15,1546.15,434249
2024-08-28,1546.15,1572.45,1539.17,1558.35,1558.35,999085
2024-08-29,1549.73,1569.01,1549.28,1557.3,1557.3,573393
2024-08-30,1554.17,1574.69,1545.2,1563.53,1563.53,1757837
2024-09-02,1574.89,1578.52,1543.31,1548.14,1548.14,728911
2024-09-03,1547.19,1563.93,1540.62,1543.61,1543.61,1033542
2024-09-04,1522.29,1550.68,1522.29,1544.35,1544.35,1069656
2024-09-05,1536.38,1553.17,1523.78,1527.82,1527.82,1023539
2024-09-06,1528.06,1540.97,1510.58,1531.65,1531.65,1043914
2024-09-09,1531.6,1534.24,1507.09,1512.82,1512.82,841713
2024-09-10,1522.29,1528.96,1509.53,1512.72,1512.72,877176
2024-09-11,1527.86,1540.42,1496.78,1501.76,1501.76,979903
2024-09-12,1515.81,1572.1,1515.81,1555.61,1555.61,4067763
2024-09-13,1559.15,1586.05,1549.18,1561.39,1561.39,1185312
2024-09-16,1568.96,1578.03,1545.5,1558.15,1558.15,1277762
2024-09-17,1558.15,1562.44,1543.26,1546.64,1546.64,584857
