date,open,high,low,close,adj_close,volume
2024-07-11,1298.94,1299.29,1274.88,1294.64,1294.64,7848846
2024-07-12,1292.8,1338.51,1292.8,1316.18,1316.18,11278987
2024-07-15,1315.58,1323.27,1303.89,1306.33,1306.33,11537127
2024-07-16,1306.33,1317.32,1298.59,1302.89,1302.89,5433264
2024-07-18,1298.89,1317.47,1293.39,1308.28,1308.28,6787511
2024-07-19,1304.54,1307.88,1287.1,1291.25,1291.25,4496066
2024-07-22,1282.25,1291.25,1277.11,1281.4,1281.4,6695557
2024-07-23,1287.4,1290.0,1249.93,1262.17,1262.17,8789327
2024-07-24,1261.82,1266.27,1225.6,1238.19,1238.19,10344860
2024-07-25,1198.98,1198.98,1154.51,1174.9,1174.9,32979871
2024-07-26,1164.01,1182.14,1154.26,1176.34,1176.34,18554648
2024-07-29,1181.34,1193.58,1162.66,1169.05,1169.05,19598573
2024-07-30,1163.11,1178.99,1159.21,1169.0,1169.0,18090045
2024-07-31,1156.01,1170.0,1153.01,1165.1,1165.1,17347076
2024-08-01,1167.0,1174.65,1164.45,1171.3,1171.3,11190500
2024-08-02,1163.01,1166.8,1155.11,1159.86,1159.86,10581445
2024-08-05,1141.02,1150.47,1123.34,1132.53,1132.53,12013362
2024-08-06,1139.03,1150.02,1122.14,1125.14,1125.14,8571122
2024-08-07,1137.83,1143.82,1126.04,1135.83,1135.83,8370312
2024-08-08,1132.13,1141.82,1125.04,1137.18,1137.18,7903428
2024-08-09,1151.02,1154.71,1138.98,1141.77,1141.77,6262086
2024-08-12,1145.02,1168.1,1134.88,1163.31,1163.31,9078384
2024-08-13,1160.36,1178.59,1154.41,1158.61,1158.61,6180463
2024-08-14,1158.01,1158.01,1147.67,1152.12,1152.12,5021841
2024-08-16,1165.4,1169.0,1148.62,1165.85,1165.85,6107134
2024-08-19,1168.0,1170.3,1149.22,1152.27,1152.27,6691823
2024-08-20,1157.01,1176.0,1153.66,1167.0,1167.0,6721749
2024-08-21,1165.6,1176.99,1160.51,1173.4,1173.4,9480630
2024-08-22,1178.69,1179.99,1167.95,1168.95,1168.95,5841326
2024-08-23,1169.0,1172.95,1162.51,1164.95,1164.95,5121962
2024-08-26,1170.7,1174.25,1165.1,1169.3,1169.3,3392612
2024-08-27,1169.0,1183.84,1163.26,1180.24,1180.24,8702113
2024-08-28,1175.99,1180.69,1168.35,1169.95,1169.95,5483503
2024-08-29,1168.0,1178.89,1162.41,1174.4,1174.4,7290114
2024-08-30,1175.99,1181.94,1170.85,1174.25,1174.25,10190506
2024-09-02,1175.0,1192.98,1173.1,1187.78,1187.78,6432362
2024-09-03,1186.99,1192.53,1175.7,1190.58,1190.58,7920246
