date,open,high,low,close,adj_close,volume
2024-07-11,9177.43,9203.44,9024.08,9104.67,9104.67,
2024-07-12,9136.55,9188.87,9051.97,9070.0,9070.0,
2024-07-15,9070.0,9365.98,9044.23,9303.32,9303.32,
2024-07-16,9343.38,9530.87,9265.14,9346.6,9346.6,
2024-07-18,9372.23,9372.23,8936.08,9257.97,9257.97,
2024-07-19,9266.44,9304.91,8982.72,9027.01,9027.01,
2024-07-22,8992.34,9074.09,8908.86,9049.76,9049.76,
2024-07-23,9074.09,9144.3,8410.1,9023.6,9023.6,
2024-07-24,9001.96,9014.17,8896.16,8905.97,8905.97,
2024-07-25,8905.78,8953.82,8820.19,8923.33,8923.33,
2024-07-26,8962.53,9141.41,8913.91,9129.77,9129.77,
2024-07-29,9183.92,9253.02,9145.26,9192.05,9192.05,
2024-07-30,9185.31,9284.71,9148.14,9198.49,9198.49,
2024-07-31,9232.78,9309.72,9213.59,9294.52,9294.52,
2024-08-01,9467.44,9467.44,9292.4,9358.28,9358.28,
2024-08-02,9343.19,9357.8,9215.23,9248.36,9248.36,
2024-08-05,9036.77,9155.84,9010.9,9122.22,9122.22,
2024-08-06,9151.27,9252.01,9040.43,9066.78,9066.78,
2024-08-07,9203.92,9352.99,9134.2,9336.84,9336.84,
2024-08-08,9362.61,9403.68,9242.54,9272.5,9272.5,
2024-08-09,9387.62,9401.08,9246.24,9392.38,9392.38,
2024-08-12,9368.38,9377.95,9247.2,9339.39,9339.39,
2024-08-13,9328.95,9415.36,9280.86,9301.64,9301.64,
2024-08-14,9332.8,9410.7,9301.64,9376.65,9376.65,
2024-08-16,9413.58,9545.34,9323.13,9509.9,9509.9,
2024-08-19,9547.22,9563.62,9385.98,9396.9,9396.9,
2024-08-20,9398.39,9498.84,9381.9,9405.6,9405.6,
2024-08-21,9405.02,9491.49,9362.61,9475.14,9475.14,
2024-08-22,9521.3,9628.05,9464.65,9534.96,9534.96,
2024-08-23,9588.62,10044.83,9550.15,10008.38,10008.38,
2024-08-26,9978.23,10114.84,9944.13,10033.48,10033.48,
2024-08-27,10003.14,10164.18,9954.09,10099.89,10099.89,
2024-08-28,10098.35,10305.12,10061.13,10249.1,10249.1,
2024-08-29,10177.26,10434.96,10151.63,10394.42,10394.42,
2024-08-30,10420.54,10503.58,10295.51,10474.92,10474.92,
2024-09-02,10508.05,10727.43,10494.73,10700.5,10700.5,
2024-09-03,10681.12,10693.38,10593.65,10621.2,10621.2,
2024-09-04,10590.76,10607.93,10491.61,10544.31,10544.31,
2024-09-05,10544.6,10594.47,10411.45,10440.49,10440.49,
2024-09-06,10440.49,10496.46,10383.27,10415.82,10415.82,
2024-09-09,10415.82,10485.36,10367.64,10432.65,10432.65,
2024-09-10,10380.53,10613.56,10367.69,10567.44,10567.44,
2024-09-11,10644.38,11061.35,10566.33,10983.88,10983.88,
2024-09-12,11041.58,11328.67,11005.61,11275.05,11275.05,
2024-09-13,11275.05,11438.98,11241.29,11288.18,11288.18,
2024-09-16,11285.15,11302.26,11194.79,11241.24,11241.24,
2024-09-17,11233.21,11514.86,11197.72,11493.17,11493.17,
2024-09-18,11387.57,11592.91,11290.92,11314.62,11314.62,
2024-09-19,11359.39,11579.68,11359.39,11414.02,11414.02,
2024-09-20,11468.84,11555.4,11414.26,11484.9,11484.9,
2024-09-23,11540.97,11906.43,11540.97,11866.95,11866.95,
2024-09-24,11762.7,12000.21,11762.7,11967.65,11967.65,
2024-09-25,11916.05,11955.2,11839.11,11923.02,11923.02,
2024-09-26,11983.37,12191.59,11917.06,12138.84,12138.84,
2024-09-27,12138.84,12285.36,12071.47,12181.88,12181.88,
2024-09-30,12073.39,12167.21,11811.85,11873.69,11873.69,
2024-10-01,11939.38,12021.84,11648.78,11692.4,11692.4,
2024-10-03,11283.22,11559.1,11252.45,11354.82,11354.82,
2024-10-04,11215.13,11491.25,11193.78,11324.0,11324.0,
2024-10-07,11324.0,11364.97,11084.14,11172.67,11172.67,
2024-10-08,11141.84,11480.23,11119.92,11434.31,11434.31,
2024-10-09,11487.11,11530.2,11350.54,11366.03,11366.03,
2024-10-10,11369.3,11570.74,11351.6,11379.4,11379.4,
2024-10-11,11435.18,11474.27,11257.83,11422.63,11422.63,
2024-10-14,11472.49,11531.45,11407.86,11444.12,11444.12,
2024-10-15,11492.88,11492.88,11028.36,11080.77,11080.77,
2024-10-16,11096.55,11233.21,10945.79,11172.57,11172.57,
2024-10-17,10792.92,10855.58,9685.76,9732.36,9732.36,
2024-10-18,9665.13,9760.87,9464.65,9678.98,9678.98,
2024-10-21,9678.07,10415.58,9503.41,10098.83,10098.83,
2024-10-22,10098.83,10208.9,9925.24,9971.74,9971.74,
2024-10-23,9971.4,10324.46,9946.83,10181.78,10181.78,
2024-10-24,10102.2,10188.22,9819.44,9908.4,9908.4,
2024-10-25,9906.0,9971.59,9545.34,9815.69,9815.69,
2024-10-28,9815.69,9899.03,9603.05,9628.3,9628.3,
2024-10-29,9688.6,9688.6,9271.25,9474.03,9474.03,
2024-10-30,9444.36,9673.02,9396.27,9560.4,9560.4,
2024-10-31,9559.77,9647.19,9429.93,9460.04,9460.04,
2024-11-01,9526.11,9569.39,9462.44,9498.17,9498.17,
2024-11-04,9517.93,9517.93,9006.77,9161.17,9161.17,
2024-11-05,9165.45,9624.5,9136.79,9497.11,9497.11,
2024-11-06,9505.34,9669.41,9472.06,9637.19,9637.19,
2024-11-07,9685.37,9694.22,9415.46,9479.61,9479.61,
2024-11-08,9479.61,9608.87,9403.25,9531.3,9531.3,
2024-11-11,9473.26,9649.12,9425.13,9539.91,9539.91,
2024-11-12,9521.3,9616.51,9292.4,9308.47,9308.47,
2024-11-13,9308.47,9338.57,9055.91,9090.58,9090.58,
2024-11-14,9050.04,9152.9,9040.43,9120.2,9120.2,
2024-11-18,9097.22,9235.66,9074.9,9152.47,9152.47,
2024-11-19,9194.31,9327.6,9137.03,9180.55,9180.55,
2024-11-21,9111.12,9188.54,9054.23,9141.41,9141.41,
2024-11-22,9179.88,9235.57,9082.84,9118.95,9118.95,
2024-11-25,9194.31,9267.74,9032.73,9060.58,9060.58,
2024-11-26,9102.94,9121.21,8771.23,8787.92,8787.92,
2024-11-27,8824.03,8902.85,8754.79,8838.8,8838.8,
2024-11-28,8814.51,8917.71,8648.27,8668.71,8668.71,
2024-11-29,8712.57,8743.15,8649.0,8688.09,8688.09,
2024-12-02,8731.51,8824.03,8710.5,8781.09,8781.09,
2024-12-03,8756.71,8872.17,8756.71,8811.34,8811.34,
2024-12-04,8811.34,8886.55,8608.6,8654.91,8654.91,
2024-12-05,8698.19,8698.19,8411.93,8551.81,8551.81,
2024-12-06,8611.39,8798.98,8588.5,8751.81,8751.81,
2024-12-09,8748.06,8820.19,8681.12,8730.22,8730.22,
2024-12-10,8727.95,8747.0,8636.49,8668.52,8668.52,
2024-12-11,8699.05,8759.98,8668.86,8722.91,8722.91,
2024-12-12,8747.09,8747.09,8601.87,8620.38,8620.38,
2024-12-13,8621.25,8704.78,8563.16,8676.31,8676.31,
2024-12-16,8717.28,8731.47,8626.88,8654.14,8654.14,
2024-12-17,8645.92,8646.11,8512.81,8554.75,8554.75,
2024-12-18,8487.42,8661.74,8463.38,8614.13,8614.13,
2024-12-19,8485.5,8658.61,8427.36,8639.04,8639.04,
2024-12-20,8607.64,8719.92,8424.33,8451.12,8451.12,
2024-12-23,8511.42,8535.46,8386.34,8433.04,8433.04,
2024-12-24,8410.48,8515.31,8397.02,8442.27,8442.27,
2024-12-26,8473.0,8558.25,8461.07,8538.88,8538.88,
2024-12-27,8555.95,8828.02,8555.95,8586.77,8586.77,
2024-12-30,8586.48,8619.61,8403.32,8444.05,8444.05,
2024-12-31,8434.53,8501.61,8405.82,8462.03,8462.03,
2025-01-01,8419.19,8431.64,8223.9,8406.2,8406.2,
2025-01-02,8406.16,8758.92,8345.61,8732.19,8732.19,
2025-01-03,8751.9,8761.47,8602.83,8622.74,8622.74,
2025-01-06,8660.49,8746.04,8458.57,8486.32,8486.32,
2025-01-07,8530.7,8547.96,8400.96,8473.28,8473.28,
2025-01-08,8440.3,8493.14,8282.57,8311.66,8311.66,
2025-01-09,8386.39,8557.63,8359.61,8497.86,8497.86,
2025-01-10,8494.59,8516.27,8311.52,8428.75,8428.75,
2025-01-13,8371.53,8415.19,8223.9,8267.42,8267.42,
2025-01-14,8290.26,8365.28,8198.9,8281.8,8281.8,
2025-01-15,8294.02,8462.42,8233.81,8249.87,8249.87,
2025-01-16,8291.22,8309.4,8222.65,8253.67,8253.67,
2025-01-17,8238.18,8335.08,8204.96,8253.14,8253.14,
2025-01-20,8271.03,8280.26,8138.98,8217.56,8217.56,
2025-01-21,8254.15,8279.49,8090.32,8144.61,8144.61,
2025-01-22,8156.39,8208.47,8073.87,8137.2,8137.2,
2025-01-23,8116.33,8176.97,8055.26,8078.63,8078.63,
2025-01-24,8092.53,8165.19,8040.21,8080.12,8080.12,
2025-01-27,8057.57,8096.9,7973.22,8063.87,8063.87,
2025-01-28,8104.12,8164.28,8041.51,8077.14,8077.14,
2025-01-29,8098.06,8470.11,8098.06,8295.89,8295.89,
2025-01-30,8328.69,8486.75,8273.43,8413.17,8413.17,
2025-01-31,8463.38,8617.16,8409.57,8509.35,8509.35,
2025-02-01,8547.92,8826.92,8469.44,8805.38,8805.38,
2025-02-03,8799.99,8799.99,8546.62,8585.09,8585.09,
2025-02-04,8607.64,8713.1,8538.01,8570.52,8570.52,
2025-02-05,8588.41,8624.95,8554.74,8586.29,8586.29,
2025-02-06,8580.71,8618.85,8473.96,8507.96,8507.96,
2025-02-07,8550.46,8680.73,8512.47,8645.53,8645.53,
2025-02-10,8645.53,8722.86,8507.47,8540.85,8540.85,
2025-02-11,8492.23,8537.87,8398.51,8426.83,8426.83,
2025-02-12,8397.98,8482.04,8316.23,8378.36,8378.36,
2025-02-13,8381.68,8441.31,8320.51,8358.88,8358.88,
2025-02-14,8367.2,8389.04,8097.82,8181.11,8181.11,
2025-02-17,8169.08,8224.91,8061.99,8210.58,8210.58,
2025-02-18,8184.57,8222.94,8069.5,8123.5,8123.5,
2025-02-19,8117.2,8201.49,8083.54,8155.14,8155.14,
2025-02-20,8136.34,8309.5,8136.29,8300.07,8300.07,
2025-02-21,8222.94,8284.49,8126.77,8180.67,8180.67,
2025-02-24,8127.25,8163.75,8022.51,8123.83,8123.83,
2025-02-25,8126.77,8144.17,8045.07,8095.9,8095.9,
2025-02-27,8040.31,8092.1,7870.36,7917.44,7917.44,
2025-02-28,7919.75,7919.75,7584.63,7600.59,7600.59,
2025-03-03,7631.42,7692.34,7385.84,7419.69,7419.69,
2025-03-04,7359.39,7386.22,7037.15,7052.78,7052.78,
2025-03-05,7051.73,7158.58,7021.72,7136.46,7136.46,
2025-03-06,7194.83,7213.11,7094.76,7176.8,7176.8,
2025-03-07,7176.8,7332.36,7166.08,7285.0,7285.0,
2025-03-10,7283.31,7283.31,7070.77,7100.97,7100.97,
2025-03-11,7074.13,7228.45,7047.69,7213.06,7213.06,
2025-03-12,7213.06,7279.47,7145.64,7227.58,7227.58,
2025-03-13,7256.63,7256.63,7131.36,7217.63,7217.63,
2025-03-17,7213.11,7319.86,7148.67,7199.69,7199.69,
2025-03-18,7199.69,7199.69,7199.69,7199.69,7199.69,
2025-03-19,7380.45,7470.52,7327.79,7426.47,7426.47,
2025-03-20,7439.07,7647.77,7426.61,7617.04,7617.04,
2025-03-21,7664.17,7839.2,7634.35,7759.23,7759.23,
2025-03-24,7807.27,7899.75,7761.3,7814.73,7814.73,
2025-03-25,7847.86,7855.51,7647.82,7699.75,7699.75,
2025-03-26,7707.78,7739.62,7607.42,7671.96,7671.96,
2025-03-27,7598.77,7731.58,7551.88,7669.26,7669.26,
2025-03-28,7665.51,7717.93,7511.97,7577.46,7577.46,
2025-04-01,7339.1,7740.14,7339.1,7687.3,7687.3,
2025-04-02,7657.43,7774.57,7641.08,7764.14,7764.14,
2025-04-03,7636.32,7636.32,7540.1,7609.54,7609.54,
2025-04-04,7578.57,7588.04,7359.53,7391.13,7391.13,
2025-04-07,7020.76,7076.11,6818.16,7027.3,7027.3,
2025-04-08,7102.02,7241.81,7064.76,7211.23,7211.23,
2025-04-09,7237.58,7339.38,7175.12,7282.64,7282.64,
2025-04-11,7424.21,7482.35,7344.24,7471.67,7471.67,
2025-04-15,7693.98,7732.45,7529.04,7689.65,7689.65,
2025-04-16,7693.02,7693.5,7563.66,7656.95,7656.95,
2025-04-17,7688.21,7746.88,7563.66,7711.29,7711.29,
2025-04-21,7703.6,7958.46,7645.89,7932.01,7932.01,
2025-04-22,7872.87,7873.35,7766.11,7829.59,7829.59,
2025-04-23,7800.73,7977.22,7743.03,7945.48,7945.48,
2025-04-24,7944.03,8009.43,7856.52,7887.77,7887.77,
2025-04-25,7910.37,7943.55,7660.32,7726.68,7726.68,
2025-04-28,7726.68,7823.34,7666.09,7786.31,7786.31,
2025-04-29,7825.26,7857.0,7713.22,7769.48,7769.48,
2025-04-30,7751.68,7768.52,7672.34,7722.83,7722.83,
2025-05-02,7693.98,7776.69,7504.52,7521.35,7521.35,
2025-05-05,7568.47,7659.84,7549.72,7617.52,7617.52,
2025-05-06,7626.66,7736.3,7607.42,7641.56,7641.56,
2025-05-07,7612.71,7672.82,7512.69,7548.76,7548.76,
2025-05-08,7550.2,7568.47,7376.6,7429.02,7429.02,
2025-05-09,7328.52,7447.29,7320.82,7388.63,7388.63,
2025-05-12,7501.63,7740.62,7480.47,7731.97,7731.97,
2025-05-13,7731.97,7798.81,7645.89,7754.57,7754.57,
2025-05-14,7780.54,7894.02,7724.76,7792.56,7792.56,
2025-05-15,7823.82,8045.98,7768.04,8007.51,8007.51,
2025-05-16,8030.59,8170.05,7963.27,8158.02,8158.02,
2025-05-19,8174.85,8522.53,8167.16,8512.43,8512.43,
2025-05-20,8511.47,8511.47,8200.34,8237.37,8237.37,
2025-05-21,8278.72,8429.72,8209.0,8355.18,8355.18,
2025-05-22,8328.73,8439.82,8186.88,8399.42,8399.42,
2025-05-23,8429.72,8499.92,8380.67,8406.63,8406.63,
2025-05-26,8448.47,8635.05,8434.53,8615.82,8615.82,
2025-05-27,8602.83,8660.06,8560.03,8620.14,8620.14,
2025-05-28,8646.11,8662.46,8439.33,8510.5,8510.5,
2025-05-29,8566.29,8598.02,8465.3,8535.03,8535.03,
2025-05-30,8450.88,8525.89,8256.6,8277.76,8277.76,
2025-06-02,8291.71,8291.71,8093.11,8187.84,8187.84,
2025-06-03,8187.36,8271.03,8165.24,8235.44,8235.44,
2025-06-04,8223.42,8309.98,8200.82,8235.93,8235.93,
2025-06-05,8284.49,8284.49,8183.99,8230.15,8230.15,
2025-06-06,8278.72,8352.78,8214.29,8306.61,8306.61,
2025-06-09,8347.97,8372.01,8270.55,8310.46,8310.46,
2025-06-10,8314.31,8332.58,8246.02,8296.03,8296.03,
2025-06-11,8305.17,8434.53,8280.65,8385.48,8385.48,
2025-06-12,8398.46,8421.06,8213.32,8239.29,8239.29,
2025-06-13,8136.38,8160.91,8030.59,8139.75,8139.75,
2025-06-16,8161.87,8266.22,8127.73,8203.23,8203.23,
2025-06-17,8165.24,8226.79,8131.58,8169.56,8169.56,
2025-06-18,8179.66,8326.33,8117.63,8144.08,8144.08,
2025-06-19,8155.62,8227.75,8128.21,8171.01,8171.01,
2025-06-20,8199.6,8286.38,8135.51,8254.83,8254.83,
2025-06-23,8160.16,8212.92,8140.44,8171.5,8171.5,
2025-06-24,8246.94,8307.58,8215.88,8260.74,8260.74,
2025-06-25,8290.33,8319.91,8254.83,8273.07,8273.07,
2025-06-26,8253.84,8347.52,8244.97,8315.97,8315.97,
2025-06-27,8350.48,8388.94,8297.23,8318.93,8318.93,
2025-06-30,8352.45,8378.09,8243.98,8259.76,8259.76,
2025-07-01,8253.84,8292.3,8184.81,8282.44,8282.44,
2025-07-02,8234.12,8292.79,8199.11,8240.53,8240.53,
2025-07-03,8261.73,8347.03,8234.12,8266.17,8266.17,
2025-07-04,8265.67,8332.73,8248.42,8315.97,8315.97,
2025-07-07,8315.97,8366.26,8287.37,8346.04,8346.04,
2025-07-08,8345.55,8356.4,8175.94,8223.76,8223.76,
2025-07-09,8234.12,8259.76,8195.17,8244.97,8244.97,
2025-07-10,8277.51,8277.51,8153.26,8170.02,8170.02,
2025-07-11,8170.51,8184.81,7933.84,7955.05,7955.05,
2025-07-14,7977.73,8007.31,7923.98,7975.26,7975.26,
2025-07-15,8015.2,8210.45,7977.73,8195.66,8195.66,
2025-07-16,8195.66,8229.19,8070.92,8187.28,8187.28,
2025-07-17,8163.61,8239.05,8147.83,8214.4,8214.4,
2025-07-18,8189.74,8248.91,8189.74,8231.65,8231.65,
2025-07-21,8190.73,8332.73,8190.73,8321.39,8321.39,
2025-07-22,8352.45,8352.45,8162.13,8179.88,8179.88,
2025-07-23,8198.13,8288.36,8175.44,8280.47,8280.47,
2025-07-24,8292.79,8317.94,8161.15,8173.47,8173.47,
2025-07-25,8160.16,8165.09,7932.86,7963.43,7963.43,
2025-07-28,7963.43,8044.78,7962.94,7977.23,7977.23,
2025-07-29,7977.23,8032.95,7944.2,8014.71,8014.71,
2025-07-30,7978.22,8019.64,7913.63,7931.87,7931.87,
2025-07-31,7879.12,7981.67,7820.44,7896.87,7896.87,
2025-08-01,7896.86,7978.71,7841.15,7932.86,7932.86,
2025-08-04,7932.86,8091.13,7932.86,8073.87,8073.87,
2025-08-05,8062.53,8122.19,8017.17,8116.28,8116.28,
2025-08-06,8154.24,8154.24,8007.31,8065.0,8065.0,
2025-08-07,7958.0,8134.52,7749.44,8114.8,8114.8,
2025-08-08,8114.8,8162.13,8071.41,8109.87,8109.87,
2025-08-11,8120.71,8184.81,8019.64,8160.16,8160.16,
2025-08-12,8160.65,8206.01,8066.48,8082.75,8082.75,
2025-08-13,8100.5,8194.18,8075.35,8134.03,8134.03,
2025-08-14,8135.51,8165.09,8084.23,8099.51,8099.51,
2025-08-18,8283.42,8509.74,8283.42,8469.31,8469.31,
2025-08-19,8489.52,8733.1,8466.84,8673.44,8673.44,
2025-08-20,8672.45,8749.37,8641.88,8704.99,8704.99,
2025-08-21,8712.39,8745.92,8510.23,8563.98,8563.98,
2025-08-22,8563.98,8594.05,8461.91,8559.05,8559.05,
2025-08-25,8628.57,8642.37,8513.68,8629.06,8629.06,
2025-08-26,8608.85,8702.53,8526.01,8570.88,8570.88,
2025-08-28,8675.9,8675.9,8540.8,8568.91,8568.91,
2025-08-29,8593.07,8608.84,8452.54,8511.71,8511.71,
2025-09-01,8544.75,8912.08,8544.75,8842.56,8842.56,
2025-09-02,8845.51,8983.08,8802.13,8905.17,8905.17,
2025-09-03,8926.38,9002.8,8867.21,8989.49,8989.49,
2025-09-04,9220.24,9223.69,8920.95,8945.11,8945.11,
2025-09-05,8990.47,9044.71,8927.36,8958.43,8958.43,
2025-09-08,8975.68,9358.3,8947.09,9302.58,9302.58,
2025-09-09,9260.18,9297.65,9108.32,9252.78,9252.78,
2025-09-10,9294.2,9308.99,9052.6,9115.71,9115.71,
2025-09-11,9115.22,9115.22,8949.06,8987.02,8987.02,
2025-09-12,8988.5,9077.25,8854.88,8874.61,8874.61,
2025-09-15,8901.23,8965.33,8839.6,8899.75,8899.75,
2025-09-16,8906.65,8972.72,8894.82,8946.59,8946.59,
2025-09-17,8950.54,9009.21,8944.13,8957.93,8957.93,
2025-09-18,8973.22,8988.5,8899.75,8949.06,8949.06,
2025-09-19,8924.4,8937.72,8826.28,8846.99,8846.99,
2025-09-22,8846.99,9067.39,8835.16,8928.84,8928.84,
2025-09-23,8953.0,9096.98,8825.79,8859.81,8859.81,
2025-09-24,8865.24,8874.11,8681.82,8716.33,8716.33,
2025-09-25,8698.58,8786.35,8636.46,8719.78,8719.78,
2025-09-26,8707.46,8756.76,8547.71,8581.23,8581.23,
2025-09-29,8623.64,8706.47,8555.1,8596.52,8596.52,
2025-09-30,8599.97,8647.3,8520.09,8558.06,8558.06,
2025-10-01,8598.98,8723.73,8467.34,8506.78,8506.78,
2025-10-03,8506.78,8577.78,8373.65,8559.05,8559.05,
2025-10-06,8577.29,8681.32,8530.94,8669.98,8669.98,
2025-10-07,8677.87,8791.28,8663.58,8780.43,8780.43,
2025-10-08,8779.44,8779.44,8629.06,8669.98,8669.98,
2025-10-09,8653.22,8695.13,8580.74,8687.74,8687.74,
2025-10-10,8693.65,8830.72,8659.63,8822.34,8822.34,
2025-10-13,8822.83,8957.93,8793.25,8940.18,8940.18,
2025-10-14,8973.71,8993.43,8907.15,8976.18,8976.18,
2025-10-15,8980.12,9052.6,8831.22,8873.13,8873.13,
2025-10-16,8904.68,9049.64,8896.79,9024.5,9024.5,
2025-10-17,9023.02,9066.9,8964.34,9023.51,9023.51,
2025-10-20,9066.9,9108.32,8974.2,8997.87,8997.87,
2025-10-21,9032.39,9037.81,8954.97,8991.46,8991.46,
2025-10-23,9009.21,9029.92,8891.86,8921.45,8921.45,
2025-10-24,8944.13,8972.72,8886.93,8950.54,8950.54,
2025-10-27,8973.22,8988.5,8929.33,8969.27,8969.27,
2025-10-28,8973.71,9003.29,8893.83,8931.8,8931.8,
2025-10-29,8963.85,8963.85,8835.65,8908.63,8908.63,
2025-10-30,8908.63,8939.2,8780.92,8799.17,8799.17,
2025-10-31,8815.44,8925.39,8679.85,8769.09,8769.09,
2025-11-03,8776.49,8833.19,8732.11,8798.67,8798.67,
2025-11-04,8796.21,8796.21,8592.08,8629.55,8629.55,
2025-11-06,8633.5,8698.09,8581.73,8599.48,8599.48,
2025-11-07,8598.98,8628.07,8485.58,8600.46,8600.46,
2025-11-10,8672.94,8715.35,8564.96,8650.26,8650.26,
2025-11-11,8696.61,8820.86,8604.9,8771.56,8771.56,
2025-11-12,8811.0,8811.0,8677.87,8744.93,8744.93,
2025-11-13,8764.65,8772.05,8719.29,8744.44,8744.44,
2025-11-14,8744.44,8744.44,8659.63,8720.28,8720.28,
2025-11-17,8727.18,8899.75,8727.18,8821.35,8821.35,
2025-11-18,8850.94,8874.11,8776.49,8797.19,8797.19,
2025-11-19,8825.79,8850.45,8740.49,8761.2,8761.2,
2025-11-20,8800.15,8880.03,8766.62,8854.88,8854.88,
2025-11-21,8825.79,8833.19,8739.01,8768.6,8768.6,
