date,open,high,low,close,adj_close,volume
2024-07-11,190.63,193.73,189.11,193.46,193.46,
2024-07-12,193.92,194.61,189.03,189.4,189.4,
2024-07-15,190.18,192.55,188.63,192.08,192.08,
2024-07-16,192.74,199.58,191.49,195.14,195.14,
2024-07-18,194.72,197.92,192.45,192.68,192.68,
2024-07-19,192.65,192.65,187.83,189.26,189.26,
2024-07-22,187.86,195.7,187.24,194.66,194.66,
2024-07-23,194.03,196.18,185.96,192.28,192.28,
2024-07-24,192.75,195.11,183.44,184.98,184.98,
2024-07-25,184.98,185.81,182.45,182.75,182.75,
2024-07-26,182.03,190.04,181.68,189.31,189.31,
2024-07-29,199.63,216.35,196.79,215.24,215.24,
2024-07-30,214.81,218.62,212.96,216.12,216.12,
2024-07-31,215.37,216.25,211.68,214.46,214.46,
2024-08-01,213.5,214.86,209.18,210.16,210.16,
2024-08-02,206.61,211.04,205.53,209.0,209.0,
2024-08-05,202.78,205.73,197.27,198.88,198.88,
2024-08-06,201.6,203.07,196.37,197.74,197.74,
2024-08-07,201.15,202.45,198.23,200.23,200.23,
2024-08-08,200.23,200.51,194.91,195.87,195.87,
2024-08-09,198.64,199.53,195.7,196.19,196.19,
2024-08-12,195.8,196.68,193.14,193.78,193.78,
2024-08-13,195.26,196.03,189.59,190.86,190.86,
2024-08-14,190.86,192.22,187.78,188.27,188.27,
2024-08-16,190.76,191.75,188.03,189.86,189.86,
2024-08-19,191.7,192.99,189.77,190.28,190.28,
2024-08-20,191.25,195.41,190.86,195.13,195.13,
2024-08-21,195.22,202.91,195.22,201.93,201.93,
2024-08-22,204.14,209.16,202.86,203.57,203.57,
2024-08-23,204.14,204.53,199.18,199.89,199.89,
2024-08-26,200.17,201.16,197.8,198.25,198.25,
2024-08-27,198.29,200.41,196.82,199.24,199.24,
2024-08-28,200.17,201.0,194.34,194.88,194.88,
2024-08-29,194.9,195.65,189.91,192.17,192.17,
2024-08-30,193.27,200.09,193.27,198.49,198.49,
2024-09-02,200.42,201.8,197.58,199.78,199.78,
2024-09-03,200.0,202.75,198.89,199.55,199.55,
2024-09-04,194.72,201.6,194.72,197.8,197.8,
2024-09-05,198.78,206.36,198.21,201.82,201.82,
2024-09-06,201.76,201.76,194.03,194.55,194.55,
2024-09-09,193.23,194.64,191.91,193.64,193.64,
2024-09-10,195.71,199.27,194.72,198.23,198.23,
2024-09-11,197.99,198.78,193.34,193.92,193.92,
2024-09-12,195.71,195.94,193.53,195.2,195.2,
2024-09-13,197.2,205.87,196.26,205.23,205.23,
2024-09-16,205.72,207.48,202.85,203.42,203.42,
2024-09-17,204.68,208.01,204.68,205.8,205.8,
2024-09-18,206.42,212.26,205.73,211.2,211.2,
2024-09-19,212.16,213.45,204.14,209.44,209.44,
2024-09-20,209.97,210.87,207.28,208.14,208.14,
2024-09-23,208.59,213.49,206.12,210.89,210.89,
2024-09-24,210.77,210.89,205.61,205.99,205.99,
2024-09-25,205.08,205.76,200.91,202.87,202.87,
2024-09-26,203.39,204.14,200.48,203.46,203.46,
2024-09-27,204.45,205.03,200.47,201.38,201.38,
2024-09-30,200.67,202.53,196.06,196.94,196.94,
2024-10-01,196.91,197.47,193.23,193.51,193.51,
2024-10-03,192.23,192.48,186.46,187.3,187.3,
2024-10-04,187.29,189.2,184.83,185.17,185.17,
2024-10-07,188.28,190.61,180.9,182.67,182.67,
2024-10-08,182.58,187.29,182.1,185.96,185.96,
2024-10-09,186.79,189.71,186.11,187.14,187.14,
2024-10-10,188.58,188.68,185.38,186.0,186.0,
2024-10-11,200.17,209.88,196.65,208.36,208.36,
2024-10-14,208.73,208.74,196.91,198.25,198.25,
2024-10-15,198.97,199.63,192.06,192.59,192.59,
2024-10-16,192.25,192.92,190.12,191.0,191.0,
2024-10-17,191.3,191.7,186.66,188.47,188.47,
2024-10-18,188.28,190.94,186.49,190.22,190.22,
2024-10-21,190.21,190.21,182.33,183.22,183.22,
2024-10-22,180.86,183.23,171.43,172.23,172.23,
2024-10-23,173.12,182.01,171.24,180.64,180.64,
2024-10-24,180.4,181.29,178.52,179.02,179.02,
2024-10-25,178.37,178.85,165.79,166.69,166.69,
2024-10-28,173.42,187.96,170.94,183.14,183.14,
2024-10-29,180.45,182.26,175.53,177.51,177.51,
2024-10-30,176.88,178.17,175.55,175.94,175.94,
2024-10-31,177.97,181.59,175.17,180.56,180.56,
2024-11-01,182.78,182.78,181.34,181.99,181.99,
2024-11-04,181.84,181.84,175.65,178.55,178.55,
2024-11-05,178.37,180.36,176.52,179.63,179.63,
2024-11-06,181.84,183.61,180.0,181.57,181.57,
2024-11-07,181.58,182.12,179.48,179.76,179.76,
2024-11-08,179.76,180.05,174.9,176.07,176.07,
2024-11-11,175.65,175.84,172.63,173.55,173.55,
2024-11-12,173.72,175.69,170.44,171.03,171.03,
2024-11-13,170.44,170.84,162.71,163.61,163.61,
2024-11-14,164.3,167.22,163.56,165.75,165.75,
2024-11-18,165.79,166.13,162.63,164.19,164.19,
2024-11-19,164.5,170.87,164.5,166.09,166.09,
2024-11-21,165.19,165.43,161.33,164.36,164.36,
2024-11-22,164.71,169.18,164.71,168.39,168.39,
2024-11-25,172.92,173.19,168.82,169.59,169.59,
2024-11-26,170.84,170.86,167.69,168.81,168.81,
2024-11-27,168.87,170.16,167.88,169.77,169.77,
2024-11-28,169.96,172.49,168.76,169.41,169.41,
2024-11-29,169.95,170.39,165.61,167.55,167.55,
2024-12-02,167.45,169.68,165.45,169.24,169.24,
2024-12-03,169.45,174.41,169.45,173.68,173.68,
2024-12-04,173.56,177.08,173.42,176.44,176.44,
2024-12-05,176.53,177.66,174.52,175.83,175.83,
2024-12-06,176.07,176.69,172.4,174.67,174.67,
2024-12-09,174.9,175.65,172.76,172.97,172.97,
2024-12-10,173.02,174.92,171.83,173.86,173.86,
2024-12-11,173.91,175.08,172.67,172.84,172.84,
2024-12-12,172.72,172.74,168.48,168.97,168.97,
2024-12-13,168.46,169.45,164.11,168.19,168.19,
2024-12-16,167.87,169.08,166.98,168.29,168.29,
2024-12-17,168.26,168.26,161.77,162.39,162.39,
2024-12-18,162.33,163.51,161.33,162.47,162.47,
2024-12-19,160.04,163.0,159.1,161.69,161.69,
2024-12-20,161.72,162.99,155.59,157.61,157.61,
2024-12-23,158.65,163.91,156.77,162.89,162.89,
2024-12-24,162.02,165.86,162.02,165.03,165.03,
2024-12-26,165.49,165.59,159.06,160.01,160.01,
2024-12-27,160.05,161.22,159.13,159.33,159.33,
2024-12-30,159.33,160.09,156.97,157.56,157.56,
2024-12-31,157.07,158.27,155.89,157.62,157.62,
2025-01-01,157.56,159.29,157.56,158.48,158.48,
2025-01-02,158.56,159.79,156.42,159.47,159.47,
2025-01-03,159.34,159.94,155.9,156.25,156.25,
2025-01-06,157.03,158.35,149.79,150.24,150.24,
2025-01-07,150.64,153.95,150.64,153.58,153.58,
2025-01-08,152.61,153.16,149.29,150.35,150.35,
2025-01-09,150.13,151.52,147.16,147.56,147.56,
2025-01-10,148.64,148.64,141.95,142.66,142.66,
2025-01-13,142.05,142.19,135.76,136.42,136.42,
2025-01-14,137.34,147.7,137.16,146.6,146.6,
2025-01-15,146.66,149.43,145.98,146.94,146.94,
2025-01-16,149.33,150.32,148.77,149.8,149.8,
2025-01-17,149.64,150.56,147.59,149.87,149.87,
2025-01-20,148.89,151.52,147.85,151.06,151.06,
2025-01-21,151.06,152.12,148.44,148.92,148.92,
2025-01-22,148.7,150.52,147.21,150.14,150.14,
2025-01-23,149.22,150.81,149.01,149.77,149.77,
2025-01-24,149.34,150.32,146.99,147.48,147.48,
2025-01-27,145.88,148.63,144.08,148.15,148.15,
2025-01-28,150.52,151.42,144.84,149.75,149.75,
2025-01-29,148.64,153.05,148.25,148.98,148.98,
2025-01-30,149.98,150.12,146.66,146.91,146.91,
2025-01-31,147.72,151.21,146.02,150.01,150.01,
2025-02-01,150.01,152.6,145.87,150.02,150.02,
2025-02-03,146.66,147.79,143.49,146.22,146.22,
2025-02-04,146.41,150.33,145.92,149.64,149.64,
2025-02-05,148.64,154.89,148.64,152.57,152.57,
2025-02-06,152.62,153.34,149.43,150.9,150.9,
2025-02-07,151.66,153.59,149.83,150.99,150.99,
2025-02-10,150.62,151.27,146.81,147.56,147.56,
2025-02-11,147.18,147.54,142.23,143.1,143.1,
2025-02-12,140.76,143.19,137.11,141.14,141.14,
2025-02-13,141.15,142.15,138.62,139.02,139.02,
2025-02-14,139.82,140.66,133.04,134.15,134.15,
2025-02-17,132.89,134.39,129.94,131.62,131.62,
2025-02-18,130.97,132.18,127.0,129.13,129.13,
2025-02-19,128.33,132.69,127.59,132.27,132.27,
2025-02-20,131.33,135.92,131.06,135.25,135.25,
2025-02-21,136.06,141.71,136.06,138.12,138.12,
2025-02-24,137.64,139.81,136.75,137.82,137.82,
2025-02-25,137.74,138.91,133.6,134.11,134.11,
2025-02-27,139.33,145.05,134.27,135.65,135.65,
2025-02-28,134.27,140.55,132.85,139.91,139.91,
2025-03-03,140.81,142.88,136.76,138.96,138.96,
2025-03-04,138.03,146.56,136.92,146.02,146.02,
2025-03-05,144.69,146.81,144.27,146.1,146.1,
2025-03-06,147.5,149.09,146.46,147.95,147.95,
2025-03-07,147.9,149.77,147.31,148.57,148.57,
2025-03-10,147.94,150.86,145.58,146.63,146.63,
2025-03-11,143.49,143.88,137.02,138.84,138.84,
2025-03-12,138.84,141.64,137.84,140.27,140.27,
2025-03-13,140.64,141.09,137.87,138.57,138.57,
2025-03-17,139.29,142.18,136.36,137.09,137.09,
2025-03-18,137.09,137.09,137.09,137.09,137.09,
2025-03-19,139.38,140.96,139.16,139.99,139.99,
2025-03-20,140.42,142.43,139.83,140.24,140.24,
2025-03-21,140.24,143.96,139.72,143.65,143.65,
2025-03-24,143.9,146.9,143.9,146.04,146.04,
2025-03-25,148.77,149.4,145.34,146.44,146.44,
2025-03-26,146.21,151.12,145.63,147.22,147.22,
2025-03-27,145.67,148.1,144.68,146.68,146.68,
2025-03-28,146.91,150.07,144.02,144.96,144.96,
2025-04-01,144.78,149.31,143.29,148.13,148.13,
2025-04-02,147.9,150.52,145.62,150.16,150.16,
2025-04-03,148.64,156.17,148.35,155.18,155.18,
2025-04-04,156.07,156.46,150.14,151.66,151.66,
2025-04-07,143.7,145.55,140.22,143.65,143.65,
2025-04-08,146.66,149.62,146.66,148.64,148.64,
2025-04-09,152.11,152.11,141.98,145.53,145.53,
2025-04-11,148.64,149.24,146.67,148.33,148.33,
2025-04-15,150.62,153.14,149.19,152.68,152.68,
2025-04-16,153.2,157.85,152.68,156.98,156.98,
2025-04-17,156.98,158.5,156.08,157.35,157.35,
2025-04-21,157.91,167.15,157.65,166.42,166.42,
2025-04-22,166.42,169.95,164.25,167.01,167.01,
2025-04-23,167.57,170.15,164.75,169.05,169.05,
2025-04-24,168.44,170.54,167.52,169.18,169.18,
2025-04-25,169.18,170.21,162.04,163.95,163.95,
2025-04-28,163.37,165.35,160.3,162.77,162.77,
2025-04-29,164.0,170.28,164.0,166.38,166.38,
2025-04-30,165.98,166.32,162.05,164.12,164.12,
2025-05-02,167.07,171.86,159.69,160.35,160.35,
2025-05-05,160.54,164.4,159.85,162.91,162.91,
2025-05-06,162.61,164.5,155.63,156.02,156.02,
2025-05-07,153.6,158.52,153.6,158.12,158.12,
2025-05-08,158.21,161.36,154.64,155.77,155.77,
