date,open,high,low,close,adj_close,volume
2024-07-11,242.25,242.57,239.3,240.37,240.37,
2024-07-12,240.75,242.62,234.15,234.66,234.66,
2024-07-15,236.53,242.81,234.71,242.11,242.11,
2024-07-16,243.28,244.31,240.61,241.78,241.78,
2024-07-18,241.78,242.39,238.59,239.2,239.2,
2024-07-19,239.72,240.89,232.93,234.66,234.66,
2024-07-22,233.82,239.91,231.06,236.91,236.91,
2024-07-23,238.88,238.88,228.34,235.13,235.13,
2024-07-24,235.97,236.82,230.4,233.12,233.12,
2024-07-25,232.46,233.26,229.28,229.75,229.75,
2024-07-26,230.35,234.76,228.53,233.82,233.82,
2024-07-29,237.85,244.17,235.32,239.62,239.62,
2024-07-30,240.23,241.54,238.69,239.95,239.95,
2024-07-31,241.03,241.03,235.5,237.52,237.52,
2024-08-01,241.68,242.01,234.33,235.27,235.27,
2024-08-02,234.1,234.1,227.12,228.2,228.2,
2024-08-05,223.19,226.33,216.54,224.69,224.69,
2024-08-06,226.19,230.68,223.52,224.27,224.27,
2024-08-07,227.54,228.9,223.8,227.92,227.92,
2024-08-08,228.01,229.18,225.2,226.0,226.0,
2024-08-09,227.73,234.29,226.7,230.21,230.21,
2024-08-12,228.48,231.24,227.08,229.28,229.28,
2024-08-13,229.46,230.87,225.67,226.37,226.37,
2024-08-14,226.51,227.92,223.57,224.22,224.22,
2024-08-16,226.14,228.25,225.2,227.97,227.97,
2024-08-19,228.39,233.58,228.39,231.62,231.62,
2024-08-20,231.62,238.83,231.24,238.17,238.17,
2024-08-21,238.64,239.16,235.08,237.28,237.28,
2024-08-22,238.17,240.47,237.38,237.94,237.94,
2024-08-23,237.94,238.88,235.79,236.44,236.44,
2024-08-26,237.14,237.56,235.04,235.41,235.41,
2024-08-27,235.6,236.44,234.19,235.22,235.22,
2024-08-28,235.22,235.64,232.27,233.96,233.96,
2024-08-29,233.96,234.76,231.9,233.91,233.91,
2024-08-30,234.52,237.7,233.77,234.19,234.19,
2024-09-02,235.04,239.67,232.32,237.75,237.75,
2024-09-03,237.56,238.45,234.43,234.76,234.76,
2024-09-04,232.18,233.58,226.94,228.01,228.01,
2024-09-05,229.42,229.51,225.53,228.34,228.34,
2024-09-06,228.01,228.67,220.1,220.85,220.85,
2024-09-09,220.85,222.11,216.78,220.57,220.57,
2024-09-10,222.21,222.35,220.05,220.71,220.71,
2024-09-11,220.99,222.11,217.01,217.99,217.99,
2024-09-12,220.05,222.77,218.37,222.02,222.02,
