date,open,high,low,close,adj_close,volume
2024-07-11,1624.73,1662.92,1609.81,1652.8,1652.8,2375360
2024-07-12,1658.76,1685.24,1607.92,1652.06,1652.06,2696736
2024-07-15,1659.4,1666.39,1608.86,1615.56,1615.56,1731106
2024-07-16,1618.48,1633.51,1571.17,1588.93,1588.93,1728586
2024-07-18,1589.03,1596.91,1520.88,1533.93,1533.93,2115200
2024-07-19,1524.55,1542.41,1450.16,1455.86,1455.86,2859021
2024-07-22,1438.31,1498.76,1395.65,1481.65,1481.65,3148425
2024-07-23,1497.77,1515.62,1339.07,1456.01,1456.01,3116965
2024-07-24,1456.01,1477.93,1413.46,1417.18,1417.18,1641033
2024-07-25,1410.48,1424.37,1382.26,1395.46,1395.46,1387692
2024-07-26,1398.68,1421.69,1394.76,1401.06,1401.06,1160129
2024-07-29,1414.45,1463.8,1403.84,1457.45,1457.45,2146657
2024-07-30,1457.9,1485.87,1445.65,1466.33,1466.33,1441946
2024-07-31,1467.07,1472.92,1445.75,1448.27,1448.27,617138
2024-08-01,1448.27,1455.56,1416.43,1438.5,1438.5,827899
2024-08-02,1417.43,1428.34,1395.6,1407.71,1407.71,797569
2024-08-05,1348.84,1366.84,1316.3,1330.29,1330.29,1961750
2024-08-06,1335.99,1398.58,1327.16,1331.68,1331.68,1644757
2024-08-07,1373.88,1396.6,1339.17,1391.29,1391.29,1105077
2024-08-08,1391.29,1432.3,1364.86,1402.8,1402.8,1458258
2024-08-09,1425.36,1438.21,1411.13,1422.44,1422.44,828994
2024-08-12,1215.03,1348.94,1212.45,1333.07,1333.07,4454884
2024-08-13,1346.95,1346.95,1311.54,1324.83,1324.83,1215844
2024-08-14,1334.11,1340.26,1290.02,1307.13,1307.13,1026488
2024-08-16,1319.23,1329.15,1289.57,1308.12,1308.12,1029263
2024-08-19,1302.66,1340.06,1302.66,1319.82,1319.82,855127
2024-08-20,1326.47,1329.1,1294.48,1298.55,1298.55,686091
2024-08-21,1298.4,1319.03,1291.55,1310.7,1310.7,821291
2024-08-22,1312.93,1322.15,1291.21,1293.89,1293.89,641733
2024-08-23,1313.28,1334.11,1299.39,1305.09,1305.09,1224789
2024-08-26,1314.27,1323.59,1296.41,1300.98,1300.98,603827
2024-08-27,1307.33,1313.77,1298.1,1301.42,1301.42,375399
2024-08-28,1309.26,1318.68,1299.84,1312.53,1312.53,711054
