date,open,high,low,close,adj_close,volume
2024-07-11,330.57,333.23,328.11,330.57,330.57,31919433
2024-07-12,331.95,332.54,323.28,328.21,328.21,24517961
2024-07-15,331.07,331.12,326.14,326.53,326.53,22021426
2024-07-16,328.36,329.49,319.73,321.36,321.36,26585927
2024-07-18,321.71,321.9,307.71,308.95,308.95,48043715
2024-07-19,305.35,312.25,300.52,301.8,301.8,43313606
2024-07-22,301.51,310.08,292.93,307.71,307.71,39386992
2024-07-23,312.34,312.34,276.97,297.02,297.02,76513131
2024-07-24,298.06,302.0,294.9,295.69,295.69,24099148
2024-07-25,293.57,298.94,289.09,297.02,297.02,27820556
2024-07-26,299.34,305.94,297.57,305.35,305.35,24512844
2024-07-29,308.21,320.82,306.29,316.63,316.63,51391698
2024-07-30,320.42,321.75,312.94,313.43,313.43,41111245
2024-07-31,315.2,315.89,310.82,311.41,311.41,25709971
2024-08-01,313.03,313.03,303.53,306.58,306.58,28141436
2024-08-02,300.82,304.17,297.27,298.5,298.5,26155604
2024-08-05,285.59,293.08,280.81,285.99,285.99,50390560
2024-08-06,287.71,298.16,282.15,283.03,283.03,39171936
2024-08-07,291.16,296.58,285.54,295.79,295.79,22199473
2024-08-08,296.58,298.25,292.79,293.87,293.87,21963656
2024-08-09,298.06,300.52,296.24,297.76,297.76,15551076
2024-08-12,294.61,299.19,293.87,296.97,296.97,15361379
2024-08-13,297.57,298.21,291.06,291.8,291.8,14746085
2024-08-14,292.59,293.48,287.16,290.17,290.17,16641055
2024-08-16,292.94,300.25,292.44,299.66,299.66,21353408
2024-08-19,301.14,301.88,297.48,298.52,298.52,12232725
2024-08-20,298.52,300.84,294.22,299.51,299.51,14183642
2024-08-21,299.36,303.06,298.91,301.73,301.73,11862616
2024-08-22,302.72,303.21,299.85,300.84,300.84,13074829
2024-08-23,301.83,305.48,300.45,302.32,302.32,21891698
2024-08-26,304.99,305.19,302.13,303.01,303.01,15280637
2024-08-27,302.92,303.76,296.0,297.28,297.28,16873099
2024-08-28,297.43,300.84,295.9,296.35,296.35,14005947
2024-08-29,295.75,297.43,288.59,292.64,292.64,19185385
2024-08-30,293.23,298.52,290.81,295.7,295.7,28684991
2024-09-02,298.32,298.32,291.5,293.33,293.33,11713172
2024-09-03,296.4,297.73,293.18,293.58,293.58,13971488
2024-09-04,293.58,298.27,291.75,295.36,295.36,17937646
2024-09-05,295.41,295.9,286.52,287.11,287.11,26342723
2024-09-06,286.86,286.86,278.66,280.19,280.19,30062372
2024-09-09,278.61,281.08,272.44,278.17,278.17,29170063
2024-09-10,279.11,284.89,278.91,282.32,282.32,19982334
2024-09-11,283.01,286.96,280.93,284.59,284.59,21650737
2024-09-12,287.4,288.99,285.53,288.2,288.2,16102095
2024-09-13,289.48,290.47,286.12,286.47,286.47,12330463
2024-09-16,287.4,288.69,284.93,286.91,286.91,9184637
2024-09-17,287.01,287.36,280.49,280.88,280.88,15946216
2024-09-18,281.48,282.56,277.03,279.45,279.45,10450571
2024-09-19,280.59,281.43,263.89,269.42,269.42,44560220
2024-09-20,270.71,276.04,269.57,274.02,274.02,38501362
2024-09-23,276.64,283.26,275.3,282.86,282.86,19445968
2024-09-24,282.86,289.87,281.13,288.29,288.29,25346532
2024-09-25,290.47,291.46,284.19,286.37,286.37,19263084
2024-09-26,287.11,288.39,285.58,287.01,287.01,18343882
2024-09-27,288.84,291.31,285.73,289.92,289.92,208588855
2024-09-30,289.92,291.06,280.19,281.67,281.67,32695169
2024-10-01,281.67,283.16,279.15,280.54,280.54,13883476
2024-10-03,271.75,282.86,271.75,275.35,275.35,27321529
2024-10-04,275.35,278.51,270.26,273.87,273.87,17451235
2024-10-07,274.07,275.55,261.82,264.14,264.14,21704629
2024-10-08,263.79,278.12,262.36,276.88,276.88,29190708
2024-10-09,278.61,283.16,275.15,279.01,279.01,18984175
2024-10-10,280.54,286.12,279.99,283.45,283.45,19155691
2024-10-11,283.75,285.18,280.74,282.46,282.46,9677338
2024-10-14,282.66,285.73,281.23,282.27,282.27,11386559
2024-10-15,283.7,285.97,282.32,285.38,285.38,14701531
2024-10-16,284.69,287.55,281.33,282.27,282.27,11835439
2024-10-17,282.61,284.44,278.32,281.13,281.13,11695551
2024-10-18,279.5,284.34,274.46,283.7,283.7,10095514
2024-10-21,282.86,284.0,277.72,278.91,278.91,8393942
2024-10-22,278.61,278.76,267.4,268.39,268.39,15240897
2024-10-23,267.74,271.4,263.1,265.42,265.42,13503954
2024-10-24,265.77,269.87,265.13,268.09,268.09,10700271
2024-10-25,267.74,272.68,254.36,269.08,269.08,40406841
2024-10-28,273.38,274.61,264.19,266.81,266.81,24479817
2024-10-29,267.94,281.08,267.6,280.24,280.24,34271117
2024-10-30,280.04,291.21,278.66,285.08,285.08,40787587
