date,open,high,low,close,adj_close,volume
2024-07-11,1652.24,1652.24,1618.86,1627.49,1627.49,836449
2024-07-12,1633.74,1635.32,1600.95,1605.91,1605.91,1108682
2024-07-15,1614.89,1624.31,1589.74,1620.64,1620.64,1267534
2024-07-16,1621.09,1650.35,1620.89,1640.04,1640.04,814531
2024-07-18,1648.57,1652.44,1599.17,1608.44,1608.44,1232254
2024-07-19,1613.8,1621.14,1562.32,1566.68,1566.68,945152
2024-07-22,1557.31,1633.04,1536.97,1612.36,1612.36,1555103
2024-07-23,1616.87,1621.09,1487.92,1585.83,1585.83,1886680
2024-07-24,1585.63,1599.27,1572.24,1578.34,1578.34,1093834
2024-07-25,1557.36,1590.98,1546.0,1579.58,1579.58,447267
2024-07-26,1591.68,1680.66,1591.68,1671.33,1671.33,2755566
2024-07-29,1681.3,1732.93,1677.63,1723.01,1723.01,1776427
2024-07-30,1726.43,1738.88,1705.36,1729.81,1729.81,867925
2024-07-31,1722.17,1730.95,1708.18,1719.54,1719.54,620610
2024-08-01,1725.99,1756.94,1689.93,1703.72,1703.72,1134832
2024-08-02,1693.25,1693.25,1634.73,1642.07,1642.07,1338199
2024-08-05,1567.23,1584.78,1525.71,1540.54,1540.54,2625461
2024-08-06,1555.37,1595.8,1498.24,1505.23,1505.23,2039941
2024-08-07,1546.45,1563.8,1517.68,1544.91,1544.91,1457651
2024-08-08,1549.42,1629.77,1523.78,1592.52,1592.52,4108498
2024-08-09,1614.94,1641.62,1604.87,1623.37,1623.37,2016949
2024-08-12,1616.82,1616.82,1552.94,1580.72,1580.72,1651574
2024-08-13,1582.11,1592.08,1563.56,1568.32,1568.32,479156
2024-08-14,1561.42,1571.19,1540.74,1554.58,1554.58,464424
2024-08-16,1570.15,1588.9,1563.11,1571.74,1571.74,744491
2024-08-19,1597.04,1600.71,1547.59,1574.91,1574.91,1185925
2024-08-20,1587.12,1591.73,1538.56,1564.7,1564.7,1042184
2024-08-21,1564.3,1597.04,1560.48,1587.12,1587.12,853929
2024-08-22,1594.95,1634.68,1581.16,1608.14,1608.14,955957
2024-08-23,1623.32,1623.77,1589.0,1607.25,1607.25,868264
2024-08-26,1608.94,1624.96,1600.71,1621.54,1621.54,713146
2024-08-27,1631.65,1631.65,1589.2,1594.46,1594.46,659375
2024-08-28,1601.0,1606.95,1566.53,1571.74,1571.74,927975
2024-08-29,1571.74,1576.2,1543.72,1565.19,1565.19,816590
2024-08-30,1566.78,1577.25,1562.42,1574.22,1574.22,931250
2024-09-02,1584.14,1586.12,1533.05,1549.87,1549.87,931058
2024-09-03,1563.95,1578.24,1551.46,1554.48,1554.48,878145
2024-09-04,1555.37,1601.9,1541.49,1592.77,1592.77,1095011
2024-09-05,1611.91,1616.78,1577.39,1595.99,1595.99,1562878
2024-09-06,1593.07,1593.07,1534.74,1538.71,1538.71,1243240
2024-09-09,1522.64,1548.48,1512.47,1542.63,1542.63,950996
2024-09-10,1552.4,1565.29,1540.54,1558.0,1558.0,424183
2024-09-11,1558.35,1568.86,1539.75,1549.12,1549.12,1122926
2024-09-12,1556.37,1581.26,1553.69,1578.19,1578.19,445898
2024-09-13,1575.21,1616.58,1574.32,1603.23,1603.23,1776046
2024-09-16,1611.91,1611.91,1573.82,1588.31,1588.31,1739277
2024-09-17,1593.07,1597.04,1565.39,1583.25,1583.25,1441523
2024-09-18,1587.07,1599.96,1549.47,1563.01,1563.01,366662
2024-09-19,1567.23,1581.96,1521.7,1573.18,1573.18,887601
2024-09-20,1573.18,1588.06,1560.33,1578.54,1578.54,976662
2024-09-23,1587.91,1612.91,1564.4,1569.46,1569.46,2341523
2024-09-24,1570.15,1575.61,1544.96,1560.09,1560.09,1095753
2024-09-25,1564.3,1568.67,1541.34,1546.94,1546.94,1014215
2024-09-26,1539.5,1542.58,1490.5,1516.19,1516.19,1967406
2024-09-27,1521.65,1526.61,1507.76,1510.24,1510.24,1217594
2024-09-30,1508.26,1525.37,1500.12,1504.39,1504.39,753983
2024-10-01,1506.77,1542.48,1502.21,1517.88,1517.88,472946
2024-10-03,1516.69,1538.51,1461.19,1477.26,1477.26,1217926
2024-10-04,1476.02,1486.88,1448.39,1461.93,1461.93,1162303
2024-10-07,1466.05,1474.03,1413.62,1422.4,1422.4,1454350
2024-10-08,1421.46,1474.43,1417.89,1469.42,1469.42,501482
2024-10-09,1473.09,1508.26,1470.41,1498.14,1498.14,1303802
2024-10-10,1507.76,1514.6,1477.01,1488.96,1488.96,978224
2024-10-11,1492.93,1497.84,1468.03,1480.33,1480.33,532795
2024-10-14,1474.13,1493.23,1462.38,1478.1,1478.1,760996
2024-10-15,1493.62,1493.62,1463.97,1468.53,1468.53,1222899
2024-10-16,1472.05,1476.56,1444.72,1463.12,1463.12,762827
2024-10-17,1460.64,1466.89,1431.13,1459.25,1459.25,1026919
2024-10-18,1460.1,1473.04,1443.08,1462.87,1462.87,888822
2024-10-21,1463.12,1483.95,1425.08,1430.88,1430.88,1263428
2024-10-22,1425.43,1430.59,1390.21,1394.88,1394.88,684238
2024-10-23,1394.73,1419.87,1381.34,1393.69,1393.69,841615
2024-10-24,1393.69,1421.36,1386.05,1418.14,1418.14,475970
2024-10-25,1426.47,1428.35,1378.81,1388.92,1388.92,591131
2024-10-28,1380.79,1397.65,1346.97,1354.5,1354.5,1700514
2024-10-29,1355.99,1375.83,1330.0,1372.21,1372.21,714147
2024-10-30,1372.21,1418.48,1365.27,1409.11,1409.11,1095800
2024-10-31,1403.61,1429.59,1384.01,1398.79,1398.79,844545
2024-11-01,1416.5,1416.5,1379.8,1407.23,1407.23,95867
2024-11-04,1410.75,1423.44,1384.26,1411.44,1411.44,715523
2024-11-05,1438.32,1452.95,1406.09,1449.04,1449.04,1623271
2024-11-06,1449.14,1470.96,1439.91,1459.2,1459.2,990250
2024-11-07,1463.12,1467.54,1429.89,1435.0,1435.0,584800
2024-11-08,1438.37,1444.87,1404.75,1408.61,1408.61,811080
2024-11-11,1402.71,1408.61,1369.09,1386.25,1386.25,692395
2024-11-12,1386.25,1386.3,1329.21,1349.64,1349.64,745108
2024-11-13,1349.05,1352.37,1302.13,1310.86,1310.86,584312
2024-11-14,1310.86,1345.97,1291.07,1318.05,1318.05,1860816
2024-11-18,1318.3,1325.59,1276.24,1294.04,1294.04,1548457
2024-11-19,1285.56,1344.44,1285.56,1312.69,1312.69,1521514
2024-11-21,1303.57,1307.34,1278.22,1285.76,1285.76,571103
2024-11-22,1288.54,1316.02,1285.91,1305.55,1305.55,325496
2024-11-25,1317.31,1339.13,1303.96,1308.92,1308.92,1609259
2024-11-26,1309.37,1322.86,1304.66,1311.5,1311.5,471592
2024-11-27,1314.58,1321.67,1302.63,1314.73,1314.73,359994
2024-11-28,1315.32,1349.35,1306.25,1318.5,1318.5,1254378
2024-11-29,1321.27,1335.01,1315.27,1321.52,1321.52,705598
2024-12-02,1318.79,1338.93,1294.84,1332.93,1332.93,982093
2024-12-03,1335.16,1345.03,1327.32,1339.53,1339.53,791810
2024-12-04,1353.91,1375.29,1340.52,1366.8,1366.8,2021679
2024-12-05,1383.72,1383.72,1349.89,1368.09,1368.09,1249730
2024-12-06,1371.86,1373.85,1340.42,1343.84,1343.84,637711
2024-12-09,1343.84,1363.93,1330.2,1352.47,1352.47,909119
2024-12-10,1358.97,1364.97,1339.43,1350.24,1350.24,714858
2024-12-11,1354.16,1373.85,1333.13,1368.29,1368.29,1760051
2024-12-12,1367.8,1367.9,1339.18,1341.56,1341.56,937430
2024-12-13,1341.11,1345.13,1308.33,1337.44,1337.44,580701
2024-12-16,1346.32,1361.89,1337.64,1353.12,1353.12,1080759
2024-12-17,1353.12,1359.66,1322.27,1329.8,1329.8,1074430
2024-12-18,1329.8,1339.08,1292.85,1295.93,1295.93,637487
2024-12-19,1279.61,1306.3,1265.23,1287.35,1287.35,1019636
2024-12-20,1287.35,1305.11,1264.09,1268.6,1268.6,1495889
2024-12-23,1273.66,1299.45,1261.96,1288.74,1288.74,915584
2024-12-24,1290.52,1320.03,1283.48,1314.13,1314.13,805397
2024-12-26,1317.31,1321.12,1297.57,1303.67,1303.67,962802
2024-12-27,1309.37,1336.15,1301.04,1304.26,1304.26,1037735
2024-12-30,1298.16,1304.56,1270.93,1291.86,1291.86,3744544
2024-12-31,1290.52,1302.08,1268.55,1289.04,1289.04,558405
2025-01-01,1292.8,1294.14,1277.78,1289.43,1289.43,358152
2025-01-02,1289.53,1310.31,1284.57,1305.1,1305.1,749880
2025-01-03,1307.58,1311.35,1280.6,1285.71,1285.71,1816419
2025-01-06,1285.86,1291.17,1241.07,1250.6,1250.6,758114
2025-01-07,1261.71,1279.61,1248.22,1259.82,1259.82,823200
2025-01-08,1259.82,1261.71,1215.14,1238.5,1238.5,855048
2025-01-09,1237.95,1244.35,1215.14,1217.42,1217.42,636615
2025-01-10,1215.19,1219.2,1193.76,1200.11,1200.11,868167
2025-01-13,1195.1,1201.55,1158.15,1160.43,1160.43,1720272
2025-01-14,1160.43,1193.21,1160.43,1180.81,1180.81,1507971
2025-01-15,1189.34,1199.12,1161.37,1174.02,1174.02,1300950
2025-01-16,1180.42,1213.1,1180.42,1195.54,1195.54,1506184
2025-01-17,1199.26,1207.99,1187.81,1197.78,1197.78,745195
2025-01-20,1203.23,1216.03,1186.52,1207.4,1207.4,424789
2025-01-21,1213.45,1224.41,1189.89,1191.97,1191.97,986443
2025-01-22,1201.2,1219.2,1176.5,1216.57,1216.57,1450962
2025-01-23,1209.83,1229.52,1196.73,1217.86,1217.86,503606
2025-01-24,1220.14,1233.83,1201.5,1206.75,1206.75,459008
2025-01-27,1200.85,1225.65,1171.54,1187.71,1187.71,526050
2025-01-28,1200.26,1217.47,1172.13,1201.35,1201.35,749314
2025-01-29,1200.31,1210.57,1180.67,1187.76,1187.76,604487
2025-01-30,1190.34,1195.35,1170.5,1174.52,1174.52,2102523
2025-01-31,1172.98,1228.03,1172.98,1214.19,1214.19,627704
2025-02-01,1228.03,1230.96,1139.3,1165.69,1165.69,872295
2025-02-03,1156.61,1156.61,1113.96,1129.93,1129.93,1589240
2025-02-04,1153.59,1189.44,1150.61,1162.46,1162.46,1501122
2025-02-05,1165.34,1174.96,1139.75,1147.24,1147.24,2461419
2025-02-06,1153.39,1153.63,1123.28,1128.54,1128.54,855048
2025-02-07,1128.54,1139.25,1116.59,1130.27,1130.27,1231822
2025-02-10,1135.68,1139.15,1121.4,1125.66,1125.66,460118
2025-02-11,1124.77,1125.61,1099.13,1103.34,1103.34,793322
2025-02-12,1103.94,1108.01,1062.18,1095.75,1095.75,1217773
2025-02-13,1066.34,1090.2,1036.29,1067.53,1067.53,3020065
2025-02-14,1079.98,1097.39,1051.02,1069.67,1069.67,1776818
2025-02-17,1069.67,1079.93,1043.08,1073.93,1073.93,425715
2025-02-18,1076.12,1076.52,1045.0,1070.75,1070.75,976428
2025-02-19,1051.91,1076.62,1041.57,1069.86,1069.86,346156
2025-02-20,1084.72,1097.1,1061.8,1075.12,1075.12,1894343
2025-02-21,1076.77,1091.88,1047.48,1052.85,1052.85,564026
2025-02-24,1042.12,1044.3,1031.18,1035.55,1035.55,486862
2025-02-25,1033.52,1048.28,1032.72,1039.18,1039.18,660269
2025-02-27,1039.23,1043.96,1018.4,1032.42,1032.42,942500
2025-02-28,1029.09,1029.09,996.38,1010.65,1010.65,2472393
2025-03-03,1012.14,1026.75,996.63,1024.32,1024.32,549605
2025-03-04,1004.48,1026.8,1000.46,1016.91,1016.91,708878
2025-03-05,1014.13,1053.6,998.22,1051.01,1051.01,677352
2025-03-06,1068.81,1083.73,1060.81,1080.2,1080.2,896629
2025-03-07,1080.39,1092.67,1076.82,1081.54,1081.54,1212897
2025-03-10,1086.36,1092.67,1056.78,1062.75,1062.75,717330
2025-03-11,1048.93,1068.61,1039.23,1058.17,1058.17,725140
2025-03-12,1063.84,1088.7,1055.19,1083.92,1083.92,770987
2025-03-13,1088.7,1088.7,1026.06,1033.27,1033.27,1894793
2025-03-17,1031.13,1073.34,1031.13,1070.15,1070.15,628264
2025-03-18,1070.15,1070.15,1070.15,1070.15,1070.15,0
2025-03-19,1096.15,1137.81,1092.08,1129.46,1129.46,1209976
2025-03-20,1140.4,1195.08,1140.4,1187.42,1187.42,2766980
2025-03-21,1200.05,1200.35,1162.47,1174.5,1174.5,2395430
2025-03-24,1178.18,1199.65,1178.18,1194.48,1194.48,1330920
2025-03-25,1200.05,1203.03,1163.81,1179.42,1179.42,1298776
2025-03-26,1179.42,1195.28,1171.22,1176.09,1176.09,812349
2025-03-27,1175.2,1192.1,1123.35,1152.48,1152.48,5362970
2025-03-28,1167.69,1174.75,1147.36,1162.42,1162.42,2164434
2025-04-01,1153.32,1172.21,1137.46,1142.04,1142.04,900487
2025-04-02,1147.36,1160.68,1131.95,1146.31,1146.31,1275536
2025-04-03,1123.49,1129.26,1076.32,1110.67,1110.67,2078500
2025-04-04,1090.68,1093.67,1008.16,1020.14,1020.14,4793116
2025-04-07,919.67,954.32,913.81,946.12,946.12,3849870
2025-04-08,989.22,989.22,941.95,964.76,964.76,1980407
2025-04-09,959.49,967.1,935.33,964.27,964.27,1791396
2025-04-11,1004.19,1004.19,970.88,996.38,996.38,2146554
2025-04-15,1035.01,1069.81,1034.11,1066.92,1066.92,2570787
2025-04-16,1069.51,1072.29,1043.96,1049.03,1049.03,1152520
2025-04-17,1043.06,1065.73,1035.01,1062.05,1062.05,1223336
2025-04-21,1063.84,1094.16,1060.56,1087.9,1087.9,1241237
2025-04-22,1087.9,1105.8,1079.15,1097.25,1097.25,698419
2025-04-23,1096.65,1133.04,1089.59,1128.96,1128.96,1365780
2025-04-24,1119.52,1122.5,1091.58,1100.13,1100.13,1987515
2025-04-25,1099.24,1109.28,1074.58,1082.23,1082.23,1392564
2025-04-28,1075.77,1113.55,1075.77,1110.67,1110.67,1193121
2025-04-29,1128.47,1149.35,1110.67,1127.47,1127.47,2134718
2025-04-30,1128.47,1128.47,1091.68,1097.84,1097.84,1270756
2025-05-02,1097.64,1114.15,1093.67,1098.04,1098.04,634781
2025-05-05,1102.52,1117.93,1088.8,1113.15,1113.15,672694
2025-05-06,1118.52,1123.49,1073.78,1081.04,1081.04,1383512
2025-05-07,1085.61,1137.81,1082.33,1134.33,1134.33,1768753
2025-05-08,1145.37,1152.13,1079.95,1106.99,1106.99,2683717
2025-05-09,1122.6,1170.12,1104.6,1158.89,1158.89,5531033
2025-05-12,1198.06,1206.12,1166.55,1192.3,1192.3,2499123
2025-05-13,1188.12,1224.61,1185.14,1196.97,1196.97,3252512
2025-05-14,1203.03,1255.73,1199.16,1239.03,1239.03,3139778
2025-05-15,1250.76,1255.93,1236.84,1238.53,1238.53,1297070
2025-05-16,1242.8,1262.69,1233.26,1255.73,1255.73,1693383
2025-05-19,1263.68,1271.64,1244.39,1250.06,1250.06,1427244
2025-05-20,1255.73,1260.8,1217.15,1220.33,1220.33,786186
2025-05-21,1219.74,1241.21,1212.08,1221.92,1221.92,805567
2025-05-22,1221.83,1234.85,1209.99,1232.46,1232.46,968052
2025-05-23,1233.86,1244.69,1224.21,1237.93,1237.93,691587
2025-05-26,1237.83,1252.35,1233.66,1242.51,1242.51,786355
2025-05-27,1238.83,1252.45,1231.17,1243.2,1243.2,1239119
2025-05-28,1239.92,1252.05,1234.85,1242.01,1242.01,1299910
2025-05-29,1249.37,1268.95,1243.4,1248.67,1248.67,1200243
2025-05-30,1252.75,1255.13,1230.87,1233.76,1233.76,1020675
2025-06-02,1230.87,1256.72,1222.92,1249.66,1249.66,1572954
2025-06-03,1251.65,1278.4,1246.18,1263.09,1263.09,1513075
2025-06-04,1267.56,1273.23,1238.73,1263.38,1263.38,2282886
2025-06-05,1269.75,1271.34,1249.76,1262.29,1262.29,1340532
2025-06-06,1270.64,1292.22,1255.13,1288.94,1288.94,1728190
2025-06-09,1297.49,1354.26,1290.93,1336.86,1336.86,2575104
2025-06-10,1352.17,1352.17,1323.54,1330.99,1330.99,1606742
2025-06-11,1334.27,1342.82,1317.77,1325.92,1325.92,779516
2025-06-12,1327.12,1334.87,1291.12,1297.49,1297.49,1186291
2025-06-13,1263.68,1307.43,1263.68,1301.76,1301.76,883872
2025-06-16,1303.45,1317.37,1287.74,1313.99,1313.99,744549
2025-06-17,1313.99,1317.27,1287.54,1293.01,1293.01,560014
2025-06-18,1312.4,1313.49,1283.17,1290.33,1290.33,1099732
2025-06-19,1291.52,1299.87,1265.67,1269.65,1269.65,555035
2025-06-20,1265.67,1276.91,1261.69,1270.94,1270.94,904701
2025-06-23,1267.76,1297.49,1267.76,1288.34,1288.34,2877325
2025-06-24,1302.06,1309.32,1280.09,1287.84,1287.84,1239813
2025-06-25,1289.14,1298.58,1263.29,1267.76,1267.76,896447
2025-06-26,1272.63,1283.97,1267.96,1279.09,1279.09,993564
2025-06-27,1280.49,1316.88,1280.49,1302.16,1302.16,1393640
2025-06-30,1309.42,1315.88,1298.08,1300.57,1300.57,578990
2025-07-01,1307.33,1307.33,1262.69,1276.81,1276.81,1356145
2025-07-02,1281.48,1311.41,1267.66,1303.85,1303.85,1905720
