date,open,high,low,close,adj_close,volume
2024-07-11,1430.01,1430.85,1408.31,1418.13,1418.13,
2024-07-12,1422.12,1427.64,1401.85,1413.49,1413.49,
2024-07-15,1413.49,1420.15,1406.39,1417.78,1417.78,
2024-07-16,1431.98,1452.99,1425.08,1446.28,1446.28,
2024-07-18,1445.79,1465.46,1438.93,1463.2,1463.2,
2024-07-19,1459.6,1459.6,1431.93,1441.6,1441.6,
2024-07-22,1430.01,1451.71,1429.07,1445.2,1445.2,
2024-07-23,1449.73,1449.73,1408.76,1445.49,1445.49,
2024-07-24,1445.79,1455.26,1416.75,1435.14,1435.14,
2024-07-25,1425.08,1433.95,1420.25,1429.17,1429.17,
2024-07-26,1430.26,1499.04,1429.17,1493.52,1493.52,
2024-07-29,1503.98,1503.98,1456.69,1460.93,1460.93,
2024-07-30,1463.94,1464.43,1443.87,1450.08,1450.08,
2024-07-31,1457.48,1483.41,1452.84,1470.99,1470.99,
2024-08-01,1464.53,1490.17,1464.53,1484.74,1484.74,
2024-08-02,1473.5,1484.4,1463.15,1473.21,1473.21,
2024-08-05,1461.57,1467.49,1431.49,1445.49,1445.49,
2024-08-06,1462.65,1472.32,1411.37,1423.65,1423.65,
2024-08-07,1439.96,1442.84,1410.81,1429.8,1429.8,
2024-08-08,1423.1,1454.34,1418.14,1439.76,1439.76,
2024-08-09,1452.85,1469.71,1445.22,1451.96,1451.96,
2024-08-12,1453.85,1465.25,1433.02,1446.51,1446.51,
2024-08-13,1455.83,1466.14,1438.33,1447.6,1447.6,
2024-08-14,1441.05,1467.83,1441.05,1459.5,1459.5,
2024-08-16,1467.73,1478.64,1455.93,1471.25,1471.25,
2024-08-19,1474.67,1476.75,1452.16,1457.47,1457.47,
2024-08-20,1467.73,1472.44,1434.51,1437.14,1437.14,
2024-08-21,1440.95,1454.44,1435.7,1451.32,1451.32,
2024-08-22,1461.48,1487.46,1452.85,1474.03,1474.03,
2024-08-23,1480.62,1497.48,1467.09,1494.26,1494.26,
2024-08-26,1496.49,1508.09,1492.52,1501.0,1501.0,
2024-08-27,1505.41,1513.7,1489.55,1510.13,1510.13,
2024-08-28,1515.28,1551.53,1509.03,1543.45,1543.45,
2024-08-29,1552.03,1558.67,1533.13,1552.92,1552.92,
2024-08-30,1562.93,1595.07,1548.65,1575.88,1575.88,
2024-09-02,1591.69,1591.69,1552.52,1558.32,1558.32,
2024-09-03,1565.91,1565.91,1545.68,1547.66,1547.66,
2024-09-04,1545.08,1553.02,1529.22,1548.95,1548.95,
2024-09-05,1546.08,1550.04,1528.72,1534.37,1534.37,
2024-09-06,1539.93,1542.7,1517.51,1526.49,1526.49,
2024-09-09,1510.62,1533.93,1510.62,1529.86,1529.86,
2024-09-10,1532.34,1572.85,1532.34,1564.77,1564.77,
2024-09-11,1565.36,1585.64,1561.4,1564.72,1564.72,
2024-09-12,1582.92,1639.1,1576.92,1633.1,1633.1,
2024-09-13,1637.31,1641.18,1617.53,1620.9,1620.9,
2024-09-16,1620.9,1639.25,1616.59,1621.89,1621.89,
2024-09-17,1636.32,1652.24,1624.92,1647.97,1647.97,
2024-09-18,1641.48,1657.1,1634.19,1641.18,1641.18,
2024-09-19,1634.04,1697.51,1634.04,1651.05,1651.05,
2024-09-20,1657.15,1709.11,1652.19,1697.56,1697.56,
2024-09-23,1704.75,1739.71,1704.75,1735.94,1735.94,
2024-09-24,1737.47,1752.9,1731.62,1742.09,1742.09,
2024-09-25,1741.0,1752.25,1730.53,1745.81,1745.81,
2024-09-26,1755.33,1764.25,1731.67,1756.42,1756.42,
2024-09-27,1740.65,1748.83,1708.22,1720.22,1720.22,
2024-09-30,1699.79,1718.63,1690.07,1695.38,1695.38,
2024-10-01,1690.86,1708.57,1681.94,1684.62,1684.62,
2024-10-03,1651.2,1680.95,1651.2,1659.58,1659.58,
2024-10-04,1656.2,1672.72,1616.64,1627.3,1627.3,
2024-10-07,1637.31,1656.15,1628.83,1648.27,1648.27,
2024-10-08,1648.82,1665.58,1638.3,1643.71,1643.71,
2024-10-09,1652.93,1690.47,1647.28,1664.19,1664.19,
2024-10-10,1672.62,1684.86,1651.2,1664.19,1664.19,
2024-10-11,1664.19,1676.24,1644.9,1673.41,1673.41,
2024-10-14,1672.02,1695.87,1665.43,1681.54,1681.54,
2024-10-15,1693.84,1718.38,1685.86,1703.01,1703.01,
2024-10-16,1705.74,1727.81,1702.86,1719.57,1719.57,
2024-10-17,1722.35,1723.54,1680.35,1687.05,1687.05,
2024-10-18,1695.82,1701.87,1671.23,1693.69,1693.69,
2024-10-21,1691.41,1694.78,1648.22,1678.52,1678.52,
2024-10-22,1677.97,1698.7,1673.36,1678.22,1678.22,
2024-10-23,1675.99,1687.24,1666.17,1671.82,1671.82,
2024-10-24,1673.01,1678.96,1643.66,1664.53,1664.53,
2024-10-25,1667.16,1670.78,1642.12,1652.19,1652.19,
2024-10-28,1644.4,1663.94,1632.01,1649.56,1649.56,
2024-10-29,1636.82,1654.12,1596.65,1623.53,1623.53,
2024-10-30,1614.3,1637.31,1604.39,1619.81,1619.81,
2024-10-31,1620.45,1625.21,1588.87,1599.23,1599.23,
2024-11-01,1606.57,1612.87,1592.04,1603.05,1603.05,
2024-11-04,1605.73,1610.39,1560.01,1578.06,1578.06,
2024-11-05,1570.12,1580.69,1553.02,1565.31,1565.31,
2024-11-06,1569.88,1597.4,1553.51,1585.55,1585.55,
2024-11-07,1582.72,1595.21,1556.64,1562.74,1562.74,
2024-11-08,1557.98,1566.41,1545.93,1556.88,1556.88,
2024-11-11,1548.06,1568.49,1538.93,1547.61,1547.61,
2024-11-12,1555.79,1581.78,1537.25,1542.75,1542.75,
2024-11-13,1546.97,1559.46,1533.53,1537.6,1537.6,
2024-11-14,1537.15,1555.0,1523.81,1537.65,1537.65,
2024-11-18,1555.94,1555.94,1516.77,1524.26,1524.26,
2024-11-19,1524.26,1545.08,1506.7,1512.85,1512.85,
2024-11-21,1525.25,1529.27,1498.47,1512.51,1512.51,
2024-11-22,1520.29,1561.94,1507.6,1556.29,1556.29,
2024-11-25,1568.83,1595.91,1549.6,1565.66,1565.66,
2024-11-26,1576.82,1591.54,1553.02,1564.17,1564.17,
2024-11-27,1556.14,1570.62,1541.27,1564.57,1564.57,
2024-11-28,1557.98,1575.33,1544.04,1547.46,1547.46,
2024-11-29,1538.29,1635.23,1538.29,1613.66,1613.66,
2024-12-02,1613.66,1632.55,1603.79,1629.97,1629.97,
2024-12-03,1639.2,1639.2,1599.78,1607.11,1607.11,
2024-12-04,1616.24,1616.98,1569.28,1570.97,1570.97,
2024-12-05,1586.74,1608.6,1572.21,1601.96,1601.96,
2024-12-06,1604.59,1611.18,1581.58,1584.6,1584.6,
2024-12-09,1582.67,1592.59,1575.88,1589.26,1589.26,
2024-12-10,1597.2,1598.49,1557.03,1565.56,1565.56,
2024-12-11,1574.83,1574.83,1558.17,1572.85,1572.85,
2024-12-12,1565.41,1604.49,1565.41,1597.2,1597.2,
2024-12-13,1604.59,1671.03,1593.48,1667.81,1667.81,
2024-12-16,1667.81,1673.01,1646.39,1648.77,1648.77,
2024-12-17,1636.82,1644.9,1595.16,1601.91,1601.91,
2024-12-18,1607.96,1609.54,1582.87,1588.62,1588.62,
2024-12-19,1573.25,1596.4,1572.31,1587.03,1587.03,
2024-12-20,1596.65,1608.85,1560.36,1565.02,1565.02,
2024-12-23,1572.85,1594.12,1565.26,1573.74,1573.74,
2024-12-24,1576.82,1585.55,1561.94,1570.77,1570.77,
2024-12-26,1570.77,1593.53,1567.99,1586.24,1586.24,
2024-12-27,1586.24,1614.95,1583.07,1586.59,1586.59,
2024-12-30,1591.69,1599.68,1567.99,1573.74,1573.74,
2024-12-31,1569.88,1583.96,1550.39,1574.59,1574.59,
2025-01-01,1579.79,1593.23,1570.92,1582.47,1582.47,
2025-01-02,1586.64,1606.17,1575.23,1596.35,1596.35,
2025-01-03,1601.61,1603.59,1580.09,1585.59,1585.59,
2025-01-06,1582.92,1596.5,1554.11,1575.28,1575.28,
2025-01-07,1580.78,1589.71,1570.92,1577.66,1577.66,
2025-01-08,1585.5,1600.07,1564.77,1585.94,1585.94,
2025-01-09,1586.74,1606.77,1579.2,1593.73,1593.73,
2025-01-10,1594.67,1611.53,1578.6,1602.5,1602.5,
2025-01-13,1566.9,1601.31,1565.02,1583.96,1583.96,
2025-01-14,1591.4,1619.86,1565.41,1586.83,1586.83,
2025-01-15,1594.72,1600.47,1579.79,1594.12,1594.12,
2025-01-16,1605.63,1621.44,1587.28,1616.68,1616.68,
2025-01-17,1616.59,1625.41,1609.54,1614.01,1614.01,
2025-01-20,1624.42,1631.36,1604.68,1627.54,1627.54,
2025-01-21,1640.29,1642.96,1606.87,1612.67,1612.67,
2025-01-22,1614.01,1627.4,1609.1,1618.22,1618.22,
2025-01-23,1611.03,1631.76,1603.79,1622.44,1622.44,
2025-01-24,1620.5,1648.12,1620.5,1631.16,1631.16,
2025-01-27,1625.36,1633.54,1580.49,1589.31,1589.31,
2025-01-28,1594.32,1616.78,1583.76,1604.93,1604.93,
2025-01-29,1606.57,1613.41,1579.94,1587.18,1587.18,
2025-01-30,1593.38,1631.31,1581.97,1627.15,1627.15,
2025-01-31,1625.51,1625.51,1561.2,1612.82,1612.82,
2025-02-01,1613.51,1630.37,1595.86,1609.79,1609.79,
2025-02-03,1606.47,1647.23,1594.77,1638.65,1638.65,
2025-02-04,1648.37,1654.47,1615.54,1647.68,1647.68,
2025-02-05,1656.15,1661.31,1635.43,1646.68,1646.68,
2025-02-06,1652.09,1653.48,1599.88,1606.32,1606.32,
2025-02-07,1621.49,1693.39,1621.44,1662.85,1662.85,
2025-02-10,1684.77,1685.91,1664.14,1679.01,1679.01,
2025-02-11,1691.86,1692.5,1672.22,1682.68,1682.68,
2025-02-12,1689.87,1699.49,1670.53,1697.36,1697.36,
2025-02-13,1695.82,1714.07,1689.77,1700.38,1700.38,
2025-02-14,1699.79,1709.81,1691.11,1702.81,1702.81,
2025-02-17,1697.56,1702.67,1652.44,1661.66,1661.66,
2025-02-18,1677.97,1681.89,1642.07,1655.06,1655.06,
2025-02-19,1656.15,1659.58,1624.87,1631.56,1631.56,
2025-02-20,1626.25,1636.12,1613.76,1629.87,1629.87,
2025-02-21,1629.87,1644.95,1615.69,1625.66,1625.66,
2025-02-24,1613.51,1623.97,1584.75,1588.02,1588.02,
2025-02-25,1583.76,1635.48,1583.76,1627.79,1627.79,
2025-02-27,1629.78,1642.27,1625.06,1636.72,1636.72,
2025-02-28,1628.34,1634.78,1546.57,1557.18,1557.18,
2025-03-03,1565.91,1589.46,1559.71,1582.57,1582.57,
2025-03-04,1575.83,1577.31,1555.0,1562.29,1562.29,
2025-03-05,1564.92,1612.62,1564.02,1604.83,1604.83,
2025-03-06,1604.59,1618.22,1577.26,1613.41,1613.41,
