date,open,high,low,close,adj_close,volume
2024-07-11,328.53,333.82,327.44,331.72,331.72,23370124
2024-07-12,331.03,332.67,320.36,324.94,324.94,19411215
2024-07-15,326.49,327.44,321.15,324.45,324.45,10789487
2024-07-16,324.45,326.49,318.21,319.06,319.06,9882249
2024-07-18,318.81,318.81,305.3,307.69,307.69,21439407
2024-07-19,305.05,306.8,291.89,293.24,293.24,26877331
2024-07-22,293.24,305.45,288.25,304.01,304.01,19646190
2024-07-23,305.7,314.62,282.17,306.45,306.45,65820195
2024-07-24,307.1,312.33,305.95,308.24,308.24,15750887
2024-07-25,304.1,311.58,300.12,310.64,310.64,13306048
2024-07-26,312.58,317.32,309.84,316.37,316.37,16011265
2024-07-29,326.04,326.04,318.16,322.1,322.1,25820136
2024-07-30,322.05,326.04,315.67,316.47,316.47,16317537
2024-07-31,315.47,318.51,310.93,314.32,314.32,26845162
2024-08-01,313.78,319.01,304.95,307.59,307.59,23814781
2024-08-02,302.51,308.69,299.72,300.76,300.76,16899884
2024-08-05,291.14,295.03,284.16,290.79,290.79,25762827
2024-08-06,291.14,301.01,284.86,286.71,286.71,17719054
2024-08-07,292.54,304.7,291.44,303.71,303.71,18911910
2024-08-08,304.01,304.01,296.23,296.98,296.98,11640751
2024-08-09,301.37,305.16,298.52,301.57,301.57,12805164
2024-08-12,299.42,302.02,295.93,298.07,298.07,11827604
2024-08-13,299.92,300.72,288.39,289.34,289.34,11461814
2024-08-14,291.24,292.78,285.7,289.39,289.39,10643943
2024-08-16,292.39,297.03,288.69,295.93,295.93,10118811
2024-08-19,297.28,298.87,292.73,293.13,293.13,9809448
2024-08-20,293.73,296.28,291.04,295.78,295.78,7415963
2024-08-21,295.68,297.08,294.23,296.03,296.03,4898623
2024-08-22,297.38,301.87,296.23,299.02,299.02,12084994
2024-08-23,299.32,300.72,294.63,295.58,295.58,7528035
2024-08-26,297.13,303.36,293.98,296.68,296.68,15560440
2024-08-27,298.27,299.17,295.98,297.18,297.18,6802421
2024-08-28,297.38,298.12,293.33,293.98,293.98,6579323
2024-08-29,294.33,294.33,286.5,290.39,290.39,11000139
2024-08-30,291.09,292.83,289.14,289.94,289.94,9721851
2024-09-02,290.39,291.39,284.45,286.2,286.2,6500598
2024-09-03,286.6,289.59,285.25,285.75,285.75,5677328
2024-09-04,282.91,284.2,276.22,278.12,278.12,14798436
2024-09-05,278.41,279.86,269.68,272.98,272.98,18037015
2024-09-06,271.48,272.63,262.6,263.25,263.25,20003822
2024-09-09,263.15,265.24,257.66,261.5,261.5,17426762
2024-09-10,262.6,267.14,261.3,263.95,263.95,11350960
2024-09-11,264.49,266.64,256.81,258.21,258.21,10164459
2024-09-12,259.6,265.94,259.11,265.44,265.44,12118164
2024-09-13,266.44,266.89,262.7,263.75,263.75,7917998
2024-09-16,263.75,270.13,263.2,268.93,268.93,10495634
2024-09-17,269.18,269.28,263.7,264.29,264.29,7503456
2024-09-18,264.39,267.44,262.2,264.74,264.74,8732556
2024-09-19,266.04,267.19,248.93,256.61,256.61,17353175
2024-09-20,257.91,266.24,257.31,265.59,265.59,13916388
2024-09-23,273.43,275.02,268.64,273.63,273.63,21859230
2024-09-24,274.42,282.86,271.73,281.66,281.66,21252167
