date,open,high,low,close,adj_close,volume
2024-07-11,359.42,359.42,351.03,354.08,354.08,
2024-07-12,354.53,355.52,348.63,350.28,350.28,
2024-07-15,351.53,361.02,350.28,358.67,358.67,
2024-07-16,358.52,360.02,351.98,352.93,352.93,
2024-07-18,352.93,352.93,340.49,342.74,342.74,
2024-07-19,342.84,343.74,333.6,334.75,334.75,
2024-07-22,332.21,338.95,329.56,334.9,334.9,
2024-07-23,337.9,338.1,319.97,336.6,336.6,
2024-07-24,337.25,348.63,335.75,347.54,347.54,
2024-07-25,345.64,363.41,341.89,361.37,361.37,
2024-07-26,365.51,376.3,362.86,368.01,368.01,
2024-07-29,370.3,370.3,359.32,361.37,361.37,
2024-07-30,361.42,364.06,357.92,358.97,358.97,
2024-07-31,360.07,366.31,359.92,361.87,361.87,
2024-08-01,362.02,369.96,353.03,354.28,354.28,
2024-08-02,349.68,362.22,347.59,355.62,355.62,
2024-08-05,343.59,352.38,333.25,339.95,339.95,
2024-08-06,340.94,348.93,331.81,334.05,334.05,
2024-08-07,341.54,347.59,334.85,346.39,346.39,
2024-08-08,346.44,349.08,336.4,338.7,338.7,
2024-08-09,338.7,344.54,332.21,336.5,336.5,
2024-08-12,329.81,341.54,329.81,337.4,337.4,
2024-08-13,337.55,341.54,333.6,336.65,336.65,
2024-08-14,337.15,337.55,322.92,327.21,327.21,
2024-08-16,329.56,341.54,327.66,340.49,340.49,
2024-08-19,341.54,346.94,340.2,344.34,344.34,
2024-08-20,346.04,350.43,342.84,346.29,346.29,
2024-08-21,346.19,355.97,345.09,354.53,354.53,
2024-08-22,356.92,358.57,353.23,356.02,356.02,
2024-08-23,357.52,357.52,350.38,351.13,351.13,
2024-08-26,351.53,355.27,351.53,352.78,352.78,
2024-08-27,353.03,355.77,351.38,352.28,352.28,
2024-08-28,354.53,363.26,353.28,356.22,356.22,
2024-08-29,363.51,364.46,349.58,354.98,354.98,
2024-08-30,355.08,362.47,355.08,358.62,358.62,
2024-09-02,367.51,367.51,358.52,362.91,362.91,
2024-09-03,364.26,366.21,360.57,361.42,361.42,
2024-09-04,359.47,382.69,354.78,378.89,378.89,
2024-09-05,384.49,394.17,380.19,382.34,382.34,
2024-09-06,383.19,385.38,368.56,373.2,373.2,
2024-09-09,372.65,379.14,365.66,377.1,377.1,
2024-09-10,381.49,389.28,377.74,386.08,386.08,
2024-09-11,389.68,394.37,381.99,384.79,384.79,
2024-09-12,388.58,393.32,374.35,376.1,376.1,
2024-09-13,377.94,383.29,371.95,378.44,378.44,
2024-09-16,381.99,394.32,379.79,390.68,390.68,
2024-09-17,393.07,395.27,373.8,375.35,375.35,
2024-09-18,374.5,375.25,359.52,363.16,363.16,
2024-09-19,364.51,368.51,350.53,361.02,361.02,
2024-09-20,362.81,366.71,359.92,364.86,364.86,
2024-09-23,364.86,372.35,363.11,369.86,369.86,
2024-09-24,369.86,377.5,365.56,375.35,375.35,
2024-09-25,377.3,381.29,368.11,370.95,370.95,
2024-09-26,371.5,374.2,367.76,372.35,372.35,
2024-09-27,375.45,378.24,367.41,368.36,368.36,
2024-09-30,361.52,368.71,360.67,362.62,362.62,
2024-10-01,361.92,371.3,361.37,370.16,370.16,
2024-10-03,361.92,368.86,352.28,356.07,356.07,
2024-10-04,358.87,359.67,344.64,345.89,345.89,
2024-10-07,346.09,348.93,334.15,339.55,339.55,
2024-10-08,339.05,344.89,335.5,342.24,342.24,
2024-10-09,344.54,352.23,342.99,346.59,346.59,
2024-10-10,349.23,351.28,344.34,345.34,345.34,
2024-10-11,345.44,348.83,343.99,345.69,345.69,
2024-10-14,346.59,347.64,342.69,346.04,346.04,
2024-10-15,346.54,352.88,345.89,351.73,351.73,
2024-10-16,351.38,352.93,342.69,346.19,346.19,
2024-10-17,347.93,347.98,337.2,338.6,338.6,
2024-10-18,337.0,342.09,332.06,339.5,339.5,
2024-10-21,339.55,342.69,334.9,336.95,336.95,
2024-10-22,335.6,339.15,324.12,325.36,325.36,
2024-10-23,323.57,333.25,322.52,324.77,324.77,
2024-10-24,327.46,328.61,319.82,322.22,322.22,
2024-10-25,322.27,324.22,304.24,311.58,311.58,
2024-10-28,313.53,325.32,312.83,323.32,323.32,
2024-10-29,323.37,328.06,315.33,326.56,326.56,
2024-10-30,323.57,326.96,318.77,320.27,320.27,
2024-10-31,305.09,322.67,302.6,315.68,315.68,
2024-11-01,315.78,318.47,314.98,317.38,317.38,
2024-11-04,317.08,317.08,305.69,310.48,310.48,
2024-11-05,310.48,316.48,308.84,315.28,315.28,
2024-11-06,317.63,324.37,315.28,322.42,322.42,
2024-11-07,323.47,329.06,321.72,327.56,327.56,
2024-11-08,328.56,331.46,319.17,320.87,320.87,
2024-11-11,328.56,350.33,325.56,348.23,348.23,
2024-11-12,348.23,353.08,345.39,347.04,347.04,
2024-11-13,344.74,346.44,328.06,331.11,331.11,
2024-11-14,333.4,339.4,330.11,335.35,335.35,
2024-11-18,336.0,337.2,324.27,324.92,324.92,
2024-11-19,326.51,333.75,324.77,326.61,326.61,
2024-11-21,326.86,327.96,319.07,322.67,322.67,
2024-11-22,322.67,332.16,322.17,331.06,331.06,
2024-11-25,334.55,338.5,333.1,335.9,335.9,
2024-11-26,335.9,354.98,335.6,352.18,352.18,
2024-11-27,353.53,359.52,348.73,358.17,358.17,
2024-11-28,359.52,366.16,357.57,363.46,363.46,
2024-11-29,360.92,367.81,360.87,364.66,364.66,
2024-12-02,374.5,379.49,367.56,374.85,374.85,
2024-12-03,373.95,376.7,372.3,373.35,373.35,
2024-12-04,373.4,380.49,368.61,379.19,379.19,
2024-12-05,379.49,380.89,372.0,374.75,374.75,
2024-12-06,376.0,380.99,372.25,379.54,379.54,
2024-12-09,377.5,380.29,363.46,369.11,369.11,
2024-12-10,369.51,374.45,363.51,368.71,368.71,
2024-12-11,367.01,371.7,366.51,367.36,367.36,
2024-12-12,367.91,368.86,355.03,356.22,356.22,
2024-12-13,355.52,356.32,346.29,352.33,352.33,
2024-12-16,356.52,358.17,350.28,353.23,353.23,
2024-12-17,353.53,354.38,348.98,350.48,350.48,
2024-12-18,348.63,357.32,345.99,347.59,347.59,
2024-12-19,344.54,351.08,342.04,349.88,349.88,
2024-12-20,349.53,350.83,334.7,335.5,335.5,
2024-12-23,338.0,339.15,328.56,329.11,329.11,
2024-12-24,332.11,347.24,331.61,344.04,344.04,
2024-12-26,342.29,347.44,339.45,345.99,345.99,
2024-12-27,346.29,353.43,345.99,352.08,352.08,
2024-12-30,354.53,368.46,351.73,367.21,367.21,
2024-12-31,365.26,368.01,360.57,364.86,364.86,
2025-01-01,366.41,369.86,362.22,368.31,368.31,
2025-01-02,368.31,373.5,366.81,372.75,372.75,
2025-01-03,376.45,376.5,367.51,368.76,368.76,
2025-01-06,368.96,372.3,356.27,357.62,357.62,
2025-01-07,362.62,388.43,362.62,381.84,381.84,
2025-01-08,380.49,383.14,367.91,370.7,370.7,
2025-01-09,370.7,375.5,368.51,370.21,370.21,
2025-01-10,369.46,370.06,357.47,360.47,360.47,
2025-01-13,370.5,377.0,359.97,364.71,364.71,
2025-01-14,371.35,390.68,369.76,387.13,387.13,
2025-01-15,389.58,390.98,377.94,381.54,381.54,
2025-01-16,383.54,396.22,381.59,392.63,392.63,
2025-01-17,393.47,397.27,386.83,393.17,393.17,
2025-01-20,394.47,402.36,390.23,401.01,401.01,
2025-01-21,402.46,404.16,388.73,390.03,390.03,
2025-01-22,390.03,391.83,379.59,387.53,387.53,
2025-01-23,385.04,399.12,385.04,396.77,396.77,
2025-01-24,396.77,397.27,385.88,387.73,387.73,
2025-01-27,387.73,387.73,368.91,369.76,369.76,
2025-01-28,371.5,371.95,349.93,359.42,359.42,
2025-01-29,359.72,370.85,351.33,355.23,355.23,
2025-01-30,357.52,361.87,352.78,356.52,356.52,
2025-01-31,346.64,370.4,346.64,362.07,362.07,
2025-02-01,360.77,375.15,358.02,369.96,369.96,
2025-02-03,364.46,367.31,358.92,363.96,363.96,
2025-02-04,366.51,373.15,366.01,370.55,370.55,
2025-02-05,370.95,393.22,370.95,389.73,389.73,
2025-02-06,389.73,399.07,389.73,396.42,396.42,
2025-02-07,396.42,398.42,384.64,386.28,386.28,
2025-02-10,385.43,385.68,373.7,376.65,376.65,
2025-02-11,378.04,378.19,359.52,361.52,361.52,
2025-02-12,360.47,361.47,342.29,355.47,355.47,
2025-02-13,357.72,368.06,357.72,358.82,358.82,
2025-02-14,362.27,362.27,343.79,348.88,348.88,
2025-02-17,348.83,352.38,337.55,347.09,347.09,
2025-02-18,350.63,350.63,333.7,337.75,337.75,
2025-02-19,335.65,339.5,329.16,336.35,336.35,
2025-02-20,334.55,336.85,329.41,335.55,335.55,
2025-02-21,335.55,338.55,319.97,322.07,322.07,
2025-02-24,319.57,324.82,315.18,320.42,320.42,
2025-02-25,323.62,328.56,319.17,320.77,320.77,
2025-02-27,321.82,322.37,308.24,311.43,311.43,
2025-02-28,311.33,311.38,298.15,302.05,302.05,
2025-03-03,303.59,305.74,290.61,304.64,304.64,
2025-03-04,303.39,315.23,297.0,314.38,314.38,
2025-03-05,317.33,325.51,316.33,324.42,324.42,
2025-03-06,326.41,334.2,323.87,332.56,332.56,
2025-03-07,335.35,338.45,331.46,333.25,333.25,
2025-03-10,334.55,336.65,326.06,327.71,327.71,
2025-03-11,324.77,330.76,322.52,328.46,328.46,
2025-03-12,327.71,330.46,322.97,324.67,324.67,
2025-03-13,325.56,326.06,321.07,322.62,322.62,
2025-03-17,324.37,333.45,323.12,332.81,332.81,
2025-03-18,332.81,332.81,332.81,332.81,332.81,
2025-03-19,338.25,342.74,333.6,341.44,341.44,
2025-03-20,344.14,344.14,337.9,340.64,340.64,
2025-03-21,340.64,345.94,339.75,343.64,343.64,
2025-03-24,347.54,351.33,344.59,348.83,348.83,
2025-03-25,349.53,354.28,344.64,347.69,347.69,
2025-03-26,347.54,352.13,345.34,347.83,347.83,
2025-03-27,348.03,349.78,342.04,345.09,345.09,
2025-03-28,344.49,348.83,338.9,341.24,341.24,
2025-04-01,338.05,348.08,337.75,338.65,338.65,
2025-04-02,337.4,344.04,334.4,341.59,341.59,
2025-04-03,348.53,356.92,343.74,345.29,345.29,
2025-04-04,342.09,342.74,320.87,327.36,327.36,
2025-04-07,298.7,311.33,298.6,307.09,307.09,
2025-04-08,311.63,326.96,308.09,321.87,321.87,
2025-04-09,315.23,315.68,304.59,305.89,305.89,
2025-04-11,319.57,322.57,313.18,316.13,316.13,
2025-04-15,320.57,330.21,319.27,328.41,328.41,
2025-04-16,328.61,331.26,327.01,328.71,328.71,
2025-04-17,328.66,332.56,327.11,330.86,330.86,
2025-04-21,335.35,335.35,328.76,331.46,331.46,
2025-04-22,332.01,336.8,327.26,333.35,333.35,
2025-04-23,335.7,339.05,332.66,335.25,335.25,
2025-04-24,333.55,334.55,324.62,326.31,326.31,
2025-04-25,326.31,327.96,308.04,311.43,311.43,
2025-04-28,314.43,322.02,312.58,320.42,320.42,
2025-04-29,320.57,323.42,316.28,318.42,318.42,
2025-04-30,319.02,324.77,316.58,321.37,321.37,
2025-05-02,321.37,324.07,317.38,317.73,317.73,
2025-05-05,321.57,336.35,321.57,335.45,335.45,
2025-05-06,334.35,345.04,331.61,340.99,340.99,
2025-05-07,335.65,348.38,335.65,346.04,346.04,
2025-05-08,345.54,349.53,331.91,334.15,334.15,
2025-05-09,333.05,340.34,327.56,329.46,329.46,
2025-05-12,334.55,335.85,317.48,327.71,327.71,
2025-05-13,330.36,337.05,328.36,329.41,329.41,
2025-05-14,332.95,339.5,329.11,337.75,337.75,
2025-05-15,338.55,341.29,333.6,338.15,338.15,
2025-05-16,341.54,343.94,338.15,338.95,338.95,
2025-05-19,339.4,344.69,338.05,341.14,341.14,
2025-05-20,341.64,343.74,331.11,332.06,332.06,
2025-05-21,334.05,340.74,332.9,340.2,340.2,
2025-05-22,340.15,340.15,329.71,332.66,332.66,
2025-05-23,334.55,335.35,328.56,330.31,330.31,
2025-05-26,331.66,334.85,330.71,331.91,331.91,
2025-05-27,333.5,335.35,329.61,334.6,334.6,
2025-05-28,335.55,337.8,332.81,333.9,333.9,
2025-05-29,335.55,337.0,332.11,335.15,335.15,
2025-05-30,334.6,337.15,330.96,335.4,335.4,
2025-06-02,335.4,336.55,330.16,333.55,333.55,
2025-06-03,339.55,339.55,334.0,336.75,336.75,
2025-06-04,338.05,338.05,332.66,335.95,335.95,
2025-06-05,334.65,338.05,329.06,330.16,330.16,
2025-06-06,331.51,331.76,327.16,329.61,329.61,
2025-06-09,332.46,341.39,330.46,337.7,337.7,
2025-06-10,339.35,347.69,339.1,340.74,340.74,
2025-06-11,340.74,355.52,337.65,353.98,353.98,
2025-06-12,354.53,357.27,349.03,351.78,351.78,
2025-06-13,347.49,357.42,344.54,354.93,354.93,
2025-06-16,357.82,358.57,347.78,356.77,356.77,
2025-06-17,354.53,364.16,349.38,352.18,352.18,
2025-06-18,351.53,351.53,339.65,341.54,341.54,
2025-06-19,342.54,350.48,342.54,348.13,348.13,
2025-06-20,347.59,352.43,344.09,350.88,350.88,
2025-06-23,347.49,355.27,347.39,351.73,351.73,
2025-06-24,349.53,351.03,345.19,348.73,348.73,
2025-06-25,349.88,354.98,342.59,350.93,350.93,
2025-06-26,353.08,356.52,348.98,350.03,350.03,
2025-06-27,351.53,355.08,349.53,353.93,353.93,
2025-06-30,354.53,356.12,349.08,355.23,355.23,
2025-07-01,355.52,362.96,353.53,362.02,362.02,
2025-07-02,362.72,371.7,362.02,368.06,368.06,
2025-07-03,371.7,375.8,366.61,373.95,373.95,
2025-07-04,374.45,381.0,372.7,380.05,380.05,
2025-07-07,381.95,382.0,371.45,372.1,372.1,
2025-07-08,372.45,373.95,366.55,369.35,369.35,
2025-07-09,369.0,379.35,369.0,373.55,373.55,
2025-07-10,375.0,377.1,370.0,372.4,372.4,
2025-07-11,372.9,377.4,372.2,374.2,374.2,
2025-07-14,372.85,381.25,369.0,379.1,379.1,
2025-07-15,380.9,391.5,380.75,390.45,390.45,
2025-07-16,399.5,405.9,393.2,394.65,394.65,
2025-07-17,396.25,398.8,392.65,397.0,397.0,
2025-07-18,397.2,406.0,396.35,398.75,398.75,
2025-07-21,399.85,399.85,393.5,394.65,394.65,
2025-07-22,394.05,394.75,386.3,387.2,387.2,
2025-07-23,384.6,398.4,384.6,396.95,396.95,
2025-07-24,396.8,404.5,396.1,397.6,397.6,
2025-07-25,395.0,399.75,392.2,394.15,394.15,
2025-07-28,394.1,403.2,386.55,387.45,387.45,
