date,open,high,low,close,adj_close,volume
2024-07-11,1712.64,1760.91,1690.69,1743.26,1743.26,519127
2024-07-12,1735.58,1735.58,1681.32,1693.51,1693.51,262051
2024-07-15,1703.67,1712.89,1665.07,1669.23,1669.23,188703
2024-07-16,1671.51,1734.44,1669.03,1722.2,1722.2,433520
2024-07-18,1724.53,1736.08,1646.23,1680.53,1680.53,407094
2024-07-19,1674.06,1687.74,1594.04,1632.21,1632.21,368542
2024-07-22,1603.3,1639.47,1585.38,1631.81,1631.81,179659
2024-07-23,1631.76,1691.87,1547.07,1673.31,1673.31,465206
2024-07-24,1675.7,1692.67,1642.16,1651.72,1651.72,204858
2024-07-25,1641.12,1669.48,1617.13,1655.8,1655.8,112038
2024-07-26,1666.99,1711.78,1642.36,1705.31,1705.31,241109
2024-07-29,1706.8,1751.59,1676.94,1733.62,1733.62,250121
2024-07-30,1736.66,1756.56,1706.85,1715.31,1715.31,200143
2024-07-31,1712.37,1745.42,1707.45,1715.46,1715.46,247262
2024-08-01,1729.64,1755.52,1719.09,1747.85,1747.85,299348
2024-08-02,1736.66,1738.9,1696.9,1706.95,1706.95,136180
2024-08-05,1648.08,1660.87,1595.88,1619.17,1619.17,473647
2024-08-06,1649.03,1649.03,1540.75,1581.75,1581.75,765159
2024-08-07,1598.32,1621.21,1531.74,1614.3,1614.3,705684
2024-08-08,1613.15,1640.12,1587.33,1611.31,1611.31,288203
2024-08-09,1632.16,1642.11,1588.37,1597.13,1597.13,206295
2024-08-12,1593.35,1622.21,1557.57,1609.87,1609.87,363911
2024-08-13,1632.66,1720.73,1622.8,1705.51,1705.51,1343852
2024-08-14,1721.73,1727.25,1666.49,1715.51,1715.51,439338
2024-08-16,1720.09,1740.64,1691.92,1710.43,1710.43,582461
2024-08-19,1715.01,1738.75,1694.71,1723.62,1723.62,290352
2024-08-20,1732.68,1749.5,1663.51,1699.39,1699.39,506173
2024-08-21,1702.22,1711.43,1676.45,1697.99,1697.99,293187
2024-08-22,1716.6,1770.5,1703.22,1738.15,1738.15,752669
2024-08-23,1751.29,1751.29,1702.92,1715.36,1715.36,228930
2024-08-26,1715.36,1728.3,1663.01,1680.88,1680.88,434665
2024-08-27,1691.87,1741.58,1682.22,1718.54,1718.54,387300
2024-08-28,1718.54,1743.18,1710.98,1738.3,1738.3,322096
2024-08-29,1753.08,1756.36,1683.91,1687.79,1687.79,293096
2024-08-30,1695.75,1715.61,1672.52,1695.75,1695.75,622412
2024-09-02,1695.75,1695.75,1643.75,1652.66,1652.66,383618
2024-09-03,1660.03,1679.93,1642.11,1675.7,1675.7,226680
2024-09-04,1676.25,1724.02,1663.51,1691.38,1691.38,423084
2024-09-05,1701.83,1715.56,1677.94,1686.6,1686.6,265097
2024-09-06,1696.85,1735.16,1683.71,1716.21,1716.21,686477
2024-09-09,1729.39,1787.02,1714.41,1780.75,1780.75,1059285
