date,open,high,low,close,adj_close,volume
2024-07-11,269.34,274.69,267.2,273.44,273.44,
2024-07-12,276.21,277.32,270.9,271.61,271.61,
2024-07-15,272.91,275.58,271.26,274.47,274.47,
2024-07-16,274.69,284.72,274.69,281.78,281.78,
2024-07-18,284.06,284.5,278.88,283.74,283.74,
2024-07-19,283.74,283.74,269.16,270.95,270.95,
2024-07-22,271.61,282.85,267.65,274.91,274.91,
2024-07-23,277.77,278.53,264.08,272.91,272.91,
2024-07-24,273.26,281.69,271.88,280.89,280.89,
2024-07-25,279.11,291.77,277.19,290.88,290.88,
2024-07-26,292.48,293.78,288.43,293.24,293.24,
2024-07-29,297.34,302.29,295.25,301.36,301.36,
2024-07-30,301.94,320.22,300.82,310.54,310.54,
2024-07-31,313.93,315.81,308.72,312.19,312.19,
2024-08-01,313.04,313.84,307.33,311.35,311.35,
2024-08-02,309.38,313.0,303.27,309.56,309.56,
2024-08-05,305.01,309.43,298.24,304.75,304.75,
2024-08-06,305.91,311.84,297.34,298.5,298.5,
2024-08-07,304.3,310.14,300.91,306.49,306.49,
2024-08-08,306.75,306.75,296.81,301.71,301.71,
2024-08-09,306.64,309.91,303.55,306.87,306.87,
2024-08-12,305.4,310.0,303.92,306.87,306.87,
2024-08-13,305.53,306.27,295.46,296.1,296.1,
2024-08-14,296.1,301.39,295.13,299.18,299.18,
2024-08-16,300.1,307.24,300.1,306.04,306.04,
2024-08-19,310.92,318.05,309.58,316.44,316.44,
2024-08-20,321.18,325.92,319.75,321.6,321.6,
2024-08-21,321.55,327.3,320.44,323.25,323.25,
2024-08-22,326.38,326.84,320.81,322.24,322.24,
2024-08-23,321.96,329.51,321.73,324.17,324.17,
2024-08-26,327.16,327.58,321.23,323.21,323.21,
2024-08-27,320.31,322.84,316.16,321.27,321.27,
2024-08-28,320.77,327.44,319.06,320.44,320.44,
2024-08-29,321.96,329.1,319.52,328.08,328.08,
2024-08-30,331.31,336.41,326.52,329.19,329.19,
2024-09-02,332.27,337.98,329.05,329.92,329.92,
2024-09-03,330.89,331.08,325.37,327.12,327.12,
2024-09-04,327.12,334.99,326.43,328.82,328.82,
2024-09-05,330.89,335.36,327.44,332.0,332.0,
2024-09-06,333.51,336.18,323.11,324.13,324.13,
2024-09-09,324.08,325.41,319.48,320.12,320.12,
2024-09-10,321.23,323.53,317.22,318.42,318.42,
2024-09-11,322.1,324.72,311.61,313.17,313.17,
2024-09-12,316.12,318.65,313.31,316.9,316.9,
2024-09-13,318.47,321.92,314.46,315.06,315.06,
2024-09-16,317.45,317.45,312.94,313.54,313.54,
2024-09-17,312.9,313.73,308.39,311.47,311.47,
2024-09-18,312.02,312.85,307.83,309.35,309.35,
2024-09-19,311.06,311.06,297.25,298.63,298.63,
2024-09-20,300.47,306.59,298.63,304.84,304.84,
2024-09-23,306.5,312.48,304.94,311.19,311.19,
2024-09-24,311.61,315.89,309.91,312.16,312.16,
2024-09-25,313.86,314.6,308.48,312.76,312.76,
2024-09-26,312.94,319.34,308.48,317.64,317.64,
2024-09-27,319.39,341.02,318.79,338.07,338.07,
2024-09-30,337.93,346.08,331.49,340.51,340.51,
2024-10-01,340.56,343.64,335.17,338.95,338.95,
2024-10-03,325.6,332.82,319.39,321.09,321.09,
2024-10-04,315.24,320.26,307.74,313.17,313.17,
2024-10-07,314.78,315.98,306.32,308.34,308.34,
2024-10-08,305.12,312.44,302.13,311.1,311.1,
2024-10-09,317.55,322.15,310.87,311.88,311.88,
2024-10-10,314.78,315.98,307.93,308.76,308.76,
2024-10-11,308.76,312.39,307.42,310.78,310.78,
2024-10-14,312.94,317.18,310.41,313.63,313.63,
2024-10-15,316.81,323.53,316.53,321.0,321.0,
2024-10-16,323.99,327.58,320.35,322.84,322.84,
2024-10-17,321.37,322.7,314.65,315.43,315.43,
2024-10-18,315.43,316.53,307.7,315.24,315.24,
2024-10-21,315.29,318.01,303.92,305.26,305.26,
2024-10-22,305.58,306.09,296.38,297.2,297.2,
2024-10-23,296.38,299.92,291.36,297.34,297.34,
2024-10-24,297.3,299.51,294.53,295.87,295.87,
2024-10-25,297.71,297.85,278.98,281.92,281.92,
2024-10-28,282.85,290.39,281.0,285.7,285.7,
2024-10-29,287.17,288.05,278.2,286.67,286.67,
2024-10-30,284.41,289.84,282.89,286.53,286.53,
2024-10-31,285.79,291.04,283.31,286.02,286.02,
2024-11-01,287.13,288.87,286.99,288.09,288.09,
2024-11-04,288.09,288.55,274.38,279.3,279.3,
2024-11-05,277.05,284.46,276.31,283.44,283.44,
2024-11-06,286.99,293.61,282.8,291.77,291.77,
2024-11-07,291.18,292.42,286.34,289.93,289.93,
2024-11-08,289.93,290.02,282.39,285.74,285.74,
2024-11-11,283.49,289.01,279.85,287.68,287.68,
2024-11-12,289.1,293.2,284.46,285.15,285.15,
2024-11-13,283.44,284.41,277.97,281.51,281.51,
2024-11-14,281.46,281.65,272.81,274.47,274.47,
2024-11-18,274.42,275.8,265.36,266.19,266.19,
2024-11-19,269.36,274.19,263.7,264.62,264.62,
2024-11-21,264.58,264.58,257.12,259.93,259.93,
2024-11-22,260.11,264.16,258.68,263.1,263.1,
2024-11-25,268.81,280.18,268.76,272.95,272.95,
2024-11-26,274.24,277.05,270.01,270.47,270.47,
2024-11-27,273.32,273.37,267.89,270.1,270.1,
2024-11-28,271.02,274.98,266.46,267.8,267.8,
2024-11-29,269.13,270.83,266.37,268.86,268.86,
2024-12-02,269.36,272.35,267.38,270.74,270.74,
2024-12-03,273.83,274.1,268.81,270.83,270.83,
2024-12-04,270.79,275.71,269.55,270.28,270.28,
2024-12-05,271.62,274.52,268.12,273.37,273.37,
2024-12-06,274.19,279.72,272.81,276.45,276.45,
2024-12-09,277.0,279.99,275.3,279.3,279.3,
2024-12-10,278.24,282.29,276.91,279.35,279.35,
2024-12-11,279.3,284.36,278.06,282.98,282.98,
2024-12-12,282.62,282.98,277.32,278.11,278.11,
2024-12-13,277.97,280.87,272.44,277.69,277.69,
2024-12-16,277.0,277.69,272.26,274.24,274.24,
2024-12-17,275.99,275.99,268.86,269.68,269.68,
2024-12-18,268.53,269.68,264.76,265.36,265.36,
2024-12-19,259.6,272.31,259.6,271.11,271.11,
2024-12-20,270.19,275.39,264.16,266.05,266.05,
2024-12-23,268.76,271.43,265.08,266.09,266.09,
2024-12-24,266.88,271.94,264.48,268.76,268.76,
2024-12-26,271.39,275.48,269.27,272.08,272.08,
2024-12-27,271.57,273.73,269.22,270.19,270.19,
2024-12-30,270.19,271.75,266.69,269.96,269.96,
2024-12-31,268.26,270.97,267.66,269.18,269.18,
2025-01-01,269.04,272.35,267.2,271.8,271.8,
2025-01-02,271.8,274.01,268.58,273.27,273.27,
2025-01-03,272.44,275.34,270.93,272.81,272.81,
2025-01-06,272.81,273.6,261.49,262.18,262.18,
2025-01-07,264.25,267.38,258.36,260.3,260.3,
2025-01-08,260.3,264.99,258.18,263.98,263.98,
2025-01-09,264.16,264.94,256.84,257.72,257.72,
2025-01-10,258.18,260.94,253.67,255.55,255.55,
2025-01-13,249.66,252.84,243.22,244.19,244.19,
2025-01-14,245.84,249.89,244.83,248.7,248.7,
2025-01-15,252.1,253.94,244.14,245.75,245.75,
2025-01-16,246.07,247.55,242.53,245.66,245.66,
2025-01-17,247.41,253.3,245.98,251.83,251.83,
2025-01-20,253.12,256.25,247.41,255.23,255.23,
2025-01-21,256.38,264.16,256.02,257.9,257.9,
2025-01-22,259.56,260.99,252.24,255.51,255.51,
2025-01-23,260.48,262.32,248.79,249.66,249.66,
2025-01-24,252.2,257.17,242.07,242.81,242.81,
2025-01-27,242.72,242.72,237.79,240.51,240.51,
2025-01-28,241.38,242.9,234.06,237.51,237.51,
2025-01-29,241.18,242.11,236.06,241.22,241.22,
2025-01-30,243.94,244.88,240.75,241.36,241.36,
2025-01-31,242.07,245.92,238.64,245.07,245.07,
2025-02-01,245.68,245.96,232.77,239.96,239.96,
2025-02-03,235.54,236.34,227.33,234.23,234.23,
2025-02-04,235.26,240.89,234.84,240.24,240.24,
2025-02-05,244.27,249.34,244.27,245.21,245.21,
2025-02-06,246.85,250.8,245.59,246.43,246.43,
2025-02-07,246.01,248.64,244.08,248.07,248.07,
2025-02-10,248.31,249.48,241.69,243.94,243.94,
2025-02-11,243.57,243.8,238.17,239.49,239.49,
2025-02-12,239.49,241.03,233.76,239.91,239.91,
2025-02-13,240.47,244.13,239.34,240.05,240.05,
2025-02-14,240.66,242.72,232.26,235.59,235.59,
2025-02-17,235.59,237.98,231.23,236.81,236.81,
2025-02-18,236.76,237.98,231.7,237.23,237.23,
2025-02-19,235.59,240.71,234.23,239.91,239.91,
2025-02-20,238.41,243.71,237.66,242.72,242.72,
2025-02-21,242.16,243.47,235.26,235.87,235.87,
2025-02-24,235.83,237.94,233.48,235.59,235.59,
2025-02-25,236.44,237.37,232.49,233.2,233.2,
2025-02-27,233.2,234.09,227.24,229.72,229.72,
2025-02-28,229.07,229.07,221.65,222.73,222.73,
2025-03-03,224.33,228.68,219.64,227.53,227.53,
2025-03-04,226.2,235.53,221.61,234.58,234.58,
2025-03-05,234.56,241.16,234.56,240.13,240.13,
2025-03-06,244.04,249.62,243.1,248.77,248.77,
2025-03-07,248.69,249.47,244.04,245.22,245.22,
2025-03-10,245.22,249.63,240.34,241.16,241.16,
2025-03-11,240.27,248.7,238.73,248.34,248.34,
2025-03-12,250.14,255.3,247.23,249.97,249.97,
2025-03-13,249.97,250.3,245.92,248.18,248.18,
2025-03-17,245.08,247.5,242.45,245.37,245.37,
2025-03-18,245.37,245.37,245.37,245.37,245.37,
2025-03-19,247.33,250.13,246.86,248.98,248.98,
2025-03-20,250.23,256.17,248.5,255.42,255.42,
2025-03-21,255.49,268.3,254.42,262.49,262.49,
2025-03-24,264.69,267.78,262.81,263.22,263.22,
2025-03-25,263.35,266.53,260.16,261.97,261.97,
2025-03-26,260.93,265.94,255.42,256.25,256.25,
2025-03-27,256.61,262.67,255.47,259.11,259.11,
2025-03-28,259.98,266.87,259.34,261.37,261.37,
2025-04-01,258.12,269.38,258.12,267.13,267.13,
2025-04-02,265.67,270.37,260.65,269.19,269.19,
2025-04-03,265.63,273.51,265.63,269.19,269.19,
2025-04-04,274.21,277.55,260.04,262.29,262.29,
2025-04-07,245.92,261.97,245.92,256.9,256.9,
2025-04-08,262.34,269.85,258.21,268.35,268.35,
2025-04-09,270.98,272.81,262.43,270.27,270.27,
2025-04-11,278.25,278.25,268.91,275.2,275.2,
2025-04-15,278.58,278.58,273.23,276.33,276.33,
2025-04-16,275.95,282.1,274.59,280.41,280.41,
2025-04-17,279.71,283.22,277.31,280.03,280.03,
2025-04-21,281.44,286.79,279.71,285.38,285.38,
2025-04-22,286.28,289.56,284.07,287.31,287.31,
2025-04-23,287.31,287.82,279.99,282.0,282.0,
2025-04-24,284.35,286.74,281.86,283.46,283.46,
2025-04-25,283.79,286.23,275.29,277.55,277.55,
2025-04-28,275.11,291.86,275.11,290.97,290.97,
2025-04-29,292.42,296.22,290.78,292.56,292.56,
2025-04-30,299.42,302.65,290.03,291.02,291.02,
2025-05-02,291.48,298.01,290.87,292.28,292.28,
2025-05-05,297.54,305.85,296.6,301.34,301.34,
2025-05-06,301.39,302.42,291.48,292.33,292.33,
2025-05-07,288.15,298.01,288.15,297.44,297.44,
2025-05-08,296.13,300.54,286.93,289.04,289.04,
2025-05-09,283.98,288.48,282.85,288.01,288.01,
2025-05-12,295.66,296.55,288.29,290.08,290.08,
2025-05-13,290.08,291.53,285.81,288.06,288.06,
2025-05-14,289.75,294.3,289.47,293.31,293.31,
2025-05-15,294.72,300.54,294.25,297.54,297.54,
2025-05-16,296.6,301.29,296.41,300.45,300.45,
2025-05-19,298.99,299.93,296.74,297.73,297.73,
2025-05-20,297.54,300.03,292.61,293.69,293.69,
2025-05-21,293.13,297.3,290.36,296.46,296.46,
2025-05-22,295.57,299.32,289.75,293.83,293.83,
2025-05-23,292.85,300.35,292.85,299.32,299.32,
2025-05-26,299.42,304.06,299.42,303.12,303.12,
2025-05-27,303.08,303.08,296.13,297.54,297.54,
2025-05-28,297.54,302.79,294.49,301.95,301.95,
2025-05-29,301.48,302.75,298.1,299.56,299.56,
2025-05-30,298.05,302.61,297.54,298.85,298.85,
2025-06-02,298.85,299.89,296.27,297.16,297.16,
2025-06-03,295.71,301.25,290.03,290.73,290.73,
2025-06-04,290.73,293.46,289.65,292.42,292.42,
2025-06-05,292.0,296.04,289.33,290.78,290.78,
2025-06-06,290.03,298.34,290.03,297.26,297.26,
2025-06-09,298.29,301.72,295.66,300.73,300.73,
2025-06-10,301.48,304.77,299.79,300.45,300.45,
2025-06-11,300.64,313.96,300.64,313.35,313.35,
2025-06-12,310.21,310.68,298.24,299.09,299.09,
2025-06-13,286.28,295.1,280.93,293.13,293.13,
2025-06-16,290.92,297.4,289.56,296.98,296.98,
2025-06-17,294.72,300.78,292.56,293.6,293.6,
2025-06-18,292.85,297.4,290.69,296.46,296.46,
2025-06-19,297.54,297.54,291.06,294.21,294.21,
2025-06-20,291.81,296.51,290.97,294.25,294.25,
2025-06-23,290.97,296.13,289.28,294.21,294.21,
2025-06-24,305.52,307.68,297.54,299.65,299.65,
2025-06-25,302.7,303.17,297.16,299.98,299.98,
2025-06-26,299.28,310.68,299.28,309.51,309.51,
2025-06-27,309.74,313.68,307.3,312.56,312.56,
2025-06-30,313.49,316.97,310.07,311.57,311.57,
2025-07-01,311.2,314.9,310.59,311.66,311.66,
2025-07-02,313.21,314.39,308.61,311.43,311.43,
2025-07-03,312.56,314.95,310.26,311.15,311.15,
2025-07-04,313.49,326.35,311.52,324.95,324.95,
