date,open,high,low,close,adj_close,volume
2024-07-11,5651.41,5656.29,5573.46,5613.71,5613.71,
2024-07-12,5631.93,5656.29,5566.84,5638.8,5638.8,
2024-07-15,5658.24,5697.94,5639.72,5660.87,5660.87,
2024-07-16,5663.11,5729.36,5622.28,5712.17,5712.17,
2024-07-18,5696.77,5768.34,5670.9,5721.08,5721.08,
2024-07-19,5700.13,5824.85,5696.87,5727.37,5727.37,
2024-07-22,5727.37,5781.69,5692.34,5737.01,5737.01,
2024-07-23,5737.01,5851.16,5690.97,5792.46,5792.46,
2024-07-24,5796.99,5821.35,5666.03,5680.16,5680.16,
2024-07-25,5675.68,5714.75,5653.07,5680.26,5680.26,
2024-07-26,5680.65,5731.95,5664.18,5722.35,5722.35,
2024-07-29,5746.9,5804.98,5690.44,5746.51,5746.51,
2024-07-30,5747.29,5835.96,5681.91,5692.53,5692.53,
2024-07-31,5745.93,5745.93,5622.33,5636.26,5636.26,
2024-08-01,5636.26,5690.29,5553.98,5583.35,5583.35,
2024-08-02,5561.82,5659.21,5486.06,5573.81,5573.81,
2024-08-05,5636.09,5767.37,5576.96,5624.19,5624.19,
2024-08-06,5650.5,5844.41,5636.29,5778.77,5778.77,
2024-08-07,5814.01,5848.16,5733.91,5761.3,5761.3,
2024-08-08,5769.15,5786.12,5650.94,5670.34,5670.34,
2024-08-09,5695.76,5710.71,5646.01,5666.05,5666.05,
2024-08-12,5670.69,5699.8,5552.24,5572.72,5572.72,
2024-08-13,5605.49,5641.02,5544.39,5593.2,5593.2,
2024-08-14,5602.58,5621.53,5521.79,5585.95,5585.95,
2024-08-16,5597.15,5668.17,5589.25,5655.53,5655.53,
2024-08-19,5670.69,5688.7,5644.13,5658.35,5658.35,
2024-08-20,5666.19,5699.11,5654.15,5691.22,5691.22,
2024-08-21,5699.11,5774.23,5682.04,5761.84,5761.84,
2024-08-22,5782.22,5782.22,5733.51,5761.3,5761.3,
2024-08-23,5761.5,5774.33,5709.53,5717.72,5717.72,
2024-08-26,5724.97,5784.2,5701.53,5721.96,5721.96,
2024-08-27,5753.4,5769.79,5660.81,5689.74,5689.74,
2024-08-28,5672.22,5700.69,5616.45,5629.57,5629.57,
2024-08-29,5636.14,5769.39,5622.47,5755.97,5755.97,
2024-08-30,5767.37,5832.47,5718.31,5779.51,5779.51,
2024-09-02,5805.96,5857.19,5789.13,5845.54,5845.54,
2024-09-03,5856.25,5867.11,5794.07,5839.52,5839.52,
2024-09-04,5774.28,5858.57,5752.61,5849.89,5849.89,
2024-09-05,5835.28,5843.42,5757.84,5774.33,5774.33,
2024-09-06,5771.07,5808.68,5751.72,5767.96,5767.96,
2024-09-09,5784.15,5884.09,5770.58,5862.62,5862.62,
2024-09-10,5902.69,5932.26,5853.34,5892.68,5892.68,
2024-09-11,5876.04,5968.83,5870.32,5930.92,5930.92,
2024-09-12,5940.8,6049.42,5927.03,6030.22,6030.22,
2024-09-13,6058.6,6069.26,5979.0,6053.77,6053.77,
2024-09-16,5922.39,6050.71,5860.0,5984.57,5984.57,
2024-09-17,5994.89,6124.39,5990.64,6032.0,6032.0,
2024-09-18,6055.64,6086.78,5981.66,6044.04,6044.04,
2024-09-19,6049.62,6144.48,6034.57,6055.15,6055.15,
2024-09-20,6085.6,6177.69,6046.61,6130.21,6130.21,
2024-09-23,6154.59,6169.15,6110.72,6130.85,6130.85,
2024-09-24,6120.54,6165.11,6105.04,6122.91,6122.91,
2024-09-25,6122.76,6122.76,6022.62,6100.35,6100.35,
2024-09-26,6119.8,6189.29,6074.74,6173.2,6173.2,
2024-09-27,6157.01,6251.03,6100.85,6187.71,6187.71,
2024-09-30,6171.77,6280.59,6160.37,6256.16,6256.16,
2024-10-01,6225.32,6379.99,6225.32,6362.67,6362.67,
2024-10-03,6360.84,6386.21,6208.64,6249.85,6249.85,
2024-10-04,6197.04,6257.94,6099.91,6125.72,6125.72,
2024-10-07,6142.16,6154.35,6026.03,6041.13,6041.13,
2024-10-08,6058.31,6154.15,5973.76,6124.14,6124.14,
2024-10-09,6078.98,6104.99,5991.53,6018.38,6018.38,
2024-10-10,6047.74,6080.17,5902.69,5924.51,5924.51,
2024-10-11,5952.54,5961.38,5883.99,5901.17,5901.17,
2024-10-14,5927.42,5946.37,5823.68,5900.72,5900.72,
2024-10-15,5938.53,6004.26,5909.51,5990.2,5990.2,
2024-10-16,5986.55,6034.91,5943.26,6011.32,6011.32,
2024-10-17,6011.32,6017.05,5889.07,5911.04,5911.04,
2024-10-18,5907.53,5920.41,5794.07,5811.05,5811.05,
2024-10-21,5811.05,5819.24,5688.06,5703.55,5703.55,
