date,open,high,low,close,adj_close,volume
2024-07-11,754.95,793.5,754.95,775.07,775.07,
2024-07-12,784.94,792.5,776.98,785.46,785.46,
2024-07-15,790.84,793.83,774.22,787.93,787.93,
2024-07-16,787.52,799.0,785.85,787.98,787.98,
2024-07-18,785.85,786.49,758.94,764.39,764.39,
2024-07-19,759.6,761.07,746.25,748.56,748.56,
2024-07-22,737.67,763.59,724.38,733.8,733.8,
2024-07-23,733.29,762.59,702.78,739.77,739.77,
2024-07-24,745.98,809.11,745.52,801.97,801.97,
2024-07-25,797.48,827.56,784.54,820.18,820.18,
2024-07-26,821.89,823.34,804.7,813.27,813.27,
2024-07-29,819.52,821.73,805.46,810.86,810.86,
2024-07-30,810.78,817.41,800.06,801.57,801.57,
2024-07-31,789.21,866.5,788.85,849.47,849.47,
2024-08-01,867.6,883.88,854.39,878.31,878.31,
2024-08-02,855.63,870.26,849.6,851.88,851.88,
2024-08-05,812.11,826.93,777.55,793.36,793.36,
2024-08-06,809.23,827.39,766.28,770.02,770.02,
2024-08-07,790.84,802.8,778.18,797.0,797.0,
2024-08-08,882.88,882.88,840.68,863.88,863.88,
2024-08-09,872.23,890.86,851.36,880.72,880.72,
2024-08-12,863.94,878.89,852.64,854.52,854.52,
2024-08-13,859.95,869.86,845.33,861.3,861.3,
2024-08-14,867.26,867.6,839.02,850.55,850.55,
2024-08-16,854.97,889.53,844.85,879.21,879.21,
2024-08-19,887.85,903.82,879.23,889.26,889.26,
2024-08-20,891.69,918.1,881.22,898.17,898.17,
2024-08-21,903.15,915.28,884.64,893.81,893.81,
2024-08-22,894.51,913.78,887.04,906.09,906.09,
2024-08-23,906.09,930.4,897.54,911.01,911.01,
2024-08-26,915.58,919.43,900.53,906.36,906.36,
2024-08-27,908.14,914.93,890.86,897.25,897.25,
2024-08-28,918.77,942.16,910.96,923.97,923.97,
2024-08-29,925.08,942.69,917.84,934.3,934.3,
2024-08-30,943.36,947.01,932.39,941.25,941.25,
2024-09-02,943.52,943.52,914.12,918.8,918.8,
2024-09-03,917.14,923.16,897.2,907.79,907.79,
2024-09-04,898.83,935.38,897.5,917.22,917.22,
2024-09-05,919.77,961.97,919.77,960.5,960.5,
2024-09-06,964.33,974.41,932.06,938.46,938.46,
2024-09-09,936.78,946.68,910.89,941.96,941.96,
2024-09-10,943.69,953.66,934.77,947.25,947.25,
2024-09-11,947.35,978.88,939.97,957.61,957.61,
2024-09-12,959.64,965.29,940.95,953.33,953.33,
2024-09-13,960.97,975.42,954.99,964.52,964.52,
2024-09-16,983.56,1149.37,981.9,1140.34,1140.34,
2024-09-17,1136.42,1181.94,1101.53,1107.74,1107.74,
2024-09-18,1112.49,1310.87,1111.49,1294.63,1294.63,
2024-09-19,1294.58,1294.58,1188.24,1233.18,1233.18,
2024-09-20,1241.09,1345.76,1222.49,1324.14,1324.14,
2024-09-23,1329.47,1395.6,1294.6,1306.66,1306.66,
2024-09-24,1313.19,1354.73,1299.63,1322.55,1322.55,
2024-09-25,1326.82,1330.14,1271.36,1275.26,1275.26,
2024-09-26,1307.54,1309.19,1241.09,1249.08,1249.08,
2024-09-27,1249.39,1253.25,1204.53,1211.5,1211.5,
2024-09-30,1189.58,1270.99,1189.56,1224.36,1224.36,
2024-10-01,1244.41,1302.56,1226.17,1282.26,1282.26,
2024-10-03,1262.68,1407.23,1244.43,1313.72,1313.72,
2024-10-04,1322.5,1393.7,1279.63,1365.08,1365.08,
2024-10-07,1392.28,1415.54,1256.39,1271.47,1271.47,
2024-10-08,1283.9,1420.52,1273.04,1409.77,1409.77,
2024-10-09,1431.15,1460.39,1382.31,1389.3,1389.3,
2024-10-10,1401.91,1445.11,1384.18,1400.96,1400.96,
2024-10-11,1417.2,1511.9,1411.78,1494.1,1494.1,
2024-10-14,1507.25,1658.04,1507.23,1598.13,1598.13,
2024-10-15,1614.91,1624.01,1551.77,1579.1,1579.1,
2024-10-16,1520.21,1536.82,1468.67,1502.54,1502.54,
2024-10-17,1504.77,1514.16,1395.6,1414.72,1414.72,
2024-10-18,1407.89,1476.34,1362.7,1420.45,1420.45,
2024-10-21,1435.8,1481.66,1432.52,1440.26,1440.26,
2024-10-22,1448.76,1450.09,1346.12,1359.13,1359.13,
2024-10-23,1365.69,1462.06,1332.8,1419.92,1419.92,
2024-10-24,1427.17,1455.34,1420.7,1437.12,1437.12,
2024-10-25,1437.1,1437.1,1327.03,1349.99,1349.99,
2024-10-28,1369.02,1411.55,1358.08,1384.03,1384.03,
2024-10-29,1390.95,1428.83,1374.7,1423.53,1423.53,
2024-10-30,1426.5,1503.26,1415.07,1442.33,1442.33,
2024-10-31,1450.43,1492.73,1433.84,1483.85,1483.85,
2024-11-01,1489.4,1503.26,1466.89,1483.21,1483.21,
2024-11-04,1476.68,1515.22,1452.75,1466.59,1466.59,
2024-11-05,1477.01,1536.82,1462.82,1529.49,1529.49,
2024-11-06,1544.46,1599.95,1534.64,1556.61,1556.61,
2024-11-07,1566.91,1627.33,1561.74,1618.91,1618.91,
2024-11-08,1629.53,1651.13,1545.23,1559.71,1559.71,
2024-11-11,1553.43,1577.61,1515.22,1536.2,1536.2,
2024-11-12,1553.43,1589.62,1535.51,1554.5,1554.5,
2024-11-13,1574.22,1591.31,1479.23,1492.56,1492.56,
