date,open,high,low,close,adj_close,volume
2024-07-11,807.13,810.93,772.36,799.69,799.69,
2024-07-12,804.23,821.71,782.47,790.87,790.87,
2024-07-15,786.93,796.44,779.36,785.25,785.25,
2024-07-16,787.9,826.96,786.57,821.28,821.28,
2024-07-18,826.77,839.36,805.59,810.36,810.36,
2024-07-19,809.68,811.49,787.13,802.27,802.27,
2024-07-22,796.65,807.34,785.48,787.87,787.87,
2024-07-23,789.27,825.52,733.89,787.2,787.2,
2024-07-24,785.77,801.51,780.32,791.09,791.09,
2024-07-25,783.05,791.15,778.22,784.37,784.37,
2024-07-26,786.54,793.73,777.41,783.39,783.39,
2024-07-29,783.39,839.4,783.39,832.52,832.52,
2024-07-30,833.96,918.09,833.57,912.27,912.27,
2024-07-31,906.8,954.04,871.26,881.02,881.02,
2024-08-01,879.23,879.23,853.99,857.72,857.72,
2024-08-02,848.93,861.87,843.32,848.82,848.82,
2024-08-05,837.45,837.65,760.36,775.5,775.5,
2024-08-06,778.0,793.02,748.07,753.93,753.93,
2024-08-07,784.6,818.8,773.33,803.25,803.25,
2024-08-08,817.73,850.32,810.42,826.68,826.68,
2024-08-09,843.28,862.71,839.92,849.26,849.26,
2024-08-12,847.36,857.12,822.14,830.04,830.04,
2024-08-13,830.8,843.27,794.76,803.3,803.3,
2024-08-14,814.02,828.64,796.93,812.05,812.05,
2024-08-16,811.6,842.49,810.36,832.3,832.3,
2024-08-19,855.15,903.46,840.2,885.71,885.71,
2024-08-20,895.78,903.63,857.1,859.05,859.05,
2024-08-21,865.28,884.37,856.19,874.41,874.41,
2024-08-22,880.08,887.66,847.85,854.74,854.74,
2024-08-23,859.63,868.78,853.22,866.7,866.7,
2024-08-26,863.72,891.23,856.32,863.76,863.76,
2024-08-27,862.94,862.94,850.28,852.82,852.82,
2024-08-28,860.6,864.88,842.64,845.01,845.01,
2024-08-29,846.75,860.78,839.37,844.67,844.67,
2024-08-30,850.66,854.95,821.71,830.07,830.07,
2024-09-02,837.62,866.64,832.52,860.62,860.62,
2024-09-03,865.67,865.67,849.31,852.99,852.99,
2024-09-04,844.44,878.33,840.13,864.18,864.18,
2024-09-05,869.76,877.16,857.89,860.55,860.55,
2024-09-06,866.64,866.64,843.07,845.56,845.56,
2024-09-09,841.71,845.39,824.88,827.48,827.48,
2024-09-10,834.7,837.23,825.93,828.31,828.31,
2024-09-11,837.62,863.57,836.23,851.37,851.37,
2024-09-12,858.46,861.77,852.23,859.26,859.26,
2024-09-13,862.75,869.5,852.24,857.34,857.34,
2024-09-16,860.41,885.15,852.65,880.53,880.53,
2024-09-17,883.19,895.08,867.79,879.91,879.91,
2024-09-18,881.45,894.59,874.33,881.66,881.66,
2024-09-19,890.02,891.97,849.32,861.9,861.9,
2024-09-20,867.81,882.92,864.11,868.71,868.71,
2024-09-23,881.06,929.9,876.58,898.28,898.28,
2024-09-24,898.28,900.92,878.72,881.99,881.99,
2024-09-25,882.42,883.39,859.24,861.66,861.66,
2024-09-26,885.34,887.68,862.28,871.89,871.89,
2024-09-27,871.71,889.82,861.19,867.8,867.8,
2024-09-30,867.81,872.49,857.1,858.87,858.87,
2024-10-01,860.99,895.86,860.99,892.2,892.2,
2024-10-03,872.67,887.87,859.24,861.46,861.46,
2024-10-04,859.62,864.69,826.96,831.09,831.09,
2024-10-07,830.99,838.59,788.92,800.42,800.42,
2024-10-08,803.53,866.44,795.33,859.11,859.11,
2024-10-09,857.09,864.89,851.26,859.11,859.11,
2024-10-10,865.28,882.22,858.18,874.72,874.72,
2024-10-11,879.98,893.91,869.04,878.77,878.77,
2024-10-14,882.42,910.47,857.47,896.17,896.17,
2024-10-15,901.9,922.98,895.04,901.18,901.18,
2024-10-16,897.23,956.44,894.5,942.13,942.13,
2024-10-17,953.26,968.1,935.28,945.08,945.08,
2024-10-18,940.86,944.1,906.19,923.72,923.72,
2024-10-21,923.72,934.63,902.18,904.76,904.76,
2024-10-22,905.6,907.74,854.5,857.18,857.18,
2024-10-23,855.73,904.16,844.39,888.31,888.31,
2024-10-24,888.84,896.06,868.47,876.69,876.69,
2024-10-25,878.49,889.67,835.87,840.64,840.64,
2024-10-28,848.42,854.95,827.89,832.99,832.99,
2024-10-29,838.59,852.68,819.31,843.69,843.69,
2024-10-30,843.22,865.86,835.69,853.55,853.55,
2024-10-31,854.18,879.89,843.22,865.61,865.61,
