date,open,high,low,close,adj_close,volume
2024-07-11,111.31,111.46,109.86,110.2,110.2,
2024-07-12,110.76,110.83,108.42,108.82,108.82,
2024-07-15,109.33,113.48,108.51,113.19,113.19,
2024-07-16,113.53,114.02,111.6,112.03,112.03,
2024-07-18,112.03,113.52,110.76,111.77,111.77,
2024-07-19,111.79,112.76,108.44,108.99,108.99,
2024-07-22,108.9,111.5,107.19,110.79,110.79,
2024-07-23,111.41,111.41,105.23,108.96,108.96,
2024-07-24,109.08,109.96,107.68,108.57,108.57,
2024-07-25,107.93,109.91,105.47,108.02,108.02,
2024-07-26,108.6,110.44,107.16,109.92,109.92,
2024-07-29,111.22,113.74,111.03,111.9,111.9,
2024-07-30,111.9,112.42,111.14,111.77,111.77,
2024-07-31,111.99,112.17,110.31,110.74,110.74,
2024-08-01,111.5,111.6,108.17,108.79,108.79,
2024-08-02,108.13,108.13,106.24,106.67,106.67,
2024-08-05,104.69,104.69,100.44,101.62,101.62,
2024-08-06,103.06,104.44,101.17,101.4,101.4,
2024-08-07,102.91,104.8,101.8,104.48,104.48,
2024-08-08,104.26,104.8,102.82,103.44,103.44,
2024-08-09,104.26,108.65,103.93,106.82,106.82,
2024-08-12,106.1,106.93,104.65,105.76,105.76,
2024-08-13,105.23,106.33,102.57,103.0,103.0,
2024-08-14,103.06,103.36,101.85,102.0,102.0,
2024-08-16,104.26,104.66,102.84,103.9,103.9,
2024-08-19,104.55,107.4,104.34,106.1,106.1,
2024-08-20,106.48,108.09,105.81,107.51,107.51,
2024-08-21,107.51,108.03,106.84,107.77,107.77,
2024-08-22,108.13,108.76,107.94,108.44,108.44,
2024-08-23,108.71,109.08,107.94,108.22,108.22,
2024-08-26,109.25,109.27,107.32,107.56,107.56,
2024-08-27,107.56,108.15,106.68,107.02,107.02,
2024-08-28,107.26,107.35,106.02,106.42,106.42,
2024-08-29,106.42,106.92,105.08,106.47,106.47,
2024-08-30,106.73,108.51,106.72,107.67,107.67,
2024-09-02,107.99,109.43,106.2,108.87,108.87,
2024-09-03,109.19,109.54,107.35,107.57,107.57,
2024-09-04,104.31,105.86,104.17,104.84,104.84,
2024-09-05,105.57,105.57,104.02,104.46,104.46,
2024-09-06,104.26,104.26,99.39,99.8,99.8,
2024-09-09,100.02,100.73,97.21,100.42,100.42,
2024-09-10,101.17,101.27,99.86,100.03,100.03,
2024-09-11,100.03,100.5,97.6,98.23,98.23,
2024-09-12,99.15,100.69,98.39,100.39,100.39,
2024-09-13,100.84,103.54,100.5,102.71,102.71,
2024-09-16,103.2,104.44,102.77,103.0,103.0,
2024-09-17,103.03,103.09,101.7,101.89,101.89,
2024-09-18,101.46,102.9,101.38,101.8,101.8,
2024-09-19,102.33,103.15,99.17,101.09,101.09,
2024-09-20,101.47,102.62,101.08,101.33,101.33,
2024-09-23,102.14,106.0,101.42,105.52,105.52,
2024-09-24,105.52,106.68,104.89,105.51,105.51,
2024-09-25,105.15,105.57,103.59,104.65,104.65,
2024-09-26,104.99,106.87,103.49,106.36,106.36,
2024-09-27,106.89,109.38,106.25,109.19,109.19,
2024-09-30,109.09,109.57,106.98,107.48,107.48,
2024-10-01,107.21,108.57,106.18,106.67,106.67,
2024-10-03,104.26,106.67,103.49,104.23,104.23,
2024-10-04,104.26,106.53,102.83,103.9,103.9,
2024-10-07,104.5,105.28,98.8,99.91,99.91,
2024-10-08,100.11,101.66,99.15,101.32,101.32,
2024-10-09,102.29,102.62,99.95,100.79,100.79,
2024-10-10,101.48,102.9,100.31,100.53,100.53,
2024-10-11,100.98,101.13,100.06,100.46,100.46,
2024-10-14,100.89,101.79,100.34,100.88,100.88,
2024-10-15,101.37,101.66,100.4,100.82,100.82,
2024-10-16,100.82,101.29,100.04,100.76,100.76,
2024-10-17,100.99,101.31,98.67,98.95,98.95,
2024-10-18,98.57,101.36,97.28,101.05,101.05,
2024-10-21,101.27,101.95,99.15,99.3,99.3,
2024-10-22,99.3,99.3,92.98,93.44,93.44,
2024-10-23,93.64,95.04,91.17,94.31,94.31,
