date,open,high,low,close,adj_close,volume
2024-07-11,1137.15,1225.12,1130.22,1200.25,1200.25,12271986
2024-07-12,1210.87,1226.1,1182.36,1188.7,1188.7,3039840
2024-07-15,1194.65,1216.12,1173.03,1182.83,1182.83,2819008
2024-07-16,1190.3,1198.21,1179.38,1181.89,1181.89,1294424
2024-07-18,1180.87,1191.83,1148.14,1156.55,1156.55,1495670
2024-07-19,1154.69,1154.69,1128.55,1133.36,1133.36,1407602
2024-07-22,1123.47,1148.04,1117.71,1136.29,1136.29,1054108
2024-07-23,1139.26,1170.51,1076.72,1152.23,1152.23,2748152
2024-07-24,1152.6,1201.95,1150.12,1182.16,1182.16,2902844
2024-07-25,1169.96,1202.69,1163.29,1198.13,1198.13,2154446
2024-07-26,1205.17,1224.76,1198.78,1213.51,1213.51,2335228
2024-07-29,1225.63,1243.36,1210.13,1213.11,1213.11,2270138
2024-07-30,1219.56,1246.07,1213.06,1216.58,1216.58,2219754
2024-07-31,1221.54,1286.61,1217.57,1240.63,1240.63,7448718
2024-08-01,1252.29,1254.77,1205.17,1209.04,1209.04,3025286
2024-08-02,1192.65,1224.02,1185.98,1216.68,1216.68,1929296
2024-08-05,1215.09,1216.06,1141.57,1146.11,1146.11,5851200
2024-08-06,1168.25,1185.34,1133.01,1137.15,1137.15,2989276
2024-08-07,1166.41,1170.7,1130.38,1165.03,1165.03,1641534
2024-08-08,1168.2,1237.41,1166.54,1216.68,1216.68,6950054
2024-08-09,1242.37,1286.93,1224.02,1272.25,1272.25,6837960
2024-08-12,1284.97,1323.19,1274.33,1276.49,1276.49,5143942
2024-08-13,1284.53,1286.36,1249.81,1253.9,1253.9,1963142
2024-08-14,1262.21,1285.02,1243.86,1269.95,1269.95,2530184
2024-08-16,1283.53,1394.63,1279.74,1382.8,1382.8,12752380
2024-08-19,1415.96,1465.55,1408.52,1426.44,1426.44,8823288
2024-08-20,1439.27,1455.14,1415.96,1431.38,1431.38,4487144
2024-08-21,1440.75,1449.75,1413.97,1421.46,1421.46,3223024
2024-08-22,1429.69,1482.41,1422.13,1437.33,1437.33,5814940
2024-08-23,1487.87,1650.94,1473.63,1555.81,1555.81,20675572
2024-08-26,1587.06,1601.94,1518.62,1526.65,1526.65,4234039
2024-08-27,1525.56,1532.5,1478.45,1522.29,1522.29,3796094
2024-08-28,1507.71,1507.71,1477.95,1481.17,1481.17,2792969
2024-08-29,1472.99,1472.99,1413.48,1419.82,1419.82,4290237
