date,open,high,low,close,adj_close,volume
2024-07-11,744.87,748.85,729.29,742.08,742.08,1647188
2024-07-12,746.86,747.86,713.9,723.61,723.61,2471254
2024-07-15,728.94,734.71,720.17,723.91,723.91,1566739
2024-07-16,725.95,731.83,722.51,727.54,727.54,1275289
2024-07-18,726.95,727.34,683.03,686.42,686.42,6154982
2024-07-19,687.11,687.11,648.62,672.82,672.82,5600493
2024-07-22,672.18,690.35,662.22,686.86,686.86,2223120
2024-07-23,698.02,699.06,642.3,673.57,673.57,2264066
2024-07-24,679.15,706.03,654.25,694.18,694.18,6275338
2024-07-25,697.07,738.9,696.08,725.55,725.55,8677549
2024-07-26,729.93,732.52,715.39,729.29,729.29,4022039
2024-07-29,733.02,744.37,732.17,737.95,737.95,1630355
2024-07-30,740.89,747.56,734.91,736.46,736.46,1001868
2024-07-31,735.91,738.5,725.95,732.92,732.92,1704764
2024-08-01,736.9,737.9,718.18,725.55,725.55,1258090
2024-08-02,716.99,745.27,703.25,728.59,728.59,2535475
2024-08-05,687.86,706.48,680.79,688.36,688.36,3220792
2024-08-06,691.54,704.74,662.77,665.75,665.75,2812030
2024-08-07,682.13,687.11,670.93,682.93,682.93,1867055
2024-08-08,682.93,686.86,670.63,675.81,675.81,2573333
2024-08-09,682.13,720.97,680.14,710.22,710.22,3437452
2024-08-12,708.03,713.75,693.54,702.9,702.9,1304253
2024-08-13,705.04,709.92,682.88,690.0,690.0,1124143
2024-08-14,693.44,706.03,682.63,703.44,703.44,1520350
2024-08-16,703.44,714.5,692.24,712.46,712.46,1588399
2024-08-19,718.98,721.97,702.7,707.58,707.58,1266637
2024-08-20,708.08,744.37,708.08,732.47,732.47,3718828
2024-08-21,734.07,735.11,720.17,730.93,730.93,1290276
2024-08-22,736.9,741.88,730.48,737.55,737.55,1265141
2024-08-23,739.89,755.63,732.32,747.06,747.06,3048725
2024-08-26,752.29,761.7,732.07,734.96,734.96,1509572
2024-08-27,739.59,739.59,725.2,726.75,726.75,1015056
2024-08-28,726.75,727.79,704.14,708.82,708.82,1546800
2024-08-29,710.66,720.77,696.08,697.87,697.87,1447106
2024-08-30,704.04,710.17,688.61,693.19,693.19,3214857
2024-09-02,696.08,702.05,677.15,680.74,680.74,1373960
2024-09-03,685.12,692.74,678.65,686.52,686.52,1953579
2024-09-04,681.09,691.0,674.86,686.07,686.07,2436611
2024-09-05,686.07,688.56,680.44,684.62,684.62,1130884
2024-09-06,684.08,688.11,668.24,670.73,670.73,1260824
2024-09-09,673.07,676.16,655.99,661.37,661.37,1478094
2024-09-10,662.87,676.16,660.23,661.82,661.82,1391056
2024-09-11,666.2,693.09,660.48,686.86,686.86,3423525
2024-09-12,695.08,735.91,689.7,726.1,726.1,9996859
2024-09-13,726.1,734.56,708.57,710.71,710.71,3410744
2024-09-16,714.95,725.65,708.57,711.21,711.21,1459014
2024-09-17,713.8,734.91,712.46,728.04,728.04,3096426
2024-09-18,731.38,742.58,724.56,740.14,740.14,2499151
2024-09-19,743.18,744.17,715.64,732.87,732.87,2433983
2024-09-20,728.94,748.85,723.06,743.38,743.38,3126501
2024-09-23,746.12,773.25,739.99,770.71,770.71,4213992
2024-09-24,772.75,785.65,762.89,778.58,778.58,3856352
2024-09-25,779.67,810.99,766.78,772.6,772.6,6162900
2024-09-26,771.76,774.25,754.83,768.87,768.87,1642171
2024-09-27,767.77,770.41,753.83,758.56,758.56,1488749
2024-09-30,762.7,768.72,751.59,755.87,755.87,1506127
2024-10-01,759.86,759.86,742.78,748.16,748.16,1212072
2024-10-03,731.92,753.29,725.0,735.31,735.31,1879280
2024-10-04,735.01,739.79,712.76,715.74,715.74,2998570
2024-10-07,715.0,758.81,706.08,755.97,755.97,8376857
2024-10-08,755.77,786.69,745.22,777.13,777.13,4757051
2024-10-09,780.02,806.21,778.13,800.14,800.14,4717387
2024-10-10,800.14,841.41,799.59,838.23,838.23,6650932
2024-10-11,836.49,871.04,833.0,854.56,854.56,6773282
2024-10-14,854.56,862.53,836.49,851.72,851.72,3408737
2024-10-15,851.72,853.26,821.6,829.22,829.22,3830155
2024-10-16,829.07,850.33,826.58,831.21,831.21,2414944
2024-10-17,832.6,848.93,821.75,833.7,833.7,2461780
2024-10-18,830.51,832.5,811.59,815.57,815.57,2979794
2024-10-21,821.55,854.11,759.66,772.35,772.35,10109948
2024-10-22,772.85,818.66,747.51,752.04,752.04,11958818
2024-10-23,755.72,756.47,729.93,737.4,737.4,2452458
2024-10-24,738.15,745.17,720.07,730.73,730.73,2290664
2024-10-25,730.93,743.87,711.31,740.39,740.39,3594228
2024-10-28,742.83,744.87,706.23,708.92,708.92,3290963
2024-10-29,713.0,721.32,695.33,714.85,714.85,3823376
2024-10-30,713.85,729.44,706.13,711.11,711.11,2399686
2024-10-31,714.8,718.93,698.61,701.45,701.45,2093639
2024-11-01,712.01,722.96,708.92,717.59,717.59,461391
2024-11-04,717.98,720.22,706.03,712.85,712.85,1947195
2024-11-05,714.4,714.4,699.71,701.9,701.9,1991555
