date,open,high,low,close,adj_close,volume
2024-07-11,1422.17,1429.25,1398.53,1401.12,1401.12,
2024-07-12,1404.31,1426.11,1374.14,1377.08,1377.08,
2024-07-15,1378.38,1416.08,1370.3,1409.8,1409.8,
2024-07-16,1415.19,1429.2,1396.83,1404.51,1404.51,
2024-07-18,1404.31,1450.64,1395.29,1446.05,1446.05,
2024-07-19,1450.89,1453.74,1418.26,1423.65,1423.65,
2024-07-22,1405.89,1422.85,1387.03,1400.35,1400.35,
2024-07-23,1410.98,1423.6,1360.14,1392.67,1392.67,
2024-07-24,1392.82,1418.66,1379.75,1385.93,1385.93,
2024-07-25,1378.4,1382.04,1338.68,1360.74,1360.74,
2024-07-26,1361.09,1434.08,1349.06,1407.94,1407.94,
2024-07-29,1411.98,1473.84,1361.19,1430.34,1430.34,
2024-07-30,1429.79,1442.71,1390.22,1414.82,1414.82,
2024-07-31,1413.77,1437.77,1406.84,1413.57,1413.57,
2024-08-01,1415.47,1439.42,1379.25,1387.68,1387.68,
2024-08-02,1378.05,1406.94,1365.83,1382.14,1382.14,
2024-08-05,1367.07,1385.93,1326.21,1343.97,1343.97,
2024-08-06,1352.11,1380.64,1327.51,1332.5,1332.5,
2024-08-07,1349.11,1382.54,1345.42,1374.76,1374.76,
2024-08-08,1379.05,1383.49,1343.17,1347.37,1347.37,
2024-08-09,1365.08,1371.96,1334.24,1345.77,1345.77,
2024-08-12,1337.14,1351.06,1330.0,1345.87,1345.87,
2024-08-13,1355.1,1363.03,1299.72,1312.09,1312.09,
2024-08-14,1314.14,1343.62,1306.3,1341.13,1341.13,
2024-08-16,1342.18,1369.82,1338.14,1366.22,1366.22,
2024-08-19,1366.22,1374.06,1344.22,1346.82,1346.82,
2024-08-20,1356.99,1397.06,1346.12,1384.88,1384.88,
2024-08-21,1384.74,1401.4,1370.22,1397.41,1397.41,
2024-08-22,1397.41,1406.99,1350.06,1362.73,1362.73,
2024-08-23,1362.58,1366.92,1341.33,1345.92,1345.92,
2024-08-26,1354.1,1394.91,1347.12,1392.07,1392.07,
2024-08-27,1392.07,1446.8,1378.05,1440.72,1440.72,
2024-08-28,1440.72,1455.78,1429.94,1447.6,1447.6,
2024-08-29,1439.92,1475.74,1432.13,1452.49,1452.49,
2024-08-30,1459.38,1459.77,1423.25,1452.49,1452.49,
2024-09-02,1456.88,1490.81,1449.45,1483.12,1483.12,
2024-09-03,1491.86,1503.23,1461.97,1496.8,1496.8,
2024-09-04,1459.87,1498.74,1459.87,1484.12,1484.12,
2024-09-05,1515.8,1545.69,1502.68,1530.32,1530.32,
2024-09-06,1539.7,1553.47,1502.88,1508.12,1508.12,
2024-09-09,1508.12,1539.4,1508.12,1534.96,1534.96,
2024-09-10,1541.7,1546.14,1497.39,1504.38,1504.38,
