date,open,high,low,close,adj_close,volume
2024-07-11,1474.51,1476.46,1453.13,1463.82,1463.82,
2024-07-12,1463.87,1472.57,1460.32,1469.7,1469.7,
2024-07-15,1474.12,1489.04,1470.87,1474.71,1474.71,
2024-07-16,1474.71,1481.75,1461.0,1468.1,1468.1,
2024-07-18,1455.07,1470.63,1443.99,1464.45,1464.45,
2024-07-19,1459.54,1463.82,1438.74,1443.9,1443.9,
2024-07-22,1433.74,1464.84,1429.46,1448.27,1448.27,
2024-07-23,1448.27,1461.88,1433.84,1455.95,1455.95,
2024-07-24,1453.47,1468.97,1443.41,1461.39,1461.39,
2024-07-25,1456.05,1466.45,1448.08,1458.04,1458.04,
2024-07-26,1462.61,1555.19,1458.96,1530.89,1530.89,
2024-07-29,1543.52,1544.5,1485.98,1510.43,1510.43,
2024-07-30,1510.48,1520.25,1483.26,1486.08,1486.08,
2024-07-31,1487.25,1505.18,1480.88,1501.05,1501.05,
2024-08-01,1502.65,1509.02,1492.54,1502.9,1502.9,
2024-08-02,1498.78,1510.93,1493.58,1498.58,1498.58,
2024-08-05,1442.91,1497.75,1442.91,1485.1,1485.1,
2024-08-06,1483.09,1511.86,1475.94,1501.62,1501.62,
2024-08-07,1501.82,1526.13,1501.82,1522.84,1522.84,
2024-08-08,1514.46,1558.23,1514.46,1538.92,1538.92,
2024-08-09,1543.67,1549.95,1530.64,1543.62,1543.62,
2024-08-12,1543.58,1561.51,1540.0,1554.9,1554.9,
2024-08-13,1568.38,1574.94,1548.77,1552.15,1552.15,
2024-08-14,1565.43,1565.43,1524.26,1532.89,1532.89,
2024-08-16,1536.03,1549.21,1529.17,1544.95,1544.95,
2024-08-19,1547.25,1553.62,1538.67,1544.36,1544.36,
2024-08-20,1545.34,1547.79,1527.4,1531.96,1531.96,
2024-08-21,1534.7,1564.6,1530.15,1563.08,1563.08,
2024-08-22,1567.39,1567.39,1544.9,1554.46,1554.46,
2024-08-23,1548.82,1554.46,1537.45,1543.43,1543.43,
2024-08-26,1538.97,1564.45,1535.59,1562.44,1562.44,
2024-08-27,1555.14,1587.78,1555.14,1566.46,1566.46,
2024-08-28,1572.3,1597.78,1563.67,1586.22,1586.22,
2024-08-29,1589.94,1609.84,1577.2,1586.56,1586.56,
2024-08-30,1583.08,1630.82,1583.08,1622.19,1622.19,
2024-09-02,1636.01,1648.36,1609.55,1614.1,1614.1,
2024-09-03,1610.82,1627.04,1610.82,1620.52,1620.52,
2024-09-04,1602.73,1625.23,1598.57,1619.25,1619.25,
2024-09-05,1618.46,1627.14,1591.31,1595.58,1595.58,
2024-09-06,1595.58,1599.69,1576.27,1579.21,1579.21,
2024-09-09,1579.21,1604.45,1578.18,1588.13,1588.13,
2024-09-10,1600.72,1611.85,1592.19,1599.74,1599.74,
2024-09-11,1594.94,1619.64,1592.15,1596.16,1596.16,
2024-09-12,1602.68,1627.19,1598.32,1624.49,1624.49,
2024-09-13,1626.11,1636.21,1611.02,1626.9,1626.9,
2024-09-16,1628.37,1638.8,1621.45,1626.6,1626.6,
2024-09-17,1627.19,1649.73,1623.95,1638.76,1638.76,
2024-09-18,1639.93,1639.93,1605.67,1618.96,1618.96,
2024-09-19,1627.19,1635.03,1600.48,1605.33,1605.33,
2024-09-20,1613.37,1619.94,1577.98,1606.26,1606.26,
2024-09-23,1614.3,1631.94,1605.62,1625.38,1625.38,
2024-09-24,1592.88,1626.8,1592.83,1605.18,1605.18,
2024-09-25,1605.62,1616.41,1586.26,1610.72,1610.72,
2024-09-26,1610.72,1619.79,1570.63,1589.74,1589.74,
2024-09-27,1597.93,1645.86,1597.78,1639.44,1639.44,
2024-09-30,1641.89,1645.72,1613.76,1621.41,1621.41,
2024-10-01,1627.19,1634.1,1618.91,1631.94,1631.94,
2024-10-03,1628.41,1644.83,1607.93,1623.81,1623.81,
2024-10-04,1612.58,1623.66,1546.12,1591.21,1591.21,
