date,open,high,low,close,adj_close,volume
2024-07-11,9311.9,9312.45,9243.9,9263.85,9263.85,2310400
2024-07-12,9290.05,9326.6,9227.4,9276.3,9276.3,1996500
2024-07-15,9318.95,9351.15,9266.4,9343.7,9343.7,2162400
2024-07-16,9365.55,9386.65,9314.65,9330.8,9330.8,2181300
2024-07-18,9334.4,9354.0,9234.95,9340.6,9340.6,2136300
2024-07-19,9334.9,9336.9,9109.8,9122.35,9122.35,1913600
2024-07-22,9077.65,9178.75,9027.85,9157.8,9157.8,2210400
2024-07-23,9190.2,9195.75,8832.45,9085.2,9085.2,2848700
2024-07-24,9079.35,9144.9,9047.2,9116.5,9116.5,1988200
2024-07-25,9059.1,9202.25,9046.15,9188.05,9188.05,3176600
2024-07-26,9223.6,9378.8,9208.05,9372.25,9372.25,2648300
2024-07-29,9420.95,9456.35,9396.5,9423.55,9423.55,2645200
2024-07-30,9433.5,9492.25,9406.25,9443.4,9443.4,3143800
2024-07-31,9455.55,9505.6,9441.9,9499.45,9499.45,2965400
2024-08-01,9521.95,9547.6,9491.2,9531.55,9531.55,2651800
2024-08-02,9439.5,9450.0,9358.6,9379.05,9379.05,2063000
2024-08-05,9212.2,9229.2,9002.95,9071.55,9071.55,2908800
2024-08-06,9133.8,9250.5,9040.65,9059.5,9059.5,1915800
2024-08-07,9183.35,9219.6,9139.7,9207.7,9207.7,2305300
2024-08-08,9184.35,9193.5,9062.0,9077.5,9077.5,1870300
2024-08-09,9186.35,9211.65,9153.3,9166.45,9166.45,1489100
2024-08-12,9129.2,9164.85,9076.8,9119.85,9119.85,1971100
2024-08-13,9136.8,9153.85,9037.85,9052.95,9052.95,1523100
2024-08-14,9060.25,9077.85,9006.45,9025.85,9025.85,1272900
2024-08-16,9081.7,9167.25,9031.65,9157.9,9157.9,1361900
2024-08-19,9219.4,9235.8,9166.4,9182.7,9182.7,1535100
2024-08-20,9229.35,9237.7,9187.05,9202.6,9202.6,1488600
2024-08-21,9214.7,9242.2,9199.0,9234.4,9234.4,1281400
2024-08-22,9271.05,9286.45,9240.2,9266.45,9266.45,1328700
