date,open,high,low,close,adj_close,volume
2024-07-11,432.57,444.88,429.54,439.65,439.65,20146927
2024-07-12,443.12,447.17,435.65,436.27,436.27,8198389
2024-07-15,439.61,442.77,433.06,437.63,437.63,7106020
2024-07-16,437.85,455.79,437.85,450.55,450.55,23169665
2024-07-18,453.1,453.5,440.71,444.22,444.22,12540956
2024-07-19,444.27,445.23,427.96,429.06,429.06,9971704
2024-07-22,429.06,436.09,425.14,431.87,431.87,7281653
2024-07-23,434.33,435.91,408.44,428.18,428.18,11311831
2024-07-24,427.91,439.08,426.51,434.16,434.16,6823248
2024-07-25,431.69,442.73,425.54,434.33,434.33,10281157
2024-07-26,438.07,449.89,438.07,448.27,448.27,20437968
2024-07-29,452.36,453.41,446.2,450.29,450.29,7259754
2024-07-30,450.29,462.12,448.36,456.62,456.62,13197520
2024-07-31,460.23,461.94,448.84,459.13,459.13,11972565
2024-08-01,470.38,476.75,464.23,475.13,475.13,34763894
2024-08-02,469.5,472.31,459.21,461.15,461.15,10985150
2024-08-05,452.8,452.8,437.45,445.59,445.59,11835031
2024-08-06,446.73,454.73,437.85,439.26,439.26,7142269
2024-08-07,446.38,468.45,446.38,467.3,467.3,18293730
2024-08-08,469.5,470.38,458.29,460.23,460.23,13624148
2024-08-09,465.98,467.17,458.82,465.81,465.81,6468264
2024-08-12,465.1,466.42,460.09,460.66,460.66,5238736
2024-08-13,461.59,465.9,457.19,458.73,458.73,5201294
2024-08-14,459.74,464.14,438.77,443.74,443.74,14766889
2024-08-16,450.84,457.99,446.23,454.93,454.93,7313429
2024-08-19,456.26,464.83,455.68,463.54,463.54,10737456
2024-08-20,465.63,469.27,462.7,465.85,465.85,8191127
2024-08-21,467.54,475.31,465.67,472.6,472.6,9067794
2024-08-22,474.2,475.49,467.8,469.63,469.63,8531700
2024-08-23,469.71,480.55,469.63,478.51,478.51,12566904
2024-08-26,481.3,482.68,474.82,477.84,477.84,7193307
2024-08-27,478.73,481.04,470.65,471.89,471.89,7865530
2024-08-28,474.11,475.58,466.61,467.41,467.41,6066259
2024-08-29,467.41,470.65,458.3,468.47,468.47,9147836
2024-08-30,470.65,476.86,463.54,466.16,466.16,30921282
2024-09-02,467.98,469.76,459.68,462.52,462.52,6370038
2024-09-03,462.65,464.96,460.21,461.41,461.41,5526155
2024-09-04,458.97,458.97,444.49,447.25,447.25,16783593
2024-09-05,450.67,450.67,439.7,441.34,441.34,10830621
2024-09-06,443.12,443.12,427.18,433.84,433.84,13110103
2024-09-09,433.35,433.79,424.51,430.2,430.2,10189742
2024-09-10,432.73,436.9,427.84,436.1,436.1,9809547
2024-09-11,437.66,438.28,427.98,429.75,429.75,8134497
2024-09-12,432.46,441.56,428.24,440.14,440.14,12058489
2024-09-13,441.34,442.1,434.68,435.35,435.35,8093877
2024-09-16,437.35,439.48,432.77,438.01,438.01,5244657
2024-09-17,438.01,439.39,433.04,433.79,433.79,5063902
2024-09-18,434.95,438.32,431.71,432.55,432.55,6527832
2024-09-19,434.24,436.55,422.92,424.43,424.43,10014450
2024-09-20,427.09,442.23,426.51,435.97,435.97,12982128
2024-09-23,438.23,446.23,435.57,444.54,444.54,6123879
2024-09-24,448.45,449.91,445.38,447.82,447.82,7306001
2024-09-25,449.78,450.22,445.78,448.71,448.71,5059851
2024-09-26,449.33,450.62,444.05,449.82,449.82,6877039
2024-09-27,449.82,459.86,448.36,458.3,458.3,15443031
2024-09-30,455.55,455.95,446.23,453.02,453.02,8881502
2024-10-01,454.66,458.21,449.47,451.55,451.55,4743517
2024-10-03,443.56,452.8,443.56,446.09,446.09,11285134
2024-10-04,443.65,448.14,438.72,441.52,441.52,7170285
2024-10-07,442.32,444.49,422.12,426.65,426.65,8940891
2024-10-08,426.96,437.57,423.09,436.77,436.77,6049075
2024-10-09,436.9,440.45,431.26,432.42,432.42,6874313
2024-10-10,433.97,438.63,431.62,433.44,433.44,4700891
2024-10-11,432.91,438.59,432.86,437.75,437.75,4364566
2024-10-14,439.52,446.18,437.75,442.5,442.5,5369297
2024-10-15,442.5,443.43,435.17,439.08,439.08,4279311
2024-10-16,439.57,443.47,437.7,440.23,440.23,8000451
2024-10-17,440.23,441.56,432.64,435.04,435.04,4334990
2024-10-18,433.35,438.46,429.22,437.08,437.08,4573163
2024-10-21,436.9,439.34,428.33,431.04,431.04,4737527
2024-10-22,430.69,432.91,414.88,415.9,415.9,8671135
2024-10-23,415.9,422.74,407.55,421.01,421.01,10686743
2024-10-24,421.01,429.62,420.07,423.8,423.8,5045880
2024-10-25,424.56,425.4,407.6,409.46,409.46,10330954
2024-10-28,401.38,406.71,386.51,392.19,392.19,21378247
2024-10-29,394.46,396.59,389.66,395.65,395.65,7680865
2024-10-30,397.83,404.76,395.17,398.85,398.85,7818123
2024-10-31,401.38,403.6,393.57,401.43,401.43,8475238
2024-11-01,403.73,408.09,401.69,403.29,403.29,3095957
2024-11-04,406.71,406.84,386.73,393.66,393.66,15720990
2024-11-05,395.08,401.67,393.15,400.42,400.42,10186343
2024-11-06,403.09,404.11,397.02,401.25,401.25,9130749
2024-11-07,403.09,405.44,400.19,400.84,400.84,5861077
2024-11-08,400.84,401.44,387.86,390.43,390.43,9934413
2024-11-11,389.47,392.0,384.26,388.13,388.13,7201246
2024-11-12,389.01,391.12,380.08,381.23,381.23,6564348
2024-11-13,381.18,382.56,373.54,374.64,374.64,7170870
2024-11-14,374.92,380.58,370.68,377.27,377.27,8776485
2024-11-18,381.13,385.32,378.42,380.58,380.58,7352509
2024-11-19,382.98,388.55,378.14,379.57,379.57,6291292
2024-11-21,380.31,381.09,372.11,373.81,373.81,14141967
2024-11-22,375.1,382.79,374.18,381.23,381.23,8155453
2024-11-25,387.63,393.56,382.75,384.36,384.36,10903727
2024-11-26,385.28,386.7,377.22,378.88,378.88,5798977
2024-11-27,386.7,387.63,379.98,384.08,384.08,9219932
2024-11-28,386.7,391.22,380.72,382.29,382.29,7788912
2024-11-29,382.38,384.86,378.42,383.39,383.39,7057742
2024-12-02,385.23,389.83,383.76,388.27,388.27,6404844
2024-12-03,391.31,391.77,386.11,388.64,388.64,7928558
2024-12-04,388.64,392.14,382.1,383.62,383.62,6836472
2024-12-05,385.0,387.86,379.34,385.23,385.23,9500273
2024-12-06,386.7,388.09,383.39,384.08,384.08,4252732
2024-12-09,384.86,387.58,379.8,381.18,381.18,6662023
2024-12-10,382.56,384.13,378.88,381.23,381.23,6035289
