date,open,high,low,close,adj_close,volume
2024-07-11,2763.0,2826.76,2728.64,2826.76,2826.76,3894646
2024-07-12,2877.5,2898.48,2770.7,2792.36,2792.36,3225791
2024-07-15,2805.44,2811.36,2689.95,2709.34,2709.34,1505323
2024-07-16,2715.32,2780.27,2687.97,2708.06,2708.06,1767967
2024-07-18,2704.75,2704.75,2577.41,2588.72,2588.72,2767426
2024-07-19,2576.38,2665.27,2488.57,2510.49,2510.49,2827660
2024-07-22,2472.78,2636.0,2430.33,2636.0,2636.0,2745532
2024-07-23,2664.28,2738.81,2504.22,2564.73,2564.73,4223355
2024-07-24,2561.62,2625.78,2517.2,2526.63,2526.63,1374320
2024-07-25,2487.63,2499.18,2418.48,2430.08,2430.08,1574069
2024-07-26,2438.18,2492.52,2418.53,2435.86,2435.86,1017431
2024-07-29,2477.71,2557.62,2438.28,2557.62,2557.62,2372821
2024-07-30,2553.72,2680.87,2517.2,2643.8,2643.8,2928546
2024-07-31,2645.53,2667.44,2572.08,2586.45,2586.45,1020858
2024-08-01,2614.92,2655.2,2540.59,2547.11,2547.11,1003125
2024-08-02,2470.01,2577.12,2469.91,2505.25,2505.25,1016016
2024-08-05,2385.02,2442.92,2379.99,2379.99,2379.99,1308671
2024-08-06,2370.11,2410.49,2260.99,2260.99,2260.99,2323913
2024-08-07,2278.36,2357.23,2093.72,2319.13,2319.13,5619905
2024-08-08,2329.64,2361.23,2271.4,2282.41,2282.41,1655089
2024-08-09,2408.76,2458.96,2337.64,2349.19,2349.19,2887887
2024-08-12,2334.58,2353.33,2276.48,2295.34,2295.34,1292134
2024-08-13,2309.8,2312.71,2169.73,2175.8,2175.8,2481721
2024-08-14,2184.34,2227.72,2112.47,2187.0,2187.0,2352856
2024-08-16,2211.19,2230.93,2157.39,2170.17,2170.17,1189881
2024-08-19,2177.62,2191.15,2122.34,2127.72,2127.72,1431135
2024-08-20,2122.34,2130.24,2012.87,2047.72,2047.72,3007563
2024-08-21,2023.58,2147.02,2011.78,2089.77,2089.77,2886627
2024-08-22,2109.31,2109.31,2038.44,2043.32,2043.32,1167062
2024-08-23,2055.17,2086.95,2034.73,2058.38,2058.38,1113685
2024-08-26,2072.99,2092.73,2023.63,2030.69,2030.69,735231
2024-08-27,2031.53,2072.0,2026.25,2033.25,2033.25,896011
2024-08-28,2033.2,2047.52,1982.17,1986.81,1986.81,1239616
2024-08-29,1984.14,1998.95,1910.11,1929.65,1929.65,1848011
2024-08-30,1938.74,1997.96,1836.07,1862.38,1862.38,7094311
2024-09-02,1856.8,1883.46,1796.05,1827.54,1827.54,2909239
2024-09-03,1875.56,1922.65,1839.53,1857.0,1857.0,4852910
2024-09-04,1860.75,1972.99,1857.25,1904.09,1904.09,5200139
2024-09-05,1924.92,1934.79,1871.17,1887.6,1887.6,2570312
2024-09-06,1887.6,1890.07,1832.08,1837.41,1837.41,1288779
2024-09-09,1837.01,1837.01,1774.87,1797.13,1797.13,1268809
2024-09-10,1806.51,1850.68,1797.48,1815.99,1815.99,1031034
2024-09-11,1815.34,1820.87,1776.85,1780.7,1780.7,695951
2024-09-12,1796.59,1800.24,1762.04,1789.33,1789.33,1228858
2024-09-13,1789.33,1835.98,1770.97,1793.43,1793.43,1026595
2024-09-16,1801.52,1804.49,1754.29,1771.22,1771.22,980967
2024-09-17,1771.12,1801.52,1737.36,1739.83,1739.83,1106981
2024-09-18,1739.83,1774.87,1696.25,1703.5,1703.5,1347819
2024-09-19,1726.5,1728.72,1616.93,1656.66,1656.66,2302100
2024-09-20,1666.29,1822.3,1660.51,1822.3,1822.3,5800913
2024-09-23,1864.95,1912.44,1642.62,1759.25,1759.25,3796861
2024-09-24,1773.73,1792.8,1740.47,1775.7,1775.7,883255
2024-09-25,1761.67,1788.9,1719.71,1724.75,1724.75,300727
2024-09-26,1729.6,1738.74,1665.35,1685.02,1685.02,345668
2024-09-27,1687.1,1761.08,1650.53,1707.06,1707.06,1045085
2024-09-30,1709.83,1729.6,1670.3,1720.06,1720.06,640493
2024-10-01,1715.27,1715.27,1677.31,1685.62,1685.62,299624
2024-10-03,1659.33,1677.21,1632.74,1651.22,1651.22,449810
2024-10-04,1650.97,1665.35,1568.69,1626.32,1626.32,411572
2024-10-07,1624.83,1627.8,1545.02,1550.71,1550.71,616808
2024-10-08,1539.54,1628.24,1487.45,1623.89,1623.89,481632
2024-10-09,1650.53,1650.53,1601.11,1635.51,1635.51,272935
2024-10-10,1650.33,1704.59,1620.88,1674.79,1674.79,743389
2024-10-11,1676.72,1677.02,1630.76,1641.44,1641.44,237690
2024-10-14,1641.54,1669.31,1596.17,1605.46,1605.46,345447
2024-10-15,1607.04,1668.32,1586.29,1652.46,1652.46,396645
2024-10-16,1586.49,1629.68,1569.83,1570.08,1570.08,1031697
2024-10-17,1542.8,1549.62,1532.97,1541.76,1541.76,1496837
2024-10-18,1531.88,1564.59,1508.21,1545.81,1545.81,1065843
2024-10-21,1548.73,1551.7,1508.21,1512.75,1512.75,492306
2024-10-22,1513.1,1521.95,1437.15,1437.15,1437.15,612006
2024-10-23,1388.72,1422.22,1365.29,1384.32,1384.32,1200822
2024-10-24,1378.74,1421.73,1349.09,1406.31,1406.31,427454
2024-10-25,1397.51,1401.47,1335.99,1349.48,1349.48,744409
2024-10-28,1358.92,1377.75,1324.38,1345.77,1345.77,597834
2024-10-29,1362.92,1402.16,1349.14,1385.65,1385.65,362390
2024-10-30,1389.06,1454.94,1389.06,1454.94,1454.94,391148
2024-10-31,1469.61,1502.18,1454.94,1479.74,1479.74,510173
2024-11-01,1505.24,1512.16,1487.45,1509.44,1509.44,191904
2024-11-04,1529.95,1529.95,1444.95,1485.92,1485.92,389109
2024-11-05,1477.57,1492.4,1424.2,1478.9,1478.9,530542
2024-11-06,1486.47,1528.96,1482.51,1518.98,1518.98,413151
2024-11-07,1535.88,1536.87,1494.37,1506.08,1506.08,328948
2024-11-08,1470.65,1472.63,1430.77,1431.07,1431.07,501298
2024-11-11,1391.68,1414.12,1362.43,1377.06,1377.06,382705
2024-11-12,1382.69,1399.94,1344.14,1358.03,1358.03,301194
2024-11-13,1349.14,1349.14,1292.75,1301.99,1301.99,444889
2024-11-14,1304.61,1328.28,1285.83,1297.1,1297.1,279812
2024-11-18,1301.55,1324.08,1275.21,1286.28,1286.28,304904
2024-11-19,1308.63,1350.57,1308.63,1348.78,1348.78,295055
2024-11-21,1338.37,1338.37,1281.37,1284.24,1284.24,494851
2024-11-22,1278.89,1299.71,1254.11,1288.11,1288.11,348717
2024-11-25,1346.26,1352.5,1323.11,1352.5,1352.5,582192
2024-11-26,1377.04,1420.11,1363.16,1420.11,1420.11,311063
2024-11-27,1467.25,1491.1,1447.43,1491.1,1491.1,536695
2024-11-28,1549.54,1565.65,1516.82,1565.65,1565.65,1312263
2024-11-29,1565.65,1571.35,1497.74,1563.72,1563.72,750162
2024-12-02,1617.45,1641.89,1606.05,1641.89,1641.89,595105
2024-12-03,1699.78,1719.96,1609.02,1671.03,1671.03,1259341
2024-12-04,1704.49,1713.12,1655.62,1681.0,1681.0,510941
2024-12-05,1680.4,1681.0,1616.06,1667.81,1667.81,463028
2024-12-06,1667.51,1687.34,1636.29,1677.33,1677.33,403528
2024-12-09,1670.19,1679.31,1648.68,1668.66,1668.66,359831
2024-12-10,1674.26,1680.11,1607.04,1619.33,1619.33,403176
2024-12-11,1629.84,1638.96,1610.01,1613.78,1613.78,173886
2024-12-12,1613.88,1664.44,1586.27,1633.21,1633.21,413087
2024-12-13,1629.84,1629.84,1586.22,1592.52,1592.52,241605
2024-12-16,1611.01,1624.29,1582.16,1593.95,1593.95,211257
2024-12-17,1600.1,1615.96,1566.39,1603.12,1603.12,272495
2024-12-18,1601.09,1610.71,1547.46,1561.58,1561.58,318298
2024-12-19,1512.96,1551.52,1498.19,1534.17,1534.17,233424
