date,open,high,low,close,adj_close,volume
2024-07-11,1120.61,1120.61,1091.32,1093.77,1093.77,
2024-07-12,1111.17,1187.45,1107.25,1175.19,1175.19,
2024-07-15,1185.48,1191.14,1153.25,1163.07,1163.07,
2024-07-16,1169.56,1172.76,1142.53,1159.32,1159.32,
2024-07-18,1159.93,1188.17,1141.27,1179.11,1179.11,
2024-07-19,1182.93,1207.88,1170.16,1176.39,1176.39,
2024-07-22,1165.83,1202.08,1148.25,1194.57,1194.57,
2024-07-23,1201.37,1245.45,1183.53,1214.85,1214.85,
2024-07-24,1208.88,1262.42,1205.36,1245.27,1245.27,
2024-07-25,1220.48,1263.14,1218.02,1242.83,1242.83,
2024-07-26,1242.83,1259.61,1242.83,1247.16,1247.16,
2024-07-29,1252.33,1260.66,1231.9,1241.21,1241.21,
2024-07-30,1240.53,1248.19,1231.8,1241.12,1241.12,
2024-07-31,1238.54,1253.31,1232.41,1239.65,1239.65,
2024-08-01,1246.91,1249.77,1224.82,1235.84,1235.84,
2024-08-02,1220.63,1228.5,1194.99,1198.94,1198.94,
2024-08-05,1143.72,1169.77,1133.67,1162.86,1162.86,
2024-08-06,1168.64,1202.68,1157.79,1162.65,1162.65,
2024-08-07,1165.41,1190.26,1165.41,1186.45,1186.45,
2024-08-08,1183.19,1186.85,1149.93,1152.62,1152.62,
2024-08-09,1175.27,1182.09,1151.74,1159.18,1159.18,
2024-08-12,1162.45,1163.25,1137.02,1158.42,1158.42,
2024-08-13,1158.51,1172.87,1146.59,1153.14,1153.14,
2024-08-14,1157.33,1168.37,1141.86,1157.59,1157.59,
2024-08-16,1177.78,1200.71,1168.57,1198.35,1198.35,
2024-08-19,1206.82,1212.74,1189.97,1194.92,1194.92,
2024-08-20,1200.91,1224.59,1199.91,1205.89,1205.89,
2024-08-21,1209.78,1215.49,1193.9,1200.98,1200.98,
2024-08-22,1207.22,1221.61,1197.97,1199.77,1199.77,
2024-08-23,1200.71,1200.82,1179.42,1187.55,1187.55,
2024-08-26,1193.48,1218.97,1185.58,1188.32,1188.32,
2024-08-27,1192.63,1208.8,1188.32,1199.11,1199.11,
2024-08-28,1200.91,1251.19,1199.11,1233.53,1233.53,
2024-08-29,1230.09,1251.95,1219.67,1238.82,1238.82,
2024-08-30,1240.35,1259.65,1230.08,1251.01,1251.01,
2024-09-02,1251.19,1271.45,1243.13,1250.33,1250.33,
2024-09-03,1251.0,1267.08,1245.05,1263.54,1263.54,
2024-09-04,1230.9,1250.73,1227.08,1248.45,1248.45,
2024-09-05,1257.5,1297.53,1245.02,1291.86,1291.86,
2024-09-06,1291.86,1323.91,1289.65,1306.34,1306.34,
2024-09-09,1292.74,1319.82,1268.18,1279.93,1279.93,
2024-09-10,1303.45,1355.27,1302.28,1342.3,1342.3,
2024-09-11,1342.3,1363.06,1336.38,1349.02,1349.02,
2024-09-12,1360.24,1366.35,1342.9,1356.0,1356.0,
2024-09-13,1360.64,1389.02,1343.85,1383.07,1383.07,
2024-09-16,1383.31,1397.73,1365.32,1378.25,1378.25,
2024-09-17,1365.32,1390.02,1364.62,1380.07,1380.07,
2024-09-18,1380.36,1380.36,1335.0,1352.9,1352.9,
2024-09-19,1382.33,1396.71,1346.26,1363.71,1363.71,
2024-09-20,1374.44,1376.2,1349.59,1369.58,1369.58,
2024-09-23,1374.44,1381.11,1354.72,1357.74,1357.74,
2024-09-24,1358.47,1383.43,1349.1,1379.96,1379.96,
2024-09-25,1379.96,1396.61,1353.14,1361.98,1361.98,
2024-09-26,1373.5,1375.42,1338.32,1355.56,1355.56,
2024-09-27,1382.7,1409.74,1364.84,1367.61,1367.61,
2024-09-30,1367.83,1386.13,1355.7,1383.6,1383.6,
2024-10-01,1380.36,1407.77,1376.42,1405.29,1405.29,
2024-10-03,1370.89,1429.15,1370.89,1392.22,1392.22,
2024-10-04,1390.21,1426.69,1386.69,1405.11,1405.11,
