date,open,high,low,close,adj_close,volume
2024-07-11,2934.85,2934.95,2862.78,2885.67,2885.67,
2024-07-12,2884.27,2933.75,2861.82,2912.49,2912.49,
2024-07-15,2912.78,2979.48,2891.66,2972.47,2972.47,
2024-07-16,2960.76,3027.84,2957.21,3001.79,3001.79,
2024-07-18,2994.26,3013.45,2974.25,2995.6,2995.6,
2024-07-19,2999.05,3022.04,2960.86,2995.17,2995.17,
2024-07-22,2995.17,3043.63,2979.86,3011.58,3011.58,
2024-07-23,3011.58,3075.83,2957.88,3041.14,3041.14,
2024-07-24,3042.24,3060.86,2974.15,3014.94,3014.94,
2024-07-25,2985.95,3071.03,2966.95,3025.4,3025.4,
2024-07-26,3019.21,3059.51,3005.92,3037.63,3037.63,
2024-07-29,3051.84,3140.08,3042.67,3080.63,3080.63,
2024-07-30,3167.0,3286.92,3119.06,3230.87,3230.87,
2024-07-31,3248.53,3282.16,3234.8,3274.58,3274.58,
2024-08-01,3215.37,3271.56,3215.37,3238.21,3238.21,
2024-08-02,3229.38,3276.36,3210.48,3229.81,3229.81,
2024-08-05,3168.92,3264.03,3168.92,3232.4,3232.4,
2024-08-06,3228.42,3291.71,3219.88,3254.0,3254.0,
2024-08-07,3272.57,3315.56,3268.73,3309.76,3309.76,
2024-08-08,3326.31,3345.36,3303.37,3327.51,3327.51,
2024-08-09,3336.0,3349.54,3303.09,3313.26,3313.26,
2024-08-12,3294.16,3352.85,3294.16,3320.46,3320.46,
2024-08-13,3320.94,3348.77,3306.83,3318.01,3318.01,
2024-08-14,3326.26,3342.24,3291.95,3328.71,3328.71,
2024-08-16,3331.11,3398.14,3331.11,3392.19,3392.19,
2024-08-19,3398.96,3426.12,3390.61,3404.09,3404.09,
2024-08-20,3411.15,3433.46,3387.83,3413.83,3413.83,
2024-08-21,3413.83,3454.91,3404.57,3430.44,3430.44,
2024-08-22,3452.51,3469.16,3431.54,3459.85,3459.85,
2024-08-23,3459.85,3477.85,3382.55,3389.12,3389.12,
2024-08-26,3370.5,3456.11,3370.5,3450.45,3450.45,
2024-08-27,3452.99,3474.78,3388.98,3397.71,3397.71,
2024-08-28,3399.54,3460.57,3381.01,3449.73,3449.73,
2024-08-29,3449.15,3491.38,3406.97,3461.77,3461.77,
2024-08-30,3484.28,3545.99,3469.5,3493.63,3493.63,
2024-09-02,3516.76,3516.76,3461.68,3483.27,3483.27,
2024-09-03,3483.27,3527.37,3479.62,3488.88,3488.88,
2024-09-04,3483.32,3533.89,3470.12,3523.43,3523.43,
2024-09-05,3525.93,3529.14,3498.77,3511.63,3511.63,
2024-09-06,3498.0,3559.47,3495.41,3507.31,3507.31,
2024-09-09,3508.65,3557.6,3507.36,3533.41,3533.41,
2024-09-10,3533.61,3553.66,3513.74,3522.81,3522.81,
2024-09-11,3522.86,3537.73,3498.14,3506.45,3506.45,
2024-09-12,3513.45,3527.22,3485.86,3496.13,3496.13,
2024-09-13,3524.01,3524.01,3437.68,3478.66,3478.66,
2024-09-16,3488.45,3542.87,3469.4,3516.47,3516.47,
2024-09-17,3521.99,3560.43,3475.35,3502.46,3502.46,
2024-09-18,3508.32,3519.83,3452.27,3488.31,3488.31,
2024-09-19,3499.54,3504.33,3441.57,3455.05,3455.05,
2024-09-20,3464.51,3537.97,3437.4,3512.73,3512.73,
2024-09-23,3514.36,3580.58,3504.38,3532.98,3532.98,
2024-09-24,3522.09,3555.34,3489.51,3533.51,3533.51,
2024-09-25,3536.44,3556.64,3464.51,3528.71,3528.71,
2024-09-26,3527.8,3556.54,3504.29,3549.34,3549.34,
2024-09-27,3550.88,3686.15,3521.23,3612.35,3612.35,
2024-09-30,3627.66,3733.22,3611.34,3651.17,3651.17,
2024-10-01,3649.82,3675.35,3602.13,3666.19,3666.19,
2024-10-03,3639.03,3717.15,3610.57,3683.41,3683.41,
2024-10-04,3685.24,3685.24,3574.92,3589.32,3589.32,
2024-10-07,3612.83,3612.83,3523.48,3546.32,3546.32,
2024-10-08,3546.32,3598.86,3524.06,3593.01,3593.01,
2024-10-09,3608.46,3622.81,3553.14,3563.16,3563.16,
2024-10-10,3586.53,3601.6,3489.51,3494.64,3494.64,
2024-10-11,3512.4,3546.08,3486.82,3540.95,3540.95,
2024-10-14,3550.88,3550.88,3358.94,3380.49,3380.49,
2024-10-15,3381.01,3405.77,3325.35,3351.31,3351.31,
2024-10-16,3320.55,3365.66,3291.76,3355.39,3355.39,
