date,open,high,low,close,adj_close,volume
2024-07-11,1022.74,1036.42,1009.3,1027.69,1027.69,2250522
2024-07-12,1035.26,1035.4,1010.76,1026.19,1026.19,2174424
2024-07-15,1031.23,1031.23,1012.45,1025.12,1025.12,3021990
2024-07-16,1039.33,1043.22,1014.35,1016.87,1016.87,5977395
2024-07-18,1029.63,1031.57,999.55,1008.96,1008.96,5805768
2024-07-19,1006.34,1009.74,977.42,981.06,981.06,1911619
2024-07-22,974.32,1015.03,961.75,1008.33,1008.33,2528388
2024-07-23,1023.76,1023.81,959.47,999.79,999.79,3998368
2024-07-24,995.71,1007.7,989.84,994.02,994.02,1943815
2024-07-25,984.99,998.58,978.54,984.89,984.89,2277785
2024-07-26,985.96,1015.12,985.96,1009.2,1009.2,2483148
2024-07-29,1018.91,1026.86,1006.44,1009.2,1009.2,2233424
2024-07-30,1009.2,1023.52,1007.36,1017.65,1017.65,1740727
2024-07-31,1027.88,1027.88,1007.31,1009.69,1009.69,1158486
2024-08-01,1009.98,1014.05,999.4,1007.36,1007.36,1198855
2024-08-02,998.72,1009.06,990.38,999.64,999.64,1186188
2024-08-05,980.28,985.09,946.17,949.33,949.33,3400489
2024-08-06,964.61,980.19,949.47,953.45,953.45,1774810
2024-08-07,971.36,978.39,962.82,974.95,974.95,1618060
2024-08-08,979.17,983.73,963.64,968.35,968.35,1329610
2024-08-09,971.4,975.33,940.16,951.8,951.8,3717978
2024-08-12,946.17,954.47,927.49,951.12,951.12,3086835
2024-08-13,955.78,956.8,925.79,928.46,928.46,1767025
2024-08-14,932.59,934.53,914.34,923.27,923.27,1483608
2024-08-16,928.33,953.6,927.55,951.61,951.61,1098849
2024-08-19,962.15,962.15,932.65,941.25,941.25,2316816
2024-08-20,944.8,955.45,937.07,952.24,952.24,937965
2024-08-21,951.7,964.68,946.07,961.57,961.57,1436705
2024-08-22,963.32,969.06,957.49,961.23,961.23,1419281
2024-08-23,961.23,971.53,958.36,962.69,962.69,1843828
2024-08-26,964.29,973.28,962.01,965.07,965.07,1634061
2024-08-27,965.07,967.79,955.64,957.44,957.44,1151524
2024-08-28,957.49,959.33,943.39,944.8,944.8,1354925
2024-08-29,946.79,946.79,924.53,936.1,936.1,1775884
2024-08-30,941.89,948.01,935.76,938.14,938.14,1763647
2024-09-02,941.93,945.97,931.53,935.23,935.23,1766518
2024-09-03,936.59,952.14,934.4,947.67,947.67,1371843
2024-09-04,941.79,946.79,928.52,938.19,938.19,2112938
2024-09-05,940.96,944.02,931.24,933.48,933.48,2366186
2024-09-06,935.37,935.37,913.06,916.32,916.32,2648249
2024-09-09,915.69,924.44,905.53,920.5,920.5,2189268
2024-09-10,926.92,926.92,909.86,913.06,913.06,1606961
2024-09-11,914.91,920.55,905.0,910.88,910.88,1634827
2024-09-12,915.15,927.35,911.9,924.73,924.73,1274303
2024-09-13,928.62,939.6,926.53,934.5,934.5,1726021
2024-09-16,938.05,938.92,923.81,924.92,924.92,1006437
2024-09-17,926.87,930.09,915.72,920.69,920.69,779425
2024-09-18,920.54,923.32,897.99,903.54,903.54,950529
2024-09-19,904.03,911.33,878.21,889.47,889.47,2683503
2024-09-20,882.55,882.55,859.17,869.89,869.89,4834345
2024-09-23,874.76,875.58,853.72,864.48,864.48,3669159
2024-09-24,864.48,877.39,862.73,870.13,870.13,1574531
2024-09-25,869.89,870.81,862.19,866.28,866.28,1043855
2024-09-26,864.48,871.49,862.63,868.86,868.86,923418
2024-09-27,868.91,892.78,868.91,887.66,887.66,2453157
2024-09-30,887.66,900.03,882.55,894.53,894.53,2175799
2024-10-01,899.11,902.96,891.41,897.84,897.84,1205512
2024-10-03,881.33,893.46,862.58,867.45,867.45,1296415
2024-10-04,862.09,868.72,847.48,858.24,858.24,2388156
2024-10-07,862.97,866.72,835.79,845.82,845.82,2135446
2024-10-08,847.48,871.05,844.95,868.62,868.62,626929
2024-10-09,873.73,882.84,865.7,873.15,873.15,702284
2024-10-10,876.61,884.45,862.97,865.11,865.11,1131722
2024-10-11,868.38,875.83,859.8,870.76,870.76,839159
2024-10-14,862.09,866.48,847.97,858.0,858.0,1415657
2024-10-15,861.46,866.87,852.84,865.94,865.94,761379
2024-10-16,862.09,866.91,858.73,862.87,862.87,416589
2024-10-17,865.99,865.99,843.58,846.41,846.41,1052737
2024-10-18,841.68,853.33,832.43,850.01,850.01,1432195
2024-10-21,850.4,853.28,823.23,828.24,828.24,1116638
2024-10-22,828.97,830.87,815.34,822.54,822.54,1475743
2024-10-23,824.05,829.65,795.85,798.68,798.68,1729635
2024-10-24,803.65,810.46,790.74,792.74,792.74,921067
2024-10-25,796.78,798.58,760.35,774.71,774.71,1043417
2024-10-28,778.27,780.41,758.59,760.54,760.54,1753958
2024-10-29,766.53,790.98,762.15,788.06,788.06,1141795
2024-10-30,783.14,822.4,780.56,813.83,813.83,2829127
2024-10-31,814.31,830.92,814.31,825.17,825.17,1876152
2024-11-01,825.17,828.97,818.26,823.32,823.32,181775
2024-11-04,823.32,823.37,808.52,816.55,816.55,1332843
2024-11-05,809.1,818.26,789.08,815.19,815.19,2040055
2024-11-06,817.28,838.57,810.56,836.23,836.23,1067959
2024-11-07,841.3,845.53,824.88,826.78,826.78,765172
2024-11-08,830.43,830.43,800.72,805.98,805.98,1154194
2024-11-11,805.98,810.03,792.01,808.42,808.42,743364
2024-11-12,808.47,815.19,785.14,788.79,788.79,622501
2024-11-13,784.16,792.93,765.22,771.84,771.84,724162
2024-11-14,774.04,777.51,758.89,767.83,767.83,656637
2024-11-18,771.74,774.33,764.61,768.03,768.03,703483
2024-11-19,777.46,791.83,762.61,767.93,767.93,2035040
2024-11-21,767.93,767.93,740.08,752.49,752.49,913632
2024-11-22,753.03,773.84,748.92,770.47,770.47,476991
2024-11-25,787.82,796.37,777.31,788.85,788.85,1141288
2024-11-26,788.85,794.37,779.51,781.17,781.17,447682
2024-11-27,786.21,797.45,781.17,790.56,790.56,1418241
2024-11-28,796.22,806.78,791.68,802.58,802.58,2046145
2024-11-29,802.58,812.11,802.58,809.57,809.57,1309486
2024-12-02,809.57,817.92,803.41,816.94,816.94,886819
2024-12-03,820.85,826.33,817.14,820.8,820.8,858817
2024-12-04,825.74,830.63,816.9,825.1,825.1,1294358
2024-12-05,830.63,832.53,820.46,827.94,827.94,914474
2024-12-06,831.7,832.43,822.76,823.93,823.93,599505
2024-12-09,825.35,846.36,821.29,838.64,838.64,1577304
2024-12-10,844.36,844.36,829.75,832.34,832.34,1655543
2024-12-11,832.48,839.81,831.07,836.93,836.93,723220
2024-12-12,824.86,826.82,799.06,805.9,805.9,1928143
2024-12-13,804.34,810.54,794.32,806.83,806.83,1334630
2024-12-16,810.1,810.1,796.52,800.13,800.13,954537
2024-12-17,801.31,805.27,786.74,787.97,787.97,748810
2024-12-18,787.82,791.97,776.48,780.49,780.49,492984
2024-12-19,772.09,778.78,762.31,770.91,770.91,595885
2024-12-20,772.13,776.97,747.7,750.54,750.54,885877
2024-12-23,758.45,762.56,751.61,758.74,758.74,506816
2024-12-24,760.36,767.15,754.84,758.26,758.26,287631
2024-12-26,758.4,763.29,752.78,758.74,758.74,740735
2024-12-27,763.29,769.93,760.36,766.37,766.37,729821
2024-12-30,767.3,771.6,754.1,761.63,761.63,1350115
