date,open,high,low,close,adj_close,volume
2024-07-11,3930.61,3954.05,3874.37,3895.08,3895.08,
2024-07-12,3888.94,3896.74,3842.35,3853.9,3853.9,
2024-07-15,3869.45,3884.07,3767.45,3792.26,3792.26,
2024-07-16,3848.98,3848.98,3760.29,3771.11,3771.11,
2024-07-18,3756.39,3762.24,3664.77,3700.69,3700.69,
2024-07-19,3720.28,3756.63,3478.02,3487.67,3487.67,
2024-07-22,3473.51,3594.77,3430.79,3538.87,3538.87,
2024-07-23,3576.39,3616.47,3338.34,3504.72,3504.72,
2024-07-24,3504.72,3585.16,3429.42,3469.94,3469.94,
2024-07-25,3408.11,3575.41,3382.44,3537.89,3537.89,
2024-07-26,3555.82,3669.38,3550.97,3643.17,3643.17,
2024-07-29,3654.78,3730.47,3621.47,3700.83,3700.83,
2024-07-30,3703.77,3754.77,3682.17,3730.67,3730.67,
2024-07-31,3740.76,3789.95,3725.57,3774.66,3774.66,
2024-08-01,3772.36,3787.01,3713.72,3738.07,3738.07,
2024-08-02,3625.09,3627.74,3401.59,3440.05,3440.05,
2024-08-05,3362.4,3453.91,3291.31,3427.36,3427.36,
2024-08-06,3439.9,3524.02,3430.4,3451.07,3451.07,
2024-08-07,3492.13,3738.85,3382.39,3672.96,3672.96,
2024-08-08,3625.39,3691.52,3589.13,3653.31,3653.31,
2024-08-09,3683.73,3746.89,3626.51,3640.18,3640.18,
2024-08-12,3610.69,3700.39,3576.44,3677.91,3677.91,
2024-08-13,3659.83,3678.84,3586.54,3630.48,3630.48,
2024-08-14,3649.88,3661.44,3588.74,3649.34,3649.34,
2024-08-16,3654.78,3694.27,3609.27,3685.55,3685.55,
2024-08-19,3704.75,3727.78,3644.98,3679.13,3679.13,
2024-08-20,3703.77,3766.48,3649.59,3752.32,3752.32,
2024-08-21,3767.41,3783.09,3723.76,3756.05,3756.05,
2024-08-22,3761.58,3765.7,3725.52,3738.75,3738.75,
2024-08-23,3738.07,3775.01,3703.77,3744.88,3744.88,
2024-08-26,3772.36,3849.77,3744.19,3782.6,3782.6,
2024-08-27,3777.21,3780.2,3677.12,3692.6,3692.6,
2024-08-28,3703.77,3708.67,3648.12,3661.69,3661.69,
2024-08-29,3661.64,3674.33,3616.62,3659.53,3659.53,
2024-08-30,3659.68,3695.44,3646.11,3669.18,3669.18,
2024-09-02,3693.88,3738.07,3669.18,3727.68,3727.68,
2024-09-03,3761.48,3765.36,3737.58,3753.99,3753.99,
2024-09-04,3723.37,3804.21,3719.65,3792.01,3792.01,
2024-09-05,3793.92,3817.19,3733.8,3763.89,3763.89,
2024-09-06,3762.56,3782.16,3676.44,3689.71,3689.71,
2024-09-09,3689.08,3689.08,3587.42,3597.41,3597.41,
2024-09-10,3641.65,3689.08,3603.54,3668.74,3668.74,
2024-09-11,3670.46,3785.0,3670.46,3720.82,3720.82,
2024-09-12,3747.86,3754.87,3674.38,3745.76,3745.76,
2024-09-13,3770.4,3770.4,3692.85,3708.28,3708.28,
2024-09-16,3733.17,3755.02,3699.07,3740.71,3740.71,
2024-09-17,3703.82,3773.49,3703.82,3768.39,3768.39,
2024-09-18,3771.38,3788.09,3667.32,3688.1,3688.1,
2024-09-19,3723.37,3749.97,3537.79,3652.63,3652.63,
2024-09-20,3663.55,3754.77,3603.63,3737.14,3737.14,
2024-09-23,3747.82,3804.7,3721.31,3787.84,3787.84,
2024-09-24,3785.74,3813.22,3760.75,3775.2,3775.2,
2024-09-25,3784.12,3847.81,3668.06,3687.8,3687.8,
2024-09-26,3688.1,3728.27,3654.78,3717.69,3717.69,
2024-09-27,3717.74,3799.8,3704.02,3786.86,3786.86,
2024-09-30,3786.23,3797.74,3685.16,3729.3,3729.3,
2024-10-01,3742.97,3813.22,3717.54,3797.69,3797.69,
2024-10-03,3791.91,3791.96,3588.94,3608.39,3608.39,
2024-10-04,3609.51,3632.24,3535.14,3550.43,3550.43,
2024-10-07,3508.15,3582.27,3454.89,3518.58,3518.58,
2024-10-08,3527.4,3649.88,3518.78,3633.52,3633.52,
2024-10-09,3649.24,3747.86,3630.87,3685.94,3685.94,
2024-10-10,3689.07,3734.15,3671.49,3706.37,3706.37,
