date,open,high,low,close,adj_close,volume
2024-07-11,620.3,620.3,608.6,614.01,614.01,
2024-07-12,618.45,618.45,610.74,614.64,614.64,
2024-07-15,617.47,623.38,614.79,616.99,616.99,
2024-07-16,618.55,632.89,614.64,625.33,625.33,
2024-07-18,625.33,635.13,623.67,629.13,629.13,
2024-07-19,631.97,634.13,618.89,620.12,620.12,
2024-07-22,615.56,626.93,614.53,623.79,623.79,
2024-07-23,626.98,648.97,619.33,639.13,639.13,
2024-07-24,636.87,636.87,605.57,621.34,621.34,
2024-07-25,612.87,623.6,612.38,618.45,618.45,
2024-07-26,618.45,622.42,612.48,619.68,619.68,
2024-07-29,623.01,630.16,618.31,628.15,628.15,
2024-07-30,628.1,635.75,619.73,621.1,621.1,
2024-07-31,624.09,627.81,617.28,622.86,622.86,
2024-08-01,626.0,642.6,623.89,630.5,630.5,
2024-08-02,630.5,636.87,612.38,614.88,614.88,
2024-08-05,602.58,627.07,601.65,621.2,621.2,
2024-08-06,625.11,630.01,614.34,616.44,616.44,
2024-08-07,618.45,628.35,618.45,626.34,626.34,
2024-08-08,626.09,628.84,621.83,624.58,624.58,
2024-08-09,628.64,629.23,609.54,611.35,611.35,
2024-08-12,614.24,614.58,603.31,607.82,607.82,
2024-08-13,608.07,611.64,590.53,593.61,593.61,
2024-08-14,597.58,597.58,586.51,592.19,592.19,
2024-08-16,594.1,606.01,592.19,605.13,605.13,
2024-08-19,605.52,612.28,602.43,608.75,608.75,
2024-08-20,612.77,612.82,604.59,610.52,610.52,
2024-08-21,612.28,623.11,605.47,621.54,621.54,
2024-08-22,624.14,634.62,619.33,633.1,633.1,
2024-08-23,634.81,638.05,627.91,630.26,630.26,
2024-08-26,632.95,642.16,627.96,641.33,641.33,
2024-08-27,641.77,641.77,628.69,630.41,630.41,
2024-08-28,632.9,636.38,625.11,631.39,631.39,
2024-08-29,630.99,634.81,625.7,631.14,631.14,
2024-08-30,630.99,632.51,623.25,624.28,624.28,
2024-09-02,624.92,631.63,621.64,623.79,623.79,
2024-09-03,623.79,635.4,622.42,625.31,625.31,
2024-09-04,625.16,638.39,621.39,636.92,636.92,
2024-09-05,641.77,641.77,629.67,631.78,631.78,
2024-09-06,630.99,640.5,630.36,631.39,631.39,
2024-09-09,631.97,651.47,631.04,648.97,648.97,
2024-09-10,655.83,656.37,648.97,651.81,651.81,
2024-09-11,654.51,657.94,648.63,650.49,650.49,
2024-09-12,650.54,655.98,649.61,651.32,651.32,
2024-09-13,652.21,654.22,638.1,647.55,647.55,
2024-09-16,646.67,654.36,644.96,647.99,647.99,
2024-09-17,647.99,658.43,643.14,646.82,646.82,
2024-09-18,646.67,648.92,637.41,641.18,641.18,
2024-09-19,641.77,653.33,641.18,651.28,651.28,
2024-09-20,655.44,656.42,648.73,654.07,654.07,
2024-09-23,654.51,657.94,643.05,647.7,647.7,
2024-09-24,646.67,652.55,639.22,642.6,642.6,
2024-09-25,637.85,640.74,609.59,614.34,614.34,
2024-09-26,614.39,615.71,608.07,613.11,613.11,
2024-09-27,615.32,621.98,609.44,620.22,620.22,
2024-09-30,620.22,622.96,610.76,612.57,612.57,
2024-10-01,613.36,617.03,601.6,606.5,606.5,
2024-10-03,568.63,583.77,559.47,568.48,568.48,
2024-10-04,572.94,573.19,559.52,560.89,560.89,
2024-10-07,563.39,569.41,550.65,557.9,557.9,
2024-10-08,559.96,561.08,553.3,555.89,555.89,
2024-10-09,556.28,560.4,551.83,553.64,553.64,
2024-10-10,555.55,564.76,552.81,560.15,560.15,
2024-10-11,562.9,563.34,557.7,559.32,559.32,
2024-10-14,559.32,563.53,554.57,555.84,555.84,
2024-10-15,556.53,561.33,555.84,559.47,559.47,
2024-10-16,561.33,567.65,558.98,566.62,566.62,
2024-10-17,566.33,567.4,560.45,560.99,560.99,
2024-10-18,559.96,560.55,553.54,559.86,559.86,
2024-10-21,559.47,563.39,554.67,556.72,556.72,
2024-10-22,554.18,560.2,544.77,547.81,547.81,
2024-10-23,546.73,551.53,544.82,547.42,547.42,
