date,open,high,low,close,adj_close,volume
2024-07-11,1852.84,1870.38,1836.65,1853.44,1853.44,345793
2024-07-12,1867.55,1934.61,1850.86,1921.0,1921.0,935891
2024-07-15,1932.37,1947.23,1901.08,1916.63,1916.63,656450
2024-07-16,1927.36,1935.25,1878.68,1903.41,1903.41,475080
2024-07-18,1903.41,1913.25,1875.69,1904.36,1904.36,321681
2024-07-19,1931.33,1931.33,1791.3,1806.85,1806.85,1973247
2024-07-22,1790.26,1806.65,1755.58,1759.61,1759.61,869025
2024-07-23,1768.2,1796.66,1739.69,1766.86,1766.86,1171376
2024-07-24,1769.89,1791.25,1757.47,1759.9,1759.9,460270
2024-07-25,1753.55,1768.4,1742.02,1760.0,1760.0,522118
2024-07-26,1773.37,1829.99,1759.46,1800.39,1800.39,585129
2024-07-29,1810.13,1829.99,1804.81,1822.34,1822.34,507267
2024-07-30,1822.35,1843.66,1814.6,1839.73,1839.73,335793
2024-07-31,1856.27,1856.82,1829.45,1838.49,1838.49,369988
2024-08-01,1833.07,1853.84,1791.7,1801.43,1801.43,378106
2024-08-02,1788.37,1810.12,1773.71,1786.98,1786.98,133225
2024-08-05,1771.13,1776.69,1732.68,1745.1,1745.1,283332
2024-08-06,1745.55,1782.51,1710.98,1719.47,1719.47,288669
2024-08-07,1725.63,1754.79,1713.01,1746.29,1746.29,963145
2024-08-08,1746.34,1765.96,1723.69,1758.51,1758.51,890191
2024-08-09,1758.46,1778.23,1725.18,1729.26,1729.26,245783
2024-08-12,1741.67,1742.57,1714.9,1733.63,1733.63,504771
2024-08-13,1723.69,1735.56,1707.99,1723.94,1723.94,326808
2024-08-14,1723.94,1726.32,1694.33,1715.2,1715.2,274182
2024-08-16,1718.72,1743.31,1715.2,1739.39,1739.39,320407
2024-08-19,1746.49,1774.71,1744.41,1757.42,1757.42,525217
2024-08-20,1760.25,1770.93,1740.28,1756.18,1756.18,706544
2024-08-21,1746.05,1761.44,1740.98,1744.01,1744.01,339297
2024-08-22,1745.3,1791.7,1745.3,1787.67,1787.67,841113
2024-08-23,1792.24,1797.21,1766.66,1792.29,1792.29,311171
2024-08-26,1808.14,1808.14,1779.87,1803.07,1803.07,248874
2024-08-27,1803.17,1820.06,1798.2,1809.93,1809.93,212638
2024-08-28,1801.58,1825.87,1798.6,1812.41,1812.41,487809
2024-08-29,1812.71,1844.8,1808.14,1833.62,1833.62,1490060
2024-08-30,1847.88,1882.45,1843.06,1878.72,1878.72,391676
2024-09-02,1887.62,1927.36,1887.62,1907.49,1907.49,691613
2024-09-03,1912.21,1917.42,1891.59,1903.02,1903.02,220625
2024-09-04,1894.97,1922.39,1883.15,1914.04,1914.04,330319
2024-09-05,1914.44,1933.17,1883.69,1901.28,1901.28,208254
2024-09-06,1907.44,1910.22,1852.84,1864.02,1864.02,231518
2024-09-09,1847.88,1872.66,1821.15,1863.43,1863.43,200041
2024-09-10,1875.05,1899.99,1867.5,1875.1,1875.1,227024
2024-09-11,1875.1,1892.58,1862.83,1886.47,1886.47,279809
2024-09-12,1892.58,1892.58,1862.83,1875.05,1875.05,108319
2024-09-13,1875.05,1900.68,1869.83,1889.7,1889.7,117478
2024-09-16,1900.83,1904.9,1839.53,1844.45,1844.45,141288
2024-09-17,1846.83,1848.97,1806.7,1810.13,1810.13,159454
2024-09-18,1810.12,1849.22,1800.79,1822.49,1822.49,300065
2024-09-19,1827.96,1832.23,1782.56,1810.37,1810.37,265606
2024-09-20,1817.08,1841.37,1807.94,1823.93,1823.93,478981
2024-09-23,1828.01,1892.58,1825.18,1887.72,1887.72,365788
2024-09-24,1892.63,1921.25,1882.9,1917.12,1917.12,523938
2024-09-25,1917.42,1926.16,1892.09,1897.9,1897.9,290182
2024-09-26,1905.95,1912.45,1892.09,1903.26,1903.26,215198
2024-09-27,1921.4,1970.03,1875.74,1882.4,1882.4,1532944
2024-09-30,1892.53,1941.66,1877.14,1920.6,1920.6,450470
2024-10-01,1917.42,1955.62,1917.42,1943.8,1943.8,436878
2024-10-03,1919.56,1960.54,1919.51,1937.29,1937.29,655833
2024-10-04,1945.24,1969.08,1900.08,1924.87,1924.87,409736
2024-10-07,1926.36,1942.61,1831.53,1841.62,1841.62,196588
2024-10-08,1849.86,1902.02,1841.67,1867.7,1867.7,134972
2024-10-09,1875.65,1887.62,1819.31,1828.75,1828.75,280596
2024-10-10,1828.75,1852.8,1823.09,1836.3,1836.3,145167
2024-10-11,1836.95,1866.8,1815.34,1860.74,1860.74,166336
2024-10-14,1868.74,1905.9,1857.22,1876.99,1876.99,188989
2024-10-15,1885.63,1885.63,1841.62,1873.66,1873.66,104971
2024-10-16,1867.65,1880.12,1836.4,1855.08,1855.08,88911
2024-10-17,1855.08,1856.82,1810.97,1823.04,1823.04,133432
2024-10-18,1826.77,1847.68,1803.17,1840.08,1840.08,101253
2024-10-21,1770.49,1843.9,1749.32,1818.87,1818.87,1093603
2024-10-22,1803.37,1825.38,1780.67,1792.69,1792.69,791489
2024-10-23,1795.22,1817.97,1745.55,1749.37,1749.37,266266
2024-10-24,1750.81,1822.44,1739.59,1801.13,1801.13,288260
2024-10-25,1782.27,1831.05,1754.44,1763.8,1763.8,181265
2024-10-28,1758.27,1809.7,1758.27,1788.54,1788.54,121298
2024-10-29,1790.18,1796.7,1764.39,1789.04,1789.04,144804
2024-10-30,1785.5,1846.54,1779.28,1832.3,1832.3,257717
2024-10-31,1828.91,1855.85,1810.29,1825.28,1825.28,787165
2024-11-01,1846.24,1846.24,1825.28,1830.26,1830.26,10439
2024-11-04,1830.06,1832.5,1763.65,1782.02,1782.02,143783
2024-11-05,1782.02,1802.18,1754.39,1785.85,1785.85,116159
2024-11-06,1791.97,1819.85,1758.82,1809.7,1809.7,163020
2024-11-07,1810.14,1815.67,1782.37,1790.48,1790.48,125279
2024-11-08,1792.22,1796.65,1752.25,1760.41,1760.41,63085
2024-11-11,1754.39,1774.4,1735.32,1747.77,1747.77,182117
2024-11-12,1752.4,1786.15,1744.43,1778.98,1778.98,79048
2024-11-13,1774.3,1780.52,1727.2,1730.09,1730.09,195661
2024-11-14,1728.6,1738.51,1669.31,1706.4,1706.4,491072
2024-11-18,1702.56,1722.53,1672.94,1679.06,1679.06,208120
2024-11-19,1693.3,1762.35,1691.21,1737.71,1737.71,400400
2024-11-21,1717.55,1775.05,1697.68,1763.95,1763.95,156031
2024-11-22,1770.32,1815.12,1756.93,1800.44,1800.44,225572
2024-11-25,1805.17,1856.94,1804.77,1818.91,1818.91,412507
2024-11-26,1818.91,1842.01,1796.55,1818.31,1818.31,73786
2024-11-27,1814.97,1839.47,1794.51,1828.52,1828.52,207146
2024-11-28,1828.56,1837.18,1801.18,1811.44,1811.44,184962
2024-11-29,1811.44,1828.52,1804.47,1812.48,1812.48,420858
2024-12-02,1842.01,1885.87,1827.17,1871.63,1871.63,1149388
2024-12-03,1871.63,1938.24,1871.63,1922.46,1922.46,447294
2024-12-04,1920.67,1936.94,1895.62,1928.33,1928.33,410592
2024-12-05,1929.63,1945.16,1881.29,1905.53,1905.53,307371
2024-12-06,1908.57,1920.22,1895.33,1917.73,1917.73,327447
2024-12-09,1923.6,1923.6,1881.83,1889.55,1889.55,238734
2024-12-10,1889.85,1900.1,1867.89,1890.5,1890.5,333088
2024-12-11,1901.7,1964.38,1900.75,1958.1,1958.1,1009273
2024-12-12,1965.27,1966.07,1916.63,1926.89,1926.89,363340
2024-12-13,1921.91,1926.89,1840.16,1913.3,1913.3,389729
2024-12-16,1917.33,1947.45,1911.75,1937.54,1937.54,140115
2024-12-17,1946.55,1950.49,1917.03,1925.74,1925.74,154906
2024-12-18,1921.16,1943.07,1865.9,1871.18,1871.18,152928
2024-12-19,1831.55,1860.68,1831.55,1843.9,1843.9,79510
2024-12-20,1843.9,1854.85,1787.24,1794.11,1794.11,217111
2024-12-23,1777.79,1794.96,1727.2,1752.35,1752.35,516633
2024-12-24,1761.56,1766.73,1707.59,1710.23,1710.23,206876
2024-12-26,1711.92,1744.43,1705.6,1731.04,1731.04,515614
2024-12-27,1732.73,1747.42,1720.68,1732.88,1732.88,135013
2024-12-30,1732.48,1773.3,1720.09,1763.7,1763.7,428056
2024-12-31,1771.31,1771.31,1736.96,1759.61,1759.61,118887
2025-01-01,1761.16,1781.27,1751.7,1763.3,1763.3,100730
2025-01-02,1757.37,1828.27,1755.58,1808.35,1808.35,496854
2025-01-03,1806.16,1823.09,1792.22,1800.04,1800.04,222622
2025-01-06,1800.64,1832.9,1737.96,1748.26,1748.26,265951
2025-01-07,1757.03,1802.78,1757.03,1791.48,1791.48,149849
2025-01-08,1796.21,1840.02,1788.24,1792.32,1792.32,269201
2025-01-09,1787.24,1805.56,1768.13,1794.51,1794.51,424042
2025-01-10,1792.22,1800.69,1712.82,1720.04,1720.04,388362
2025-01-13,1717.55,1749.76,1666.27,1694.75,1694.75,407052
2025-01-14,1695.94,1731.49,1680.71,1721.53,1721.53,264680
2025-01-15,1717.55,1735.22,1704.6,1729.49,1729.49,328842
2025-01-16,1737.46,1754.39,1723.77,1733.13,1733.13,109957
2025-01-17,1731.49,1733.68,1688.37,1714.51,1714.51,219504
2025-01-20,1723.12,1752.0,1694.25,1744.48,1744.48,123664
2025-01-21,1750.4,1788.24,1750.4,1763.55,1763.55,1374819
2025-01-22,1694.65,1797.85,1694.65,1791.28,1791.28,2935848
2025-01-23,1767.33,1841.01,1761.11,1820.45,1820.45,985904
2025-01-24,1829.06,1849.97,1790.78,1795.16,1795.16,485019
2025-01-27,1792.27,1801.78,1783.06,1788.19,1788.19,526756
2025-01-28,1796.5,1826.03,1771.31,1805.37,1805.37,386266
2025-01-29,1805.22,1860.28,1797.35,1848.43,1848.43,500967
2025-01-30,1848.43,1862.97,1822.09,1843.9,1843.9,525265
2025-01-31,1834.79,1864.61,1825.13,1858.29,1858.29,139632
2025-02-01,1866.9,1883.83,1787.14,1819.5,1819.5,234718
2025-02-03,1792.27,1832.2,1780.87,1802.63,1802.63,214516
2025-02-04,1792.22,1849.57,1792.22,1844.69,1844.69,339894
2025-02-05,1846.99,1910.66,1835.68,1879.39,1879.39,890914
2025-02-06,1876.86,1879.69,1849.03,1859.93,1859.93,228834
2025-02-07,1866.95,1870.38,1830.21,1841.76,1841.76,306565
2025-02-10,1851.96,1851.96,1801.18,1815.37,1815.37,148651
2025-02-11,1798.89,1819.4,1772.46,1778.33,1778.33,210236
2025-02-12,1787.74,1801.98,1733.98,1792.27,1792.27,123172
2025-02-13,1792.27,1817.11,1784.8,1790.63,1790.63,86388
2025-02-14,1792.47,1807.66,1752.89,1774.75,1774.75,223752
2025-02-17,1763.35,1805.17,1738.56,1800.34,1800.34,165448
2025-02-18,1792.22,1801.08,1759.22,1792.12,1792.12,151684
2025-02-19,1776.09,1801.18,1752.4,1763.1,1763.1,44341
2025-02-20,1762.35,1792.37,1747.42,1776.69,1776.69,45245
2025-02-21,1758.82,1785.85,1727.01,1734.22,1734.22,142100
2025-02-24,1723.52,1743.19,1714.86,1729.74,1729.74,110347
2025-02-25,1723.57,1738.8,1697.63,1720.58,1720.58,286519
2025-02-27,1708.64,1745.62,1677.12,1722.62,1722.62,722968
2025-02-28,1714.01,1719.34,1657.26,1682.35,1682.35,194243
2025-03-03,1700.62,1713.07,1672.24,1704.5,1704.5,176554
2025-03-04,1692.65,1698.48,1647.85,1691.91,1691.91,157910
2025-03-05,1661.99,1715.06,1661.99,1699.72,1699.72,225977
