date,open,high,low,close,adj_close,volume
2024-07-11,389.95,390.45,376.0,377.0,377.0,
2024-07-12,378.95,379.95,375.25,378.4,378.4,
2024-07-15,379.95,379.95,372.6,378.35,378.35,
2024-07-16,378.0,385.0,378.0,382.7,382.7,
2024-07-18,385.0,386.1,379.5,382.05,382.05,
2024-07-19,382.05,382.9,372.2,374.3,374.3,
2024-07-22,374.3,379.3,367.2,378.3,378.3,
2024-07-23,381.25,386.95,369.05,380.45,380.45,
2024-07-24,376.6,387.1,376.6,382.7,382.7,
2024-07-25,377.25,390.05,377.25,379.75,379.75,
2024-07-26,382.0,398.75,380.2,397.0,397.0,
2024-07-29,401.0,415.9,400.0,412.4,412.4,
2024-07-30,412.8,413.5,403.55,406.15,406.15,
2024-07-31,406.5,407.1,398.3,404.0,404.0,
2024-08-01,409.0,412.55,402.15,407.05,407.05,
2024-08-02,406.05,420.7,397.4,416.1,416.1,
2024-08-05,405.0,425.6,401.4,406.1,406.1,
2024-08-06,415.0,418.0,403.0,407.05,407.05,
2024-08-07,411.0,412.9,404.05,409.9,409.9,
2024-08-08,409.0,414.75,407.3,408.65,408.65,
2024-08-09,413.55,413.55,395.05,398.7,398.7,
2024-08-12,399.1,412.0,399.1,404.6,404.6,
2024-08-13,407.9,411.4,402.1,408.1,408.1,
2024-08-14,408.5,422.0,400.0,414.9,414.9,
2024-08-16,419.95,421.95,410.0,416.55,416.55,
2024-08-19,419.5,433.8,417.6,432.25,432.25,
2024-08-20,435.05,441.8,432.15,438.2,438.2,
2024-08-21,438.45,440.0,423.55,430.4,430.4,
2024-08-22,431.0,432.45,419.0,421.2,421.2,
2024-08-23,422.95,430.45,418.4,427.75,427.75,
2024-08-26,429.2,431.95,421.3,430.9,430.9,
2024-08-27,431.9,432.0,425.15,430.45,430.45,
2024-08-28,430.0,430.0,420.0,421.05,421.05,
2024-08-29,421.0,424.5,415.6,416.9,416.9,
2024-08-30,420.0,423.95,414.0,419.3,419.3,
2024-09-02,423.35,423.95,415.0,416.05,416.05,
2024-09-03,418.95,427.7,417.7,425.1,425.1,
2024-09-04,421.6,425.9,418.0,419.35,419.35,
2024-09-05,422.95,422.95,417.0,418.05,418.05,
2024-09-06,418.0,427.6,409.9,411.45,411.45,
2024-09-09,411.45,411.95,398.5,408.85,408.85,
2024-09-10,409.95,417.6,409.9,414.6,414.6,
2024-09-11,418.75,418.75,407.05,410.45,410.45,
2024-09-12,415.0,419.0,411.7,418.05,418.05,
2024-09-13,418.05,422.75,412.0,413.8,413.8,
2024-09-16,414.75,429.9,414.75,421.35,421.35,
2024-09-17,424.9,426.0,419.65,425.4,425.4,
2024-09-18,425.4,427.9,423.05,426.0,426.0,
2024-09-19,426.45,432.35,421.1,426.65,426.65,
2024-09-20,427.5,433.0,425.15,431.85,431.85,
2024-09-23,433.0,436.05,429.25,433.45,433.45,
2024-09-24,435.0,435.6,429.3,431.25,431.25,
2024-09-25,434.9,447.65,431.95,437.75,437.75,
2024-09-26,437.5,439.35,424.95,436.75,436.75,
2024-09-27,443.9,443.9,426.0,430.45,430.45,
2024-09-30,432.0,432.0,422.0,425.0,425.0,
2024-10-01,425.0,428.45,418.0,419.35,419.35,
2024-10-03,418.45,427.25,408.65,410.95,410.95,
2024-10-04,411.0,419.5,403.2,408.15,408.15,
2024-10-07,410.95,411.95,398.35,404.05,404.05,
2024-10-08,400.0,419.45,393.1,416.9,416.9,
2024-10-09,418.4,427.3,412.4,414.75,414.75,
2024-10-10,418.0,418.0,408.55,411.4,411.4,
2024-10-11,412.35,413.5,406.5,411.15,411.15,
2024-10-14,410.0,419.6,410.0,418.8,418.8,
2024-10-15,418.9,418.9,409.05,410.1,410.1,
2024-10-16,410.05,410.95,401.4,408.55,408.55,
2024-10-17,407.0,408.2,398.05,399.45,399.45,
2024-10-18,399.25,400.45,394.8,396.7,396.7,
2024-10-21,397.95,400.0,386.7,388.2,388.2,
2024-10-22,388.05,388.4,372.0,378.85,378.85,
2024-10-23,378.85,379.85,368.1,372.05,372.05,
2024-10-24,372.05,375.95,363.55,367.9,367.9,
2024-10-25,368.0,371.75,354.9,361.15,361.15,
2024-10-28,361.95,362.95,354.25,355.85,355.85,
2024-10-29,359.0,359.9,350.15,354.0,354.0,
2024-10-30,354.05,357.2,348.25,354.35,354.35,
2024-10-31,356.4,358.7,354.05,356.1,356.1,
2024-11-01,356.2,367.0,356.2,364.65,364.65,
2024-11-04,364.45,364.45,351.5,353.55,353.55,
2024-11-05,355.15,355.5,347.4,353.9,353.9,
2024-11-06,361.9,361.9,353.0,355.05,355.05,
2024-11-07,352.6,357.6,351.85,353.9,353.9,
2024-11-08,351.55,353.2,345.7,346.85,346.85,
2024-11-11,344.25,345.85,340.15,343.75,343.75,
2024-11-12,341.5,348.2,337.05,340.0,340.0,
2024-11-13,337.65,338.7,328.0,330.3,330.3,
2024-11-14,328.35,337.4,328.35,330.55,330.55,
2024-11-18,338.95,345.0,325.5,327.3,327.3,
2024-11-19,327.3,352.95,327.3,344.25,344.25,
2024-11-21,344.3,349.75,340.5,346.35,346.35,
2024-11-22,348.0,348.6,341.5,345.85,345.85,
2024-11-25,345.2,353.8,338.15,343.85,343.85,
2024-11-26,340.05,341.95,335.1,336.65,336.65,
2024-11-27,336.0,353.75,335.15,347.1,347.1,
2024-11-28,345.05,349.8,340.3,343.35,343.35,
2024-11-29,340.05,344.35,333.95,335.95,335.95,
2024-12-02,332.55,337.5,330.15,333.3,333.3,
2024-12-03,331.05,342.9,331.05,341.15,341.15,
2024-12-04,338.8,343.45,337.3,340.1,340.1,
2024-12-05,340.0,340.95,332.25,333.3,333.3,
2024-12-06,331.6,359.8,331.6,353.0,353.0,
2024-12-09,352.25,373.1,349.05,371.1,371.1,
2024-12-10,370.55,388.0,370.0,380.6,380.6,
2024-12-11,381.95,381.95,369.0,379.45,379.45,
2024-12-12,385.75,391.3,379.05,382.35,382.35,
2024-12-13,380.0,392.9,376.8,390.6,390.6,
2024-12-16,390.6,395.85,386.5,393.05,393.05,
2024-12-17,396.05,402.85,381.5,383.1,383.1,
2024-12-18,385.6,390.0,369.15,370.4,370.4,
2024-12-19,360.0,367.5,356.0,358.6,358.6,
2024-12-20,360.0,362.0,347.8,349.6,349.6,
2024-12-23,348.0,361.0,348.0,359.1,359.1,
2024-12-24,359.0,366.2,349.0,354.55,354.55,
2024-12-26,353.7,355.6,346.3,350.95,350.95,
2024-12-27,350.0,354.4,348.05,350.75,350.75,
2024-12-30,349.0,351.05,343.05,347.95,347.95,
2024-12-31,347.0,347.5,342.7,346.15,346.15,
2025-01-01,346.0,351.0,345.55,348.4,348.4,
2025-01-02,349.0,352.0,345.05,349.85,349.85,
2025-01-03,350.05,352.15,341.05,341.8,341.8,
2025-01-06,343.6,344.45,332.55,337.55,337.55,
2025-01-07,340.0,341.3,335.0,337.15,337.15,
2025-01-08,338.85,338.85,332.75,334.75,334.75,
2025-01-09,336.1,341.7,334.15,336.35,336.35,
2025-01-10,336.0,342.3,332.2,333.85,333.85,
2025-01-13,332.0,334.0,318.05,321.15,321.15,
2025-01-14,319.55,328.6,318.6,324.0,324.0,
2025-01-15,326.95,327.0,318.25,324.85,324.85,
2025-01-16,327.95,335.35,323.05,332.25,332.25,
2025-01-17,331.45,339.8,327.6,338.55,338.55,
2025-01-20,345.0,346.9,330.85,345.2,345.2,
2025-01-21,343.8,343.9,327.6,329.25,329.25,
2025-01-22,330.3,330.6,312.35,322.3,322.3,
2025-01-23,324.35,329.45,322.5,326.95,326.95,
2025-01-24,327.0,331.25,319.05,321.75,321.75,
2025-01-27,318.2,319.0,308.15,312.9,312.9,
2025-01-28,313.85,319.6,306.55,311.45,311.45,
2025-01-29,312.0,324.95,308.05,323.45,323.45,
2025-01-30,324.0,326.25,316.75,322.6,322.6,
2025-01-31,320.5,323.85,318.05,321.05,321.05,
2025-02-01,321.95,326.15,313.55,320.85,320.85,
2025-02-03,318.55,330.8,314.35,323.35,323.35,
2025-02-04,326.45,330.55,320.1,328.8,328.8,
2025-02-05,328.5,332.5,325.65,328.35,328.35,
2025-02-06,328.85,328.85,320.25,321.95,321.95,
2025-02-07,324.7,324.7,307.3,315.1,315.1,
2025-02-10,316.0,321.0,295.9,297.25,297.25,
2025-02-11,297.25,297.3,283.05,284.15,284.15,
2025-02-12,282.05,286.1,272.05,273.8,273.8,
2025-02-13,273.35,287.8,273.35,281.8,281.8,
2025-02-14,282.0,282.75,261.8,266.25,266.25,
2025-02-17,265.0,271.1,261.0,267.35,267.35,
2025-02-18,267.0,270.75,263.85,267.5,267.5,
2025-02-19,266.1,278.35,264.2,276.0,276.0,
2025-02-20,276.6,279.25,271.8,274.95,274.95,
2025-02-21,275.6,281.85,272.45,273.35,273.35,
2025-02-24,273.0,277.35,268.25,272.9,272.9,
2025-02-25,271.45,273.55,260.45,261.9,261.9,
2025-02-27,262.25,264.0,252.05,256.05,256.05,
2025-02-28,254.95,255.35,243.6,249.85,249.85,
2025-03-03,250.0,254.8,244.75,253.68,253.68,
2025-03-04,252.01,255.0,245.05,247.19,247.19,
2025-03-05,248.1,256.7,248.0,255.72,255.72,
2025-03-06,257.0,265.69,256.2,260.99,260.99,
2025-03-07,260.98,263.43,254.55,255.45,255.45,
2025-03-10,255.65,259.61,250.25,250.82,250.82,
2025-03-11,247.01,253.93,246.11,248.38,248.38,
2025-03-12,250.99,251.09,237.65,240.29,240.29,
2025-03-13,242.0,242.95,236.53,241.76,241.76,
2025-03-17,242.5,249.75,241.77,242.4,242.4,
2025-03-18,242.4,242.4,242.4,242.4,242.4,
2025-03-19,252.9,261.9,252.5,260.96,260.96,
2025-03-20,262.05,263.1,255.0,257.07,257.07,
2025-03-21,259.6,265.82,257.93,263.62,263.62,
2025-03-24,265.01,269.5,259.01,259.82,259.82,
2025-03-25,261.45,262.89,250.7,257.2,257.2,
2025-03-26,258.1,259.85,253.01,254.69,254.69,
2025-03-27,253.75,256.0,249.85,252.92,252.92,
2025-03-28,252.49,263.8,252.15,255.1,255.1,
2025-04-01,255.1,263.95,253.35,260.75,260.75,
2025-04-02,260.35,261.65,252.7,259.0,259.0,
2025-04-03,257.65,265.3,256.5,263.55,263.55,
2025-04-04,262.25,263.2,249.65,258.8,258.8,
2025-04-07,244.6,271.3,238.5,268.35,268.35,
2025-04-08,275.0,276.25,247.15,248.9,248.9,
2025-04-09,252.0,252.0,239.55,243.35,243.35,
2025-04-11,249.45,249.45,242.05,246.95,246.95,
2025-04-15,249.9,259.4,247.35,258.6,258.6,
2025-04-16,258.6,263.7,257.2,263.05,263.05,
2025-04-17,263.0,282.8,262.2,281.05,281.05,
2025-04-21,285.0,293.5,284.0,292.0,292.0,
2025-04-22,292.95,303.5,292.5,294.0,294.0,
2025-04-23,298.0,304.25,292.2,302.8,302.8,
2025-04-24,303.0,303.5,297.25,300.7,300.7,
2025-04-25,300.7,307.0,297.55,304.9,304.9,
2025-04-28,308.5,309.9,299.05,304.35,304.35,
2025-04-29,305.5,312.5,305.0,309.85,309.85,
2025-04-30,309.85,310.8,304.75,305.55,305.55,
2025-05-02,306.9,310.2,305.5,306.85,306.85,
2025-05-05,307.1,309.0,304.0,305.65,305.65,
2025-05-06,305.65,309.0,301.3,302.1,302.1,
2025-05-07,298.0,308.8,298.0,304.5,304.5,
2025-05-08,304.05,307.5,295.4,301.3,301.3,
2025-05-09,295.5,303.6,295.5,300.2,300.2,
2025-05-12,304.05,312.0,304.05,311.0,311.0,
2025-05-13,312.0,320.4,311.25,318.7,318.7,
2025-05-14,319.1,326.75,318.3,323.95,323.95,
2025-05-15,324.45,326.9,322.15,324.1,324.1,
2025-05-16,326.9,328.15,320.05,320.85,320.85,
2025-05-19,335.85,367.7,332.3,351.25,351.25,
2025-05-20,352.0,359.6,346.5,349.55,349.55,
2025-05-21,350.45,352.55,340.55,348.1,348.1,
2025-05-22,345.3,354.15,344.9,350.9,350.9,
2025-05-23,350.9,362.8,347.75,354.5,354.5,
2025-05-26,356.9,363.0,353.45,362.55,362.55,
2025-05-27,364.0,370.0,360.6,363.05,363.05,
2025-05-28,363.05,365.4,357.1,358.55,358.55,
2025-05-29,359.9,362.0,358.1,360.15,360.15,
2025-05-30,361.75,373.55,356.9,358.0,358.0,
2025-06-02,358.1,369.8,354.75,366.6,366.6,
2025-06-03,368.7,375.7,367.15,369.7,369.7,
2025-06-04,369.1,370.0,362.7,369.4,369.4,
2025-06-05,369.95,374.7,368.05,369.25,369.25,
2025-06-06,370.25,373.75,365.0,367.05,367.05,
