date,open,high,low,close,adj_close,volume
2024-07-11,4607.31,4610.58,4516.64,4533.9,4533.9,
2024-07-12,4541.32,4545.87,4437.73,4491.16,4491.16,
2024-07-15,4493.83,4555.52,4487.99,4526.88,4526.88,
2024-07-16,4526.88,4550.18,4503.43,4522.33,4522.33,
2024-07-18,4501.75,4554.28,4467.86,4536.18,4536.18,
2024-07-19,4531.43,4538.6,4448.76,4471.87,4471.87,
2024-07-22,4452.28,4528.81,4394.25,4486.71,4486.71,
2024-07-23,4473.05,4492.89,4348.69,4478.99,4478.99,
2024-07-24,4458.41,4530.74,4453.71,4503.33,4503.33,
2024-07-25,4481.96,4534.1,4427.84,4498.78,4498.78,
2024-07-26,4522.47,4758.99,4515.45,4739.79,4739.79,
2024-07-29,4753.05,4898.49,4721.1,4871.63,4871.63,
2024-07-30,4871.63,4892.56,4837.3,4860.25,4860.25,
2024-07-31,4852.34,4891.32,4749.29,4870.99,4870.99,
2024-08-01,4877.72,4954.89,4848.03,4865.74,4865.74,
2024-08-02,4839.66,4987.29,4817.17,4968.63,4968.63,
2024-08-05,4911.19,4966.29,4756.34,4805.07,4805.07,
2024-08-06,4808.11,4936.52,4793.22,4805.67,4805.67,
2024-08-07,4819.06,4934.63,4819.06,4924.08,4924.08,
2024-08-08,4897.8,5002.07,4801.14,4812.59,4812.59,
2024-08-09,4882.57,4882.57,4794.22,4808.06,4808.06,
2024-08-12,4807.06,4882.77,4755.89,4868.83,4868.83,
2024-08-13,4877.79,4897.65,4781.28,4839.76,4839.76,
2024-08-14,4826.03,4826.03,4621.01,4640.87,4640.87,
2024-08-16,4643.85,4688.45,4602.34,4612.9,4612.9,
2024-08-19,4643.85,4668.69,4594.63,4648.73,4648.73,
2024-08-20,4653.61,4707.42,4642.16,4701.74,4701.74,
2024-08-21,4714.53,4940.85,4713.49,4878.59,4878.59,
2024-08-22,4905.17,4907.6,4846.93,4889.19,4889.19,
2024-08-23,4904.67,4927.56,4807.06,4833.94,4833.94,
2024-08-26,4837.97,4911.64,4837.97,4903.92,4903.92,
2024-08-27,4885.75,4972.86,4852.9,4880.28,4880.28,
2024-08-28,4859.97,5072.9,4836.93,5007.9,5007.9,
2024-08-29,5027.01,5054.34,4967.43,4989.83,4989.83,
2024-08-30,4996.75,5109.24,4996.75,5070.81,5070.81,
2024-09-02,5101.57,5109.68,5000.28,5014.02,5014.02,
2024-09-03,5014.02,5075.34,5013.72,5043.04,5043.04,
2024-09-04,5037.56,5086.84,4992.52,5073.5,5073.5,
2024-09-05,5076.88,5141.04,5064.09,5097.69,5097.69,
2024-09-06,5103.76,5146.57,5039.4,5114.51,5114.51,
2024-09-09,5081.86,5170.76,5059.16,5150.05,5150.05,
2024-09-10,5177.38,5422.66,5174.44,5401.85,5401.85,
2024-09-11,5380.5,5445.11,5355.66,5414.65,5414.65,
2024-09-12,5425.3,5488.01,5371.74,5457.95,5457.95,
2024-09-13,5440.28,5506.68,5378.56,5473.73,5473.73,
2024-09-16,5470.09,5494.98,5446.9,5454.51,5454.51,
2024-09-17,5454.21,5534.8,5411.36,5427.49,5427.49,
2024-09-18,5427.24,5457.85,5367.61,5444.36,5444.36,
2024-09-19,5444.36,5488.01,5394.44,5404.59,5404.59,
2024-09-20,5431.57,5480.05,5402.75,5426.04,5426.04,
2024-09-23,5465.11,5557.64,5340.18,5348.5,5348.5,
2024-09-24,5350.64,5395.13,5293.55,5351.43,5351.43,
2024-09-25,5351.43,5423.8,5330.23,5369.85,5369.85,
2024-09-26,5385.48,5394.04,5268.26,5354.92,5354.92,
2024-09-27,5347.35,5498.26,5291.56,5433.16,5433.16,
2024-09-30,5448.14,5487.16,5354.17,5418.68,5418.68,
2024-10-01,5415.89,5439.28,5338.44,5399.21,5399.21,
2024-10-03,5375.52,5468.8,5217.94,5405.69,5405.69,
2024-10-04,5383.49,5497.17,5360.84,5400.96,5400.96,
2024-10-07,5423.31,5495.97,5352.33,5379.85,5379.85,
2024-10-08,5377.22,5541.27,5374.18,5521.91,5521.91,
2024-10-09,5630.26,6002.62,5616.48,5962.6,5962.6,
2024-10-10,5932.99,5994.7,5893.46,5915.22,5915.22,
2024-10-11,5947.92,6131.93,5931.89,6114.41,6114.41,
2024-10-14,6112.17,6206.74,6090.32,6186.68,6186.68,
2024-10-15,6122.12,6247.4,5993.06,6079.02,6079.02,
2024-10-16,6074.04,6114.91,6029.55,6095.89,6095.89,
2024-10-17,6095.89,6142.98,6018.2,6049.85,6049.85,
2024-10-18,6049.9,6064.29,5977.43,5994.95,5994.95,
2024-10-21,6002.62,6080.71,5882.56,5898.14,5898.14,
2024-10-22,5893.17,5936.97,5778.69,5791.58,5791.58,
2024-10-23,5778.09,5831.85,5691.34,5701.64,5701.64,
