date,open,high,low,close,adj_close,volume
2024-07-11,826.2,832.02,819.59,821.22,821.22,1293318
2024-07-12,827.09,827.09,808.98,811.1,811.1,2543048
2024-07-15,816.33,824.92,808.09,822.55,822.55,1494904
2024-07-16,822.55,840.71,820.38,832.86,832.86,3157792
2024-07-18,831.14,836.02,816.03,834.0,834.0,4433926
2024-07-19,837.06,837.06,797.57,805.87,805.87,4601334
2024-07-22,804.53,823.14,795.06,821.17,821.17,3125767
2024-07-23,826.15,828.22,768.16,798.91,798.91,11426098
2024-07-24,789.68,818.7,786.72,808.83,808.83,6572592
2024-07-25,807.99,811.89,792.2,801.23,801.23,3694096
2024-07-26,806.9,832.76,803.84,818.99,818.99,5503367
2024-07-29,823.19,864.7,819.78,858.77,858.77,8358895
2024-07-30,863.36,874.03,858.77,868.55,868.55,4629527
2024-07-31,876.14,885.08,864.08,882.69,882.69,4091190
2024-08-01,883.54,894.46,860.95,867.55,867.55,6040354
2024-08-02,851.77,859.96,835.34,838.32,838.32,3305561
2024-08-05,826.7,828.99,794.59,804.27,804.27,5834107
2024-08-06,822.53,838.17,811.86,814.74,814.74,5035943
2024-08-07,846.81,846.81,827.5,839.51,839.51,2323809
2024-08-08,837.38,844.32,824.47,826.55,826.55,2365759
2024-08-09,841.45,841.45,822.98,824.87,824.87,1309164
2024-08-12,820.99,834.69,816.48,829.38,829.38,1697136
2024-08-13,830.92,831.42,804.17,807.94,807.94,1433125
2024-08-14,811.86,817.97,803.32,815.68,815.68,2076958
2024-08-16,829.43,867.65,824.37,860.61,860.61,8826463
2024-08-19,862.69,866.31,849.09,850.98,850.98,1552098
2024-08-20,858.72,865.67,853.76,861.05,861.05,1686482
2024-08-21,862.44,864.82,847.1,854.3,854.3,1781137
2024-08-22,856.24,860.21,847.85,853.01,853.01,1597012
2024-08-23,853.01,864.28,841.59,843.33,843.33,2524444
2024-08-26,851.52,851.52,834.89,842.64,842.64,1382673
2024-08-27,842.64,854.2,837.28,840.2,840.2,3312432
2024-08-28,841.84,843.33,827.94,831.02,831.02,2135655
2024-08-29,831.02,832.21,812.56,825.86,825.86,4348398
2024-08-30,827.99,843.38,827.99,838.96,838.96,4433064
2024-09-02,843.83,847.75,837.23,842.09,842.09,1639881
2024-09-03,843.83,853.01,840.01,841.45,841.45,2402444
2024-09-04,834.6,845.66,829.19,844.18,844.18,1426084
2024-09-05,846.81,847.8,834.05,835.54,835.54,942254
2024-09-06,833.9,834.89,803.67,808.34,808.34,3788122
2024-09-09,807.64,826.26,806.15,820.75,820.75,2517054
2024-09-10,824.27,829.93,814.94,823.77,823.77,2172160
2024-09-11,823.97,829.33,814.29,818.02,818.02,1543757
2024-09-12,823.97,830.97,821.29,829.83,829.83,1310892
2024-09-13,833.9,860.16,829.98,857.33,857.33,4679178
2024-09-16,862.69,874.4,852.27,855.84,855.84,3120053
2024-09-17,855.74,859.66,847.8,854.6,854.6,1262957
2024-09-18,850.88,857.38,842.84,854.45,854.45,1326773
2024-09-19,861.7,868.55,827.25,843.13,843.13,3526011
2024-09-20,847.8,874.6,846.96,871.23,871.23,4012769
2024-09-23,877.28,912.33,873.91,903.04,903.04,6822019
2024-09-24,904.34,919.18,903.59,910.34,910.34,5638566
2024-09-25,908.36,916.3,896.1,913.72,913.72,2956612
2024-09-26,914.21,922.06,899.12,917.29,917.29,4276089
2024-09-27,917.29,922.25,898.43,907.41,907.41,4444599
2024-09-30,903.34,911.23,886.57,888.65,888.65,4693690
2024-10-01,890.29,909.45,888.8,907.11,907.11,1899090
2024-10-03,882.05,901.41,852.56,858.57,858.57,5533806
2024-10-04,857.73,859.76,826.26,838.72,838.72,6178623
2024-10-07,842.29,847.55,809.78,819.65,819.65,4635422
2024-10-08,817.27,837.03,817.02,833.9,833.9,2801195
2024-10-09,838.37,852.56,834.05,845.76,845.76,3340138
2024-10-10,853.76,872.32,848.3,854.55,854.55,4443507
2024-10-11,855.74,855.74,835.64,840.45,840.45,2156169
2024-10-14,843.83,858.52,837.67,856.63,856.63,2214137
2024-10-15,858.72,870.88,850.83,869.09,869.09,2052716
2024-10-16,872.62,881.45,859.26,878.33,878.33,3343590
2024-10-17,881.55,881.65,846.61,854.75,854.75,4342357
2024-10-18,854.65,873.96,840.6,868.8,868.8,2492488
2024-10-21,868.7,877.98,850.88,854.5,854.5,1786182
2024-10-22,851.77,852.76,806.1,809.23,809.23,4910152
2024-10-23,809.63,812.76,791.06,799.5,799.5,6343961
2024-10-24,803.62,812.06,792.21,795.58,795.58,2654323
2024-10-25,799.15,801.88,761.03,771.36,771.36,3787373
2024-10-28,788.23,833.5,781.78,816.92,816.92,12404776
2024-10-29,814.1,831.82,809.08,826.41,826.41,3086644
2024-10-30,823.97,836.33,817.02,820.4,820.4,2654524
2024-10-31,822.88,823.58,808.39,813.9,813.9,2475258
2024-11-01,818.02,822.38,813.05,817.77,817.77,276864
2024-11-04,818.26,819.01,782.33,784.16,784.16,3511025
2024-11-05,784.66,794.64,767.93,793.25,793.25,3602796
2024-11-06,801.14,824.97,798.01,822.19,822.19,2936349
2024-11-07,819.95,822.98,795.73,797.57,797.57,3183930
2024-11-08,798.36,802.53,777.31,780.29,780.29,2045558
2024-11-11,779.3,785.75,766.2,771.85,771.85,2034527
2024-11-12,775.33,782.77,756.57,759.3,759.3,2258658
2024-11-13,756.47,763.91,738.55,743.11,743.11,4136515
2024-11-14,746.59,765.4,745.55,757.16,757.16,1985408
2024-11-18,774.29,774.29,750.61,754.08,754.08,2762739
2024-11-19,757.51,771.56,753.29,757.61,757.61,1919376
2024-11-21,761.38,775.78,739.24,768.33,768.33,4250528
2024-11-22,774.88,803.03,770.27,797.57,797.57,5603939
2024-11-25,816.03,832.86,809.43,817.32,817.32,7824936
2024-11-26,820.0,827.7,814.05,821.34,821.34,1954044
2024-11-27,819.56,822.98,812.11,817.72,817.72,2279120
2024-11-28,817.72,820.4,803.08,807.94,807.94,3511735
2024-11-29,808.29,822.63,801.34,816.97,816.97,2517628
2024-12-02,821.99,846.61,816.28,842.93,842.93,4392800
2024-12-03,853.76,855.74,836.28,840.8,840.8,3983809
2024-12-04,846.81,846.81,834.84,841.79,841.79,1677057
2024-12-05,847.8,847.8,838.27,844.08,844.08,1991220
2024-12-06,846.71,852.17,836.88,850.63,850.63,2604765
2024-12-09,850.63,867.06,848.99,856.44,856.44,3507045
2024-12-10,858.72,864.68,854.45,862.09,862.09,2333620
2024-12-11,856.73,876.24,856.73,869.39,869.39,3124962
2024-12-12,871.43,873.06,855.29,860.8,860.8,1752393
2024-12-13,856.24,866.61,839.96,864.53,864.53,2141188
2024-12-16,864.53,890.09,864.53,886.81,886.81,5928710
2024-12-17,878.57,888.3,864.63,866.11,866.11,3979629
2024-12-18,873.61,874.95,860.61,865.12,865.12,3550474
2024-12-19,853.76,865.32,846.81,858.12,858.12,2850728
2024-12-20,856.83,863.38,818.51,824.67,824.67,2873364
2024-12-23,831.72,847.8,826.5,838.12,838.12,3024905
2024-12-24,839.26,845.71,828.24,835.59,835.59,2883051
2024-12-26,833.9,838.62,825.86,832.61,832.61,1616769
2024-12-27,834.5,840.7,812.16,828.79,828.79,1052649
2024-12-30,825.96,833.75,811.12,814.74,814.74,4581041
2024-12-31,804.12,822.43,804.02,818.91,818.91,1292892
2025-01-01,815.58,820.25,808.68,818.51,818.51,929268
2025-01-02,814.05,832.16,809.33,829.33,829.33,2509773
2025-01-03,828.54,833.75,818.17,822.04,822.04,2125279
2025-01-06,822.98,827.94,795.68,800.0,800.0,3125197
2025-01-07,803.13,811.56,798.66,804.91,804.91,2290843
2025-01-08,802.13,805.56,788.98,796.77,796.77,2432853
2025-01-09,797.76,798.16,773.14,774.98,774.98,2395731
2025-01-10,775.33,778.8,744.7,746.69,746.69,4994931
2025-01-13,737.6,742.52,701.92,705.64,705.64,6770170
2025-01-14,714.67,720.73,705.99,718.0,718.0,4474786
2025-01-15,724.7,736.61,714.62,729.46,729.46,5333750
