date,open,high,low,close,adj_close,volume
2024-07-11,1302.61,1308.3,1291.09,1302.92,1302.92,
2024-07-12,1302.03,1332.61,1296.99,1327.56,1327.56,
2024-07-15,1333.59,1360.26,1324.22,1342.44,1342.44,
2024-07-16,1343.47,1348.04,1318.96,1320.83,1320.83,
2024-07-18,1320.82,1333.31,1309.77,1325.1,1325.1,
2024-07-19,1323.61,1335.21,1316.91,1318.84,1318.84,
2024-07-22,1307.71,1347.45,1307.71,1345.65,1345.65,
2024-07-23,1345.47,1368.12,1334.93,1364.35,1364.35,
2024-07-24,1379.03,1379.03,1350.09,1355.43,1355.43,
2024-07-25,1350.44,1366.32,1342.89,1362.0,1362.0,
2024-07-26,1369.11,1384.42,1349.76,1367.06,1367.06,
2024-07-29,1375.28,1380.86,1338.51,1359.39,1359.39,
2024-07-30,1360.38,1369.51,1350.02,1352.25,1352.25,
2024-07-31,1352.2,1357.29,1338.51,1341.59,1341.59,
2024-08-01,1350.53,1371.4,1348.78,1368.91,1368.91,
2024-08-02,1367.53,1387.4,1366.23,1384.05,1384.05,
2024-08-05,1377.29,1383.43,1350.24,1353.82,1353.82,
2024-08-06,1359.16,1374.34,1350.49,1352.9,1352.9,
2024-08-07,1367.33,1378.26,1359.38,1376.54,1376.54,
2024-08-08,1376.27,1398.13,1374.17,1378.91,1378.91,
2024-08-09,1387.2,1396.15,1383.89,1393.86,1393.86,
2024-08-12,1393.95,1397.14,1366.0,1368.63,1368.63,
2024-08-13,1371.7,1383.67,1361.61,1380.92,1380.92,
2024-08-14,1382.23,1383.62,1349.94,1351.64,1351.64,
2024-08-16,1357.6,1361.16,1343.11,1350.16,1350.16,
2024-08-19,1358.97,1376.07,1354.93,1373.56,1373.56,
2024-08-20,1377.27,1386.05,1371.3,1384.29,1384.29,
2024-08-21,1391.16,1412.53,1384.29,1403.59,1403.59,
2024-08-22,1403.57,1403.57,1375.91,1385.03,1385.03,
2024-08-23,1387.17,1389.19,1377.28,1382.13,1382.13,
2024-08-26,1376.26,1383.22,1371.14,1379.91,1379.91,
2024-08-27,1380.25,1392.48,1371.71,1383.81,1383.81,
2024-08-28,1383.81,1400.77,1375.87,1391.04,1391.04,
2024-08-29,1370.97,1395.14,1369.14,1377.49,1377.49,
2024-08-30,1378.86,1400.12,1378.86,1397.41,1397.41,
2024-09-02,1401.05,1406.07,1357.39,1365.77,1365.77,
2024-09-03,1371.3,1374.09,1360.97,1362.13,1362.13,
2024-09-04,1360.93,1360.93,1344.87,1348.89,1348.89,
2024-09-05,1350.93,1361.13,1328.77,1330.71,1330.71,
2024-09-06,1331.34,1335.55,1322.21,1325.03,1325.03,
2024-09-09,1327.57,1334.72,1312.22,1322.79,1322.79,
2024-09-10,1330.36,1331.12,1314.29,1321.7,1321.7,
2024-09-11,1323.78,1341.36,1310.87,1314.17,1314.17,
2024-09-12,1331.56,1333.98,1307.77,1328.35,1328.35,
2024-09-13,1328.85,1331.37,1321.02,1323.74,1323.74,
2024-09-16,1329.55,1329.55,1317.94,1321.04,1321.04,
2024-09-17,1319.65,1324.75,1312.28,1317.97,1317.97,
2024-09-18,1321.02,1321.22,1297.97,1305.28,1305.28,
2024-09-19,1308.5,1314.17,1288.33,1292.31,1292.31,
2024-09-20,1298.72,1311.27,1288.97,1301.97,1301.97,
2024-09-23,1311.68,1324.0,1307.71,1322.5,1322.5,
2024-09-24,1322.5,1329.55,1307.75,1321.69,1321.69,
2024-09-25,1322.86,1333.07,1310.8,1329.86,1329.86,
2024-09-26,1334.5,1342.88,1324.46,1340.38,1340.38,
2024-09-27,1333.74,1345.94,1324.9,1341.47,1341.47,
2024-09-30,1342.49,1349.64,1333.54,1341.81,1341.81,
2024-10-01,1341.81,1348.53,1327.19,1341.31,1341.31,
2024-10-03,1347.45,1350.44,1329.99,1338.64,1338.64,
2024-10-04,1334.14,1338.09,1313.87,1318.29,1318.29,
2024-10-07,1328.29,1333.95,1307.92,1313.65,1313.65,
2024-10-08,1313.66,1325.2,1306.71,1322.82,1322.82,
2024-10-09,1330.76,1342.47,1321.04,1324.57,1324.57,
2024-10-10,1331.16,1331.16,1302.48,1308.32,1308.32,
2024-10-11,1308.7,1316.59,1300.76,1311.52,1311.52,
2024-10-14,1318.84,1329.76,1311.68,1323.59,1323.59,
2024-10-15,1328.38,1331.54,1312.71,1314.0,1314.0,
2024-10-16,1319.63,1340.69,1317.45,1333.72,1333.72,
2024-10-17,1340.46,1346.46,1321.71,1332.36,1332.36,
