date,open,high,low,close,adj_close,volume
2024-07-11,23652.4,23684.5,23388.25,23599.45,23599.45,1007200
2024-07-12,23606.95,23819.9,23553.0,23604.4,23604.4,1085900
2024-07-15,23627.75,23775.25,23556.2,23691.85,23691.85,1181600
2024-07-16,23696.0,23760.2,23628.85,23648.35,23648.35,938500
2024-07-18,23559.15,23838.5,23523.75,23783.5,23783.5,1166500
2024-07-19,23737.7,23762.05,23566.05,23596.35,23596.35,849500
2024-07-22,23543.2,23719.05,23450.8,23626.8,23626.8,1086100
2024-07-23,23710.3,23725.0,23111.05,23304.1,23304.1,1636100
2024-07-24,23224.1,23388.35,22969.2,23165.1,23165.1,1553400
2024-07-25,22921.6,23064.2,22866.15,23049.5,23049.5,1215700
2024-07-26,22941.15,23358.95,22934.0,23316.7,23316.7,1398500
2024-07-29,23371.0,23668.55,23222.15,23315.3,23315.3,1776300
2024-07-30,23298.9,23583.85,23208.35,23338.0,23338.0,1491600
2024-07-31,23364.95,23463.7,23348.15,23412.2,23412.2,1140400
2024-08-01,23462.8,23550.65,23387.65,23435.85,23435.85,907700
2024-08-02,23254.2,23476.85,23238.25,23365.9,23365.9,1053100
2024-08-05,22984.5,23086.15,22598.0,22762.7,22762.7,1665100
2024-08-06,22917.85,23078.9,22497.8,22520.1,22520.1,1368900
2024-08-07,22782.7,22857.95,22622.05,22804.75,22804.75,1285200
2024-08-08,22762.95,22988.85,22679.6,22838.4,22838.4,994200
2024-08-09,23044.25,23088.55,22945.6,22983.3,22983.3,808900
2024-08-12,22966.6,23158.4,22830.8,23028.55,23028.55,917800
2024-08-13,22919.5,22989.15,22574.5,22596.8,22596.8,1122400
2024-08-14,22636.4,22663.4,22518.85,22591.7,22591.7,774100
2024-08-16,22774.4,22997.1,22617.95,22976.2,22976.2,823600
2024-08-19,23062.4,23065.9,22872.0,22922.7,22922.7,642400
2024-08-20,22943.8,23247.2,22926.8,23178.15,23178.15,1058200
2024-08-21,23123.0,23170.4,23014.05,23143.65,23143.65,1109500
2024-08-22,23230.85,23283.85,23163.45,23247.15,23247.15,641600
2024-08-23,23275.15,23305.5,23199.95,23232.15,23232.15,565100
2024-08-26,23324.05,23437.45,23286.5,23386.2,23386.2,676800
2024-08-27,23402.9,23603.15,23280.4,23578.8,23578.8,1345100
2024-08-28,23557.6,23571.2,23481.25,23521.5,23521.5,865400
2024-08-29,23519.5,23675.55,23484.85,23581.7,23581.7,1274700
2024-08-30,23712.85,23718.2,23593.85,23637.9,23637.9,3217100
2024-09-02,23756.7,23766.4,23663.15,23727.55,23727.55,912200
2024-09-03,23764.9,23950.95,23595.05,23922.2,23922.2,1217800
2024-09-04,23772.1,23847.7,23742.4,23834.05,23834.05,815500
