date,open,high,low,close,adj_close,volume
2024-07-11,213.6,214.39,209.97,213.13,213.13,
2024-07-12,213.41,217.22,208.76,212.49,212.49,
2024-07-15,213.32,221.12,211.91,220.34,220.34,
2024-07-16,221.31,222.15,216.48,216.86,216.86,
2024-07-18,216.95,217.28,211.61,212.63,212.63,
2024-07-19,212.63,212.63,203.49,204.18,204.18,
2024-07-22,202.35,210.39,200.83,207.06,207.06,
2024-07-23,209.88,209.88,194.32,204.2,204.2,
2024-07-24,203.47,209.04,202.63,207.81,207.81,
2024-07-25,206.26,213.49,203.44,212.2,212.2,
2024-07-26,213.69,216.12,212.98,214.28,214.28,
2024-07-29,215.08,217.56,213.69,215.43,215.43,
2024-07-30,217.13,219.64,215.45,217.17,217.17,
2024-07-31,223.91,228.83,221.55,223.88,223.88,
2024-08-01,225.72,226.65,220.3,222.05,222.05,
2024-08-02,219.63,222.52,215.64,220.2,220.2,
2024-08-05,213.69,214.41,205.33,208.64,208.64,
2024-08-06,209.96,214.21,206.63,207.56,207.56,
2024-08-07,211.0,217.48,209.6,216.96,216.96,
2024-08-08,215.55,215.76,210.6,211.19,211.19,
2024-08-09,215.27,215.27,210.9,211.25,211.25,
2024-08-12,210.42,218.24,209.38,215.45,215.45,
2024-08-13,216.75,217.5,210.07,211.05,211.05,
2024-08-14,212.11,213.57,209.11,210.59,210.59,
2024-08-16,212.09,216.48,210.57,216.06,216.06,
2024-08-19,217.41,222.61,216.97,221.99,221.99,
2024-08-20,222.98,224.51,219.37,219.93,219.93,
2024-08-21,221.12,221.86,218.66,219.4,219.4,
2024-08-22,220.33,220.66,216.94,217.47,217.47,
2024-08-23,217.96,218.6,212.62,213.2,213.2,
2024-08-26,214.8,219.17,213.55,218.57,218.57,
2024-08-27,218.33,220.94,217.5,219.75,219.75,
2024-08-28,220.66,221.12,217.55,218.77,218.77,
2024-08-29,217.45,218.5,212.47,215.46,215.46,
2024-08-30,216.02,222.36,216.02,220.83,220.83,
2024-09-02,221.73,223.25,216.83,217.46,217.46,
2024-09-03,218.33,219.05,214.76,216.04,216.04,
2024-09-04,212.84,215.03,211.8,213.66,213.66,
2024-09-05,215.27,215.36,210.82,211.94,211.94,
2024-09-06,211.74,212.22,206.21,207.02,207.02,
2024-09-09,206.35,207.19,200.5,202.31,202.31,
2024-09-10,203.84,206.11,202.16,204.33,204.33,
2024-09-11,204.47,205.57,199.75,201.79,201.79,
2024-09-12,202.73,205.3,202.18,204.99,204.99,
2024-09-13,204.99,206.01,202.72,203.35,203.35,
2024-09-16,204.4,204.91,201.61,202.38,202.38,
2024-09-17,203.17,205.75,202.42,204.15,204.15,
2024-09-18,204.14,205.46,200.7,202.48,202.48,
2024-09-19,203.47,203.89,193.83,195.96,195.96,
2024-09-20,196.89,199.05,194.99,197.11,197.11,
2024-09-23,197.89,205.28,196.62,204.7,204.7,
2024-09-24,204.58,207.84,204.02,206.89,206.89,
2024-09-25,206.85,209.97,206.31,209.59,209.59,
2024-09-26,210.86,214.72,208.92,214.22,214.22,
2024-09-27,217.41,221.03,215.55,220.17,220.17,
2024-09-30,217.41,227.63,214.29,223.25,223.25,
2024-10-01,223.17,227.16,222.06,222.76,222.76,
2024-10-03,215.68,226.69,215.68,223.26,223.26,
2024-10-04,224.33,224.83,212.98,213.87,213.87,
2024-10-07,215.55,217.64,206.3,208.06,208.06,
2024-10-08,206.46,211.24,205.4,208.81,208.81,
2024-10-09,209.28,210.56,206.4,206.78,206.78,
2024-10-10,208.11,213.2,207.72,209.62,209.62,
2024-10-11,209.97,214.15,209.43,213.13,213.13,
2024-10-14,213.13,215.18,211.04,214.31,214.31,
2024-10-15,213.81,217.31,212.13,214.83,214.83,
2024-10-16,214.18,217.87,213.42,215.42,215.42,
2024-10-17,213.09,213.81,205.22,206.27,206.27,
2024-10-18,206.26,206.42,201.94,205.73,205.73,
2024-10-21,207.19,207.7,203.1,204.07,204.07,
2024-10-22,202.74,203.97,196.36,197.09,197.09,
2024-10-23,195.78,200.07,193.34,196.47,196.47,
2024-10-24,196.27,198.54,195.11,195.52,195.52,
2024-10-25,195.57,196.13,188.08,191.47,191.47,
2024-10-28,190.46,194.44,189.13,192.18,192.18,
2024-10-29,191.07,192.83,185.99,190.57,190.57,
2024-10-30,189.68,192.18,187.98,189.28,189.28,
2024-10-31,188.6,189.5,185.36,185.81,185.81,
2024-11-01,185.81,187.58,184.0,185.97,185.97,
2024-11-04,185.97,186.1,180.95,182.28,182.28,
2024-11-05,181.91,183.02,178.11,182.48,182.48,
2024-11-06,186.75,195.1,186.75,194.1,194.1,
2024-11-07,194.46,201.12,193.25,195.51,195.51,
2024-11-08,195.11,195.11,189.37,189.69,189.69,
2024-11-11,187.67,191.58,187.49,188.54,188.54,
2024-11-12,188.6,190.65,179.78,180.38,180.38,
2024-11-13,180.15,180.89,175.55,176.03,176.03,
2024-11-14,176.07,178.38,174.6,175.49,175.49,
2024-11-18,176.53,177.32,171.53,172.31,172.31,
2024-11-19,172.47,176.06,172.47,173.44,173.44,
2024-11-21,173.84,176.76,167.63,174.95,174.95,
2024-11-22,176.14,179.89,174.82,178.95,178.95,
2024-11-25,183.4,186.93,182.87,185.06,185.06,
2024-11-26,185.06,185.74,179.33,180.21,180.21,
2024-11-27,180.8,181.64,178.85,181.06,181.06,
2024-11-28,181.08,185.12,179.92,182.75,182.75,
2024-11-29,183.68,186.34,182.52,185.31,185.31,
2024-12-02,184.33,185.07,183.03,184.46,184.46,
2024-12-03,185.35,186.92,184.89,185.81,185.81,
2024-12-04,187.3,193.28,187.09,192.07,192.07,
2024-12-05,193.67,194.83,190.97,194.06,194.06,
2024-12-06,194.06,198.27,193.72,195.49,195.49,
2024-12-09,195.48,196.87,193.44,193.87,193.87,
2024-12-10,193.99,195.05,192.21,192.82,192.82,
2024-12-11,191.86,193.08,190.46,191.22,191.22,
2024-12-12,190.74,192.88,189.91,190.67,190.67,
2024-12-13,190.46,191.02,185.67,190.37,190.37,
2024-12-16,190.23,190.46,187.09,189.37,189.37,
2024-12-17,188.6,190.46,184.06,185.42,185.42,
2024-12-18,183.96,185.22,179.31,179.81,179.81,
2024-12-19,175.69,183.03,175.35,179.89,179.89,
2024-12-20,180.25,185.61,178.12,178.77,178.77,
2024-12-23,180.43,184.13,178.04,180.21,180.21,
2024-12-24,180.21,187.2,180.11,184.01,184.01,
2024-12-26,184.52,186.48,182.56,183.61,183.61,
2024-12-27,183.02,183.71,178.49,178.85,178.85,
2024-12-30,179.31,180.07,174.2,175.35,175.35,
2024-12-31,174.99,178.51,174.06,177.44,177.44,
2025-01-01,177.48,178.01,175.62,177.54,177.54,
2025-01-02,177.45,178.27,174.26,177.55,177.55,
2025-01-03,178.1,180.02,176.28,177.54,177.54,
2025-01-06,177.82,177.83,170.77,171.57,171.57,
2025-01-07,173.1,175.86,170.91,172.87,172.87,
