date,open,high,low,close,adj_close,volume
2024-07-11,1386.61,1391.59,1344.77,1379.04,1379.04,2647788
2024-07-12,1380.63,1390.59,1347.91,1376.15,1376.15,1280942
2024-07-15,1377.44,1410.61,1377.14,1402.7,1402.7,887309
2024-07-16,1406.43,1421.47,1399.66,1405.29,1405.29,590653
2024-07-18,1416.49,1419.48,1394.23,1407.88,1407.88,1311262
2024-07-19,1409.17,1412.01,1377.74,1407.48,1407.48,747528
2024-07-22,1401.45,1431.08,1324.95,1424.11,1424.11,780641
2024-07-23,1421.47,1429.39,1395.37,1419.38,1419.38,933073
2024-07-24,1411.51,1442.19,1408.52,1420.18,1420.18,575514
2024-07-25,1414.35,1445.38,1396.62,1419.08,1419.08,772348
2024-07-26,1417.49,1448.57,1414.6,1432.83,1432.83,703609
2024-07-29,1433.67,1446.33,1414.5,1434.77,1434.77,648156
2024-07-30,1428.79,1445.73,1422.72,1427.15,1427.15,398856
2024-07-31,1428.94,1468.29,1428.94,1463.06,1463.06,743604
2024-08-01,1467.09,1473.67,1419.48,1432.13,1432.13,941967
2024-08-02,1430.44,1446.72,1409.57,1437.46,1437.46,492863
2024-08-05,1409.52,1447.17,1400.95,1412.31,1412.31,659694
2024-08-06,1423.17,1459.18,1414.85,1420.08,1420.08,738077
2024-08-07,1431.43,1477.36,1426.85,1454.49,1454.49,595406
2024-08-08,1453.35,1469.19,1442.94,1446.13,1446.13,421207
2024-08-09,1449.76,1478.25,1447.42,1467.24,1467.24,835571
2024-08-12,1469.88,1510.58,1466.6,1496.68,1496.68,1397118
2024-08-13,1504.15,1514.11,1455.84,1472.32,1472.32,1240620
2024-08-14,1486.22,1508.14,1461.97,1485.42,1485.42,1119999
2024-08-16,1508.83,1569.9,1420.33,1559.73,1559.73,5136030
2024-08-19,1575.97,1633.35,1559.73,1625.18,1625.18,2446710
2024-08-20,1625.18,1636.19,1604.21,1631.61,1631.61,1035390
2024-08-21,1631.31,1678.32,1624.63,1674.24,1674.24,1294516
2024-08-22,1674.24,1674.24,1652.03,1670.25,1670.25,747444
2024-08-23,1658.55,1687.89,1658.55,1680.12,1680.12,818619
2024-08-26,1688.93,1698.4,1671.55,1688.04,1688.04,756012
2024-08-27,1685.15,1711.35,1673.49,1700.69,1700.69,800190
2024-08-28,1700.34,1705.37,1688.43,1700.84,1700.84,662569
2024-08-29,1698.5,1707.26,1669.66,1684.75,1684.75,1340831
2024-08-30,1680.47,1743.22,1676.63,1725.04,1725.04,1381346
2024-09-02,1731.17,1743.72,1676.88,1681.36,1681.36,593651
2024-09-03,1687.94,1710.05,1674.99,1680.96,1680.96,993189
2024-09-04,1675.48,1697.85,1660.04,1680.02,1680.02,1386615
2024-09-05,1679.47,1709.15,1673.49,1702.83,1702.83,994849
2024-09-06,1703.08,1718.32,1688.43,1696.1,1696.1,1001905
2024-09-09,1696.1,1717.32,1681.76,1697.6,1697.6,1027507
2024-09-10,1706.36,1740.08,1706.36,1721.16,1721.16,1051257
2024-09-11,1721.16,1737.24,1708.51,1718.97,1718.97,788702
2024-09-12,1723.25,1747.55,1723.25,1741.18,1741.18,1072117
2024-09-13,1740.78,1752.2,1725.42,1749.41,1749.41,696374
2024-09-16,1765.27,1765.27,1730.21,1737.19,1737.19,613699
2024-09-17,1740.73,1742.48,1703.82,1708.81,1708.81,795531
2024-09-18,1709.81,1715.04,1619.13,1642.02,1642.02,1596880
2024-09-19,1642.02,1672.65,1621.92,1645.76,1645.76,995151
2024-09-20,1655.09,1669.9,1606.06,1632.75,1632.75,2923466
2024-09-23,1700.83,1759.68,1700.83,1708.26,1708.26,4885392
2024-09-24,1715.79,1722.43,1687.51,1693.35,1693.35,825442
2024-09-25,1698.28,1701.08,1666.91,1685.07,1685.07,804664
2024-09-26,1690.5,1692.0,1663.92,1674.19,1674.19,926471
2024-09-27,1667.11,1700.33,1666.91,1681.58,1681.58,908797
2024-09-30,1692.65,1697.79,1660.98,1669.41,1669.41,772181
2024-10-01,1668.91,1671.45,1646.01,1662.87,1662.87,652450
2024-10-03,1655.94,1674.94,1632.84,1640.33,1640.33,912043
2024-10-04,1630.25,1695.74,1625.96,1658.63,1658.63,1243615
2024-10-07,1666.86,1684.72,1649.9,1671.0,1671.0,1462499
