date,open,high,low,close,adj_close,volume
2024-07-11,1402.9,1407.15,1386.41,1393.52,1393.52,
2024-07-12,1401.11,1410.54,1389.79,1396.42,1396.42,
2024-07-15,1402.27,1411.7,1386.94,1389.45,1389.45,
2024-07-16,1392.6,1423.59,1387.33,1404.98,1404.98,
2024-07-18,1392.65,1422.38,1392.65,1417.06,1417.06,
2024-07-19,1417.79,1428.38,1388.73,1404.15,1404.15,
2024-07-22,1404.11,1429.59,1393.37,1421.8,1421.8,
2024-07-23,1420.69,1474.85,1410.34,1466.82,1466.82,
2024-07-24,1466.82,1469.87,1406.18,1411.07,1411.07,
2024-07-25,1399.51,1436.65,1395.69,1431.43,1431.43,
2024-07-26,1431.43,1431.43,1413.05,1419.24,1419.24,
2024-07-29,1426.4,1455.51,1381.72,1429.3,1429.3,
2024-07-30,1428.43,1429.3,1389.99,1392.45,1392.45,
2024-07-31,1400.38,1404.69,1386.55,1393.37,1393.37,
2024-08-01,1394.05,1436.17,1389.02,1421.9,1421.9,
2024-08-02,1419.24,1441.92,1399.61,1411.17,1411.17,
2024-08-05,1379.59,1431.28,1379.59,1414.07,1414.07,
2024-08-06,1418.95,1449.56,1412.23,1429.98,1429.98,
2024-08-07,1445.3,1459.38,1433.75,1454.35,1454.35,
2024-08-08,1454.35,1455.46,1384.96,1415.76,1415.76,
2024-08-09,1427.36,1427.36,1394.63,1397.29,1397.29,
2024-08-12,1397.29,1397.48,1344.29,1346.8,1346.8,
2024-08-13,1351.06,1355.85,1337.04,1342.84,1342.84,
2024-08-14,1343.27,1346.9,1313.49,1326.01,1326.01,
2024-08-16,1324.94,1367.6,1320.72,1363.82,1363.82,
2024-08-19,1370.52,1372.07,1345.38,1362.46,1362.46,
2024-08-20,1362.8,1371.44,1338.1,1353.09,1353.09,
2024-08-21,1353.09,1363.14,1347.27,1350.42,1350.42,
2024-08-22,1362.8,1402.11,1350.67,1398.03,1398.03,
2024-08-23,1401.62,1403.57,1382.99,1386.43,1386.43,
2024-08-26,1395.8,1416.48,1380.37,1412.06,1412.06,
2024-08-27,1412.4,1418.37,1393.08,1413.61,1413.61,
2024-08-28,1419.1,1455.93,1407.59,1434.14,1434.14,
2024-08-29,1441.13,1441.42,1408.42,1433.37,1433.37,
2024-08-30,1432.69,1443.8,1422.15,1437.73,1437.73,
2024-09-02,1444.96,1448.07,1421.67,1426.91,1426.91,
2024-09-03,1426.86,1436.33,1413.47,1417.88,1417.88,
2024-09-04,1412.3,1435.55,1407.06,1432.01,1432.01,
2024-09-05,1436.57,1440.4,1410.36,1414.92,1414.92,
2024-09-06,1410.85,1412.79,1375.51,1401.09,1401.09,
2024-09-09,1402.55,1483.4,1383.33,1448.27,1448.27,
2024-09-10,1455.98,1467.53,1438.22,1458.94,1458.94,
2024-09-11,1460.83,1496.6,1451.32,1455.93,1455.93,
2024-09-12,1464.43,1489.95,1457.44,1469.04,1469.04,
2024-09-13,1475.39,1475.39,1434.63,1447.54,1447.54,
2024-09-16,1432.69,1432.69,1374.64,1413.61,1413.61,
2024-09-17,1417.16,1438.22,1406.62,1416.57,1416.57,
2024-09-18,1416.57,1421.67,1384.4,1390.12,1390.12,
2024-09-19,1397.06,1414.1,1387.6,1402.45,1402.45,
2024-09-20,1411.33,1426.33,1398.18,1413.86,1413.86,
2024-09-23,1420.89,1421.96,1399.73,1406.77,1406.77,
2024-09-24,1404.25,1418.32,1387.41,1403.91,1403.91,
2024-09-25,1403.57,1404.49,1366.78,1387.6,1387.6,
2024-09-26,1387.55,1389.98,1365.9,1380.56,1380.56,
2024-09-27,1368.62,1368.62,1304.12,1347.9,1347.9,
2024-09-30,1348.0,1365.71,1336.59,1352.51,1352.51,
2024-10-01,1354.06,1373.96,1328.87,1347.51,1347.51,
2024-10-03,1310.67,1347.27,1298.78,1308.83,1308.83,
2024-10-04,1308.44,1317.32,1293.98,1303.83,1303.83,
2024-10-07,1303.83,1315.77,1286.12,1293.25,1293.25,
2024-10-08,1279.32,1303.69,1262.09,1266.27,1266.27,
2024-10-09,1269.62,1310.92,1264.76,1294.27,1294.27,
2024-10-10,1305.43,1315.58,1274.66,1278.11,1278.11,
2024-10-11,1286.12,1286.12,1272.53,1277.09,1277.09,
2024-10-14,1283.2,1288.83,1268.31,1274.08,1274.08,
2024-10-15,1281.07,1306.65,1275.44,1303.06,1303.06,
2024-10-16,1307.62,1326.5,1298.01,1321.06,1321.06,
2024-10-17,1321.06,1324.8,1288.06,1307.76,1307.76,
2024-10-18,1310.38,1319.07,1293.88,1296.94,1296.94,
2024-10-21,1296.94,1303.3,1270.1,1274.95,1274.95,
2024-10-22,1282.23,1293.79,1258.02,1261.46,1261.46,
2024-10-23,1261.85,1267.67,1246.9,1254.43,1254.43,
2024-10-24,1257.0,1260.25,1202.35,1218.27,1218.27,
2024-10-25,1250.2,1289.85,1237.58,1253.36,1253.36,
2024-10-28,1252.14,1272.92,1239.04,1258.6,1258.6,
2024-10-29,1253.94,1259.96,1231.52,1240.79,1240.79,
2024-10-30,1246.95,1265.73,1230.11,1261.9,1261.9,
2024-10-31,1275.39,1285.97,1244.51,1250.3,1250.3,
2024-11-01,1254.79,1260.39,1218.0,1242.46,1242.46,
2024-11-04,1242.36,1249.67,1232.67,1239.59,1239.59,
2024-11-05,1245.29,1247.77,1224.34,1233.84,1233.84,
2024-11-06,1237.49,1249.91,1233.64,1242.51,1242.51,
2024-11-07,1242.51,1280.36,1223.36,1226.28,1226.28,
2024-11-08,1227.8,1230.13,1210.99,1219.03,1219.03,
2024-11-11,1218.0,1218.0,1181.46,1189.6,1189.6,
2024-11-12,1189.6,1190.96,1142.15,1146.09,1146.09,
2024-11-13,1145.95,1159.0,1136.45,1153.59,1153.59,
2024-11-14,1154.03,1163.73,1132.5,1145.02,1145.02,
2024-11-18,1145.02,1161.24,1133.62,1151.4,1151.4,
2024-11-19,1160.51,1168.16,1146.87,1154.96,1154.96,
2024-11-21,1154.72,1165.29,1139.61,1148.53,1148.53,
2024-11-22,1154.23,1169.18,1143.95,1161.78,1161.78,
2024-11-25,1164.41,1208.16,1164.41,1187.5,1187.5,
2024-11-26,1199.44,1214.69,1187.8,1208.36,1208.36,
2024-11-27,1218.0,1232.76,1209.28,1229.31,1229.31,
2024-11-28,1227.99,1249.09,1212.11,1219.22,1219.22,
2024-11-29,1208.26,1223.41,1204.36,1212.79,1212.79,
2024-12-02,1193.64,1212.16,1188.48,1195.74,1195.74,
2024-12-03,1195.74,1201.44,1184.09,1198.95,1198.95,
2024-12-04,1199.0,1206.8,1186.77,1197.05,1197.05,
2024-12-05,1203.05,1218.0,1184.48,1212.89,1212.89,
2024-12-06,1218.98,1222.87,1199.1,1203.82,1203.82,
2024-12-09,1140.0,1140.0,1073.45,1098.98,1098.98,
2024-12-10,1101.07,1107.6,1094.06,1104.83,1104.83,
2024-12-11,1107.8,1112.38,1093.81,1106.24,1106.24,
2024-12-12,1110.82,1113.5,1080.61,1082.66,1082.66,
2024-12-13,1083.68,1088.7,1069.26,1083.0,1083.0,
2024-12-16,1091.33,1099.13,1081.63,1083.88,1083.88,
2024-12-17,1084.17,1086.7,1057.23,1061.42,1061.42,
2024-12-18,1066.87,1076.42,1061.42,1063.8,1063.8,
2024-12-19,1052.35,1060.15,1048.12,1050.84,1050.84,
2024-12-20,1056.2,1056.2,1039.69,1042.22,1042.22,
2024-12-23,1047.29,1051.09,1038.42,1046.26,1046.26,
2024-12-24,1047.48,1054.25,1043.24,1050.21,1050.21,
2024-12-26,1053.82,1055.42,1036.13,1043.78,1043.78,
2024-12-27,1046.51,1052.21,1032.87,1040.47,1040.47,
2024-12-30,1042.56,1045.58,1028.04,1033.4,1033.4,
2024-12-31,1033.4,1058.64,1033.4,1054.35,1054.35,
2025-01-01,1058.2,1068.77,1049.58,1051.92,1051.92,
2025-01-02,1057.86,1067.7,1043.15,1065.46,1065.46,
2025-01-03,1071.84,1093.28,1062.44,1088.07,1088.07,
2025-01-06,1093.47,1127.97,1082.76,1112.62,1112.62,
2025-01-07,1106.97,1137.57,1105.95,1124.27,1124.27,
2025-01-08,1123.49,1129.58,1106.58,1126.65,1126.65,
2025-01-09,1123.58,1167.77,1120.95,1150.87,1150.87,
2025-01-10,1150.96,1159.1,1137.76,1144.24,1144.24,
2025-01-13,1135.18,1149.79,1126.65,1129.33,1129.33,
2025-01-14,1132.21,1134.93,1101.12,1111.26,1111.26,
2025-01-15,1110.82,1113.69,1097.32,1099.86,1099.86,
2025-01-16,1101.17,1123.97,1097.62,1120.17,1120.17,
2025-01-17,1123.49,1166.8,1119.59,1157.35,1157.35,
2025-01-20,1162.27,1163.39,1130.31,1136.79,1136.79,
2025-01-21,1142.49,1149.21,1125.92,1129.28,1129.28,
2025-01-22,1133.28,1138.59,1108.43,1123.49,1123.49,
2025-01-23,1112.04,1136.2,1092.16,1115.89,1115.89,
2025-01-24,1116.62,1118.56,1096.59,1101.42,1101.42,
2025-01-27,1088.46,1103.41,1069.41,1097.81,1097.81,
2025-01-28,1097.81,1108.53,1082.61,1097.03,1097.03,
2025-01-29,1088.94,1094.11,1080.03,1089.53,1089.53,
2025-01-30,1089.53,1097.18,1083.0,1089.87,1089.87,
2025-01-31,1083.53,1107.21,1083.53,1092.55,1092.55,
2025-02-01,1097.96,1183.41,1089.92,1161.19,1161.19,
2025-02-03,1149.8,1162.37,1115.06,1130.71,1130.71,
2025-02-04,1136.24,1136.24,1102.78,1110.85,1110.85,
2025-02-05,1116.67,1116.67,1092.01,1094.71,1094.71,
2025-02-06,1094.71,1107.96,1091.77,1095.54,1095.54,
2025-02-07,1095.93,1097.93,1071.03,1082.96,1082.96,
2025-02-10,1088.35,1144.85,1056.79,1067.8,1067.8,
