date,open,high,low,close,adj_close,volume
2024-07-11,3326.65,3332.0,3263.05,3294.1,3294.1,
2024-07-12,3294.1,3319.6,3245.0,3262.0,3262.0,
2024-07-15,3279.0,3319.6,3202.05,3301.4,3301.4,
2024-07-16,3314.8,3402.7,3297.4,3381.4,3381.4,
2024-07-18,3381.4,3385.0,3308.15,3362.65,3362.65,
2024-07-19,3364.45,3372.65,3240.0,3245.75,3245.75,
2024-07-22,3240.0,3319.9,3172.0,3242.1,3242.1,
2024-07-23,3267.9,3315.9,3068.05,3151.75,3151.75,
2024-07-24,3130.05,3199.95,3077.3,3124.65,3124.65,
2024-07-25,3100.0,3125.0,3063.25,3099.15,3099.15,
2024-07-26,3124.0,3148.85,3080.8,3128.7,3128.7,
2024-07-29,3150.0,3187.65,3121.4,3129.85,3129.85,
2024-07-30,3130.0,3207.0,3100.4,3181.05,3181.05,
2024-07-31,3205.0,3298.5,3122.6,3219.55,3219.55,
2024-08-01,3257.5,3286.0,3107.05,3127.2,3127.2,
2024-08-02,3112.95,3133.0,2988.0,3001.55,3001.55,
2024-08-05,2925.0,2958.7,2792.55,2835.25,2835.25,
2024-08-06,2880.0,3000.6,2880.0,2926.6,2926.6,
2024-08-07,3055.05,3055.1,2940.0,2977.8,2977.8,
2024-08-08,2958.05,2969.65,2870.45,2876.55,2876.55,
2024-08-09,2925.0,2973.9,2911.05,2925.7,2925.7,
2024-08-12,2927.0,2965.5,2871.05,2939.55,2939.55,
2024-08-13,2945.0,2960.0,2891.7,2900.0,2900.0,
2024-08-14,2924.0,2924.0,2858.0,2873.7,2873.7,
2024-08-16,2910.0,2951.45,2897.1,2940.25,2940.25,
2024-08-19,2959.4,2959.9,2888.0,2926.0,2926.0,
2024-08-20,2939.9,2997.95,2930.1,2978.65,2978.65,
2024-08-21,2978.4,2978.4,2913.1,2923.95,2923.95,
2024-08-22,2939.8,2947.2,2910.0,2933.15,2933.15,
2024-08-23,2933.15,2956.35,2870.5,2883.65,2883.65,
2024-08-26,2890.0,2904.75,2865.2,2887.7,2887.7,
2024-08-27,2888.95,2927.55,2868.0,2894.3,2894.3,
2024-08-28,2894.3,2904.95,2875.35,2887.7,2887.7,
2024-08-29,2900.0,2900.0,2836.25,2869.1,2869.1,
2024-08-30,2894.55,2921.95,2876.35,2909.25,2909.25,
2024-09-02,2940.5,2943.0,2881.0,2886.1,2886.1,
2024-09-03,2881.05,2947.7,2881.05,2892.75,2892.75,
2024-09-04,2879.8,2913.6,2856.85,2901.95,2901.95,
