date,open,high,low,close,adj_close,volume
2024-07-11,2803.99,2815.9,2770.49,2780.76,2780.76,
2024-07-12,2786.12,2828.8,2780.76,2822.6,2822.6,
2024-07-15,2828.8,2831.73,2765.28,2782.89,2782.89,
2024-07-16,2797.04,2823.59,2789.39,2806.32,2806.32,
2024-07-18,2789.1,2824.63,2756.34,2771.03,2771.03,
2024-07-19,2765.28,2769.2,2714.16,2722.6,2722.6,
2024-07-22,2681.9,2801.01,2681.9,2790.64,2790.64,
2024-07-23,2790.09,2829.74,2753.41,2802.05,2802.05,
2024-07-24,2808.95,2808.95,2754.36,2786.02,2786.02,
2024-07-25,2784.13,2803.99,2750.93,2776.74,2776.74,
2024-07-26,2803.94,2856.34,2787.61,2822.15,2822.15,
2024-07-29,2838.63,2843.69,2799.02,2807.16,2807.16,
2024-07-30,2807.16,2808.95,2762.15,2770.14,2770.14,
2024-07-31,2770.14,2777.93,2741.01,2756.09,2756.09,
2024-08-01,2761.26,2767.91,2733.12,2746.42,2746.42,
2024-08-02,2729.05,2736.59,2680.91,2686.66,2686.66,
2024-08-05,2635.4,2659.02,2568.5,2592.82,2592.82,
2024-08-06,2617.48,2669.69,2600.54,2611.0,2611.0,
2024-08-07,2640.39,2649.76,2622.71,2627.49,2627.49,
2024-08-08,2613.74,2624.25,2521.93,2535.43,2535.43,
2024-08-09,2546.84,2629.38,2530.84,2563.42,2563.42,
2024-08-12,2560.68,2611.5,2545.79,2561.78,2561.78,
2024-08-13,2562.68,2570.05,2503.04,2510.12,2510.12,
2024-08-14,2514.85,2525.31,2495.97,2503.29,2503.29,
2024-08-16,2503.29,2598.55,2503.29,2590.92,2590.92,
2024-08-19,2610.3,2625.6,2547.78,2588.98,2588.98,
2024-08-20,2598.55,2639.3,2579.67,2627.14,2627.14,
2024-08-21,2630.48,2682.29,2615.63,2675.12,2675.12,
2024-08-22,2684.68,2762.9,2681.3,2745.16,2745.16,
2024-08-23,2761.35,2770.82,2697.14,2738.59,2738.59,
2024-08-26,2742.02,2753.18,2702.97,2726.68,2726.68,
2024-08-27,2731.51,2737.99,2687.27,2690.11,2690.11,
2024-08-28,2688.72,2712.68,2673.28,2705.71,2705.71,
2024-08-29,2705.06,2709.14,2630.48,2666.5,2666.5,
2024-08-30,2666.5,2699.08,2666.5,2689.07,2689.07,
2024-09-02,2696.94,2719.76,2665.85,2681.05,2681.05,
2024-09-03,2670.39,2700.18,2670.39,2697.04,2697.04,
2024-09-04,2685.23,2753.93,2677.51,2747.65,2747.65,
2024-09-05,2763.95,2763.95,2725.39,2731.66,2731.66,
2024-09-06,2730.07,2734.65,2664.36,2683.09,2683.09,
2024-09-09,2680.2,2705.56,2664.21,2700.53,2700.53,
2024-09-10,2690.21,2705.31,2667.3,2692.75,2692.75,
2024-09-11,2700.18,2719.61,2664.41,2671.43,2671.43,
2024-09-12,2680.85,2754.98,2669.04,2747.11,2747.11,
2024-09-13,2750.1,2788.85,2738.24,2774.26,2774.26,
2024-09-16,2792.64,2808.83,2747.31,2755.28,2755.28,
2024-09-17,2758.96,2767.23,2720.1,2744.86,2744.86,
2024-09-18,2744.86,2766.93,2705.16,2712.83,2712.83,
2024-09-19,2733.06,2764.94,2712.43,2729.02,2729.02,
2024-09-20,2735.05,2745.71,2654.54,2668.54,2668.54,
2024-09-23,2695.2,2695.2,2655.34,2657.23,2657.23,
2024-09-24,2666.65,2685.23,2600.54,2609.81,2609.81,
2024-09-25,2609.81,2656.34,2574.58,2652.35,2652.35,
2024-09-26,2664.31,2740.03,2646.57,2735.9,2735.9,
2024-09-27,2735.9,2796.83,2735.9,2773.06,2773.06,
2024-09-30,2773.91,2813.76,2754.98,2785.42,2785.42,
2024-10-01,2783.92,2803.45,2745.01,2791.0,2791.0,
2024-10-03,2778.89,2822.73,2742.12,2756.12,2756.12,
2024-10-04,2756.12,2778.69,2721.1,2735.15,2735.15,
2024-10-07,2750.0,2759.91,2690.21,2710.64,2710.64,
2024-10-08,2705.41,2735.2,2695.39,2728.27,2728.27,
2024-10-09,2744.02,2744.02,2700.18,2705.91,2705.91,
2024-10-10,2708.1,2729.52,2701.27,2712.58,2712.58,
2024-10-11,2712.58,2721.8,2675.77,2715.67,2715.67,
2024-10-14,2727.63,2727.63,2692.51,2717.02,2717.02,
2024-10-15,2715.12,2737.99,2690.91,2725.88,2725.88,
2024-10-16,2715.22,2773.91,2715.12,2754.08,2754.08,
2024-10-17,2773.91,2779.69,2676.31,2696.04,2696.04,
2024-10-18,2690.21,2755.97,2664.96,2750.94,2750.94,
2024-10-21,2750.0,2755.38,2702.17,2708.4,2708.4,
2024-10-22,2708.25,2736.2,2636.76,2645.73,2645.73,
2024-10-23,2640.39,2667.0,2616.43,2623.66,2623.66,
2024-10-24,2635.31,2686.18,2606.62,2657.03,2657.03,
2024-10-25,2655.44,2665.35,2590.58,2605.72,2605.72,
2024-10-28,2590.58,2656.29,2584.9,2637.36,2637.36,
2024-10-29,2650.36,2680.25,2640.39,2676.26,2676.26,
2024-10-30,2681.89,2698.78,2656.39,2662.86,2662.86,
2024-10-31,2665.3,2694.2,2634.86,2686.08,2686.08,
2024-11-01,2709.14,2709.14,2663.31,2689.12,2689.12,
2024-11-04,2686.88,2690.21,2568.71,2581.21,2581.21,
2024-11-05,2581.21,2651.75,2578.22,2641.34,2641.34,
2024-11-06,2641.34,2657.88,2610.06,2636.36,2636.36,
2024-11-07,2621.61,2653.3,2542.5,2553.41,2553.41,
2024-11-08,2555.7,2572.34,2530.79,2535.63,2535.63,
2024-11-11,2518.89,2544.59,2496.97,2510.37,2510.37,
2024-11-12,2514.1,2537.02,2500.9,2512.06,2512.06,
2024-11-13,2512.06,2525.46,2463.09,2493.83,2493.83,
2024-11-14,2493.83,2529.8,2481.02,2514.8,2514.8,
2024-11-18,2487.95,2543.55,2470.06,2508.03,2508.03,
2024-11-19,2508.03,2542.75,2490.94,2499.06,2499.06,
2024-11-21,2482.07,2546.39,2471.16,2525.66,2525.66,
2024-11-22,2531.19,2600.44,2525.66,2589.23,2589.23,
2024-11-25,2605.52,2644.38,2590.92,2620.27,2620.27,
2024-11-26,2620.27,2630.13,2593.02,2607.71,2607.71,
2024-11-27,2610.3,2639.85,2585.59,2612.4,2612.4,
2024-11-28,2612.5,2626.4,2544.79,2561.13,2561.13,
2024-11-29,2555.7,2620.92,2549.72,2596.8,2596.8,
2024-12-02,2596.4,2699.18,2582.36,2683.79,2683.79,
2024-12-03,2683.29,2719.06,2673.28,2704.16,2704.16,
2024-12-04,2698.48,2714.57,2685.33,2707.45,2707.45,
2024-12-05,2723.09,2723.84,2659.72,2696.99,2696.99,
2024-12-06,2705.06,2710.14,2683.59,2692.11,2692.11,
2024-12-09,2692.11,2704.21,2659.33,2671.68,2671.68,
