date,open,high,low,close,adj_close,volume
2024-07-11,5382.45,5455.85,5348.2,5429.03,5429.03,
2024-07-12,5450.96,5459.23,5329.61,5371.88,5371.88,
2024-07-15,5377.56,5416.7,5312.97,5386.95,5386.95,
2024-07-16,5374.82,5383.43,5198.18,5215.5,5215.5,
2024-07-18,5211.19,5211.19,4868.67,4908.55,4908.55,
2024-07-19,4902.92,4912.71,4680.87,4697.66,4697.66,
2024-07-22,4697.17,4965.41,4578.02,4890.45,4890.45,
2024-07-23,4937.18,4960.66,4413.61,4752.31,4752.31,
2024-07-24,4751.24,4860.99,4700.45,4745.85,4745.85,
2024-07-25,4677.84,4789.16,4630.91,4726.82,4726.82,
2024-07-26,4746.34,4828.3,4738.51,4800.56,4800.56,
2024-07-29,4841.07,4934.24,4806.04,4922.5,4922.5,
2024-07-30,4942.02,4973.39,4839.41,4847.78,4847.78,
2024-07-31,4847.78,4881.3,4807.02,4817.64,4817.64,
2024-08-01,4816.81,4841.17,4695.06,4710.43,4710.43,
2024-08-02,4638.69,4666.1,4532.37,4595.39,4595.39,
2024-08-05,4404.85,4564.12,4384.35,4492.98,4492.98,
2024-08-06,4502.67,4635.86,4403.82,4417.82,4417.82,
2024-08-07,4502.62,4647.5,4472.33,4639.14,4639.14,
2024-08-08,4640.65,4658.22,4560.4,4568.09,4568.09,
2024-08-09,4645.25,4671.48,4602.04,4622.94,4622.94,
2024-08-12,4589.76,4657.97,4582.03,4625.53,4625.53,
2024-08-13,4646.52,4672.07,4584.87,4600.87,4600.87,
2024-08-14,4604.25,4708.67,4495.57,4562.07,4562.07,
2024-08-16,4667.56,4692.13,4560.4,4667.86,4667.86,
2024-08-19,4707.2,4754.17,4672.41,4689.83,4689.83,
2024-08-20,4694.48,4707.15,4583.5,4634.83,4634.83,
2024-08-21,4622.02,4683.45,4614.47,4642.78,4642.78,
2024-08-22,4651.46,4724.08,4633.8,4679.04,4679.04,
2024-08-23,4717.21,4773.15,4688.36,4732.67,4732.67,
2024-08-26,4759.41,4759.41,4680.9,4712.3,4712.3,
2024-08-27,4705.44,4708.97,4626.93,4633.26,4633.26,
2024-08-28,4635.76,4674.03,4582.77,4597.64,4597.64,
2024-08-29,4572.96,4595.97,4455.64,4515.99,4515.99,
2024-08-30,4527.82,4614.61,4516.82,4592.53,4592.53,
2024-09-02,4611.23,4626.93,4575.7,4600.43,4600.43,
2024-09-03,4830.7,4833.01,4711.96,4742.09,4742.09,
2024-09-04,4754.5,4857.54,4705.78,4771.04,4771.04,
2024-09-05,4780.02,4796.6,4686.84,4702.93,4702.93,
2024-09-06,4695.62,4707.89,4607.3,4615.6,4615.6,
2024-09-09,4600.53,4605.29,4495.63,4569.87,4569.87,
2024-09-10,4592.58,4648.42,4588.66,4597.88,4597.88,
2024-09-11,4582.77,4620.45,4499.36,4512.85,4512.85,
2024-09-12,4521.88,4566.77,4510.3,4555.0,4555.0,
2024-09-13,4570.99,4602.4,4545.48,4558.19,4558.19,
2024-09-16,4568.05,4575.8,4504.31,4511.48,4511.48,
2024-09-17,4513.1,4513.98,4343.87,4375.22,4375.22,
2024-09-18,4370.76,4401.23,4338.42,4354.76,4354.76,
2024-09-19,4352.16,4380.72,4094.07,4152.76,4152.76,
2024-09-20,4150.94,4311.39,4114.34,4252.41,4252.41,
2024-09-23,4288.37,4377.48,4272.67,4355.05,4355.05,
2024-09-24,4355.05,4360.99,4280.52,4320.22,4320.22,
2024-09-25,4317.76,4357.07,4290.88,4307.26,4307.26,
2024-09-26,4308.93,4322.72,4237.34,4287.69,4287.69,
2024-09-27,4309.03,4400.59,4292.74,4390.58,4390.58,
2024-09-30,4376.69,4379.64,4303.09,4338.08,4338.08,
2024-10-01,4345.29,4362.95,4315.9,4343.43,4343.43,
2024-10-03,4263.79,4346.17,4174.54,4187.74,4187.74,
2024-10-04,4180.43,4253.39,4121.55,4177.14,4177.14,
2024-10-07,4177.14,4237.98,4043.39,4088.09,4088.09,
2024-10-08,4082.3,4307.8,4067.58,4286.71,4286.71,
2024-10-09,4304.07,4364.77,4286.41,4304.61,4304.61,
2024-10-10,4315.85,4453.24,4283.52,4398.53,4398.53,
2024-10-11,4402.21,4430.67,4348.58,4363.1,4363.1,
2024-10-14,4433.9,4459.91,4404.61,4423.35,4423.35,
2024-10-15,4439.5,4512.02,4414.42,4489.94,4489.94,
2024-10-16,4532.72,4589.25,4514.08,4569.28,4569.28,
2024-10-17,4583.75,4583.75,4421.1,4434.2,4434.2,
2024-10-18,4409.67,4473.84,4340.63,4440.18,4440.18,
2024-10-21,4450.09,4501.12,4406.13,4430.13,4430.13,
2024-10-22,4415.9,4423.55,4210.31,4221.35,4221.35,
2024-10-23,4202.02,4225.13,4113.16,4154.67,4154.67,
2024-10-24,4155.16,4204.42,4106.88,4118.75,4118.75,
2024-10-25,4121.55,4140.1,3999.08,4087.79,4087.79,
2024-10-28,4121.55,4140.1,4021.65,4071.26,4071.26,
2024-10-29,4072.48,4204.96,4038.33,4194.66,4194.66,
2024-10-30,4185.29,4253.05,4146.08,4157.17,4157.17,
