date,open,high,low,close,adj_close,volume
2024-07-11,1918.17,1921.82,1887.81,1892.54,1892.54,
2024-07-12,1892.69,1901.41,1870.71,1881.16,1881.16,
2024-07-15,1885.64,1911.37,1854.59,1864.65,1864.65,
2024-07-16,1868.89,1882.68,1843.26,1848.58,1848.58,
2024-07-18,1853.11,1888.4,1795.01,1836.01,1836.01,
2024-07-19,1843.26,1866.91,1739.76,1743.21,1743.21,
2024-07-22,1742.72,1759.42,1715.66,1743.41,1743.41,
2024-07-23,1747.59,1749.57,1663.42,1736.95,1736.95,
2024-07-24,1736.8,1773.72,1728.18,1766.13,1766.13,
2024-07-25,1760.46,1813.69,1749.32,1800.67,1800.67,
2024-07-26,1819.6,1830.25,1799.94,1812.36,1812.36,
2024-07-29,1828.47,1836.01,1805.9,1811.32,1811.32,
2024-07-30,1811.32,1818.27,1786.09,1789.83,1789.83,
2024-07-31,1796.93,1831.03,1793.08,1823.4,1823.4,
2024-08-01,1830.94,1838.33,1796.39,1811.76,1811.76,
2024-08-02,1795.94,1812.7,1781.55,1793.48,1793.48,
2024-08-05,1739.86,1780.37,1739.86,1758.78,1758.78,
2024-08-06,1757.5,1786.09,1756.07,1763.86,1763.86,
2024-08-07,1779.19,1803.09,1767.8,1798.26,1798.26,
2024-08-08,1798.9,1806.69,1756.32,1760.01,1760.01,
2024-08-09,1777.22,1781.7,1765.39,1773.67,1773.67,
2024-08-12,1765.39,1795.35,1764.94,1784.16,1784.16,
2024-08-13,1789.04,1818.57,1778.0,1799.44,1799.44,
2024-08-14,1804.81,1824.68,1782.14,1819.55,1819.55,
2024-08-16,1844.24,1863.86,1826.01,1849.61,1849.61,
2024-08-19,1859.03,1870.17,1843.26,1854.94,1854.94,
2024-08-20,1861.89,1875.34,1839.31,1862.68,1862.68,
2024-08-21,1862.97,1897.47,1855.53,1893.08,1893.08,
2024-08-22,1896.48,1896.48,1866.47,1868.54,1868.54,
2024-08-23,1868.54,1880.71,1850.16,1857.7,1857.7,
2024-08-26,1855.18,1888.94,1853.46,1884.75,1884.75,
2024-08-27,1892.44,1929.46,1864.84,1868.1,1868.1,
2024-08-28,1871.84,1878.59,1851.14,1863.56,1863.56,
2024-08-29,1865.93,1874.8,1836.9,1866.17,1866.17,
2024-08-30,1861.0,1894.02,1861.0,1872.19,1872.19,
2024-09-02,1892.54,1892.54,1853.21,1858.44,1858.44,
2024-09-03,1862.97,1882.68,1855.09,1874.75,1874.75,
2024-09-04,1870.81,1888.6,1851.64,1874.11,1874.11,
2024-09-05,1888.6,1888.6,1833.4,1852.57,1852.57,
2024-09-06,1850.26,1861.44,1833.6,1845.57,1845.57,
2024-09-09,1845.57,1872.83,1832.46,1865.34,1865.34,
2024-09-10,1867.01,1914.23,1867.01,1894.96,1894.96,
2024-09-11,1897.47,1939.86,1897.42,1929.6,1929.6,
2024-09-12,1947.64,1972.33,1942.12,1967.85,1967.85,
2024-09-13,1972.38,1994.07,1945.77,1959.62,1959.62,
2024-09-16,1959.32,1980.22,1956.12,1961.44,1961.44,
2024-09-17,1966.47,1981.21,1944.78,1977.85,1977.85,
2024-09-18,1980.02,1980.02,1948.83,1959.37,1959.37,
2024-09-19,1959.37,1973.37,1939.46,1970.02,1970.02,
2024-09-20,1971.4,2029.41,1961.54,2018.81,2018.81,
2024-09-23,2027.58,2075.88,2021.67,2052.62,2052.62,
2024-09-24,2057.15,2057.15,2024.67,2038.57,2038.57,
2024-09-25,2032.51,2043.3,2005.6,2032.12,2032.12,
2024-09-26,2032.12,2032.12,1963.36,1993.13,1993.13,
2024-09-27,2007.87,2007.87,1971.94,2002.25,2002.25,
2024-09-30,2005.9,2030.54,1978.74,1984.11,1984.11,
2024-10-01,1991.11,2035.86,1942.37,1971.2,1971.2,
2024-10-03,1930.98,1981.21,1892.1,1944.69,1944.69,
2024-10-04,1940.79,1955.18,1901.31,1906.79,1906.79,
2024-10-07,1916.2,1922.11,1873.76,1887.22,1887.22,
2024-10-08,1886.63,1926.75,1882.68,1920.58,1920.58,
2024-10-09,1906.44,1943.6,1892.84,1901.12,1901.12,
2024-10-10,1913.24,1931.33,1902.69,1910.58,1910.58,
2024-10-11,1916.64,1919.16,1900.92,1910.78,1910.78,
2024-10-14,1911.42,1931.97,1905.7,1912.5,1912.5,
2024-10-15,1923.99,1923.99,1894.12,1907.03,1907.03,
2024-10-16,1906.39,1941.83,1887.56,1911.57,1911.57,
2024-10-17,1917.18,1918.22,1760.26,1779.73,1779.73,
2024-10-18,1779.73,1838.33,1738.43,1823.25,1823.25,
2024-10-21,1828.47,1838.33,1775.93,1786.78,1786.78,
2024-10-22,1786.78,1793.43,1736.31,1745.48,1745.48,
2024-10-23,1749.62,1751.34,1721.52,1724.78,1724.78,
2024-10-24,1733.65,1733.84,1680.67,1698.65,1698.65,
2024-10-25,1698.85,1705.6,1653.12,1670.71,1670.71,
2024-10-28,1680.62,1685.2,1637.34,1644.54,1644.54,
2024-10-29,1653.9,1658.98,1622.76,1648.29,1648.29,
2024-10-30,1650.06,1660.9,1626.6,1638.72,1638.72,
2024-10-31,1638.72,1655.09,1609.25,1614.97,1614.97,
2024-11-01,1631.33,1632.81,1619.21,1623.74,1623.74,
2024-11-04,1629.26,1629.26,1583.53,1605.01,1605.01,
2024-11-05,1601.76,1617.33,1567.26,1610.19,1610.19,
2024-11-06,1624.43,1660.8,1611.77,1651.19,1651.19,
2024-11-07,1675.69,1675.74,1622.02,1642.22,1642.22,
2024-11-08,1638.23,1647.55,1621.67,1636.9,1636.9,
2024-11-11,1631.33,1641.73,1608.66,1618.27,1618.27,
2024-11-12,1620.44,1631.78,1576.48,1580.47,1580.47,
2024-11-13,1577.12,1598.8,1564.06,1591.02,1591.02,
2024-11-14,1591.9,1613.84,1574.7,1595.7,1595.7,
2024-11-18,1595.85,1610.93,1578.79,1595.9,1595.9,
2024-11-19,1599.74,1640.15,1595.26,1609.35,1609.35,
2024-11-21,1601.71,1616.0,1588.36,1612.7,1612.7,
