date,open,high,low,close,adj_close,volume
2024-07-11,1401.78,1419.36,1395.35,1398.91,1398.91,3304053
2024-07-12,1415.66,1448.97,1397.62,1443.6,1443.6,6430647
2024-07-15,1461.93,1514.11,1450.27,1452.3,1452.3,10337489
2024-07-16,1448.05,1464.7,1438.79,1452.26,1452.26,3540650
2024-07-18,1441.62,1479.74,1440.64,1475.39,1475.39,4399468
2024-07-19,1490.15,1495.65,1469.88,1475.39,1475.39,5633838
2024-07-22,1469.88,1475.34,1453.51,1459.24,1459.24,2704495
2024-07-23,1467.54,1492.53,1446.19,1490.24,1490.24,2907674
2024-07-24,1486.19,1489.92,1470.2,1476.58,1476.58,2484299
2024-07-25,1463.81,1486.19,1457.14,1480.22,1480.22,2934731
2024-07-26,1494.39,1529.08,1486.19,1524.74,1524.74,2814159
2024-07-29,1529.26,1533.74,1510.43,1521.94,1521.94,1639491
2024-07-30,1518.82,1522.55,1508.56,1519.99,1519.99,1783877
2024-07-31,1511.36,1533.74,1509.68,1531.5,1531.5,1984986
2024-08-01,1529.12,1543.53,1525.44,1529.59,1529.59,1785188
2024-08-02,1510.48,1528.14,1492.85,1500.45,1500.45,1692851
2024-08-05,1468.47,1487.77,1433.04,1456.72,1456.72,3279717
2024-08-06,1457.28,1496.44,1457.28,1475.7,1475.7,2138704
2024-08-07,1496.44,1505.77,1482.46,1486.75,1486.75,1897787
2024-08-08,1488.98,1493.65,1449.41,1452.48,1452.48,2373805
2024-08-09,1477.7,1493.65,1469.27,1482.41,1482.41,2021762
2024-08-12,1482.46,1492.25,1467.4,1478.03,1478.03,1273739
2024-08-13,1471.27,1499.61,1470.94,1484.93,1484.93,1973825
2024-08-14,1491.87,1519.52,1490.15,1516.16,1516.16,3932148
2024-08-16,1524.41,1560.78,1522.27,1555.42,1555.42,3101056
2024-08-19,1552.39,1571.03,1546.84,1564.97,1564.97,1631947
2024-08-20,1566.37,1580.4,1556.3,1572.66,1572.66,2786109
2024-08-21,1571.97,1574.62,1560.54,1563.81,1563.81,1410370
2024-08-22,1572.9,1572.9,1559.84,1562.78,1562.78,1749127
2024-08-23,1562.69,1571.92,1545.07,1549.08,1549.08,2158185
2024-08-26,1557.98,1616.72,1554.34,1603.15,1603.15,2672708
2024-08-27,1609.12,1638.02,1589.77,1595.83,1595.83,3556487
2024-08-28,1596.72,1620.21,1578.54,1603.15,1603.15,2516461
2024-08-29,1598.07,1637.23,1582.45,1633.36,1633.36,5112407
2024-08-30,1633.36,1646.83,1624.36,1634.67,1634.67,4792561
2024-09-02,1644.88,1689.44,1640.96,1684.45,1684.45,4445349
2024-09-03,1683.85,1694.24,1666.18,1669.35,1669.35,2553290
2024-09-04,1645.71,1674.2,1645.62,1664.5,1664.5,2644961
2024-09-05,1670.8,1676.11,1647.77,1669.44,1669.44,2878565
2024-09-06,1667.07,1674.29,1622.36,1637.32,1637.32,3351716
2024-09-09,1639.42,1646.83,1623.38,1628.61,1628.61,1418238
2024-09-10,1631.12,1668.28,1628.98,1658.77,1658.77,2307528
2024-09-11,1657.93,1675.32,1653.73,1658.44,1658.44,2303930
