date,open,high,low,close,adj_close,volume
2024-07-11,2007.11,2016.24,1984.2,2008.29,2008.29,403540
2024-07-12,2007.13,2017.2,1988.38,2002.28,2002.28,668850
2024-07-15,2003.27,2063.5,1981.17,2015.47,2015.47,3190482
2024-07-16,2028.72,2054.63,1957.74,1963.33,1963.33,1636448
2024-07-18,1963.33,2003.36,1950.44,1999.19,1999.19,1378636
2024-07-19,2001.32,2016.24,1941.31,1952.91,1952.91,1113458
2024-07-22,1940.35,1990.3,1910.45,1947.31,1947.31,1841682
2024-07-23,1948.06,1969.17,1778.76,1900.44,1900.44,3027068
2024-07-24,1900.44,1962.01,1892.47,1949.86,1949.86,1416578
2024-07-25,1942.44,1962.11,1922.22,1949.24,1949.24,1044172
2024-07-26,1949.24,1995.1,1945.15,1971.62,1971.62,762104
2024-07-29,1973.97,2025.34,1971.67,1991.19,1991.19,941626
2024-07-30,1993.16,2006.13,1965.71,1971.91,1971.91,1263734
2024-07-31,1971.91,1997.86,1969.17,1976.01,1976.01,1237700
2024-08-01,1987.8,2022.94,1978.92,2008.96,2008.96,994864
2024-08-02,1993.18,1997.98,1969.17,1980.6,1980.6,1619870
2024-08-05,1945.13,1954.23,1899.79,1935.38,1935.38,1630134
2024-08-06,1945.15,1978.39,1902.7,1913.5,1913.5,1409020
2024-08-07,1953.8,1966.79,1931.23,1954.49,1954.49,915732
2024-08-08,1952.84,2007.52,1947.75,1973.37,1973.37,772820
2024-08-09,2000.75,2011.98,1975.07,1985.14,1985.14,1489786
2024-08-12,1983.6,2025.24,1954.76,2021.09,2021.09,840346
2024-08-13,2022.0,2043.71,1981.73,1989.36,1989.36,1051192
2024-08-14,2013.74,2017.72,1985.69,1990.35,1990.35,732968
2024-08-16,2000.39,2038.74,1998.97,2025.02,2025.02,940164
2024-08-19,2035.78,2038.26,1998.97,2015.35,2015.35,1768752
2024-08-20,2024.26,2073.37,2005.53,2064.62,2064.62,1905824
2024-08-21,2065.71,2111.24,2058.5,2108.23,2108.23,1658900
2024-08-22,2110.88,2131.91,2096.44,2125.45,2125.45,1683236
2024-08-23,2122.86,2131.02,2102.71,2106.41,2106.41,991610
2024-08-26,2106.05,2129.51,2096.73,2115.92,2115.92,1065858
2024-08-27,2115.92,2174.71,2106.19,2164.81,2164.81,1658922
2024-08-28,2165.36,2166.06,2142.67,2149.25,2149.25,277566
2024-08-29,2149.25,2158.38,2125.69,2139.19,2139.19,1017062
2024-08-30,2139.19,2151.6,2118.3,2123.1,2123.1,1232220
2024-09-02,2128.6,2151.48,2109.58,2114.84,2114.84,448112
2024-09-03,2115.22,2145.94,2094.04,2142.0,2142.0,1030320
2024-09-04,2120.94,2168.46,2119.78,2163.37,2163.37,701830
2024-09-05,2168.01,2183.47,2157.56,2168.17,2168.17,748700
2024-09-06,2164.16,2180.35,2115.7,2121.9,2121.9,648946
2024-09-09,2121.9,2121.92,2098.84,2113.93,2113.93,639202
2024-09-10,2127.61,2136.5,2076.51,2101.58,2101.58,1025578
2024-09-11,2101.75,2141.57,2101.75,2114.14,2114.14,555186
2024-09-12,2114.14,2129.29,2097.84,2106.67,2106.67,466108
2024-09-13,2115.17,2137.27,2106.84,2124.01,2124.01,636528
2024-09-16,2131.5,2144.28,2111.96,2129.1,2129.1,764594
2024-09-17,2132.2,2139.09,2113.25,2123.77,2123.77,557156
2024-09-18,2123.77,2154.56,2109.46,2128.74,2128.74,380498
2024-09-19,2132.46,2154.56,2065.18,2108.35,2108.35,897240
2024-09-20,2109.41,2120.43,2094.04,2102.83,2102.83,1475934
2024-09-23,2106.29,2129.1,2079.63,2119.4,2119.4,831256
2024-09-24,2123.82,2177.76,2108.45,2151.27,2151.27,1116268
2024-09-25,2156.43,2164.02,2125.28,2147.45,2147.45,522548
2024-09-26,2156.67,2180.97,2120.94,2174.51,2174.51,536208
2024-09-27,2173.29,2173.29,2118.54,2123.12,2123.12,993054
2024-09-30,2122.86,2122.86,2053.48,2064.89,2064.89,797224
2024-10-01,2073.87,2108.79,2066.07,2096.44,2096.44,671976
2024-10-03,2061.38,2089.24,2017.7,2029.52,2029.52,462290
2024-10-04,2029.2,2060.25,2009.82,2026.54,2026.54,571368
2024-10-07,2018.64,2035.42,1970.25,1984.92,1984.92,966506
2024-10-08,1969.17,2018.16,1969.17,2012.13,2012.13,743846
2024-10-09,2041.16,2107.95,2036.1,2098.75,2098.75,1384092
2024-10-10,2094.28,2134.17,2090.32,2118.27,2118.27,771062
2024-10-11,2118.54,2139.67,2086.84,2136.98,2136.98,1435862
2024-10-14,2150.21,2162.24,2119.98,2152.66,2152.66,994138
2024-10-15,2161.23,2211.35,2144.54,2187.75,2187.75,3133600
2024-10-16,2190.1,2336.1,2190.1,2318.77,2318.77,6730060
2024-10-17,2316.92,2316.92,2252.68,2271.1,2271.1,1340284
2024-10-18,2256.83,2281.45,2211.71,2262.02,2262.02,687266
2024-10-21,2276.98,2305.37,2204.53,2210.73,2210.73,1214348
2024-10-22,2210.73,2232.32,2156.74,2166.49,2166.49,1134084
2024-10-23,2155.04,2194.88,2132.49,2160.8,2160.8,959870
2024-10-24,2160.8,2180.9,2094.79,2129.8,2129.8,876938
2024-10-25,2137.27,2168.68,2067.65,2085.52,2085.52,1132414
2024-10-28,2096.66,2119.64,2067.63,2083.24,2083.24,805170
2024-10-29,2084.44,2130.23,2025.14,2122.4,2122.4,1342094
2024-10-30,2131.98,2131.98,2094.62,2105.86,2105.86,651610
2024-10-31,2113.69,2113.69,2045.29,2064.96,2064.96,1040584
2024-11-01,2084.44,2093.63,2070.03,2076.2,2076.2,110624
2024-11-04,2085.42,2085.42,2030.16,2057.25,2057.25,1120384
2024-11-05,2062.34,2078.67,2008.79,2062.34,2062.34,1719128
2024-11-06,2065.22,2165.6,2065.22,2160.54,2160.54,1237050
2024-11-07,2165.89,2180.01,2141.11,2169.52,2169.52,553968
2024-11-08,2175.21,2186.69,2142.09,2153.86,2153.86,531956
2024-11-11,2153.86,2161.28,2109.72,2137.29,2137.29,594912
2024-11-12,2148.79,2180.49,2103.67,2112.05,2112.05,955806
2024-11-13,2094.5,2099.85,2026.8,2040.8,2040.8,728754
2024-11-14,2040.75,2094.04,2040.27,2055.02,2055.02,787290
2024-11-18,2053.7,2055.02,2001.37,2008.72,2008.72,1369562
2024-11-19,2008.55,2031.12,1994.02,2012.47,2012.47,910972
2024-11-21,2017.2,2035.25,1981.94,2023.97,2023.97,1747022
2024-11-22,2029.01,2036.41,2010.04,2028.36,2028.36,945050
2024-11-25,2067.6,2100.45,2051.87,2086.09,2086.09,1409054
2024-11-26,2101.49,2101.49,2032.57,2035.66,2035.66,538878
2024-11-27,2035.66,2045.24,2017.68,2037.32,2037.32,591086
2024-11-28,2045.32,2055.33,2010.95,2021.88,2021.88,378764
2024-11-29,2033.53,2034.37,2011.43,2019.24,2019.24,687334
2024-12-02,2014.31,2063.38,2007.42,2041.23,2041.23,675400
2024-12-03,2046.04,2057.35,2036.86,2045.2,2045.2,739190
2024-12-04,2052.74,2099.57,2046.23,2095.29,2095.29,995192
2024-12-05,2110.85,2110.85,2073.89,2092.6,2092.6,791510
