date,open,high,low,close,adj_close,volume
2024-07-11,801.15,802.08,789.82,800.13,800.13,
2024-07-12,800.18,808.27,794.83,800.53,800.53,
2024-07-15,800.92,804.03,796.83,800.23,800.23,
2024-07-16,799.57,802.65,797.62,799.07,799.07,
2024-07-18,793.28,801.15,788.91,796.63,796.63,
2024-07-19,797.22,800.68,791.06,792.93,792.93,
2024-07-22,797.72,814.49,795.57,810.32,810.32,
2024-07-23,812.79,812.91,791.8,798.41,798.41,
2024-07-24,793.35,799.69,783.44,791.33,791.33,
2024-07-25,785.88,801.66,785.88,797.52,797.52,
2024-07-26,791.8,800.06,787.58,798.28,798.28,
2024-07-29,796.73,805.04,788.49,791.82,791.82,
2024-07-30,790.32,806.47,788.84,797.0,797.0,
2024-07-31,796.24,803.09,793.87,797.1,797.1,
2024-08-01,800.63,814.02,798.19,808.47,808.47,
2024-08-02,804.62,824.11,804.62,818.51,818.51,
2024-08-05,809.11,812.02,789.82,797.1,797.1,
2024-08-06,804.13,805.59,786.03,789.92,789.92,
2024-08-07,797.72,804.13,790.42,800.92,800.92,
2024-08-08,801.17,815.63,798.83,810.4,810.4,
2024-08-09,814.98,820.19,811.93,814.1,814.1,
2024-08-12,814.98,826.8,812.69,818.98,818.98,
2024-08-13,803.14,805.31,789.9,790.91,790.91,
2024-08-14,792.54,796.09,790.91,793.18,793.18,
2024-08-16,803.39,806.18,794.76,805.17,805.17,
2024-08-19,807.9,807.9,801.02,804.9,804.9,
2024-08-20,802.87,812.02,802.87,807.93,807.93,
2024-08-21,803.19,806.38,798.11,802.06,802.06,
2024-08-22,805.12,808.23,803.14,804.77,804.77,
2024-08-23,806.1,806.1,800.68,801.69,801.69,
2024-08-26,805.22,812.99,805.22,809.04,809.04,
2024-08-27,810.74,812.71,805.22,807.95,807.95,
2024-08-28,807.95,808.94,804.23,807.63,807.63,
2024-08-29,810.05,811.23,804.7,808.35,808.35,
2024-08-30,816.96,819.92,799.76,807.53,807.53,
2024-09-02,812.42,812.42,800.78,802.63,802.63,
2024-09-03,806.1,809.04,801.47,807.76,807.76,
2024-09-04,808.57,811.43,805.12,809.95,809.95,
2024-09-05,812.02,813.95,810.05,811.75,811.75,
2024-09-06,808.23,812.89,806.15,807.56,807.56,
2024-09-09,808.08,813.26,804.18,812.27,812.27,
2024-09-10,815.97,815.97,808.08,814.17,814.17,
2024-09-11,814.19,815.23,808.67,810.99,810.99,
2024-09-12,815.97,823.86,812.54,822.19,822.19,
2024-09-13,825.84,825.84,817.48,821.87,821.87,
2024-09-16,822.38,827.71,820.93,824.33,824.33,
2024-09-17,827.81,827.81,820.98,823.27,823.27,
2024-09-18,824.78,838.12,824.41,836.1,836.1,
2024-09-19,838.27,848.04,838.24,842.86,842.86,
2024-09-20,846.8,860.84,842.39,858.99,858.99,
2024-09-23,862.84,871.4,858.52,868.17,868.17,
2024-09-24,870.73,878.94,865.43,872.24,872.24,
2024-09-25,868.34,882.08,868.34,877.69,877.69,
2024-09-26,874.7,882.08,872.24,879.83,879.83,
2024-09-27,876.65,877.24,863.33,864.64,864.64,
2024-09-30,862.74,864.05,850.7,854.48,854.48,
2024-10-01,850.5,859.38,848.58,851.59,851.59,
2024-10-03,846.38,851.56,825.52,829.78,829.78,
2024-10-04,826.08,834.05,815.48,817.77,817.77,
2024-10-07,815.08,818.44,795.74,798.11,798.11,
2024-10-08,804.13,817.35,800.18,814.52,814.52,
2024-10-09,813.75,817.33,803.49,805.68,805.68,
2024-10-10,808.57,821.62,805.36,820.11,820.11,
2024-10-11,821.13,821.13,810.67,814.49,814.49,
2024-10-14,816.98,834.74,815.97,832.79,832.79,
2024-10-15,835.7,837.68,826.58,830.82,830.82,
2024-10-16,828.85,842.59,828.85,838.57,838.57,
2024-10-17,836.17,837.5,821.5,825.42,825.42,
2024-10-18,820.46,834.22,816.02,829.71,829.71,
2024-10-21,846.06,862.42,844.12,852.82,852.82,
2024-10-22,853.49,858.4,843.94,845.84,845.84,
2024-10-23,841.16,861.6,841.16,856.33,856.33,
2024-10-24,857.46,872.53,857.46,863.16,863.16,
2024-10-25,865.8,867.2,852.82,860.07,860.07,
2024-10-28,859.38,863.82,852.92,855.54,855.54,
2024-10-29,851.56,870.24,851.05,864.24,864.24,
2024-10-30,859.38,865.67,850.6,855.73,855.73,
2024-10-31,852.48,857.85,848.23,856.28,856.28,
2024-11-01,854.94,860.42,851.54,857.07,857.07,
2024-11-04,860.86,860.86,844.04,845.62,845.62,
2024-11-05,840.14,869.6,837.63,867.2,867.2,
2024-11-06,873.94,873.94,861.04,865.92,865.92,
2024-11-07,860.52,868.73,857.41,861.63,861.63,
2024-11-08,864.32,869.15,861.28,865.53,865.53,
2024-11-11,865.58,879.51,863.92,871.37,871.37,
2024-11-12,874.18,875.66,842.93,847.64,847.64,
2024-11-13,846.93,853.17,825.34,829.46,829.46,
2024-11-14,825.39,841.06,824.9,835.09,835.09,
2024-11-18,838.66,847.99,836.2,841.18,841.18,
2024-11-19,845.57,865.18,840.0,859.51,859.51,
2024-11-21,863.03,867.77,855.54,858.99,858.99,
2024-11-22,860.15,865.45,853.24,861.16,861.16,
2024-11-25,880.62,889.75,870.68,880.89,880.89,
2024-11-26,892.93,892.93,873.1,880.87,880.87,
2024-11-27,883.01,896.56,880.67,894.06,894.06,
2024-11-28,897.37,905.81,882.08,884.62,884.62,
2024-11-29,888.64,890.27,879.56,886.05,886.05,
2024-12-02,889.72,892.02,875.66,890.32,890.32,
2024-12-03,899.2,906.45,895.94,900.97,900.97,
2024-12-04,906.74,920.06,903.36,917.65,917.65,
2024-12-05,917.6,927.44,905.36,920.43,920.43,
2024-12-06,916.12,919.67,909.7,915.55,915.55,
2024-12-09,914.46,927.46,912.17,922.53,922.53,
2024-12-10,926.33,926.33,916.88,921.59,921.59,
2024-12-11,918.44,923.47,915.99,919.13,919.13,
2024-12-12,913.16,921.86,912.02,917.23,917.23,
2024-12-13,918.83,925.0,902.43,923.39,923.39,
2024-12-16,920.11,922.51,915.25,920.16,920.16,
2024-12-17,915.8,918.76,901.07,904.4,904.4,
2024-12-18,902.72,905.76,891.52,893.28,893.28,
2024-12-19,887.8,888.54,877.64,884.79,884.79,
2024-12-20,879.22,886.79,871.74,873.94,873.94,
2024-12-23,879.12,890.96,878.77,888.49,888.49,
2024-12-24,889.01,892.29,882.84,887.06,887.06,
2024-12-26,887.28,893.92,878.5,883.43,883.43,
2024-12-27,885.43,890.93,882.62,887.13,887.13,
2024-12-30,884.15,895.4,873.69,877.09,877.09,
2024-12-31,873.35,879.02,871.03,874.6,874.6,
2025-01-01,874.9,885.04,868.81,879.49,879.49,
2025-01-02,876.7,889.7,874.68,884.91,884.91,
2025-01-03,883.56,885.65,861.51,862.94,862.94,
2025-01-06,858.45,866.88,841.53,843.84,843.84,
2025-01-07,846.06,849.02,838.66,845.27,845.27,
2025-01-08,842.73,844.41,830.45,835.85,835.85,
2025-01-09,830.84,833.24,817.99,822.78,822.78,
2025-01-10,824.36,826.28,815.97,817.33,817.33,
