date,open,high,low,close,adj_close,volume
2024-07-11,634.2,634.85,627.57,632.5,632.5,3573349
2024-07-12,632.25,634.65,625.37,633.8,633.8,2643647
2024-07-15,633.8,646.21,628.76,636.29,636.29,6951688
2024-07-16,640.23,653.19,631.6,644.97,644.97,9167071
2024-07-18,644.97,649.6,639.33,647.11,647.11,3975243
2024-07-19,642.87,644.22,632.4,634.15,634.15,2496778
2024-07-22,630.16,639.23,627.22,635.64,635.64,3854108
2024-07-23,640.23,647.91,621.53,642.17,642.17,9082995
2024-07-24,637.84,673.14,637.54,670.95,670.95,12377638
2024-07-25,664.16,683.71,663.72,681.27,681.27,9386864
2024-07-26,681.27,707.84,680.17,701.41,701.41,8933046
2024-07-29,701.61,708.04,691.84,694.93,694.93,4676765
2024-07-30,694.18,706.4,682.01,695.28,695.28,6134510
2024-07-31,695.28,717.02,691.19,713.53,713.53,6683204
2024-08-01,713.03,720.51,708.09,711.63,711.63,4074648
2024-08-02,705.55,710.79,697.12,705.45,705.45,2710858
2024-08-05,691.09,711.93,688.15,708.94,708.94,9327217
2024-08-06,709.69,717.02,675.43,677.73,677.73,6106310
2024-08-07,680.22,695.78,680.22,694.33,694.33,5154327
2024-08-08,689.19,711.23,687.8,708.39,708.39,5953315
2024-08-09,712.23,713.03,699.52,700.46,700.46,2848313
2024-08-12,696.67,711.68,690.29,700.51,700.51,3723417
2024-08-13,696.18,705.35,675.63,683.11,683.11,5741391
2024-08-14,684.11,688.7,674.54,684.46,684.46,2962358
2024-08-16,662.82,688.7,662.82,687.5,687.5,4584181
2024-08-19,687.5,687.5,676.63,683.81,683.81,2352893
2024-08-20,685.11,711.03,682.16,708.64,708.64,6828474
2024-08-21,712.38,725.59,706.7,722.55,722.55,6186935
2024-08-22,724.0,727.89,718.07,724.0,724.0,3889249
2024-08-23,723.0,728.49,721.46,726.99,726.99,3898989
2024-08-26,731.98,731.98,717.27,723.65,723.65,2131814
2024-08-27,722.0,740.4,717.32,737.51,737.51,5627130
2024-08-28,737.91,744.49,732.03,740.05,740.05,2995930
2024-08-29,737.96,746.44,729.83,734.87,734.87,3962913
2024-08-30,734.87,740.65,731.48,736.66,736.66,6227807
2024-09-02,741.1,751.92,737.81,743.25,743.25,3073926
2024-09-03,751.92,759.1,739.61,756.66,756.66,6268050
2024-09-04,749.63,757.36,746.34,756.71,756.71,3031650
2024-09-05,755.91,756.56,748.33,749.78,749.78,1759438
2024-09-06,747.93,752.02,734.02,736.36,736.36,2765612
2024-09-09,733.07,746.94,729.23,733.77,733.77,2635184
2024-09-10,727.99,730.13,699.27,700.96,700.96,7366304
2024-09-11,699.07,702.36,694.08,698.22,698.22,4604184
2024-09-12,701.21,713.98,696.38,712.58,712.58,3487862
2024-09-13,710.04,711.78,701.21,703.46,703.46,1886832
2024-09-16,706.9,707.25,696.08,699.42,699.42,2754818
2024-09-17,699.42,700.96,689.64,696.97,696.97,2985585
2024-09-18,696.97,703.26,691.49,696.87,696.87,1527865
2024-09-19,698.42,706.15,695.83,699.57,699.57,2202499
2024-09-20,700.06,719.01,700.06,709.14,709.14,7891171
2024-09-23,716.87,727.99,712.08,725.49,725.49,2943802
2024-09-24,725.49,726.94,713.18,718.71,718.71,3212859
2024-09-25,720.01,721.11,708.14,714.57,714.57,1096265
