date,open,high,low,close,adj_close,volume
2024-07-11,5174.7,5203.24,5149.43,5171.19,5171.19,
2024-07-12,5178.34,5240.2,5151.44,5190.51,5190.51,
2024-07-15,5190.6,5276.69,5173.38,5246.14,5246.14,
2024-07-16,5256.11,5295.41,5204.64,5219.7,5219.7,
2024-07-18,5189.2,5219.61,5069.05,5148.68,5148.68,
2024-07-19,5165.29,5172.59,5025.91,5078.97,5078.97,
2024-07-22,5073.63,5137.27,5043.69,5112.14,5112.14,
2024-07-23,5132.59,5296.2,4987.26,5159.3,5159.3,
2024-07-24,5158.79,5158.79,5057.73,5069.66,5069.66,
2024-07-25,5053.98,5100.12,5009.07,5056.04,5056.04,
2024-07-26,5062.4,5189.85,5050.57,5126.88,5126.88,
2024-07-29,5151.54,5177.18,5050.52,5075.83,5075.83,
2024-07-30,5104.51,5191.54,5062.97,5094.5,5094.5,
2024-07-31,5102.55,5180.45,5057.91,5135.81,5135.81,
2024-08-01,5172.58,5172.58,5019.83,5063.61,5063.61,
2024-08-02,5019.45,5065.73,4935.98,4971.56,4971.56,
2024-08-05,4882.82,4945.92,4829.04,4886.45,4886.45,
2024-08-06,4901.86,4953.56,4862.03,4876.92,4876.92,
2024-08-07,4929.9,5009.79,4923.49,4940.41,4940.41,
2024-08-08,4934.61,4950.64,4851.57,4862.88,4862.88,
2024-08-09,4906.29,4945.59,4892.9,4908.41,4908.41,
2024-08-12,4915.57,5019.45,4887.48,5007.05,5007.05,
2024-08-13,5043.01,5097.03,4916.7,4944.51,4944.51,
2024-08-14,4977.03,4993.62,4704.61,4781.39,4781.39,
2024-08-16,4826.21,4844.07,4732.0,4833.85,4833.85,
2024-08-19,4853.55,4924.24,4814.48,4891.16,4891.16,
2024-08-20,4900.68,5043.01,4892.19,4943.47,4943.47,
2024-08-21,4943.47,5000.79,4915.76,4981.46,4981.46,
2024-08-22,4981.74,5074.12,4961.43,5024.11,5024.11,
2024-08-23,5024.16,5131.43,5010.02,5075.91,5075.91,
2024-08-26,5099.57,5113.71,5021.33,5037.12,5037.12,
