date,open,high,low,close,adj_close,volume
2024-07-11,692.92,692.92,683.05,687.29,687.29,
2024-07-12,688.48,693.36,677.22,683.1,683.1,
2024-07-15,683.1,692.52,679.54,691.04,691.04,
2024-07-16,691.24,694.05,680.09,681.86,681.86,
2024-07-18,677.12,686.85,675.25,681.02,681.02,
2024-07-19,675.05,676.83,650.13,654.42,654.42,
2024-07-22,646.53,666.27,642.43,663.6,663.6,
2024-07-23,663.6,664.49,630.44,645.04,645.04,
2024-07-24,644.55,648.15,636.65,643.17,643.17,
2024-07-25,633.64,640.6,625.11,638.18,638.18,
2024-07-26,651.46,659.85,646.53,658.96,658.96,
2024-07-29,667.99,667.99,656.4,658.22,658.22,
2024-07-30,656.4,656.4,646.13,651.95,651.95,
2024-07-31,658.37,665.28,655.66,660.94,660.94,
2024-08-01,671.2,681.96,658.72,664.79,664.79,
2024-08-02,651.26,656.99,638.18,639.67,639.67,
2024-08-05,619.92,625.65,601.37,606.35,606.35,
2024-08-06,616.91,620.86,600.13,602.4,602.4,
2024-08-07,616.91,621.31,608.77,615.63,615.63,
2024-08-08,616.91,622.84,605.07,606.11,606.11,
2024-08-09,617.47,621.94,610.32,618.37,618.37,
2024-08-12,614.49,629.78,612.01,624.77,624.77,
2024-08-13,629.78,629.78,614.69,616.88,616.88,
2024-08-14,622.29,629.33,607.15,616.93,616.93,
2024-08-16,629.33,637.33,625.61,629.53,629.53,
2024-08-19,631.87,655.49,631.87,654.05,654.05,
2024-08-20,658.17,669.39,656.24,668.0,668.0,
2024-08-21,664.03,691.53,662.94,680.61,680.61,
2024-08-22,686.47,686.96,672.27,680.56,680.56,
2024-08-23,685.03,689.64,672.87,680.11,680.11,
2024-08-26,689.34,707.71,684.48,706.67,706.67,
2024-08-27,706.72,707.76,697.63,698.38,698.38,
2024-08-28,700.86,705.53,696.05,699.92,699.92,
2024-08-29,692.57,697.24,686.37,695.4,695.4,
2024-08-30,693.91,703.34,690.04,696.24,696.24,
2024-09-02,701.56,701.56,678.23,678.92,678.92,
2024-09-03,682.64,687.66,672.62,673.96,673.96,
2024-09-04,661.8,668.89,656.44,661.95,661.95,
2024-09-05,665.12,667.5,662.39,665.07,665.07,
2024-09-06,663.39,672.07,660.61,662.24,662.24,
2024-09-09,659.17,659.17,646.26,653.76,653.76,
2024-09-10,660.06,661.95,648.94,654.7,654.7,
2024-09-11,653.81,653.81,640.7,642.98,642.98,
2024-09-12,653.21,672.96,646.76,671.28,671.28,
2024-09-13,681.01,681.4,665.72,668.35,668.35,
2024-09-16,675.15,682.54,671.62,680.16,680.16,
2024-09-17,683.98,686.96,676.14,678.03,678.03,
2024-09-18,680.01,682.94,668.45,680.26,680.26,
2024-09-19,684.98,685.82,663.34,679.22,679.22,
2024-09-20,687.06,693.71,683.74,689.34,689.34,
2024-09-23,690.44,692.92,682.94,685.52,685.52,
2024-09-24,692.52,714.46,687.95,712.62,712.62,
2024-09-25,719.72,725.58,710.34,713.22,713.22,
2024-09-26,713.22,730.79,705.53,729.3,729.3,
2024-09-27,741.51,752.18,736.7,741.71,741.71,
2024-09-30,744.54,758.88,743.99,750.69,750.69,
2024-10-01,749.5,759.93,739.77,756.01,756.01,
2024-10-03,744.54,767.03,739.28,741.66,741.66,
2024-10-04,737.24,752.03,734.66,742.46,742.46,
2024-10-07,747.52,747.52,717.24,725.98,725.98,
2024-10-08,718.23,726.67,702.85,716.55,716.55,
2024-10-09,704.83,730.39,704.83,722.25,722.25,
2024-10-10,726.57,732.83,721.01,724.83,724.83,
2024-10-11,730.64,744.49,727.71,741.91,741.91,
2024-10-14,740.57,749.5,734.07,737.59,737.59,
2024-10-15,740.57,744.54,715.4,721.66,721.66,
2024-10-16,723.2,733.52,720.76,727.76,727.76,
2024-10-17,735.7,741.86,727.02,729.45,729.45,
2024-10-18,729.45,750.94,719.77,748.01,748.01,
2024-10-21,754.47,759.88,731.63,734.22,734.22,
2024-10-22,727.66,740.37,713.07,715.01,715.01,
2024-10-23,710.79,725.83,708.11,711.88,711.88,
2024-10-24,709.79,709.79,661.9,685.67,685.67,
2024-10-25,689.44,689.84,663.58,673.81,673.81,
2024-10-28,676.04,691.93,675.84,687.86,687.86,
2024-10-29,687.86,691.13,671.53,688.55,688.55,
2024-10-30,685.92,693.71,680.41,683.39,683.39,
2024-10-31,681.85,684.53,674.3,681.06,681.06,
2024-11-01,682.49,688.85,682.2,685.87,685.87,
2024-11-04,683.98,684.88,656.78,669.39,669.39,
2024-11-05,670.68,696.34,669.89,692.47,692.47,
2024-11-06,700.86,709.05,682.84,703.04,703.04,
2024-11-07,677.03,682.69,641.59,643.38,643.38,
2024-11-08,649.98,655.64,642.29,645.71,645.71,
2024-11-11,642.74,652.81,634.05,650.58,650.58,
2024-11-12,663.14,668.6,643.43,646.91,646.91,
2024-11-13,643.28,645.17,618.02,622.04,622.04,
2024-11-14,625.41,631.82,620.6,622.78,622.78,
2024-11-18,637.23,658.27,635.24,646.31,646.31,
2024-11-19,646.36,650.78,633.01,635.34,635.34,
2024-11-21,636.33,649.14,629.68,643.33,643.33,
2024-11-22,648.2,652.51,642.69,647.35,647.35,
2024-11-25,655.29,658.17,649.69,655.05,655.05,
2024-11-26,658.07,665.37,654.45,661.25,661.25,
2024-11-27,662.34,664.92,655.34,656.29,656.29,
2024-11-28,656.19,658.32,642.89,645.52,645.52,
2024-11-29,647.75,653.81,644.37,651.42,651.42,
2024-12-02,651.42,658.57,648.3,657.78,657.78,
2024-12-03,660.56,664.73,652.22,662.69,662.69,
2024-12-04,662.69,666.36,654.85,658.22,658.22,
2024-12-05,659.17,669.04,653.9,665.97,665.97,
2024-12-06,668.55,671.57,662.39,665.27,665.27,
2024-12-09,662.09,667.6,649.49,666.02,666.02,
2024-12-10,670.09,671.08,659.86,664.03,664.03,
2024-12-11,666.12,674.85,663.19,665.62,665.62,
2024-12-12,670.09,674.85,657.18,663.83,663.83,
2024-12-13,658.17,660.7,643.28,657.28,657.28,
2024-12-16,656.49,661.75,647.3,648.74,648.74,
2024-12-17,644.77,648.84,632.46,634.79,634.79,
2024-12-18,637.28,637.38,623.68,628.39,628.39,
2024-12-19,616.08,628.64,609.63,624.77,624.77,
2024-12-20,624.77,635.94,616.18,618.12,618.12,
2024-12-23,621.0,631.27,621.0,629.53,629.53,
2024-12-24,630.38,633.45,621.19,622.88,622.88,
2024-12-26,625.41,628.84,622.19,624.17,624.17,
2024-12-27,624.17,628.24,611.22,612.91,612.91,
2024-12-30,610.92,615.78,594.79,596.72,596.72,
2024-12-31,597.02,601.49,593.1,598.06,598.06,
2025-01-01,597.12,599.35,583.22,588.63,588.63,
2025-01-02,590.57,596.18,584.31,594.64,594.64,
2025-01-03,594.64,595.38,585.7,586.85,586.85,
2025-01-06,588.29,589.53,567.44,569.92,569.92,
2025-01-07,568.88,584.12,567.89,580.24,580.24,
2025-01-08,578.51,583.32,573.25,582.38,582.38,
2025-01-09,575.78,592.5,574.44,584.96,584.96,
2025-01-10,581.73,584.96,567.44,570.27,570.27,
2025-01-13,567.44,569.77,557.91,559.65,559.65,
2025-01-14,565.75,587.64,564.21,586.6,586.6,
2025-01-15,589.68,591.86,582.28,587.24,587.24,
2025-01-16,591.66,602.58,586.25,598.21,598.21,
2025-01-17,599.45,614.49,599.31,612.51,612.51,
2025-01-20,612.56,617.42,607.79,613.65,613.65,
2025-01-21,621.49,623.78,608.98,610.47,610.47,
2025-01-22,610.52,610.92,600.94,608.98,608.98,
2025-01-23,606.55,611.71,602.78,603.82,603.82,
2025-01-24,604.27,610.87,595.53,602.48,602.48,
2025-01-27,595.68,597.22,581.09,582.63,582.63,
2025-01-28,585.8,587.34,564.16,569.67,569.67,
2025-01-29,572.3,583.57,567.44,579.85,579.85,
2025-01-30,582.63,597.47,577.47,583.57,583.57,
2025-01-31,585.7,592.06,580.05,589.97,589.97,
2025-02-01,589.68,591.07,577.76,582.18,582.18,
2025-02-03,570.81,572.4,553.54,569.87,569.87,
2025-02-04,576.27,591.56,575.98,579.7,579.7,
2025-02-05,580.24,600.1,580.24,596.23,596.23,
2025-02-06,596.67,602.38,586.95,591.12,591.12,
2025-02-07,591.12,606.15,589.68,602.98,602.98,
2025-02-10,600.6,601.69,585.21,591.66,591.66,
2025-02-11,589.73,602.58,587.34,591.51,591.51,
2025-02-12,594.69,600.55,582.08,594.54,594.54,
2025-02-13,591.71,603.52,585.8,598.11,598.11,
2025-02-14,604.57,611.52,590.72,601.79,601.79,
2025-02-17,601.79,607.45,585.36,606.4,606.4,
2025-02-18,604.57,609.23,597.32,607.0,607.0,
2025-02-19,602.58,623.78,602.13,621.74,621.74,
2025-02-20,622.44,639.51,620.45,634.15,634.15,
2025-02-21,634.55,651.42,633.31,648.79,648.79,
2025-02-24,637.33,643.18,631.62,637.23,637.23,
2025-02-25,631.37,633.8,612.61,614.94,614.94,
2025-02-27,620.55,629.29,614.99,627.35,627.35,
2025-02-28,625.41,631.97,614.94,629.73,629.73,
2025-03-03,629.83,638.82,616.18,631.92,631.92,
2025-03-04,623.43,639.16,619.56,636.98,636.98,
2025-03-05,633.36,657.68,633.36,652.56,652.56,
2025-03-06,660.11,682.59,657.03,676.99,676.99,
2025-03-07,673.66,689.54,673.66,686.32,686.32,
2025-03-10,684.78,704.14,681.5,684.13,684.13,
2025-03-11,679.02,693.91,671.87,690.44,690.44,
2025-03-12,694.9,696.89,678.82,684.83,684.83,
2025-03-13,685.18,687.91,668.35,672.42,672.42,
2025-03-17,673.31,682.49,672.92,675.79,675.79,
2025-03-18,675.79,675.79,675.79,675.79,675.79,
2025-03-19,697.88,697.88,685.47,693.46,693.46,
2025-03-20,697.39,704.68,692.52,700.81,700.81,
2025-03-21,709.79,709.79,689.15,690.29,690.29,
2025-03-24,699.72,700.61,690.04,696.39,696.39,
2025-03-25,695.35,699.22,678.28,688.4,688.4,
2025-03-26,689.94,697.29,685.47,686.27,686.27,
2025-03-27,685.92,692.82,684.18,688.3,688.3,
2025-03-28,685.47,692.37,674.35,677.48,677.48,
2025-04-01,667.11,678.13,657.13,658.92,658.92,
2025-04-02,663.83,664.13,648.0,656.39,656.39,
2025-04-03,653.21,653.21,642.89,647.9,647.9,
2025-04-04,640.3,640.3,592.21,595.58,595.58,
2025-04-07,554.93,565.85,542.47,557.71,557.71,
2025-04-08,570.81,580.1,551.9,564.21,564.21,
2025-04-09,563.62,563.62,548.18,559.89,559.89,
2025-04-11,580.74,603.52,571.91,595.93,595.93,
2025-04-15,608.54,614.79,601.94,613.1,613.1,
2025-04-16,613.65,614.84,597.62,605.46,605.46,
2025-04-17,604.47,611.52,599.6,605.06,605.06,
2025-04-21,607.05,620.35,602.63,617.47,617.47,
2025-04-22,620.45,626.46,614.54,615.59,615.59,
2025-04-23,624.17,628.39,616.18,624.52,624.52,
2025-04-24,625.41,627.94,621.54,623.78,623.78,
2025-04-25,627.8,629.68,608.49,617.57,617.57,
2025-04-28,617.92,626.9,617.87,624.07,624.07,
2025-04-29,626.46,629.63,617.12,618.02,618.02,
2025-04-30,618.02,627.94,610.52,620.1,620.1,
2025-05-02,619.46,645.37,617.27,625.91,625.91,
2025-05-05,630.63,636.93,624.97,628.79,628.79,
2025-05-06,634.3,638.02,622.88,625.46,625.46,
2025-05-07,628.39,634.05,624.77,631.67,631.67,
2025-05-08,631.17,631.67,610.57,615.68,615.68,
2025-05-09,604.67,625.71,599.35,622.58,622.58,
2025-05-12,635.49,649.49,633.4,647.2,647.2,
2025-05-13,640.3,641.64,627.4,630.13,630.13,
2025-05-14,630.87,648.2,629.38,645.81,645.81,
2025-05-15,644.77,658.82,641.59,656.54,656.54,
2025-05-16,654.7,658.12,649.59,652.76,652.76,
2025-05-19,650.23,656.93,647.25,653.56,653.56,
2025-05-20,663.14,666.12,650.78,657.93,657.93,
2025-05-21,662.24,666.12,649.83,658.17,658.17,
2025-05-22,658.17,658.87,637.82,644.82,644.82,
2025-05-23,648.25,650.78,637.92,645.37,645.37,
