date,open,high,low,close,adj_close,volume
2024-07-11,318.26,330.95,316.76,328.05,328.05,17148192
2024-07-12,331.66,331.66,319.76,320.65,320.65,8624668
2024-07-15,323.08,328.28,319.94,326.17,326.17,7249546
2024-07-16,326.17,338.31,325.75,335.69,335.69,14079381
2024-07-18,336.2,342.06,332.41,335.17,335.17,10408667
2024-07-19,336.06,336.34,319.19,320.18,320.18,10763075
2024-07-22,320.36,332.5,316.57,324.91,324.91,13506968
2024-07-23,326.46,326.78,308.79,324.72,324.72,9389682
2024-07-24,325.19,333.95,322.47,331.61,331.61,8207636
2024-07-25,328.0,353.21,325.33,350.26,350.26,20611250
2024-07-26,355.55,355.65,346.93,352.88,352.88,9301896
2024-07-29,361.74,364.83,354.99,357.1,357.1,14114983
2024-07-30,351.57,376.5,346.84,370.88,370.88,35730279
2024-07-31,374.67,381.04,366.47,367.6,367.6,17127806
2024-08-01,367.78,368.77,360.57,366.8,366.8,8840248
2024-08-02,365.68,373.45,359.72,364.79,364.79,12474802
2024-08-05,362.68,367.97,353.35,364.32,364.32,14077705
2024-08-06,369.24,374.91,360.15,361.93,361.93,10419295
2024-08-07,369.24,378.14,363.8,371.86,371.86,17004585
2024-08-08,373.92,373.92,359.16,364.69,364.69,14723158
2024-08-09,366.76,372.07,360.74,363.24,363.24,9753610
2024-08-12,361.65,369.85,357.31,366.19,366.19,10370149
2024-08-13,363.58,364.16,351.0,358.13,358.13,14426819
2024-08-14,358.62,363.97,355.34,359.82,359.82,5776570
2024-08-16,363.2,368.4,360.35,366.33,366.33,7276293
2024-08-19,371.3,380.8,369.9,373.56,373.56,13213008
2024-08-20,377.18,390.39,377.18,382.39,382.39,16300789
2024-08-21,382.29,397.14,379.98,393.0,393.0,14427485
2024-08-22,398.3,399.89,388.99,392.03,392.03,9217776
2024-08-23,391.94,399.02,389.62,391.07,391.07,8131913
2024-08-26,393.58,394.25,386.05,390.63,390.63,6084146
2024-08-27,387.6,396.76,383.16,389.96,389.96,7476660
2024-08-28,392.76,396.76,388.61,392.13,392.13,6224089
2024-08-29,392.56,402.64,388.13,401.05,401.05,9653177
2024-08-30,406.4,410.12,400.95,404.14,404.14,16999644
2024-09-02,409.87,422.41,406.11,412.62,412.62,18305095
2024-09-03,413.59,415.37,409.63,410.74,410.74,5140913
2024-09-04,418.07,431.67,412.91,429.26,429.26,26837682
2024-09-05,430.42,440.88,428.25,432.54,432.54,12007469
2024-09-06,432.83,435.77,417.3,418.94,418.94,8950512
2024-09-09,418.94,418.99,405.15,406.4,406.4,8907889
2024-09-10,409.3,409.3,402.3,406.35,406.35,5944511
2024-09-11,413.92,420.43,393.05,394.88,394.88,12529867
2024-09-12,400.23,402.79,395.41,398.69,398.69,8007169
2024-09-13,398.74,403.03,392.23,396.28,396.28,9258252
2024-09-16,396.37,399.07,391.36,395.6,395.6,4415935
2024-09-17,395.89,397.82,391.6,394.15,394.15,3296568
2024-09-18,392.08,396.23,390.59,392.95,392.95,2255708
2024-09-19,393.48,394.15,378.05,383.88,383.88,4541604
2024-09-20,383.88,388.95,380.36,384.56,384.56,9159103
2024-09-23,385.28,394.4,382.53,389.09,389.09,4899097
2024-09-24,388.56,404.47,388.32,402.3,402.3,9274367
2024-09-25,402.3,404.14,393.09,402.54,402.54,4872324
2024-09-26,403.32,408.96,394.06,406.93,406.93,6065915
2024-09-27,408.91,424.15,406.21,422.36,422.36,12190119
2024-09-30,420.48,431.04,415.18,424.87,424.87,7949959
2024-10-01,424.34,430.17,422.85,429.07,429.07,5525180
2024-10-03,413.73,417.25,398.3,400.28,400.28,14169317
2024-10-04,392.51,399.02,381.04,392.42,392.42,12354340
2024-10-07,392.71,394.78,377.04,379.64,379.64,5679436
2024-10-08,374.19,380.94,367.92,376.36,376.36,12815777
2024-10-09,385.76,398.3,379.25,380.8,380.8,11902837
2024-10-10,383.35,389.62,378.05,378.53,378.53,3363159
2024-10-11,378.05,382.92,373.61,381.42,381.42,2978692
2024-10-14,383.35,393.38,381.95,391.41,391.41,6151692
2024-10-15,399.27,411.71,397.58,407.85,407.85,16856309
2024-10-16,411.8,422.75,410.02,419.18,419.18,16355809
2024-10-17,416.58,423.38,413.01,417.93,417.93,11762175
2024-10-18,415.08,419.81,407.61,416.24,416.24,4941502
2024-10-21,417.59,420.77,399.12,400.37,400.37,9263679
2024-10-22,399.36,401.77,386.25,387.79,387.79,5951071
2024-10-23,387.79,388.95,380.17,383.69,383.69,3779746
2024-10-24,381.91,390.97,379.45,390.34,390.34,7703516
2024-10-25,391.55,391.55,357.46,359.15,359.15,8522829
2024-10-28,366.48,379.78,365.51,369.66,369.66,12990859
2024-10-29,371.25,375.98,362.14,374.67,374.67,5115112
2024-10-30,374.67,375.59,363.29,364.21,364.21,5110158
2024-10-31,363.58,368.84,360.69,367.34,367.34,6864561
2024-11-01,367.34,369.66,366.48,367.44,367.44,505687
2024-11-04,368.4,368.4,350.71,355.38,355.38,8846874
2024-11-05,352.01,363.1,349.36,361.51,361.51,8163853
2024-11-06,366.33,379.93,363.73,377.66,377.66,8284664
2024-11-07,376.94,385.76,371.64,382.39,382.39,5850910
2024-11-08,381.76,381.76,366.77,369.42,369.42,5067482
2024-11-11,369.37,374.0,361.8,367.39,367.39,6123412
2024-11-12,370.43,376.12,360.74,362.18,362.18,6589595
2024-11-13,361.65,364.45,354.66,358.18,358.18,4346895
2024-11-14,359.24,365.8,352.44,359.15,359.15,5809877
2024-11-18,359.15,362.38,353.36,354.23,354.23,5010823
2024-11-19,352.97,361.46,347.38,349.26,349.26,2933169
2024-11-21,349.26,350.66,342.27,347.28,347.28,4403773
2024-11-22,349.12,352.3,345.84,347.86,347.86,2571975
2024-11-25,355.82,370.96,354.85,363.44,363.44,9614696
2024-11-26,368.5,375.83,364.55,366.09,366.09,3574299
2024-11-27,372.17,372.26,362.43,366.62,366.62,6106128
2024-11-28,368.31,372.5,363.82,366.48,366.48,5435933
2024-11-29,367.87,371.3,363.0,369.47,369.47,4384830
2024-12-02,369.47,370.33,365.7,367.39,367.39,2355565
2024-12-03,371.3,373.81,368.93,370.86,370.86,5317630
2024-12-04,370.33,377.71,369.08,373.85,373.85,3476461
2024-12-05,376.6,379.11,370.82,377.86,377.86,3583458
2024-12-06,379.83,387.93,378.1,384.99,384.99,8107943
2024-12-09,384.85,390.06,383.5,385.47,385.47,4763280
2024-12-10,385.76,391.89,383.11,390.49,390.49,6662197
2024-12-11,390.49,397.67,390.06,395.5,395.5,8783167
2024-12-12,395.41,399.27,391.6,397.05,397.05,4832913
2024-12-13,397.05,403.17,394.88,400.28,400.28,7106881
2024-12-16,400.13,404.09,386.05,392.61,392.61,7360302
2024-12-17,393.48,395.22,390.2,392.61,392.61,3735357
2024-12-18,391.55,394.44,382.82,383.88,383.88,4286929
2024-12-19,378.05,396.37,375.01,392.9,392.9,7226543
2024-12-20,394.44,398.78,383.79,385.28,385.28,8035990
2024-12-23,385.81,396.81,385.09,389.24,389.24,3951645
2024-12-24,389.62,403.08,387.31,398.16,398.16,6334203
2024-12-26,398.16,406.5,394.25,404.38,404.38,6201557
2024-12-27,405.44,405.44,394.54,396.08,396.08,3440755
2024-12-30,394.44,395.79,386.63,391.36,391.36,6858610
2024-12-31,391.36,395.99,388.32,394.2,394.2,3103194
2025-01-01,395.41,399.27,390.3,397.67,397.67,2185656
2025-01-02,397.58,401.0,390.1,398.01,398.01,2391474
