date,open,high,low,close,adj_close,volume
2024-07-11,2540.01,2540.06,2513.85,2532.1,2532.1,
2024-07-12,2524.48,2561.85,2524.48,2545.11,2545.11,
2024-07-15,2550.69,2551.9,2536.76,2543.21,2543.21,
2024-07-16,2548.7,2644.83,2547.34,2609.36,2609.36,
2024-07-18,2620.57,2670.26,2576.89,2657.84,2657.84,
2024-07-19,2658.42,2662.3,2636.05,2646.78,2646.78,
2024-07-22,2626.1,2669.05,2626.05,2654.83,2654.83,
2024-07-23,2665.22,2728.6,2651.63,2684.97,2684.97,
2024-07-24,2667.16,2676.33,2596.4,2637.12,2637.12,
2024-07-25,2637.12,2644.69,2591.45,2627.56,2627.56,
2024-07-26,2643.86,2646.78,2608.2,2631.29,2631.29,
2024-07-29,2631.44,2639.98,2613.58,2631.83,2631.83,
2024-07-30,2635.71,2673.32,2606.4,2612.22,2612.22,
2024-07-31,2625.42,2629.94,2596.35,2626.05,2626.05,
2024-08-01,2634.16,2644.79,2615.91,2635.66,2635.66,
2024-08-02,2632.22,2678.32,2602.27,2613.34,2613.34,
2024-08-05,2597.23,2661.33,2587.76,2636.0,2636.0,
2024-08-06,2640.08,2690.21,2628.97,2669.15,2669.15,
2024-08-07,2699.87,2700.01,2655.03,2663.32,2663.32,
2024-08-08,2672.98,2678.08,2640.37,2652.79,2652.79,
2024-08-09,2674.92,2676.86,2638.62,2666.38,2666.38,
2024-08-12,2657.45,2682.1,2642.31,2667.84,2667.84,
2024-08-13,2661.33,2676.52,2649.78,2660.75,2660.75,
2024-08-14,2660.36,2661.87,2626.98,2641.97,2641.97,
2024-08-16,2657.35,2672.59,2630.96,2667.4,2667.4,
2024-08-19,2669.15,2678.56,2656.53,2661.87,2661.87,
2024-08-20,2661.87,2675.17,2654.59,2670.12,2670.12,
2024-08-21,2668.61,2712.87,2662.26,2709.09,2709.09,
2024-08-22,2720.49,2727.33,2700.25,2710.64,2710.64,
2024-08-23,2716.85,2738.01,2689.82,2732.77,2732.77,
2024-08-26,2732.77,2751.55,2721.12,2738.16,2738.16,
2024-08-27,2726.36,2741.02,2678.37,2685.5,2685.5,
2024-08-28,2678.8,2699.92,2664.97,2683.03,2683.03,
2024-08-29,2688.46,2727.33,2664.25,2703.31,2703.31,
2024-08-30,2713.45,2733.45,2678.9,2696.28,2696.28,
2024-09-02,2711.8,2726.27,2697.25,2707.0,2707.0,
2024-09-03,2698.22,2744.76,2693.36,2712.1,2712.1,
2024-09-04,2698.22,2760.19,2690.11,2757.66,2757.66,
2024-09-05,2756.5,2771.01,2740.58,2754.95,2754.95,
2024-09-06,2744.9,2782.12,2744.9,2755.43,2755.43,
2024-09-09,2769.17,2851.76,2759.56,2835.84,2835.84,
2024-09-10,2847.69,2851.18,2802.55,2813.33,2813.33,
2024-09-11,2825.95,2863.22,2812.84,2818.71,2818.71,
2024-09-12,2825.36,2876.22,2809.06,2869.43,2869.43,
2024-09-13,2869.43,2869.43,2832.64,2846.67,2846.67,
2024-09-16,2824.39,2824.39,2724.81,2782.75,2782.75,
2024-09-17,2782.75,2828.18,2775.96,2788.97,2788.97,
2024-09-18,2789.45,2808.43,2777.51,2791.25,2791.25,
2024-09-19,2791.63,2847.98,2788.82,2826.09,2826.09,
2024-09-20,2838.76,2901.41,2810.22,2890.0,2890.0,
2024-09-23,2892.33,2945.71,2882.58,2939.45,2939.45,
2024-09-24,2931.16,2931.16,2859.43,2863.75,2863.75,
2024-09-25,2863.75,2873.26,2819.64,2862.2,2862.2,
2024-09-26,2864.28,2904.8,2854.67,2898.25,2898.25,
2024-09-27,2898.25,2940.86,2865.88,2878.99,2878.99,
2024-09-30,2877.0,2909.71,2856.03,2871.27,2871.27,
2024-10-01,2875.54,2875.54,2806.34,2837.74,2837.74,
2024-10-03,2823.18,2837.11,2776.93,2808.23,2808.23,
2024-10-04,2805.95,2828.27,2734.18,2764.94,2764.94,
2024-10-07,2761.3,2782.12,2741.94,2750.05,2750.05,
2024-10-08,2760.33,2801.1,2716.37,2735.88,2735.88,
2024-10-09,2740.34,2742.72,2679.48,2687.49,2687.49,
2024-10-10,2688.51,2705.4,2652.79,2673.66,2673.66,
2024-10-11,2683.46,2707.92,2656.53,2701.32,2701.32,
2024-10-14,2709.48,2722.19,2683.66,2707.05,2707.05,
2024-10-15,2710.93,2716.95,2683.9,2699.62,2699.62,
2024-10-16,2707.1,2715.25,2674.53,2699.43,2699.43,
2024-10-17,2697.68,2700.16,2643.33,2658.08,2658.08,
2024-10-18,2658.08,2659.39,2614.21,2637.17,2637.17,
