date,open,high,low,close,adj_close,volume
2024-07-11,616.18,631.78,613.77,623.61,623.61,503106
2024-07-12,631.36,635.12,612.84,617.16,617.16,536850
2024-07-15,620.27,622.03,606.34,612.56,612.56,398746
2024-07-16,613.3,616.04,608.2,614.79,614.79,396045
2024-07-18,619.34,621.66,599.84,601.6,601.6,597374
2024-07-19,601.65,607.78,589.63,595.89,595.89,488014
2024-07-22,586.84,593.2,579.41,586.84,586.84,481431
2024-07-23,586.84,590.46,561.72,577.97,577.97,470578
2024-07-24,579.5,599.79,579.41,589.02,589.02,336587
2024-07-25,582.24,584.1,564.79,567.76,567.76,783701
2024-07-26,566.46,579.41,556.2,560.38,560.38,915304
2024-07-29,567.34,596.13,564.74,588.42,588.42,759838
2024-07-30,594.27,601.42,589.81,595.66,595.66,526190
2024-07-31,591.48,607.73,587.82,600.63,600.63,422937
2024-08-01,607.27,608.85,593.53,601.33,601.33,540659
2024-08-02,594.27,615.76,587.35,605.23,605.23,1155061
2024-08-05,581.32,590.55,565.58,573.05,573.05,812500
2024-08-06,571.05,584.94,561.77,565.21,565.21,490504
2024-08-07,571.05,586.84,549.14,552.81,552.81,1411776
2024-08-08,555.73,561.21,545.98,557.08,557.08,752219
2024-08-09,566.78,566.78,549.7,551.56,551.56,455571
2024-08-12,557.08,583.03,556.2,570.31,570.31,930564
2024-08-13,573.84,573.84,535.07,538.56,538.56,1345889
2024-08-14,521.84,573.84,505.17,530.9,530.9,3055207
2024-08-16,492.13,505.13,479.18,482.75,482.75,11319240
2024-08-19,454.99,462.93,453.18,460.28,460.28,26422597
2024-08-20,460.84,477.46,460.84,475.97,475.97,21919526
2024-08-21,479.08,479.96,472.4,474.35,474.35,7475230
2024-08-22,476.25,482.7,475.55,481.59,481.59,7868421
2024-08-23,480.06,482.52,475.93,477.09,477.09,4980038
2024-08-26,480.99,491.15,480.15,490.36,490.36,8083106
2024-08-27,493.06,499.19,492.13,494.31,494.31,5904226
2024-08-28,495.8,495.8,490.56,492.29,492.29,3918470
2024-08-29,489.11,489.74,474.14,478.09,478.09,5148826
2024-08-30,480.49,483.38,476.64,482.18,482.18,2166880
2024-09-02,483.38,483.81,473.75,475.53,475.53,2338864
2024-09-03,474.76,478.47,472.07,474.28,474.28,1772852
2024-09-04,470.86,470.86,463.21,467.88,467.88,2637897
2024-09-05,470.86,478.28,469.9,477.32,477.32,1948919
2024-09-06,478.18,478.95,467.54,468.79,468.79,1938403
2024-09-09,466.77,467.98,459.31,462.29,462.29,1742601
2024-09-10,465.66,472.79,461.23,468.84,468.84,1518727
2024-09-11,469.9,469.9,457.77,458.88,458.88,1444929
2024-09-12,462.2,472.79,461.62,471.63,471.63,1743746
2024-09-13,476.35,485.31,475.1,478.18,478.18,2483381
2024-09-16,482.42,489.54,475.73,478.04,478.04,2072142
2024-09-17,479.53,480.44,471.35,472.69,472.69,1008673
2024-09-18,476.64,477.6,465.66,467.01,467.01,1280911
2024-09-19,473.75,477.6,460.8,471.3,471.3,1815671
2024-09-20,476.35,485.45,474.04,482.13,482.13,2846982
2024-09-23,482.42,489.21,479.77,485.21,485.21,2163517
2024-09-24,486.27,494.94,485.4,488.77,488.77,3461449
2024-09-25,494.94,495.85,487.62,492.24,492.24,3997321
2024-09-26,492.19,501.63,485.36,497.83,497.83,3887216
2024-09-27,505.53,505.91,497.39,503.65,503.65,3789679
2024-09-30,505.53,511.55,497.68,503.12,503.12,3995531
2024-10-01,503.51,504.57,492.87,500.62,500.62,1884521
2024-10-03,497.83,513.76,493.54,503.51,503.51,5498929
2024-10-04,503.75,507.12,490.94,498.07,498.07,1877538
2024-10-07,504.57,504.57,472.31,477.03,477.03,1936964
2024-10-08,477.03,494.55,474.38,491.86,491.86,1747070
2024-10-09,490.22,495.85,485.16,486.7,486.7,910097
2024-10-10,487.23,493.97,487.23,489.93,489.93,677683
2024-10-11,489.93,493.01,483.38,485.45,485.45,511306
2024-10-14,487.91,503.41,487.81,500.91,500.91,1883076
2024-10-15,501.0,504.13,492.34,495.32,495.32,1233163
2024-10-16,495.32,500.67,489.78,491.47,491.47,972108
2024-10-17,492.24,497.78,483.48,489.35,489.35,886030
2024-10-18,487.19,500.71,475.68,487.71,487.71,3491646
2024-10-21,500.09,502.45,481.46,483.14,483.14,2266446
2024-10-22,487.04,503.6,486.7,494.55,494.55,4802288
2024-10-23,496.0,515.16,496.0,504.28,504.28,4761151
2024-10-24,506.92,528.64,506.92,519.49,519.49,5302861
2024-10-25,518.53,519.49,484.49,491.13,491.13,3661702
2024-10-28,496.38,509.86,493.01,507.12,507.12,1853445
2024-10-29,508.85,533.31,508.37,529.75,529.75,4291983
2024-10-30,534.42,554.06,531.67,539.62,539.62,4040718
2024-10-31,542.12,543.08,519.97,532.68,532.68,2265460
2024-11-01,538.22,543.85,531.53,537.55,537.55,570057
2024-11-04,538.27,538.8,503.65,523.63,523.63,3242281
2024-11-05,524.79,544.05,522.67,538.89,538.89,2598508
2024-11-06,500.71,503.99,493.25,494.07,494.07,11690198
2024-11-07,488.87,490.8,486.8,488.77,488.77,7355515
2024-11-08,490.8,493.78,486.32,487.47,487.47,3200423
2024-11-11,487.14,490.75,475.68,487.33,487.33,5111496
2024-11-12,490.12,493.25,479.72,482.13,482.13,2222208
2024-11-13,478.57,484.49,466.05,467.69,467.69,2639677
2024-11-14,468.99,479.19,466.77,476.98,476.98,1576044
2024-11-18,484.92,485.21,476.45,477.94,477.94,2851127
2024-11-19,481.46,481.84,471.83,473.9,473.9,1336754
2024-11-21,473.9,474.67,465.28,468.99,468.99,1546003
2024-11-22,469.9,473.46,467.16,471.1,471.1,1077937
2024-11-25,479.53,482.9,477.32,480.01,480.01,1695909
2024-11-26,480.49,481.17,474.91,476.11,476.11,768923
2024-11-27,475.68,482.42,475.68,481.41,481.41,787949
2024-11-28,481.46,482.42,474.72,475.73,475.73,919432
2024-11-29,477.41,487.14,473.37,485.89,485.89,1565002
2024-12-02,483.43,487.96,480.59,484.2,484.2,868957
2024-12-03,484.39,489.54,481.94,488.34,488.34,1157338
2024-12-04,488.68,491.95,486.08,488.15,488.15,889376
2024-12-05,489.16,489.21,480.59,482.03,482.03,903208
2024-12-06,482.03,496.28,480.93,491.08,491.08,2915997
2024-12-09,491.08,493.54,486.46,487.71,487.71,868376
2024-12-10,489.83,490.36,479.53,479.96,479.96,1326710
2024-12-11,481.36,497.25,479.14,490.27,490.27,3159856
2024-12-12,491.9,494.89,482.42,482.95,482.95,1158128
2024-12-13,482.56,483.38,473.85,481.79,481.79,1092238
2024-12-16,481.79,485.26,479.05,479.77,479.77,595620
2024-12-17,481.17,482.42,471.83,472.45,472.45,1068528
2024-12-18,472.93,473.95,463.55,467.35,467.35,910000
2024-12-19,460.71,465.09,454.49,461.57,461.57,941093
2024-12-20,462.2,465.95,449.01,451.41,451.41,935248
2024-12-23,453.53,455.94,445.73,446.69,446.69,786344
2024-12-24,447.75,448.52,443.37,446.21,446.21,599367
2024-12-26,446.21,447.75,435.04,436.44,436.44,981853
2024-12-27,437.16,446.07,437.02,437.84,437.84,790788
2024-12-30,437.16,437.84,413.67,416.36,416.36,2763331
2024-12-31,416.56,428.98,416.56,427.53,427.53,1432597
2025-01-01,427.44,431.77,424.6,427.58,427.58,638861
2025-01-02,430.42,438.51,424.93,435.72,435.72,1067204
2025-01-03,435.72,454.98,434.13,451.75,451.75,2312908
2025-01-06,455.65,455.65,428.54,430.23,430.23,1237423
2025-01-07,430.42,438.08,430.42,431.91,431.91,566242
2025-01-08,432.59,434.27,416.36,427.34,427.34,1534792
2025-01-09,428.88,436.34,419.93,421.47,421.47,2009603
2025-01-10,421.47,422.67,411.36,417.28,417.28,910052
2025-01-13,413.91,416.8,399.32,403.85,403.85,1845851
2025-01-14,406.35,422.72,406.25,419.88,419.88,1148840
2025-01-15,420.31,431.87,420.02,425.66,425.66,713988
2025-01-16,432.35,442.84,431.63,438.51,438.51,1034803
2025-01-17,439.57,444.77,437.07,439.91,439.91,631209
2025-01-20,446.98,449.73,439.67,448.24,448.24,762660
2025-01-21,446.31,454.98,441.25,443.9,443.9,1043422
2025-01-22,448.72,453.34,442.6,451.94,451.94,1488217
2025-01-23,452.57,461.72,447.75,456.52,456.52,1013935
2025-01-24,459.31,462.68,444.53,449.25,449.25,811862
2025-01-27,444.58,444.82,431.82,434.13,434.13,697454
2025-01-28,437.16,444.09,415.01,417.13,417.13,2310918
2025-01-29,423.68,428.45,414.05,422.04,422.04,1683342
2025-01-30,423.1,435.62,422.53,424.98,424.98,711322
2025-01-31,429.94,435.57,424.16,433.45,433.45,1051297
2025-02-01,433.45,440.77,426.23,429.46,429.46,831920
2025-02-03,428.5,428.5,410.73,416.51,416.51,1149990
2025-02-04,422.24,427.44,415.98,420.7,420.7,1049689
2025-02-05,425.8,451.8,422.38,450.11,450.11,3709519
2025-02-06,447.75,450.11,425.22,426.47,426.47,2683938
2025-02-07,427.53,430.04,420.31,424.02,424.02,1289638
2025-02-10,425.22,427.44,416.94,419.49,419.49,1061336
2025-02-11,418.87,422.19,398.6,401.39,401.39,1597914
2025-02-12,404.66,408.56,393.16,404.76,404.76,1334554
2025-02-13,406.35,411.12,395.76,396.53,396.53,1237837
2025-02-14,398.65,406.83,394.94,401.1,401.1,2778054
2025-02-17,396.29,401.2,387.62,400.14,400.14,1569698
2025-02-18,401.53,403.46,389.69,393.88,393.88,763874
2025-02-19,393.88,399.17,391.52,398.12,398.12,984098
2025-02-20,396.72,408.52,396.53,407.17,407.17,971143
2025-02-21,407.07,414.24,404.47,410.83,410.83,1071716
2025-02-24,405.39,410.15,399.66,400.23,400.23,1024804
2025-02-25,399.37,401.39,390.08,392.15,392.15,732520
2025-02-27,391.91,399.61,388.1,396.48,396.48,1034655
2025-02-28,390.94,391.91,375.54,376.31,376.31,1613553
2025-03-03,377.46,380.64,364.13,373.08,373.08,2004706
2025-03-04,370.62,383.91,367.3,380.78,380.78,1558931
